Picture picture
2034 @card@
, ,
Dragonfly dragonfly
is be
a a
rotorcraft rotorcraft
lander lander
, ,
similar similar
in in
size size
to to
the the
Mars mars
rovers rover
or or
about about
the the
size size
of of
a a
small small
car car
. .
Titan titan
' '
s s
dense dense
atmosphere atmosphere
, ,
combined combine
with with
its its
low low
gravity gravity
, ,
make make
it it
a a
great great
place place
to to
fly fly
, ,
and and
that that
' '
s s
exactly exactly
what what
Dragonfly dragonfly
is be
designed design
to to
do do
. .
Technically technically
an an
octocopter octocopter
, ,
Dragonfly dragonfly
is be
a a
mobile mobile
laboratory laboratory
that that
can can
fly fly
from from
place place
to to
place place
taking take
all all
of of
its its
scientific scientific
instruments instrument
with with
it it
. .
Dragonfly dragonfly
will will
investigate investigate
Titan titan
in in
a a
truly truly
unique unique
way way
, ,
studying study
details detail
of of
its its
weather weather
and and
geology geology
, ,
and and
even even
picking pick
up up
samples sample
from from
the the
surface surface
to to
learn learn
what what
they they
' '
re re
made make
of of
. .
All all
told tell
, ,
Dragonfly dragonfly
will will
spend spend
about about
three three
years year
exploring explore
Titan titan
, ,
measuring measure
its its
detailed detailed
chemistry chemistry
, ,
observing observe
the the
atmosphere atmosphere
and and
how how
it it
interacts interact
with with
the the
surface surface
, ,
and and
even even
listening listen
for for
earthquakes earthquake
, ,
or or
technically technically
titanquakes titanquake
, ,
in in
Titan titan
' '
s s
crust crust
. .
The the
Dragonfly dragonfly
team team
, ,
hundreds hundred
of of
people people
across across
North north
America america
and and
around around
the the
world world
, ,
is be
hard hard
at at
work work
on on
the the
design design
for for
this this
mission mission
, ,
developing develop
the the
rotorcraft rotorcraft
, ,
its its
autonomous autonomous
navigation navigation
system system
and and
its its
instrumentation instrumentation
, ,
all all
of of
which which
will will
need need
to to
work work
together together
to to
make make
science science
measurements measurement
on on
the the
surface surface
of of
Titan titan
. .
Dragonfly dragonfly
is be
the the
next next
step step
in in
our our
exploration exploration
of of
this this
fascinating fascinating
natural natural
laboratory laboratory
. .
In in
flying fly
by by
, ,
Voyager voyager
hinted hint
at at
the the
possibilities possibility
. .
In in
orbiting orbit
Saturn saturn
for for
over over
a a
decade decade
and and
descending descend
through through
Titan titan
' '
s s
atmosphere atmosphere
, ,
Cassini cassini
and and
Huygens huygens
pulled pull
Titan titan
' '
s s
veil veil
back back
a a
bit bit
further further
. .
Dragonfly dragonfly
will will
live live
in in
the the
Titan titan
environment environment
, ,
where where
, ,
so so
far far
, ,
our our
only only
close-up close-up
view view
is be
this this
image image
the the
Huygens huygens
probe probe
took take
in in
January january
2005 @card@
. .
In in
many many
ways way
, ,
Titan titan
is be
the the
closest close
known know
analogue analogue
we we
have have
to to
the the
early early
Earth earth
, ,
the the
Earth earth
before before
life life
developed develop
here here
. .
From from
Cassini-Huygens cassini-huygens
' '
measurements measurement
, ,
we we
know know
that that
the the
ingredients ingredient
for for
life life
, ,
at at
least least
life life
as as
we we
know know
it it
, ,
have have
existed exist
on on
Titan titan
, ,
and and
Dragonfly dragonfly
will will
be be
fully fully
immersed immerse
within within
this this
alien alien
environment environment
, ,
looking look
for for
compounds compound
similar similar
to to
those those
that that
might might
have have
supported support
the the
development development
of of
life life
here here
on on
Earth earth
and and
teaching teach
us us
about about
the the
habitability habitability
of of
other other
worlds world
. .
Habitability habitability
is be
a a
fascinating fascinating
concept concept
. .
What what
' '
s s
necessary necessary
to to
make make
an an
environment environment
suitable suitable
to to
host host
life life
, ,
whether whether
life life
as as
we we
know know
it it
here here
on on
Earth earth
, ,
or or
perhaps perhaps
exotic exotic
life life
that that
has have
developed develop
under under
very very
different different
conditions condition
? ?
The the
possibility possibility
of of
life life
elsewhere elsewhere
has have
inspired inspire
human human
imagination imagination
and and
exploration exploration
throughout throughout
history history
. .
On on
a a
grand grand
scale scale
, ,
it it
' '
s s
why why
the the
ocean ocean
worlds world
in in
the the
outer outer
solar solar
system system
have have
become become
such such
important important
targets target
for for
study study
. .
It it
' '
s s
the the
" "
what what
if if
" "
that that
drives drive
human human
exploration exploration
. .
We we
don don
' '
t t
know know
how how
chemistry chemistry
took take
the the
step step
to to
biology biology
here here
on on
Earth earth
, ,
but but
similar similar
chemical chemical
processes process
may may
have have
happened happen
on on
Titan titan
, ,
where where
organic organic
molecules molecule
have have
had have
the the
opportunity opportunity
to to
mix mix
with with
liquid liquid
water water
at at
the the
surface surface
. .
Has have
organic organic
synthesis synthesis
progressed progress
under under
these these
conditions condition
? ?
And and
if if
so so
, ,
how how
far far
? ?
We we
don don
' '
t t
know know
. .
. .
. .
yet yet
. .
What what
we we
will will
learn learn
from from
Dragonfly dragonfly
, ,
this this
fundamentally fundamentally
human human
endeavor endeavor
, ,
is be
tantalizing tantalize
. .
It it
' '
s s
a a
search search
for for
building building
blocks block
, ,
foundations foundation
, ,
chemical chemical
steps step
like like
those those
that that
ultimately ultimately
led lead
to to
life life
on on
Earth earth
. .
We we
' '
re re
not not
sure sure
exactly exactly
what what
we we
will will
find find
when when
we we
get get
to to
Titan titan
, ,
but but
that that
' '
s s
exactly exactly
why why
we we
' '
re re
going go
. .
In in
1994 @card@
, ,
Carl carl
Sagan sagan
wrote write
, ,
" "
On on
Titan titan
, ,
the the
molecules molecule
that that
have have
been be
raining rain
down down
like like
manna manna
from from
heaven heaven
for for
the the
last last
four four
billion billion
years year
might might
still still
be be
there there
, ,
largely largely
unaltered unalter
, ,
deep-frozen deep-freeze
, ,
awaiting await
the the
chemists chemist
from from
Earth earth
. .
" "
We we
are be
those those
chemists chemist
. .
Dragonfly dragonfly
is be
a a
search search
for for
greater great
understanding understanding
, ,
not not
just just
of of
Titan titan
and and
the the
mysteries mystery
of of
our our
solar solar
system system
, ,
but but
of of
our our
own own
origins origin
. .
Thank thank
you you
. .
