David david
and and
make make
us us
become become
familiar familiar
with with
it it
. .
But but
when when
you you
' '
re re
standing standing
at at
the the
beach beach
, ,
I i
want want
you you
to to
think think
that that
you you
' '
re re
standing standing
at at
the the
edge edge
of of
a a
very very
unfamiliar unfamiliar
world world
. .
We we
have have
to to
have have
a a
very very
special special
technology technology
to to
get get
into into
that that
unfamiliar unfamiliar
world world
. .
We we
use use
the the
submarine submarine
Alvin alvin
and and
we we
use use
cameras camera
, ,
and and
the the
cameras camera
are be
something something
that that
Bill bill
Lange lange
has have
developed develop
with with
the the
help help
of of
Sony sony
. .
Marcel marcel
Proust proust
said say
, ,
" "
The the
true true
voyage voyage
of of
discovery discovery
is be
not not
so so
much much
in in
seeking seek
new new
landscapes landscape
as as
in in
having have
new new
eyes eye
. .
" "
People people
that that
have have
partnered partner
with with
us us
have have
given give
us us
new new
eyes eye
, ,
not not
only only
on on
what what
exists exist
— -
the the
new new
landscapes landscape
at at
the the
bottom bottom
of of
the the
sea sea
— -
but but
also also
how how
we we
think think
about about
life life
on on
the the
planet planet
itself itself
. .
Here here
' '
s s
a a
jelly jelly
. .
It it
' '
s s
one one
of of
my my
favorites favorite
, ,
because because
it it
' '
s s
got get
all all
sorts sort
of of
working work
parts part
. .
This this
turns turn
out out
to to
be be
the the
longest long
creature creature
in in
the the
oceans ocean
. .
It it
gets get
up up
to to
about about
150 @card@
feet foot
long long
. .
But but
see see
all all
those those
different different
working working
things thing
? ?
I i
love love
that that
kind kind
of of
stuff stuff
. .
It it
' '
s s
got get
these these
fishing fishing
lures lure
on on
the the
bottom bottom
. .
They they
' '
re re
going go
up up
and and
down down
. .
It it
' '
s s
got get
tentacles tentacle
dangling dangle
, ,
swirling swirl
around around
like like
that that
. .
It it
' '
s s
a a
colonial colonial
animal animal
. .
These these
are be
all all
individual individual
animals animal
banding band
together together
to to
make make
this this
one one
creature creature
. .
And and
it it
' '
s s
got get
these these
jet jet
thrusters thruster
up up
in in
front front
that that
it it
' '
ll ll
use use
in in
a a
moment moment
, ,
and and
a a
little little
light light
. .
If if
you you
take take
all all
the the
big big
fish fish
and and
schooling schooling
fish fish
and and
all all
that that
, ,
put put
them them
on on
one one
side side
of of
the the
scale scale
, ,
put put
all all
the the
jelly-type jelly-type
of of
animals animal
on on
the the
other other
side side
, ,
those those
guys guy
win win
hands hand
down down
. .
Most most
of of
the the
biomass biomass
in in
the the
ocean ocean
is be
made make
out out
of of
creatures creature
like like
this this
. .
Here here
' '
s s
the the
X-wing x-wing
death death
jelly jelly
. .
The the
bioluminescence bioluminescence
— -
they they
use use
the the
lights light
for for
attracting attract
mates mate
and and
attracting attract
prey prey
and and
communicating communicate
. .
We we
couldn couldn
' '
t t
begin begin
to to
show show
you you
our our
archival archival
stuff stuff
from from
the the
jellies jelly
. .
They they
come come
in in
all all
different different
sizes size
and and
shapes shape
. .
Bill bill
Lange lange
: :
We we
tend tend
to to
forget forget
about about
the the
fact fact
that that
the the
ocean ocean
is be
miles mile
deep deep
on on
average average
, ,
and and
that that
we we
' '
re re
real real
familiar familiar
with with
the the
animals animal
that that
are be
in in
the the
first first
200 @card@
or or
300 @card@
feet foot
, ,
but but
we we
' '
re re
not not
familiar familiar
with with
what what
exists exist
from from
there there
all all
the the
way way
down down
to to
the the
bottom bottom
. .
And and
these these
are be
the the
types type
of of
animals animal
that that
live live
in in
that that
three- three-
dimensional dimensional
space space
, ,
that that
micro-gravity micro-gravity
environment environment
that that
we we
really really
haven haven
' '
t t
explored explore
. .
You you
hear hear
about about
giant giant
squid squid
and and
things thing
like like
that that
, ,
but but
some some
of of
these these
animals animal
get get
up up
to to
be be
approximately approximately
140 @card@
, ,
160 @card@
feet foot
long long
. .
They they
' '
re re
very very
little little
understood understand
. .
DG dg
: :
This this
is be
one one
of of
them them
, ,
another another
one one
of of
our our
favorites favorite
, ,
because because
it it
' '
s s
a a
little little
octopod octopod
. .
You you
can can
actually actually
see see
through through
his his
head head
. .
And and
here here
he he
is be
, ,
flapping flap
with with
his his
ears ear
and and
very very
gracefully gracefully
going go
up up
. .
We we
see see
those those
at at
all all
depths depth
and and
even even
at at
the the
greatest great
depths depth
. .
They they
go go
from from
a a
couple couple
of of
inches inch
to to
a a
couple couple
of of
feet foot
. .
They they
come come
right right
up up
to to
the the
submarine submarine
— -
they they
' '
ll ll
put put
their their
eyes eye
right right
up up
to to
the the
window window
and and
peek peek
inside inside
the the
sub sub
. .
This this
is be
really really
a a
world world
within within
a a
world world
, ,
and and
we we
' '
re re
going go
to to
show show
you you
two two
. .
In in
this this
case case
, ,
we we
' '
re re
passing pass
down down
through through
the the
mid-ocean mid-ocean
and and
we we
see see
creatures creature
like like
this this
. .
This this
is be
kind kind
of of
like like
an an
undersea undersea
rooster rooster
. .
This this
guy guy
, ,
that that
looks look
incredibly incredibly
formal formal
, ,
in in
a a
way way
. .
And and
then then
one one
of of
my my
favorites favorite
. .
What what
a a
face face
! !
This this
is be
basically basically
scientific scientific
data datum
that that
you you
' '
re re
looking look
at at
. .
It it
' '
s s
footage footage
that that
we we
' '
ve ve
collected collect
for for
scientific scientific
purposes purpose
. .
And and
that that
' '
s s
one one
of of
the the
things thing
that that
Bill bill
' '
s s
been be
doing do
, ,
is be
providing provide
scientists scientist
with with
this this
first first
view view
of of
animals animal
like like
this this
, ,
in in
the the
world world
where where
they they
belong belong
. .
They they
don don
' '
t t
catch catch
them them
in in
a a
net net
. .
They they
' '
re re
actually actually
looking look
at at
them them
down down
in in
that that
world world
. .
We we
' '
re re
going go
to to
take take
a a
joystick joystick
, ,
sit sit
in in
front front
of of
our our
computer computer
, ,
on on
the the
Earth earth
, ,
and and
press press
the the
joystick joystick
forward forward
, ,
and and
fly fly
around around
the the
planet planet
. .
We we
' '
re re
going go
to to
look look
at at
the the
mid-ocean mid-ocean
ridge ridge
, ,
a a
40 @card@
, ,
000-mile 000-mile
long long
mountain mountain
range range
. .
The the
average average
depth depth
at at
the the
top top
of of
it it
is be
about about
a a
mile mile
and and
a a
half half
. .
And and
we we
' '
re re
over over
the the
Atlantic atlantic
— -
that that
' '
s s
the the
ridge ridge
right right
there there
— -
but but
we we
' '
re re
going go
to to
go go
across across
the the
Caribbean caribbean
, ,
Central central
America america
, ,
and and
end end
up up
against against
the the
Pacific pacific
, ,
nine nine
degrees degree
north north
. .
We we
make make
maps map
of of
these these
mountain mountain
ranges range
with with
sound sound
, ,
with with
sonar sonar
, ,
and and
this this
is be
one one
of of
those those
mountain mountain
ranges range
. .
We we
' '
re re
coming come
around around
a a
cliff cliff
here here
on on
the the
right right
. .
The the
height height
of of
these these
mountains mountain
on on
either either
side side
of of
this this
valley valley
is be
greater great
than than
the the
Alps alp
in in
most most
cases case
. .
And and
there there
' '
s s
tens ten
of of
thousands thousand
of of
those those
mountains mountain
out out
there there
that that
haven haven
' '
t t
been be
mapped map
yet yet
. .
This this
is be
a a
volcanic volcanic
ridge ridge
. .
We we
' '
re re
getting get
down down
further further
and and
further further
in in
scale scale
. .
And and
eventually eventually
, ,
we we
can can
come come
up up
with with
something something
like like
this this
. .
This this
is be
an an
icon icon
of of
our our
robot robot
, ,
Jason jason
, ,
it it
' '
s s
called call
. .
And and
you you
can can
sit sit
in in
a a
room room
like like
this this
, ,
with with
a a
joystick joystick
and and
a a
headset headset
, ,
and and
drive drive
a a
robot robot
like like
that that
around around
the the
bottom bottom
of of
the the
ocean ocean
in in
real real
time time
. .
One one
of of
the the
things thing
we we
' '
re re
trying try
to to
do do
at at
Woods woods
Hole hole
with with
our our
partners partner
is be
to to
bring bring
this this
virtual virtual
world world
— -
this this
world world
, ,
this this
unexplored unexplored
region region
— -
back back
to to
the the
laboratory laboratory
. .
Because because
we we
see see
it it
in in
bits bit
and and
pieces piece
right right
now now
. .
We we
see see
it it
either either
as as
sound sound
, ,
or or
we we
see see
it it
as as
video video
, ,
or or
we we
see see
it it
as as
photographs photograph
, ,
or or
we we
see see
it it
as as
chemical chemical
sensors sensor
, ,
but but
we we
never never
have have
yet yet
put put
it it
all all
together together
into into
one one
interesting interesting
picture picture
. .
Here here
' '
s s
where where
Bill bill
' '
s s
cameras camera
really really
do do
shine shine
. .
This this
is be
what what
' '
s s
called call
a a
hydrothermal hydrothermal
vent vent
. .
And and
what what
you you
' '
re re
seeing see
here here
is be
a a
cloud cloud
of of
densely densely
packed packed
, ,
hydrogen-sulfide-rich hydrogen-sulfide-rich
water water
coming come
out out
of of
a a
volcanic volcanic
axis axis
on on
the the
sea sea
floor floor
. .
Gets get
up up
to to
600 @card@
, ,
700 @card@
degrees degree
F f
, ,
somewhere somewhere
in in
that that
range range
. .
So so
that that
' '
s s
all all
water water
under under
the the
sea sea
— -
a a
mile mile
and and
a a
half half
, ,
two two
miles mile
, ,
three three
miles mile
down down
. .
And and
we we
knew know
it it
was be
volcanic volcanic
back back
in in
the the
' '
60s 60s
, ,
' '
70s 70s
. .
And and
then then
we we
had have
some some
hint hint
that that
these these
things thing
existed exist
all all
along along
the the
axis axis
of of
it it
, ,
because because
if if
you you
' '
ve ve
got get
volcanism volcanism
, ,
water water
' '
s s
going go
to to
get get
down down
from from
the the
sea sea
into into
cracks crack
in in
the the
sea sea
floor floor
, ,
come come
in in
contact contact
with with
magma magma
, ,
and and
come come
shooting shoot
out out
hot hot
. .
We we
weren weren
' '
t t
really really
aware aware
that that
it it
would would
be be
so so
rich rich
with with
sulfides sulfide
, ,
hydrogen hydrogen
sulfides sulfide
. .
We we
didn didn
' '
t t
have have
any any
idea idea
about about
these these
things thing
, ,
which which
we we
call call
chimneys chimney
. .
This this
is be
one one
of of
these these
hydrothermal hydrothermal
vents vent
. .
Six six
hundred hundred
degree degree
F f
water water
coming come
out out
of of
the the
Earth earth
. .
On on
either either
side side
of of
us us
are be
mountain mountain
ranges range
that that
are be
higher high
than than
the the
Alps alp
, ,
so so
the the
setting setting
here here
is be
very very
dramatic dramatic
. .
BL bl
: :
The the
white white
material material
is be
a a
type type
of of
bacteria bacterium
that that
thrives thrive
at at
180 @card@
degrees degree
C c
. .
DG dg
: :
I i
think think
that that
' '
s s
one one
of of
the the
greatest great
stories story
right right
now now
that that
we we
' '
re re
seeing see
from from
the the
bottom bottom
of of
the the
sea sea
, ,
is be
that that
the the
first first
thing thing
we we
see see
coming come
out out
of of
the the
sea sea
floor floor
after after
a a
volcanic volcanic
eruption eruption
is be
bacteria bacterium
. .
And and
we we
started start
to to
wonder wonder
for for
a a
long long
time time
, ,
how how
did do
it it
all all
get get
down down
there there
? ?
What what
we we
find find
out out
now now
is be
that that
it it
' '
s s
probably probably
coming come
from from
inside inside
the the
Earth earth
. .
Not not
only only
is be
it it
coming come
out out
of of
the the
Earth earth
— -
so so
, ,
biogenesis biogenesis
made make
from from
volcanic volcanic
activity activity
— -
but but
that that
bacteria bacterium
supports support
these these
colonies colony
of of
life life
. .
The the
pressure pressure
here here
is be
4 @card@
, ,
000 @card@
pounds pound
per per
square square
inch inch
. .
A a
mile mile
and and
a a
half half
from from
the the
surface surface
to to
two two
miles mile
to to
three three
miles mile
— -
no no
sun sun
has have
ever ever
gotten get
down down
here here
. .
All all
the the
energy energy
to to
support support
these these
life life
forms form
is be
coming come
from from
inside inside
the the
Earth earth
— -
so so
, ,
chemosynthesis chemosynthesis
. .
And and
you you
can can
see see
how how
dense dense
the the
population population
is be
. .
These these
are be
called call
tube tube
worms worm
. .
BL bl
: :
These these
worms worm
have have
no no
digestive digestive
system system
. .
They they
have have
no no
mouth mouth
. .
But but
they they
have have
two two
types type
of of
gill gill
structures structure
. .
One one
for for
extracting extract
oxygen oxygen
out out
of of
the the
deep-sea deep-sea
water water
, ,
another another
one one
which which
houses house
this this
chemosynthetic chemosynthetic
bacteria bacterium
, ,
which which
takes take
the the
hydrothermal hydrothermal
fluid fluid
— -
that that
hot hot
water water
that that
you you
saw see
coming come
out out
of of
the the
bottom bottom
— -
and and
converts convert
that that
into into
simple simple
sugars sugar
that that
the the
tube tube
worm worm
can can
digest digest
. .
DG dg
: :
You you
can can
see see
, ,
here here
' '
s s
a a
crab crab
that that
lives live
down down
there there
. .
He he
' '
s s
managed manage
to to
grab grab
a a
tip tip
of of
these these
worms worm
. .
Now now
, ,
they they
normally normally
retract retract
as as
soon soon
as as
a a
crab crab
touches touch
them them
. .
Oh oh
! !
Good good
going go
. .
So so
, ,
as as
soon soon
as as
a a
crab crab
touches touch
them them
, ,
they they
retract retract
down down
into into
their their
shells shell
, ,
just just
like like
your your
fingernails fingernail
. .
There there
' '
s s
a a
whole whole
story story
being be
played play
out out
here here
that that
we we
' '
re re
just just
now now
beginning begin
to to
have have
some some
idea idea
of of
because because
of of
this this
new new
camera camera
technology technology
. .
BL bl
: :
These these
worms worm
live live
in in
a a
real real
temperature temperature
extreme extreme
. .
Their their
foot foot
is be
at at
about about
200 @card@
degrees degree
C c
and and
their their
head head
is be
out out
at at
three three
degrees degree
C c
, ,
so so
it it
' '
s s
like like
having have
your your
hand hand
in in
boiling boil
water water
and and
your your
foot foot
in in
freezing freezing
water water
. .
That that
' '
s s
how how
they they
like like
to to
live live
. .
DG dg
: :
This this
is be
a a
female female
of of
this this
kind kind
of of
worm worm
. .
And and
here here
' '
s s
a a
male male
. .
You you
watch watch
. .
It it
doesn doesn
' '
t t
take take
long long
before before
two two
guys guy
here here
— -
this this
one one
and and
one one
that that
will will
show show
up up
over over
here here
— -
start start
to to
fight fight
. .
Everything everything
you you
see see
is be
played play
out out
in in
the the
pitch pitch
black black
of of
the the
deep deep
sea sea
. .
There there
are be
never never
any any
lights light
there there
, ,
except except
the the
lights light
that that
we we
bring bring
. .
Here here
they they
go go
. .
On on
one one
of of
the the
last last
dive dive
series series
, ,
we we
counted count
200 @card@
species species
in in
these these
areas area
— -
198 @card@
were be
new new
, ,
new new
species specie
. .
BL bl
: :
One one
of of
the the
big big
problems problem
is be
that that
for for
the the
biologists biologist
working work
at at
these these
sites site
, ,
it it
' '
s s
rather rather
difficult difficult
to to
collect collect
these these
animals animal
. .
And and
they they
disintegrate disintegrate
on on
the the
way way
up up
, ,
so so
the the
imagery imagery
is be
critical critical
for for
the the
science science
. .
DG dg
: :
Two two
octopods octopod
at at
about about
two two
miles mile
depth depth
. .
This this
pressure pressure
thing thing
really really
amazes amaze
me me
— -
that that
these these
animals animal
can can
exist exist
there there
at at
a a
depth depth
with with
pressure pressure
enough enough
to to
crush crush
the the
Titanic titanic
like like
an an
empty empty
Pepsi pepsi
can can
. .
What what
we we
saw see
up up
till till
now now
was be
from from
the the
Pacific pacific
. .
This this
is be
from from
the the
Atlantic atlantic
. .
Even even
greater great
depth depth
. .
You you
can can
see see
this this
shrimp shrimp
is be
harassing harass
this this
poor poor
little little
guy guy
here here
, ,
and and
he he
' '
ll ll
bat bat
it it
away away
with with
his his
claw claw
. .
Whack whack
! !
And and
the the
same same
thing thing
' '
s s
going go
on on
over over
here here
. .
What what
they they
' '
re re
getting get
at at
is be
that that
— -
on on
the the
back back
of of
this this
crab crab
— -
the the
foodstuff foodstuff
here here
is be
this this
very very
strange strange
bacteria bacterium
that that
lives live
on on
the the
backs back
of of
all all
these these
animals animal
. .
And and
what what
these these
shrimp shrimp
are be
trying try
to to
do do
is be
actually actually
harvest harvest
the the
bacteria bacterium
from from
the the
backs back
of of
these these
animals animal
. .
And and
the the
crabs crab
don don
' '
t t
like like
it it
at at
all all
. .
These these
long long
filaments filament
that that
you you
see see
on on
the the
back back
of of
the the
crab crab
are be
actually actually
created create
by by
the the
product product
of of
that that
bacteria bacterium
. .
So so
, ,
the the
bacteria bacterium
grows grow
hair hair
on on
the the
crab crab
. .
On on
the the
back back
, ,
you you
see see
this this
again again
. .
The the
red red
dot dot
is be
the the
laser laser
light light
of of
the the
submarine submarine
Alvin alvin
to to
give give
us us
an an
idea idea
about about
how how
far far
away away
we we
are be
from from
the the
vents vent
. .
Those those
are be
all all
shrimp shrimp
. .
You you
see see
the the
hot hot
water water
over over
here here
, ,
here here
and and
here here
, ,
coming come
out out
. .
They they
' '
re re
clinging cling
to to
a a
rock rock
face face
and and
actually actually
scraping scrape
bacteria bacterium
off off
that that
rock rock
face face
. .
Here here
' '
s s
a a
tiny tiny
, ,
little little
vent vent
that that
' '
s s
come come
out out
of of
the the
side side
of of
that that
pillar pillar
. .
Those those
pillars pillar
get get
up up
to to
several several
stories story
. .
So so
here here
, ,
you you
' '
ve ve
got get
this this
valley valley
with with
this this
incredible incredible
alien alien
landscape landscape
of of
pillars pillar
and and
hot hot
springs spring
and and
volcanic volcanic
eruptions eruption
and and
earthquakes earthquake
, ,
inhabited inhabit
by by
these these
very very
strange strange
animals animal
that that
live live
only only
on on
chemical chemical
energy energy
coming come
out out
of of
the the
ground ground
. .
They they
don don
' '
t t
need need
the the
sun sun
at at
all all
. .
BL bl
: :
You you
see see
this this
white white
V-shaped v-shaped
mark mark
on on
the the
back back
of of
the the
shrimp shrimp
? ?
It it
' '
s s
actually actually
a a
light-sensing light-sensing
organ organ
. .
It it
' '
s s
how how
they they
find find
the the
hydrothermal hydrothermal
vents vent
. .
The the
vents vent
are be
emitting emit
a a
black black
body body
radiation radiation
— -
an an
IR ir
signature signature
— -
and and
so so
they they
' '
re re
able able
to to
find find
these these
vents vent
at at
considerable considerable
distances distance
. .
DG dg
: :
All all
this this
stuff stuff
is be
happening happen
along along
that that
40 @card@
, ,
000-mile 000-mile
long long
mountain mountain
range range
that that
we we
' '
re re
calling call
the the
ribbon ribbon
of of
life life
, ,
because because
just just
even even
today today
, ,
as as
we we
speak speak
, ,
there there
' '
s s
life life
being be
generated generate
there there
from from
volcanic volcanic
activity activity
. .
This this
is be
the the
first first
time time
we we
' '
ve ve
ever ever
tried try
this this
any any
place place
. .
We we
' '
re re
going go
to to
try try
to to
show show
you you
high high
definition definition
from from
the the
Pacific pacific
. .
We we
' '
re re
moving move
up up
one one
of of
these these
pillars pillar
. .
This this
one one
' '
s s
several several
stories story
tall tall
. .
In in
it it
, ,
you you
' '
ll ll
see see
that that
it it
' '
s s
a a
habitat habitat
for for
a a
lot lot
of of
different different
animals animal
. .
There there
' '
s s
a a
funny funny
kind kind
of of
hot hot
plate plate
here here
, ,
with with
vent vent
water water
coming come
out out
of of
it it
. .
So so
all all
of of
these these
are be
individual individual
homes home
for for
worms worm
. .
Now now
here here
' '
s s
a a
closer close
view view
of of
that that
community community
. .
Here here
' '
s s
crabs crab
here here
, ,
worms worm
here here
. .
There there
are be
smaller small
animals animal
crawling crawl
around around
. .
Here here
' '
s s
pagoda pagoda
structures structure
. .
I i
think think
this this
is be
the the
neatest-looking neatest-looking
thing thing
. .
I i
just just
can can
' '
t t
get get
over over
this this
— -
that that
you you
' '
ve ve
got get
these these
little little
chimneys chimney
sitting sit
here here
smoking smoking
away away
. .
This this
stuff stuff
is be
toxic toxic
as as
hell hell
, ,
by by
the the
way way
. .
You you
could could
never never
get get
a a
permit permit
to to
dump dump
this this
in in
the the
ocean ocean
, ,
and and
it it
' '
s s
coming come
out out
all all
from from
it it
. .
It it
' '
s s
unbelievable unbelievable
. .
It it
' '
s s
basically basically
sulfuric sulfuric
acid acid
, ,
and and
it it
' '
s s
being be
just just
dumped dump
out out
, ,
at at
incredible incredible
rates rate
. .
And and
animals animal
are be
thriving thrive
— -
and and
we we
probably probably
came come
from from
here here
. .
That that
' '
s s
probably probably
where where
we we
evolved evolve
from from
. .
BL bl
: :
This this
bacteria bacterium
that that
we we
' '
ve ve
been be
talking talk
about about
turns turn
out out
to to
be be
the the
most most
simplest simple
form form
of of
life life
found find
. .
There there
are be
a a
number number
of of
groups group
that that
are be
proposing propose
that that
life life
evolved evolve
at at
these these
vent vent
sites site
. .
Although although
the the
vent vent
sites site
are be
short-lived short-lived
— -
an an
individual individual
site site
may may
last last
only only
10 @card@
years year
or or
so so
— -
as as
an an
ecosystem ecosystem
they they
' '
ve ve
been be
stable stable
for for
millions million
— -
well well
, ,
billions billion
— -
of of
years year
. .
DG dg
: :
It it
works work
too too
well well
. .
You you
see see
there there
' '
re re
some some
fish fish
inside inside
here here
as as
well well
. .
There there
' '
s s
a a
fish fish
sitting sit
here here
. .
Here here
' '
s s
a a
crab crab
with with
his his
claw claw
right right
at at
the the
end end
of of
that that
tube tube
worm worm
, ,
waiting wait
for for
that that
worm worm
to to
stick stick
his his
head head
out out
. .
BL bl
: :
The the
biologists biologist
right right
now now
cannot can
explain explain
why why
these these
animals animal
are be
so so
active active
. .
The the
worms worm
are be
growing grow
inches inch
per per
week week
! !
DG dg
: :
I i
already already
said say
that that
this this
site site
, ,
from from
a a
human human
perspective perspective
, ,
is be
toxic toxic
as as
hell hell
. .
Not not
only only
that that
, ,
but but
on on
top top
— -
the the
lifeblood lifeblood
— -
that that
plumbing plumbing
system system
turns turn
off off
every every
year year
or or
so so
. .
Their their
plumbing plumbing
system system
turns turn
off off
, ,
so so
the the
sites site
have have
to to
move move
. .
And and
then then
there there
' '
s s
earthquakes earthquake
, ,
and and
then then
volcanic volcanic
eruptions eruption
, ,
on on
the the
order order
of of
one one
every every
five five
years year
, ,
that that
completely completely
wipes wipe
the the
area area
out out
. .
Despite despite
that that
, ,
these these
animals animal
grow grow
back back
in in
about about
a a
year year
' '
s s
time time
. .
You you
' '
re re
talking talk
about about
biodensities biodensity
and and
biodiversity biodiversity
, ,
again again
, ,
higher high
than than
the the
rainforest rainforest
that that
just just
springs spring
back back
to to
life life
. .
Is be
it it
sensitive sensitive
? ?
Yes yes
. .
Is be
it it
fragile fragile
? ?
No no
, ,
it it
' '
s s
not not
really really
very very
fragile fragile
. .
I i
' '
ll ll
end end
up up
with with
saying say
one one
thing thing
. .
There there
' '
s s
a a
story story
in in
the the
sea sea
, ,
in in
the the
waters water
of of
the the
sea sea
, ,
in in
the the
sediments sediment
and and
the the
rocks rock
of of
the the
sea sea
floor floor
. .
It it
' '
s s
an an
incredible incredible
story story
. .
What what
we we
see see
when when
we we
look look
back back
in in
time time
, ,
in in
those those
sediments sediment
and and
rocks rock
, ,
is be
a a
record record
of of
Earth earth
history history
. .
Everything everything
on on
this this
planet planet
— -
everything everything
— -
works work
by by
cycles cycle
and and
rhythms rhythm
. .
The the
continents continent
move move
apart apart
. .
They they
come come
back back
together together
. .
Oceans ocean
come come
and and
go go
. .
Mountains mountain
come come
and and
go go
. .
Glaciers glacier
come come
and and
go go
. .
El el
Nino nino
comes come
and and
goes go
. .
It it
' '
s s
not not
a a
disaster disaster
, ,
it it
' '
s s
rhythmic rhythmic
. .
What what
we we
' '
re re
learning learn
now now
, ,
it it
' '
s s
almost almost
like like
a a
symphony symphony
. .
It it
' '
s s
just just
like like
music music
— -
it it
really really
is be
just just
like like
music music
. .
And and
what what
we we
' '
re re
learning learning
now now
is be
that that
you you
can can
' '
t t
listen listen
to to
a a
five-billion-year five-billion-year
long long
symphony symphony
, ,
get get
to to
today today
and and
say say
, ,
" "
Stop stop
! !
We we
want want
tomorrow tomorrow
' '
s s
note note
to to
be be
the the
same same
as as
it it
was be
today today
. .
" "
It it
' '
s s
absurd absurd
. .
It it
' '
s s
just just
absurd absurd
. .
So so
, ,
what what
we we
' '
ve ve
got get
to to
learn learn
now now
is be
to to
find find
out out
where where
this this
planet planet
' '
s s
going go
at at
all all
these these
different different
scales scale
and and
work work
with with
it it
. .
Learn learn
to to
manage manage
it it
. .
The the
concept concept
of of
preservation preservation
is be
futile futile
. .
Conservation conservation
' '
s s
tougher tougher
, ,
but but
we we
can can
probably probably
get get
there there
. .
Thank thank
you you
very very
much much
. .
Thank thank
you you
. .
