Bruno bruno
security security
capabilities capability
will will
be be
permanent permanent
. .
Permanent permanent
deployments deployment
coming come
in in
the the
Baltic baltic
states state
, ,
for for
example example
, ,
forward forward
deployments deployment
in in
Poland poland
and and
Bulgaria bulgaria
and and
Romania romania
. .
And and
also also
an an
unwind unwind
of of
Europe europe
' '
s s
massive massive
energy energy
dependence dependence
: :
coal coal
, ,
oil oil
and and
most most
importantly importantly
, ,
gas gas
on on
Russia russia
. .
That that
does do
not not
make make
Russia russia
a a
global global
pariah pariah
because because
you you
can can
' '
t t
be be
a a
global global
pariah pariah
if if
the the
soon-to-be soon-to-be
most most
important important
economy economy
in in
the the
world world
, ,
China china
, ,
is be
actually actually
your your
bestie bestie
on on
the the
global global
stage stage
, ,
and and
that that
indeed indeed
continues continue
to to
be be
true true
despite despite
China china
' '
s s
efforts effort
to to
portray portray
themselves themselves
, ,
towards towards
Europe europe
at at
least least
, ,
as as
more more
neutral neutral
. .
We we
are be
going go
to to
see see
the the
Russians russians
as as
a a
supplicant supplicant
economically economically
, ,
in in
terms term
of of
energy energy
flows flow
, ,
financially financially
, ,
in in
terms term
of of
transactions transaction
, ,
and and
technologically technologically
, ,
perhaps perhaps
most most
important important
, ,
aligned align
with with
China china
. .
That that
has have
big big
geopolitical geopolitical
implications implication
long-term long-term
. .
Also also
, ,
a a
lot lot
of of
other other
developing develop
economies economy
, ,
like like
the the
Indians indians
, ,
like like
the the
Gulf gulf
states state
, ,
like like
Brazil brazil
, ,
are be
also also
not not
going go
to to
work work
with with
Russia russia
as as
a a
pariah pariah
. .
They they
' '
ll ll
continue continue
to to
engage engage
. .
Are be
there there
any any
silver silver
linings lining
? ?
And and
I i
think think
there there
are be
a a
few few
. .
Of of
course course
, ,
there there
is be
a a
much much
greater great
renewed renewed
purpose purpose
and and
mission mission
of of
NATO nato
. .
I i
mean mean
, ,
this this
is be
an an
organization organization
that that
just just
a a
couple couple
of of
years year
ago ago
, ,
France france
President president
Emmanuel emmanuel
Macron macron
referred refer
to to
as as
" "
brain-dead brain-dead
. .
" "
It it
was be
increasingly increasingly
drifting drift
in in
terms term
of of
its its
importance importance
. .
The the
Americans americans
were be
focusing focus
much much
more more
on on
Asia asia
, ,
the the
pivot pivot
. .
Not not
today today
. .
Today today
, ,
NATO nato
is be
purposeful purposeful
, ,
it it
' '
s s
aligned align
, ,
it it
' '
s s
consolidated consolidated
. .
it it
' '
s s
going go
to to
get get
more more
resources resource
, ,
not not
less less
. .
That that
' '
s s
also also
true true
of of
the the
European european
Union union
as as
a a
whole whole
, ,
even even
when when
we we
talk talk
about about
countries country
like like
Hungary hungary
and and
Poland poland
that that
have have
been be
much much
less less
aligned align
in in
terms term
of of
rule rule
of of
law law
, ,
in in
terms term
of of
an an
independent independent
judiciary judiciary
, ,
much much
more more
aligned align
in in
terms term
of of
the the
importance importance
of of
common common
values value
of of
Europe europe
compared compare
to to
that that
of of
what what
we we
' '
re re
seeing see
in in
Moscow moscow
. .
I i
mentioned mention
the the
German german
security security
and and
policy policy
shift shift
. .
The the
UK-EU uk-eu
relationship relationship
is be
much much
smoother smooth
and and
more more
functional functional
than than
at at
any any
point point
since since
Brexit brexit
process process
actually actually
started start
. .
And and
even even
the the
United united
States states
. .
I i
mean mean
, ,
if if
you you
watched watch
the the
State state
of of
the the
Union union
for for
a a
brief brief
moment moment
in in
time time
, ,
five five
or or
10 @card@
minutes minute
, ,
when when
all all
of of
the the
Democrats democrats
and and
Republicans republicans
were be
standing stand
and and
applauding applaud
together together
, ,
you you
could could
be be
forgiven forgive
for for
believing believe
that that
the the
United united
States states
had have
a a
functional functional
representative representative
democracy democracy
. .
Now now
I i
' '
m m
not not
sure sure
how how
long long
this this
is be
going go
to to
last last
, ,
but but
at at
least least
as as
of of
now now
, ,
leaders leader
of of
the the
Democratic democratic
and and
Republican republican
Party party
see see
Putin putin
as as
much much
more more
of of
a a
threat threat
, ,
an an
enemy enemy
, ,
than than
they they
do do
their their
opponents opponent
across across
the the
aisle aisle
in in
domestic domestic
politics politics
. .
And and
two two
weeks week
ago ago
, ,
that that
was be
not not
true true
. .
That that
' '
s s
significant significant
. .
Final final
silver silver
lining lining
, ,
and and
I i
wish wish
it it
was be
more more
of of
one one
, ,
but but
the the
Chinese chinese
, ,
as as
much much
as as
they they
are be
strategically strategically
aligned align
with with
Russia russia
and and
with with
the the
person person
of of
President president
Putin putin
, ,
they they
do do
not not
want want
a a
second second
Cold cold
War war
. .
And and
they they
would would
rather rather
a a
negotiated negotiate
settlement settlement
. .
They they
' '
re re
not not
willing willing
to to
push push
very very
hard hard
for for
it it
. .
But but
they they
certainly certainly
do do
not not
see see
a a
radical radical
decoupling decoupling
of of
the the
Russian russian
, ,
and and
potentially potentially
the the
Chinese chinese
economy economy
, ,
from from
the the
rest rest
of of
the the
world world
, ,
from from
Europe europe
, ,
from from
the the
US us
, ,
from from
the the
advanced advanced
industrial industrial
democracies democracy
, ,
as as
in in
any any
way way
in in
their their
interest interest
. .
And and
ultimately ultimately
, ,
that that
does do
create create
at at
least least
some some
buffer buffer
, ,
some some
guardrail guardrail
on on
how how
much much
this this
is be
likely likely
to to
escalate escalate
as as
a a
conflict conflict
going go
forward forward
. .
BG bg
: :
I i
want want
to to
make make
a a
step step
back back
and and
unpack unpack
some some
of of
that that
, ,
maybe maybe
starting start
with with
a a
question question
that that
relates relate
to to
your your
last last
point point
and and
is be
probably probably
on on
the the
mind mind
of of
many many
. .
And and
it it
is be
: :
Is be
there there
still still
some some
real real
space space
for for
negotiation negotiation
? ?
Is be
there there
still still
a a
potential potential
relationship relationship
between between
Russia russia
and and
Ukraine ukraine
? ?
IB ib
: :
The the
foreign foreign
ministers minister
of of
Russia russia
and and
Ukraine ukraine
just just
met meet
recently recently
in in
Turkey turkey
. .
It it
was be
as as
much much
of of
a a
non-event non-event
as as
the the
three three
preceding preceding
negotiations negotiation
of of
more more
junior junior
representatives representative
of of
their their
teams team
on on
the the
Belarus belarus
border border
. .
The the
one one
thing thing
that that
has have
been be
accomplished accomplish
to to
a a
small small
degree degree
has have
been be
humanitarian humanitarian
corridors corridor
, ,
extending extend
out out
of of
a a
number number
of of
Ukrainian ukrainian
cities city
that that
are be
being be
pounded pound
by by
Russian russian
military military
. .
That that
' '
s s
because because
the the
Ukrainians ukrainians
are be
interested interested
in in
protecting protect
their their
civilians civilian
, ,
and and
the the
Russians russians
are be
interested interested
in in
taking take
a a
lot lot
of of
territory territory
without without
necessarily necessarily
having have
to to
kill kill
so so
many many
Ukrainians ukrainians
, ,
that that
could could
cause cause
problems problem
for for
them them
internationally internationally
as as
well well
as as
domestically domestically
inside inside
Russia russia
. .
But but
that that
is be
nowhere nowhere
close close
to to
a a
negotiated negotiate
settlement settlement
. .
Now now
, ,
I i
mean mean
, ,
everyone everyone
I i
know know
that that
' '
s s
involved involve
in in
the the
negotiations negotiation
right right
now now
responds respond
that that
the the
President president
Putin putin
himself himself
is be
hell-bent hell-bent
on on
taking take
Kyiv kyiv
and and
on on
removing remove
Zelenskyy zelenskyy
from from
power power
. .
Now now
I i
think think
, ,
and and
by by
the the
way way
, ,
they they
' '
re re
getting get
quite quite
close close
to to
being be
able able
to to
accomplish accomplish
that that
militarily militarily
on on
the the
ground ground
. .
I i
think think
within within
the the
next next
couple couple
of of
weeks week
, ,
certainly certainly
, ,
it it
looks look
very very
likely likely
. .
A a
couple couple
of of
points point
here here
. .
One one
, ,
there there
is be
no no
reason reason
to to
put put
any any
stock stock
in in
anything anything
that that
the the
Russians russians
are be
saying say
publicly publicly
in in
terms term
of of
their their
diplomacy diplomacy
. .
They they
lied lie
to to
the the
face face
of of
every every
world world
leader leader
about about
the the
invasion invasion
that that
they they
said say
they they
were be
not not
going go
to to
do do
into into
Ukraine ukraine
. .
And and
then then
just just
today today
, ,
Foreign foreign
Minister minister
Sergey sergey
Lavrov lavrov
publicly publicly
said say
, ,
well well
, ,
the the
Russians russians
didn didn
' '
t t
attack attack
Ukraine ukraine
. .
I i
mean mean
, ,
this this
is be
Orwellian orwellian
stuff stuff
, ,
right right
? ?
So so
first first
of of
all all
, ,
do do
not not
report report
on on
Russian russian
public public
statements statement
as as
if if
they they
bear bear
any any
semblance semblance
to to
reality reality
on on
the the
ground ground
. .
Secondarily secondarily
, ,
this this
looks look
like like
a a
huge huge
loss loss
for for
Putin putin
right right
now now
. .
He he
understands understand
it it
, ,
and and
I i
think think
he he
would would
have have
a a
hard hard
time time
, ,
even even
with with
his his
control control
of of
information information
, ,
spinning spin
this this
to to
his his
public public
without without
removing remove
Zelenskyy zelenskyy
, ,
without without
the the
" "
de-Nazification de-nazification
, ,
" "
as as
he he
calls call
it it
-- --
which which
is be
an an
obscenity obscenity
in in
an an
environment environment
where where
the the
Ukrainian ukrainian
president president
is be
actually actually
Jewish jewish
-- --
the the
disarmament disarmament
of of
Ukraine ukraine
, ,
and and
of of
course course
, ,
the the
ability ability
of of
the the
Russians russians
to to
change change
how how
they they
feel feel
about about
Ukraine ukraine
as as
a a
threat threat
to to
the the
Russian russian
homeland homeland
. .
BG bg
: :
What what
level level
of of
support support
can can
we we
give give
Ukraine ukraine
militarily militarily
, ,
intel intel
, ,
economic economic
, ,
before before
Putin putin
considers consider
taking take
a a
strike strike
on on
a a
NATO nato
country country
? ?
IB ib
: :
Well well
, ,
it it
' '
s s
interesting interest
the the
way way
you you
framed frame
that that
, ,
Bruno bruno
. .
Because because
I i
mean mean
, ,
I i
think think
that that
Putin putin
is be
already already
considering consider
strikes strike
on on
NATO nato
countries country
. .
I i
mean mean
, ,
there there
were be
massive massive
attacks attack
, ,
cyberattacks cyberattack
and and
disinformation disinformation
attacks attack
, ,
by by
Russia russia
against against
NATO nato
countries country
with with
reckless reckless
abandon abandon
over over
the the
course course
of of
the the
past past
years year
. .
And and
in in
fact fact
, ,
when when
President president
Biden biden
met meet
with with
Putin putin
in in
Geneva geneva
back back
in in
June june
, ,
it it
seems seem
like like
years year
and and
years year
ago ago
at at
this this
point point
, ,
Biden biden
set set
the the
agenda agenda
. .
Ukraine ukraine
was be
largely largely
not not
discussed discuss
, ,
but but
what what
was be
discussed discuss
was be
cyberattacks cyberattack
on on
critical critical
infrastructure infrastructure
. .
Because because
you you
may may
remember remember
Bruno bruno
, ,
that that
meeting meeting
came come
right right
after after
the the
cyber cyber
attacks attack
against against
the the
Colonial colonial
Pipeline pipeline
. .
And and
the the
Russians russians
after after
that that
indeed indeed
pulled pull
back back
on on
supporting support
those those
attacks attack
by by
their their
criminal criminal
cyber cyber
syndicates syndicate
. .
I i
expect expect
those those
attacks attack
to to
restart restart
in in
very very
short short
order order
against against
NATO nato
countries country
. .
I i
also also
believe believe
that that
the the
fact fact
that that
the the
West west
is be
sending send
weapons weapon
to to
Ukraine ukraine
and and
is be
providing provide
real-time real-time
intelligence intelligence
reports report
on on
the the
disposition disposition
of of
Russian russian
troops troop
on on
the the
ground ground
in in
Ukraine ukraine
to to
better well
allow allow
the the
Ukrainians ukrainians
to to
defend defend
themselves themselves
and and
blow blow
the the
Russians russians
up up
, ,
that that
is be
considered consider
by by
the the
Russians russians
to to
be be
an an
act act
of of
war war
, ,
and and
they they
will will
retaliate retaliate
. .
And and
how how
they they
retaliate retaliate
is be
the the
question question
. .
I i
don don
' '
t t
think think
they they
' '
re re
going go
to to
send send
troops troop
into into
Poland poland
. .
But but
you you
know know
, ,
when when
the the
Americans americans
under under
Reagan reagan
were be
providing provide
that that
kind kind
of of
support support
to to
the the
mujahideen mujahideen
to to
help help
them them
defeat defeat
the the
Soviets soviets
in in
Afghanistan afghanistan
, ,
the the
Soviets soviets
saw see
that that
as as
an an
act act
of of
war war
, ,
and and
they they
engaged engage
in in
acts act
of of
terrorism terrorism
against against
the the
mujahideen mujahideen
in in
Pakistan pakistan
. .
And and
I i
absolutely absolutely
think think
that that
that that
is be
on on
the the
table table
in in
terms term
of of
front front
line line
NATO nato
countries country
especially especially
, ,
like like
Poland poland
, ,
like like
the the
Baltic baltic
states state
, ,
like like
Bulgaria bulgaria
, ,
Romania romania
. .
Would would
that that
be be
considered consider
an an
Article article
V @card@
attack attack
? ?
Would would
that that
force force
NATO nato
countries country
to to
strike strike
the the
Russians russians
back back
? ?
I i
' '
m m
not not
sure sure
it it
would would
. .
Not not
directly directly
, ,
not not
militarily militarily
. .
So so
I i
mean mean
, ,
I i
do do
think think
that that
the the
fact fact
that that
the the
NATO nato
countries country
see see
there there
is be
some some
sort sort
of of
a a
big big
red red
line line
between between
sending send
troops troop
in in
, ,
for for
example example
, ,
and and
doing do
a a
no-fly no-fly
zone zone
because because
that that
could could
cause cause
World world
War war
III iii
, ,
but but
everything everything
short short
of of
that that
is be
just just
a a
proxy proxy
war war
. .
The the
Russians russians
don don
' '
t t
see see
it it
that that
way way
. .
And and
that that
gives give
the the
Russians russians
some some
advantage advantage
tactically tactically
in in
terms term
of of
their their
willingness willingness
to to
escalate escalate
. .
BG bg
: :
You you
' '
re re
describing describe
a a
spiral spiral
of of
escalation escalation
here here
that that
will will
touch touch
the the
globe globe
and and
not not
only only
Ukraine ukraine
, ,
not not
only only
the the
eastern eastern
flank flank
of of
Europe europe
, ,
which which
means mean
that that
not not
only only
this this
war war
has have
ripple ripple
effects effect
everywhere everywhere
, ,
but but
this this
is be
also also
starting start
a a
sort sort
of of
realignment realignment
of of
the the
global global
geopolitical geopolitical
situation situation
and and
context context
. .
To to
me me
, ,
it it
has have
been be
very very
striking striking
how how
Europe europe
and and
the the
US us
have have
kind kind
of of
moved move
very very
fast fast
in in
a a
cohesive cohesive
way way
. .
And and
it it
has have
chosen choose
, ,
after after
years year
of of
prioritizing prioritizing
the the
economics economics
in in
their their
international international
and and
global global
dealings dealings
, ,
it it
' '
s s
chosen choose
to to
put put
politics politics
over over
markets market
. .
It it
has have
adopted adopt
sanctions sanction
that that
will will
hurt hurt
Russia russia
, ,
but but
will will
also also
hurt hurt
Western western
businesses business
. .
It it
' '
s s
the the
discussion discussion
about about
decoupling decoupling
that that
you you
put put
forward forward
before before
, ,
an an
active active
kind kind
of of
fencing fence
out out
of of
the the
Russian russian
economy economy
. .
Talk talk
to to
us us
about about
how how
do do
you you
see see
this this
decoupling decoupling
playing play
out out
. .
IB ib
: :
Yeah yeah
, ,
I i
mean mean
, ,
I i
do do
think think
that that
for for
the the
Europeans europeans
, ,
this this
is be
a a
permanent permanent
move move
. .
I i
mean mean
, ,
I i
' '
ve ve
spoken speak
to to
top top
leaders leader
in in
the the
German german
government government
who who
tell tell
me me
that that
Nord nord
Stream stream
was be
a a
strategic strategic
mistake mistake
, ,
and and
they they
understand understand
it it
. .
Who who
say say
that that
, ,
you you
know know
, ,
Scholz scholz
making make
this this
speech speech
from from
the the
Social social
Democratic democratic
Party party
on on
the the
center center
left leave
is be
the the
equivalent equivalent
of of
Nixon nixon
going go
to to
China china
. .
No no
one one
else else
could could
have have
made make
that that
move move
. .
But but
having have
made make
it it
, ,
everyone everyone
is be
on on
board board
. .
The the
popularity popularity
in in
Germany germany
, ,
even even
given give
the the
massive massive
economic economic
consequences consequence
, ,
is be
extraordinary extraordinary
and and
is be
across across
the the
board board
. .
And and
what what
they they
need need
to to
do do
now now
is be
ensure ensure
that that
the the
diversification diversification
of of
fossil fossil
fuels fuel
in in
the the
near near
term term
away away
from from
Russia russia
, ,
towards towards
Qatar qatar
and and
Azerbaijan azerbaijan
and and
even even
, ,
you you
know know
, ,
sort sort
of of
the the
United united
States states
for for
LNG lng
, ,
can can
be be
done do
as as
fast fast
as as
humanly humanly
possible possible
. .
And and
that that
further further
, ,
even even
though though
it it
' '
s s
going go
to to
cost cost
a a
lot lot
, ,
some some
of of
it it
will will
be be
uneconomic uneconomic
, ,
the the
move move
towards towards
renewables renewables
actually actually
picks pick
up up
and and
is be
faster fast
. .
The the
Italians italian
, ,
Mario mario
Draghi draghi
, ,
I i
think think
his his
shift shift
in in
strategic strategic
orientation orientation
that that
they they
will will
do do
, ,
this this
is be
his his
" "
whatever whatever
it it
takes take
" "
moment moment
. .
He he
had have
that that
in in
response response
to to
the the
2008 @card@
financial financial
crisis crisis
as as
the the
head head
of of
the the
European european
Central central
Bank bank
, ,
and and
that that
made make
him him
" "
Super super
Mario mario
. .
" "
This this
is be
making make
him him
Super super
Mario mario
as as
the the
Italian italian
prime prime
minister minister
. .
This this
is be
the the
" "
whatever whatever
it it
takes take
" "
moment moment
for for
the the
Italians italian
who who
never never
make make
public public
statements statement
that that
undermine undermine
their their
economic economic
, ,
their their
commercial commercial
interests interest
like like
this this
in in
such such
a a
strategic strategic
way way
. .
The the
French french
, ,
of of
course course
, ,
have have
less less
to to
be be
concerned concern
about about
in in
the the
sense sense
that that
most most
of of
their their
energy energy
comes come
from from
nuclear nuclear
power power
and and
is be
domestic domestic
. .
So so
they they
are be
not not
as as
affected affect
directly directly
by by
a a
cut-off cut-off
from from
Russia russia
. .
And and
also also
because because
Macron macron
fancies fancy
himself himself
, ,
especially especially
as as
the the
leader leader
of of
the the
European european
Commission commission
this this
year year
, ,
the the
rotating rotate
leadership leadership
, ,
occupying occupy
the the
presidency presidency
, ,
but but
also also
with with
his his
elections election
coming come
up up
, ,
and and
just just
given give
his his
personal personal
belief belief
that that
he he
can can
drive drive
diplomacy diplomacy
, ,
I i
believe believe
that that
even even
after after
Kyiv kyiv
falls fall
and and
after after
Zelenskyy zelenskyy
is be
either either
killed kill
or or
forced force
out out
that that
the the
Americans americans
will will
not not
want want
to to
engage engage
in in
direct direct
diplomacy diplomacy
, ,
the the
Germans germans
probably probably
won win
' '
t t
. .
The the
French french
will will
. .
And and
by by
the the
way way
, ,
the the
Chinese chinese
will will
too too
. .
And and
I i
do do
believe believe
that that
there there
is be
a a
potential potential
, ,
and and
this this
is be
a a
danger danger
for for
the the
cohesiveness cohesiveness
of of
the the
West west
, ,
that that
the the
Chinese chinese
and and
Macron macron
end end
up up
being be
the the
post-Kyiv post-kyiv
Normandy normandy
format format
of of
diplomacy diplomacy
. .
That that
' '
s s
something something
that that
the the
Americans americans
and and
the the
Germans germans
right right
now now
are be
starting start
to to
worry worry
about about
quite quite
a a
bit bit
. .
Now now
that that
' '
s s
the the
European european
shift shift
. .
And and
I i
think think
, ,
as as
I i
said say
, ,
I i
think think
it it
' '
s s
permanent permanent
. .
I i
believe believe
the the
UK uk
is be
in in
that that
camp camp
as as
well well
. .
I i
' '
m m
not not
so so
sure sure
the the
United united
States states
is be
going go
to to
be be
as as
committed commit
for for
as as
long long
a a
term term
. .
It it
doesn doesn
' '
t t
affect affect
the the
Americans americans
as as
much much
economically economically
, ,
it it
doesn doesn
' '
t t
affect affect
the the
Americans americans
as as
much much
in in
terms term
of of
a a
direct direct
security security
issue issue
. .
None none
of of
those those
refugees refugee
are be
coming come
to to
the the
United united
States states
. .
But but
also also
American american
inequality inequality
, ,
American american
political political
polarization polarization
and and
dysfunction dysfunction
is be
so so
much much
greater great
than than
what what
you you
experience experience
on on
the the
continent continent
in in
Europe europe
. .
So so
the the
potential potential
that that
in in
six six
months month
' '
time time
or or
in in
two two
years year
' '
time time
, ,
as as
we we
' '
re re
thinking thinking
about about
the the
2024 @card@
election election
, ,
that that
the the
Americans americans
have have
largely largely
forgotten forget
about about
this this
Russia russia
issue issue
instead instead
, ,
are be
focusing focus
once once
again again
on on
domestic domestic
political political
opponents opponent
as as
principal principal
adversaries adversary
, ,
which which
deeply deeply
undermines undermine
NATO nato
, ,
much much
more more
than than
anything anything
that that
would would
come come
from from
the the
Europeans europeans
, ,
I i
think think
that that
is be
a a
real real
open open
question question
going go
forward forward
that that
is be
perhaps perhaps
as as
significant significant
as as
the the
question question
of of
where where
the the
Chinese chinese
go go
. .
BG bg
: :
Let let
me me
pick pick
up up
on on
the the
point point
you you
made make
about about
energy energy
, ,
because because
somehow somehow
Putin putin
' '
s s
calculus calculus
can can
really really
change change
if if
Russian russian
oil oil
and and
gas gas
stops stop
flowing flow
to to
Europe europe
, ,
if if
it it
becomes become
part part
of of
the the
sanctions sanction
, ,
right right
? ?
And and
this this
war war
indeed indeed
can can
kind kind
of of
be be
read read
as as
a a
war war
about about
energy energy
. .
Selling sell
energy energy
funds fund
it it
for for
Russia russia
, ,
being be
dependent dependent
on on
Russian russian
energy energy
makes make
the the
European european
response response
more more
constrained constrain
. .
Rising rise
energy energy
insecurity insecurity
, ,
rising rise
energy energy
cost cost
may may
or or
probably probably
will will
destabilize destabilize
European european
politics politics
and and
economy economy
in in
the the
coming come
months month
. .
How how
would would
you you
look look
at at
this this
from from
the the
perspective perspective
of of
energy energy
, ,
and and
is be
there there
any any
likelihood likelihood
that that
Russian russian
oil oil
and and
gas gas
is be
going go
to to
stop stop
flowing flow
, ,
either either
because because
Putin putin
cuts cut
it it
or or
the the
Europeans europeans
sanction sanction
it it
? ?
IB ib
: :
Yeah yeah
, ,
or or
because because
it it
' '
s s
blown blow
up up
in in
some some
of of
the the
transit transit
in in
Ukraine ukraine
? ?
I i
mean mean
, ,
keep keep
in in
mind mind
, ,
so so
much much
of of
the the
gas gas
transit transit
is be
going go
through through
large large
pipeline pipeline
networks network
, ,
which which
have have
some some
redundancy redundancy
across across
all all
of of
Ukraine ukraine
. .
But but
there there
' '
s s
a a
big big
war war
that that
' '
s s
going go
on on
right right
there there
, ,
and and
lots lot
of of
people people
that that
could could
have have
incentive incentive
to to
create create
problems problem
. .
The the
Americans americans
, ,
of of
course course
, ,
the the
Canadians canadian
, ,
have have
