Il	NP	Il
une	NN	une
idée	JJ	<unknown>
de	NP	de
ce	NN	ce
que	NP	que
représente	NP	<unknown>
l	NN	l
'	POS	'
industrie	NN	<unknown>
textile	NN	textile
sur	NN	sur
le	DT	le
volume	NN	volume
total	NN	total
de	NP	de
gaz	NP	Gaz
à	NP	<unknown>
effet	NP	<unknown>
de	NP	de
serre	NN	<unknown>
?	SENT	?
A	DT	a
priori	NN	priori
,	,	,
ce	NN	ce
n	NN	n
'	POS	'
est	NP	est
pas	NN	pas
incompatible	NN	incompatible
.	SENT	.
Il	NP	Il
y	NP	y
a	DT	a
des	FW	des
entreprises	VBZ	entreprise
qui	NNS	qui
plantent	JJ	<unknown>
des	NP	des
arbres	NNS	<unknown>
pour	VBP	pour
compenser	NN	<unknown>
le	FW	le
carbone	NN	<unknown>
qu	NN	qu
'	POS	'
elles	NP	<unknown>
émettent	NP	<unknown>
dans	NNS	dan
l	NN	l
'	POS	'
atmosphère	NN	<unknown>
.	SENT	.
J	NP	J
'	POS	'
ai	NN	ai
même	NN	<unknown>
entendu	NN	<unknown>
parler	NN	<unknown>
d	NN	d
'	POS	'
un	JJ	<unknown>
mec	NN	mec
qui	NNS	qui
aurait	NN	<unknown>
trouvé	JJ	<unknown>
la	NP	la
solution	NN	solution
à	NP	<unknown>
la	NP	la
pollution	NN	pollution
plastique	JJ	<unknown>
des	NP	des
océans	NNS	<unknown>
.	SENT	.
Donc	NP	<unknown>
des	NP	des
solutions	NNS	solution
technologiques	NNS	<unknown>
qui	NNS	qui
permettent	JJ	<unknown>
de	NP	de
concilier	NN	<unknown>
croissance	NN	<unknown>
des	NP	des
entreprises	NNS	entreprise
et	CC	et
protection	NN	protection
de	FW	de
l	NN	l
'	POS	'
environnement	NN	<unknown>
,	,	,
on	IN	on
dirait	NN	<unknown>
qu	NN	qu
'	POS	'
il	JJ	<unknown>
y	NN	y
en	IN	en
a	DT	a
plein	NN	<unknown>
,	,	,
non	JJ	non
?	SENT	?
Mais	NP	Mais
du	FW	du
coup	FW	coup
,	,	,
pourquoi	NN	<unknown>
est-ce	NN	<unknown>
que	NP	que
le	FW	le
climat	NN	<unknown>
continue	VBP	continue
de	FW	de
se	FW	se
réchauffer	NN	réchauffer
?	SENT	?
Pourquoi	NP	<unknown>
est-ce	NP	<unknown>
qu	NP	Qu
'	POS	'
à	NP	<unknown>
chaque	NN	<unknown>
minute	NN	minute
,	,	,
un	VBG	<unknown>
peu	NP	peu
plus	CC	plus
de	NP	de
plastique	NP	<unknown>
est	NP	est
déversé	NN	<unknown>
dans	NNS	dan
les	FW	les
océans	NNS	<unknown>
?	SENT	?
Pourquoi	NP	<unknown>
la	NP	la
biodiversité	NNS	<unknown>
continue	VBP	continue
à	NP	<unknown>
s	NNS	<unknown>
'	POS	'
effondrer	NN	<unknown>
à	NP	<unknown>
un	NN	un
rythme	NN	<unknown>
inquiétant	NN	<unknown>
?	SENT	?
Est-ce	NP	<unknown>
que	NP	que
ces	NN	ces
solutions	NNS	solution
sont	NN	<unknown>
suffisantes	NNS	suffisante
?	SENT	?
Pour	NP	Pour
répondre	NP	<unknown>
à	NP	<unknown>
cette	NN	<unknown>
question	NN	question
,	,	,
j	NN	j
'	POS	'
ai	NN	ai
lu	NN	lu
pas	NNS	pa
mal	JJ	Mal
de	NP	de
livres	NNS	livre
sur	NN	sur
le	DT	le
sujet	NN	<unknown>
et	FW	et
des	FW	des
rapports	NNS	rapport
d	NN	d
'	POS	'
experts	NNS	expert
,	,	,
et	FW	et
le	FW	le
document	NN	document
qui	NNS	qui
,	,	,
à	NP	<unknown>
mon	NN	mon
sens	NNS	sen
,	,	,
résume	NN	<unknown>
le	FW	le
mieux	NP	<unknown>
la	FW	la
situation	NN	situation
actuelle	NN	<unknown>
,	,	,
c	LS	c
'	POS	'
est	NP	est
une	NN	une
lettre	NN	<unknown>
que	NP	que
des	NP	des
chercheurs	NNS	<unknown>
ont	JJ	<unknown>
écrite	NP	<unknown>
suite	NN	suite
aux	NP	aux
marches	NNS	march
pour	VBP	pour
le	DT	le
climat	NP	<unknown>
de	NP	de
mars	VBZ	mar
2019	CD	@card@
.	SENT	.
Et	NP	et
je	NP	Je
vais	NNS	<unknown>
vous	JJ	<unknown>
en	IN	en
lire	NNS	lira
un	JJ	<unknown>
extrait	NN	extrait
.	SENT	.
«	)	«
En	IN	en
l	NN	l
'	POS	'
état	NP	<unknown>
actuel	NP	<unknown>
de	NP	de
nos	NNS	no
connaissances	NNS	<unknown>
,	,	,
il	JJ	<unknown>
n	NN	n
'	POS	'
existe	NN	<unknown>
pas	NNS	pa
de	NP	de
solutions	NNS	solution
technologiques	NNS	<unknown>
qui	NNS	qui
permettent	JJ	<unknown>
à	NP	<unknown>
toute	NN	<unknown>
la	NP	la
planète	NP	<unknown>
d	SYM	d
'	POS	'
avoir	NN	<unknown>
notre	NN	<unknown>
niveau	NP	<unknown>
de	NP	de
confort	NN	<unknown>
actuel	NN	<unknown>
sans	IN	sans
mettre	NN	<unknown>
en	FW	en
péril	NP	<unknown>
le	FW	le
climat	NP	<unknown>
et	FW	et
le	FW	le
vivant	NN	vivant
.	SENT	.
Et	FW	et
les	FW	les
gens	NN	gens
qui	NNS	qui
vous	JJ	<unknown>
disent	NP	<unknown>
le	FW	le
contraire	NP	<unknown>
se	FW	se
trompent	NN	<unknown>
par	NN	par
ignorance	NN	ignorance
,	,	,
ont	JJ	<unknown>
fait	NN	fait
des	FW	des
erreurs	NP	<unknown>
de	FW	de
calcul	NP	<unknown>
,	,	,
ou	NP	Ou
mentent	JJ	<unknown>
par	NN	par
intérêt	NN	<unknown>
.	SENT	.
»	(	»
OK	UH	OK
,	,	,
ces	JJ	<unknown>
solutions	NNS	solution
technologiques	NNS	<unknown>
n	NN	n
'	POS	'
existent	JJ	existent
pas	NN	pas
encore	NN	encore
,	,	,
mais	NN	<unknown>
il	NN	il
y	NN	y
a	DT	a
tellement	NN	<unknown>
de	FW	de
monde	NN	<unknown>
qui	NNS	qui
bosse	NN	<unknown>
sur	NN	sur
le	DT	le
sujet	NN	<unknown>
qu	NN	qu
'	POS	'
il	JJ	<unknown>
y	NN	y
a	DT	a
quand	NN	<unknown>
même	NN	<unknown>
une	NN	une
chance	NN	chance
qu	NN	qu
'	''	'
on	IN	on
les	FW	les
trouve	NN	<unknown>
,	,	,
non	JJ	non
?	SENT	?
Elle	NP	Elle
est	NP	est
de	NP	de
quoi	NP	Quoi
,	,	,
cette	NN	<unknown>
chance	NN	chance
?	SENT	?
Un	NP	Un
pourcent	NN	<unknown>
?	SENT	?
Soyons	NP	<unknown>
optimistes	NNS	<unknown>
,	,	,
10	CD	@card@
%	NN	%
,	,	,
10	CD	@card@
%	NN	%
de	NP	de
chances	NNS	chance
qu	NN	qu
'	''	'
on	IN	on
trouve	NN	<unknown>
une	NN	une
solution	NN	solution
technologique	NP	<unknown>
au	FW	au
dérèglement	NN	<unknown>
climatique	NN	<unknown>
.	SENT	.
Est-ce	NP	<unknown>
qu	NP	Qu
'	POS	'
on	IN	on
prend	NN	<unknown>
le	FW	le
risque	JJ	risque
?	SENT	?
Imaginez	NP	<unknown>
,	,	,
vous	JJ	<unknown>
arrivez	NN	<unknown>
avec	NN	<unknown>
votre	NN	<unknown>
famille	NN	famille
devant	NN	<unknown>
un	NN	un
avion	NN	<unknown>
bringuebalant	NN	<unknown>
et	CC	et
là	NN	<unknown>
,	,	,
le	DT	le
pilote	JJ	<unknown>
vous	JJ	<unknown>
dit	NN	dit
qu	NN	qu
'	POS	'
il	JJ	<unknown>
y	NN	y
a	DT	a
10	CD	@card@
%	NN	%
de	NP	de
chances	NNS	chance
qu	NN	qu
'	POS	'
il	NNS	<unknown>
arrive	VBP	arrive
entier	NP	<unknown>
à	NP	<unknown>
destination	NN	destination
.	SENT	.
Est-ce	NP	<unknown>
que	NP	que
vous	JJ	<unknown>
montez	NN	<unknown>
dedans	NN	dedans
?	SENT	?
Même	NP	<unknown>
s	NNS	<unknown>
'	POS	'
il	NN	il
y	NN	y
avait	NN	<unknown>
50	CD	@card@
%	NN	%
ou	NN	ou
80	CD	@card@
%	NN	%
de	NP	de
chances	NNS	chance
que	NP	que
le	FW	le
trajet	NP	<unknown>
se	FW	se
passe	JJ	passe
bien	NN	<unknown>
,	,	,
ni	NNS	ni
vous	JJ	<unknown>
,	,	,
ni	NN	ni
moi	NNS	moi
,	,	,
ni	NP	Ni
personne	NP	personne
ne	RB	ne
montons	NNS	<unknown>
avec	NN	<unknown>
notre	NN	<unknown>
famille	NN	famille
dans	NNS	dan
cet	NN	cet
avion	NN	<unknown>
,	,	,
On	IN	on
ne	RB	ne
peut	JJ	<unknown>
pas	NN	pas
compter	NN	<unknown>
sur	NN	sur
la	NP	la
technologie	NN	<unknown>
pour	NN	pour
nous	NN	nous
sauver	NN	<unknown>
face	NN	face
à	NP	<unknown>
l	NN	l
'	POS	'
urgence	NN	<unknown>
climatique	NN	<unknown>
actuelle	NN	<unknown>
.	SENT	.
La	NP	La
seule	NN	<unknown>
chose	VBD	choose
qu	NN	qu
'	''	'
on	IN	on
puisse	NN	<unknown>
faire	NN	faire
,	,	,
c	LS	c
'	POS	'
est	NP	est
de	NP	de
produire	NN	<unknown>
et	CC	et
consommer	NN	<unknown>
moins	NNS	<unknown>
.	SENT	.
Quoi	NP	Quoi
qu	NP	Qu
'	POS	'
on	IN	on
vous	JJ	<unknown>
raconte	NN	raconte
,	,	,
quelles	NP	<unknown>
que	NP	que
soient	NP	<unknown>
les	FW	les
merveilles	NP	merveilles
high-tech	JJ	high-tech
agitées	NNS	<unknown>
devant	NN	<unknown>
vous	JJ	<unknown>
,	,	,
il	JJ	<unknown>
y	NN	y
a	DT	a
une	JJ	<unknown>
équation	NP	<unknown>
inchangeable	NN	<unknown>
:	:	:
produire	NNS	<unknown>
,	,	,
c	LS	c
'	POS	'
est	NP	est
polluer	NN	<unknown>
.	SENT	.
Il	NP	Il
vaudra	NP	vaudra
toujours	NNS	<unknown>
mieux	NN	<unknown>
produire	NN	<unknown>
un	NNS	<unknown>
t-shirt	JJ	<unknown>
que	NP	que
deux	NN	deux
,	,	,
même	NN	<unknown>
si	NP	si
les	FW	les
deux	NN	deux
sont	NN	<unknown>
en	IN	en
coton	NP	<unknown>
bio	NP	bio
,	,	,
même	NN	<unknown>
si	NP	si
on	IN	on
plante	NP	Plante
des	NP	des
arbres	NNS	<unknown>
derrière	NN	<unknown>
.	SENT	.
Du	FW	du
coup	FW	coup
,	,	,
il	JJ	<unknown>
faut	NN	<unknown>
vraiment	NN	vraiment
changer	NN	changer
notre	NP	Notre
état	NP	<unknown>
d	SYM	d
'	POS	'
esprit	NN	esprit
.	SENT	.
On	IN	on
ne	RB	ne
peut	NN	<unknown>
plus	CC	plus
considérer	NN	<unknown>
que	NP	que
la	FW	la
croissance	NP	croissance
des	FW	des
entreprises	NP	<unknown>
est	NP	est
une	NN	une
réussite	NN	<unknown>
.	SENT	.
C	NP	C
'	POS	'
est	NP	est
cet	NP	cet
état	NP	<unknown>
d	SYM	d
'	POS	'
esprit	NN	esprit
qui	NNS	qui
nous	NN	nous
a	DT	a
mis	NNS	mi
dans	NNS	dan
la	DT	la
situation	NN	situation
de	FW	de
crise	NN	<unknown>
climatique	NN	<unknown>
actuelle	NN	<unknown>
.	SENT	.
La	NP	La
dernière	NP	<unknown>
fois	NP	<unknown>
que	NP	que
j	NN	j
'	''	'
ai	VBZ	ai
dit	NP	<unknown>
ça	NP	ça
,	,	,
un	NN	un
mec	NN	mec
s	NN	S
'	POS	'
est	NP	est
levé	NN	<unknown>
et	CC	et
m	NN	m
'	''	'
a	DT	a
interpellée	NN	<unknown>
.	SENT	.
Il	FW	Il
a	DT	a
fait	NN	fait
un	VBG	<unknown>
truc	NN	<unknown>
du	FW	du
genre	NN	genre
:	:	:
«	)	«
Vous	NP	<unknown>
êtes	NP	<unknown>
bien	NP	Bien
mignonne	NN	mignonne
avec	NN	<unknown>
votre	NN	<unknown>
discours	NNS	discour
"	''	"
décroissance-sauvons	NNS	<unknown>
la	NP	la
planète-écologie	NP	planète-écologie
"	''	"
,	,	,
mais	NNS	<unknown>
vous	JJ	<unknown>
être	NP	<unknown>
bien	NP	Bien
contente	NP	contente
d	SYM	d
'	''	'
en	IN	en
vendre	NP	<unknown>
des	NP	des
pulls	VBZ	pull
!	SENT	!
Moi	NP	Moi
,	,	,
j	NN	j
'	POS	'
ai	NN	ai
l	NN	l
'	POS	'
impression	NN	impression
que	NP	que
votre	NN	<unknown>
discours	NNS	discour
,	,	,
c	LS	c
'	POS	'
est	NP	est
une	NN	une
manière	NN	<unknown>
de	NP	de
vous	JJ	<unknown>
différencier	NN	<unknown>
des	FW	des
autres	NNS	<unknown>
marques	NNS	marque
pour	VBP	pour
au	FW	au
final	JJ	final
vendre	NN	<unknown>
plus	NN	plus
.	SENT	.
»	(	»
Avouez	NP	<unknown>
que	NP	que
c	SYM	c
'	POS	'
est	NP	est
exactement	NN	<unknown>
ce	NN	ce
que	NP	que
vous	JJ	<unknown>
êtes	NP	<unknown>
en	FW	en
train	NN	train
de	FW	de
vous	JJ	<unknown>
dire	FW	dire
.	SENT	.
Franchement	NP	<unknown>
,	,	,
je	NP	Je
comprends	NNS	<unknown>
,	,	,
je	VBG	<unknown>
ne	RB	ne
vous	JJ	<unknown>
en	IN	en
veux	NN	<unknown>
pas	NNS	pa
!	SENT	!
On	IN	on
l	NN	l
'	''	'
a	DT	a
vu	NN	vu
mille	NN	<unknown>
fois	NNS	<unknown>
,	,	,
toutes	VBZ	<unknown>
ces	NN	ces
marques	NNS	marque
qui	NNS	qui
prétendent	JJ	<unknown>
soutenir	NN	<unknown>
les	FW	les
luttes	NNS	<unknown>
contre	VBP	<unknown>
le	DT	le
racisme	NN	<unknown>
,	,	,
l	NN	l
'	POS	'
homophobie	NN	<unknown>
,	,	,
le	DT	le
sexisme	NN	<unknown>
,	,	,
la	NP	la
grossophobie	NP	grossophobie
,	,	,
juste	JJ	<unknown>
pour	NN	pour
faire	NN	faire
parler	NN	<unknown>
d	NN	d
'	POS	'
elles	NNS	<unknown>
et	CC	et
derrière	NN	<unknown>
vendre	NN	<unknown>
plus	NN	plus
.	SENT	.
Et	FW	et
en	FW	en
ce	NN	ce
moment	NN	moment
,	,	,
c	LS	c
'	POS	'
est	NP	est
ce	NN	ce
qui	NP	qui
se	FW	se
passe	JJ	passe
avec	NN	<unknown>
l	NN	l
'	POS	'
écologie	NP	écologie
.	SENT	.
Dans	NP	Dans
la	FW	la
plupart	NN	<unknown>
des	FW	des
entreprises	NNS	entreprise
,	,	,
l	NN	l
'	POS	'
environnement	NN	<unknown>
est	NP	est
vu	NN	vu
comme	NN	comme
une	JJ	<unknown>
manière	NN	<unknown>
d	SYM	d
'	''	'
augmenter	NN	augmenter
les	FW	les
ventes	NNS	<unknown>
.	SENT	.
Et	FW	et
le	FW	le
paradoxe	NNS	<unknown>
,	,	,
c	LS	c
'	POS	'
est	NP	est
que	NP	que
plus	CC	plus
les	FW	les
ventes	NNS	<unknown>
augmentent	JJ	<unknown>
,	,	,
plus	CC	plus
la	DT	la
crise	NN	<unknown>
climatique	NN	<unknown>
s	NN	S
'	POS	'
aggrave	NN	aggrave
.	SENT	.
Du	FW	du
coup	FW	coup
,	,	,
je	NP	Je
comprends	NP	<unknown>
que	NP	que
vous	JJ	<unknown>
ayez	NN	<unknown>
envie	NN	<unknown>
de	NP	de
prendre	NP	<unknown>
avec	NP	<unknown>
des	NP	des
pincettes	NNS	<unknown>
un	NN	un
discours	VBZ	discour
de	NP	de
protection	NN	protection
de	NP	de
l	NN	l
'	POS	'
environnement	NN	<unknown>
qui	NNS	qui
sort	NN	sort
de	FW	de
la	FW	la
bouche	NN	<unknown>
d	NN	d
'	POS	'
une	JJ	<unknown>
cheffe	NN	<unknown>
d	SYM	d
'	POS	'
entreprise	NN	entreprise
.	SENT	.
En	IN	en
fait	NN	fait
,	,	,
on	IN	on
arrive	VB	arrive
même	NN	<unknown>
à	NP	<unknown>
se	FW	se
demander	NN	demander
si	NP	si
ça	NP	ça
existe	NN	<unknown>
,	,	,
une	JJ	<unknown>
entreprise	NN	entreprise
qui	NNS	qui
ne	RB	ne
cherche	NN	<unknown>
pas	NNS	pa
la	DT	la
croissance	NN	<unknown>
à	NP	<unknown>
tout	NN	tout
prix	NN	<unknown>
.	SENT	.
Pourquoi	NP	<unknown>
est-ce	NP	<unknown>
que	NP	que
mon	NN	mon
entreprise	NN	entreprise
serait	NN	<unknown>
différente	NN	différente
?	SENT	?
Pour	VB	pour
une	NN	une
raison	NN	raison
simple	JJ	simple
:	:	:
dans	NNS	dan
mon	NN	mon
entreprise	NN	entreprise
,	,	,
on	IN	on
a	DT	a
compris	NP	<unknown>
que	NP	que
la	NP	la
taille	NN	taille
optimale	NN	<unknown>
n	NN	n
'	POS	'
est	NP	est
pas	NN	pas
la	NP	la
taille	NN	taille
maximale	NN	<unknown>
.	SENT	.
Grossir	NP	<unknown>
plus	CC	plus
ne	RB	ne
nous	NN	nous
rendra	NN	<unknown>
ni	NNS	ni
plus	CC	plus
efficaces	NNS	<unknown>
,	,	,
ni	NNS	ni
plus	CC	plus
performants	NNS	performant
,	,	,
ni	NNS	ni
plus	CC	plus
heureux	NNS	<unknown>
.	SENT	.
Nous	NN	nous
sommes	NNS	<unknown>
cinq	NP	Cinq
à	NP	<unknown>
travailler	NN	<unknown>
pour	NN	pour
ma	NN	ma
marque	NN	marque
de	NP	de
vêtements	NNS	<unknown>
,	,	,
et	NP	et
ça	NP	ça
suffit	NN	<unknown>
pour	NN	pour
fabriquer	NN	<unknown>
et	CC	et
distribuer	NN	<unknown>
des	FW	des
vêtements	NNS	<unknown>
de	NP	de
qualité	NN	<unknown>
tout	NN	tout
en	IN	en
étant	NP	<unknown>
rentables	NNS	rentable
et	CC	et
heureux	NNS	<unknown>
d	SYM	d
'	POS	'
aller	JJR	all
au	FW	au
boulot	NN	<unknown>
chaque	NN	<unknown>
matin	JJ	matin
.	SENT	.
À	NP	<unknown>
quoi	NP	Quoi
bon	NP	Bon
être	NP	<unknown>
cent	NN	cent
fois	NNS	<unknown>
plus	CC	plus
nombreux	NNS	<unknown>
?	SENT	?
À	NP	<unknown>
quoi	NP	Quoi
bon	NP	Bon
être	NP	<unknown>
cent	NN	cent
fois	NNS	<unknown>
plus	CC	plus
gros	NNS	<unknown>
?	SENT	?
La	DT	la
réussite	NN	<unknown>
des	FW	des
entreprises	NNS	entreprise
n	NN	n
'	POS	'
est	NP	est
pas	NN	pas
leur	NN	<unknown>
croissance	NN	<unknown>
.	SENT	.
C	NP	C
'	POS	'
est	NP	est
à	NP	<unknown>
cause	NN	cause
de	NP	de
leur	NN	<unknown>
obsession	NN	obsession
pour	VBP	pour
la	DT	la
croissance	NN	<unknown>
qu	NN	qu
'	''	'
on	IN	on
est	NP	est
dans	NNS	dan
l	NN	l
'	POS	'
état	NP	<unknown>
d	NN	d
'	POS	'
urgence	NN	<unknown>
climatique	NN	<unknown>
actuel	NN	<unknown>
.	SENT	.
Pourtant	JJ	<unknown>
,	,	,
je	JJ	<unknown>
crois	NN	<unknown>
qu	NN	qu
'	''	'
on	IN	on
a	DT	a
encore	NN	encore
besoin	NN	<unknown>
des	NP	des
entreprises	VBZ	entreprise
.	SENT	.
On	IN	on
a	DT	a
besoin	NN	<unknown>
d	NN	d
'	POS	'
elles	NNS	<unknown>
pour	VBP	pour
nous	NN	nous
chauffer	NN	chauffer
,	,	,
nous	NN	nous
