Adam	NP	Adam
after	IN	after
hour	NN	hour
every	DT	every
day	NN	day
that	WDT	that
made	VBD	make
him	PP	him
think	VBP	think
maybe	RB	maybe
,	,	,
you	PP	you
know	VBP	know
,	,	,
in	IN	in
his	PP$	his
brain	NN	brain
something	NN	something
was	VBD	be
stirring	VBG	stir
,	,	,
some	DT	some
sort	NN	sort
of	IN	of
musical	JJ	musical
gift	NN	gift
.	SENT	.
Here	RB	here
'	''	'
s	VBG	<unknown>
a	DT	a
little	JJ	little
picture	NN	picture
of	IN	of
Derek	NP	Derek
going	VBG	go
up	RP	up
now	RB	now
,	,	,
when	WRB	when
you	PP	you
were	VBD	be
with	IN	with
your	PP$	your
nanny	NN	nanny
.	SENT	.
Now	RB	now
Nanny	NP	Nanny
'	POS	'
s	JJ	<unknown>
great	JJ	great
other	JJ	other
insight	NN	insight
was	VBD	be
to	TO	to
think	VB	think
,	,	,
perhaps	RB	perhaps
we	PP	we
should	MD	should
get	VB	get
Derek	NP	Derek
something	NN	something
to	TO	to
play	VB	play
,	,	,
and	CC	and
sure	RB	sure
enough	RB	enough
,	,	,
she	PP	she
dragged	VBD	drag
this	DT	this
little	JJ	little
keyboard	NN	keyboard
out	RP	out
of	IN	of
the	DT	the
loft	NN	loft
,	,	,
never	RB	never
thinking	VBG	think
really	RB	really
that	DT	that
anything	NN	anything
much	RB	much
would	MD	would
come	VB	come
of	IN	of
it	PP	it
.	SENT	.
But	CC	but
Derek	NP	Derek
,	,	,
your	PP$	your
tiny	JJ	tiny
hand	NN	hand
must	MD	must
have	VB	have
gone	VBN	go
out	RP	out
to	TO	to
that	DT	that
thing	NN	thing
and	CC	and
actually	RB	actually
bashed	VBD	bash
it	PP	it
,	,	,
bashed	VBD	bash
it	PP	it
so	RB	so
hard	RB	hard
they	PP	they
thought	VBD	think
it	PP	it
was	VBD	be
going	VBG	go
to	TO	to
break	VB	break
.	SENT	.
But	CC	but
out	IN	out
of	IN	of
all	PDT	all
the	DT	the
bashing	NN	bashing
,	,	,
after	IN	after
a	DT	a
few	JJ	few
months	NNS	month
,	,	,
emerged	VBD	emerge
the	DT	the
most	RBS	most
fantastic	JJ	fantastic
music	NN	music
,	,	,
and	CC	and
I	PP	I
think	VBP	think
there	EX	there
was	VBD	be
just	RB	just
a	DT	a
miracle	NN	miracle
moment	NN	moment
,	,	,
really	RB	really
,	,	,
Derek	NP	Derek
,	,	,
when	WRB	when
you	PP	you
realized	VBD	realize
that	IN	that
all	PDT	all
the	DT	the
sounds	NNS	sound
you	PP	you
hear	VBP	hear
in	IN	in
the	DT	the
world	NN	world
out	IN	out
there	EX	there
is	VBZ	be
something	NN	something
that	IN	that
you	PP	you
can	MD	can
copy	VB	copy
on	IN	on
the	DT	the
keyboard	NN	keyboard
.	SENT	.
That	DT	that
was	VBD	be
the	DT	the
great	JJ	great
eureka	NN	<unknown>
moment	NN	moment
.	SENT	.
Now	RB	now
,	,	,
not	RB	not
being	VBG	be
able	JJ	able
to	TO	to
see	VB	see
meant	VBN	mean
,	,	,
of	IN	of
course	NN	course
,	,	,
that	WDT	that
you	PP	you
taught	VBD	teach
yourself	PP	yourself
.	SENT	.
Derek	NP	Derek
Paravicini	NP	Paravicini
:	:	:
I	PP	I
taught	VBD	teach
myself	PP	myself
to	TO	to
play	VB	play
.	SENT	.
AO	NN	AO
:	:	:
You	PP	you
did	VBD	do
teach	VB	teach
yourself	PP	yourself
to	TO	to
play	VB	play
,	,	,
and	CC	and
as	IN	as
a	DT	a
consequence	NN	consequence
,	,	,
playing	VBG	play
the	DT	the
piano	NN	piano
for	IN	for
you	PP	you
,	,	,
Derek	NP	Derek
,	,	,
was	VBD	be
a	DT	a
lot	NN	lot
of	IN	of
knuckles	NNS	knuckle
and	CC	and
karate	NN	karate
chops	NNS	chop
,	,	,
and	CC	and
even	RB	even
a	DT	a
bit	NN	bit
of	IN	of
nose	NN	nose
going	VBG	go
on	IN	on
in	IN	in
there	RB	there
.	SENT	.
And	CC	and
now	RB	now
,	,	,
here	RB	here
'	''	'
s	NNS	<unknown>
what	WDT	what
Nanny	NP	Nanny
did	VBD	do
also	RB	also
do	VB	do
was	VBD	be
to	TO	to
press	VB	press
the	DT	the
record	NN	record
button	NN	button
on	IN	on
one	CD	one
of	IN	of
those	DT	those
little	JJ	little
early	JJ	early
tape	NN	tape
recorders	NNS	recorder
that	IN	that
they	PP	they
had	VBD	have
,	,	,
and	CC	and
this	DT	this
is	VBZ	be
a	DT	a
wonderful	JJ	wonderful
tape	NN	tape
,	,	,
now	RB	now
,	,	,
of	IN	of
Derek	NP	Derek
playing	VBG	play
when	WRB	when
you	PP	you
were	VBD	be
four	CD	four
years	NNS	year
old	JJ	old
.	SENT	.
DP	NP	DP
:	:	:
"	``	"
Molly	NP	Molly
Malone	NP	Malone
.	SENT	.
"	``	"
AO	NP	AO
:	:	:
It	PP	it
wasn	NNS	<unknown>
'	POS	'
t	NN	t
actually	RB	actually
"	''	"
Cockles	NNS	cockle
and	CC	and
Mussels	NNS	mussel
.	SENT	.
"	''	"
This	DT	this
one	CD	one
is	VBZ	be
"	``	"
English	NP	English
Country	NP	Country
Garden	NP	Garden
.	SENT	.
"	``	"
DP	NP	DP
:	:	:
"	``	"
English	NP	English
Country	NP	Country
Garden	NP	Garden
.	SENT	.
"	``	"
AO	NP	AO
:	:	:
There	RB	there
you	PP	you
are	VBP	be
.	SENT	.
I	PP	I
think	VBP	think
that	IN	that
'	POS	'
s	NN	S
just	RB	just
fantastic	JJ	fantastic
.	SENT	.
You	PP	you
know	VBP	know
,	,	,
there	EX	there
'	''	'
s	VBG	<unknown>
this	DT	this
little	JJ	little
child	NN	child
who	WP	who
can	MD	can
'	''	'
t	NN	t
see	VBP	see
,	,	,
can	MD	can
'	''	'
t	NN	t
really	RB	really
understand	VBP	understand
much	RB	much
about	IN	about
the	DT	the
world	NN	world
,	,	,
has	VBZ	have
no	RB	no
one	CD	one
in	IN	in
the	DT	the
family	NN	family
who	WP	who
plays	VBZ	play
an	DT	an
instrument	NN	instrument
,	,	,
and	CC	and
yet	RB	yet
he	PP	he
taught	VBD	teach
himself	PP	himself
to	TO	to
play	VB	play
that	DT	that
.	SENT	.
And	CC	and
as	IN	as
you	PP	you
can	MD	can
see	VB	see
from	IN	from
the	DT	the
picture	NN	picture
,	,	,
there	EX	there
was	VBD	be
quite	PDT	quite
a	DT	a
lot	NN	lot
of	IN	of
body	NN	body
action	NN	action
going	VBG	go
on	IN	on
while	IN	while
you	PP	you
were	VBD	be
playing	VBG	play
,	,	,
Derek	NP	Derek
.	SENT	.
Now	RB	now
,	,	,
along	RB	along
—	:	-
Derek	NP	Derek
and	CC	and
I	PP	I
met	VBD	meet
when	WRB	when
he	PP	he
was	VBD	be
four	CD	four
and	CC	and
a	DT	a
half	JJ	half
years	NNS	year
old	JJ	old
,	,	,
and	CC	and
at	IN	at
first	JJ	first
,	,	,
Derek	NP	Derek
,	,	,
I	PP	I
thought	VBD	think
you	PP	you
were	VBD	be
mad	JJ	mad
,	,	,
to	TO	to
be	VB	be
honest	JJ	honest
,	,	,
because	IN	because
when	WRB	when
you	PP	you
played	VBD	play
the	DT	the
piano	NN	piano
,	,	,
you	PP	you
seemed	VBD	seem
to	TO	to
want	VB	want
to	TO	to
play	VB	play
every	DT	every
single	JJ	single
note	NN	note
on	IN	on
the	DT	the
keyboard	NN	keyboard
,	,	,
and	CC	and
also	RB	also
you	PP	you
had	VBD	have
this	DT	this
little	JJ	little
habit	NN	habit
of	IN	of
hitting	VBG	hit
me	PP	me
out	RP	out
of	IN	of
the	DT	the
way	NN	way
.	SENT	.
So	RB	so
as	RB	as
soon	RB	soon
as	IN	as
I	PP	I
tried	VBD	try
to	TO	to
get	VB	get
near	IN	near
the	DT	the
piano	NN	piano
,	,	,
I	PP	I
was	VBD	be
firmly	RB	firmly
shoved	VBN	shove
off	RP	off
.	SENT	.
And	CC	and
having	VBG	have
said	VBN	say
to	TO	to
your	PP$	your
dad	NN	dad
,	,	,
Nic	NP	Nic
,	,	,
that	WDT	that
I	PP	I
would	MD	would
try	VB	try
to	TO	to
teach	VB	teach
you	PP	you
,	,	,
I	PP	I
was	VBD	be
then	RB	then
slightly	RB	slightly
confused	VBN	confuse
as	IN	as
to	TO	to
how	WRB	how
I	PP	I
might	MD	might
go	VB	go
about	RB	about
that	IN	that
if	IN	if
I	PP	I
wasn	NN	<unknown>
'	POS	'
t	NN	t
allowed	VBD	allow
near	IN	near
the	DT	the
piano	NN	piano
.	SENT	.
But	CC	but
after	IN	after
a	DT	a
while	NN	while
,	,	,
I	PP	I
thought	VBD	think
,	,	,
well	RB	well
,	,	,
the	DT	the
only	JJ	only
way	NN	way
is	VBZ	be
to	TO	to
just	RB	just
pick	VB	pick
you	PP	you
up	RP	up
,	,	,
shove	VB	shove
Derek	NP	Derek
over	RP	over
to	TO	to
the	DT	the
other	JJ	other
side	NN	side
of	IN	of
the	DT	the
room	NN	room
,	,	,
and	CC	and
in	IN	in
the	DT	the
10	CD	@card@
seconds	NNS	second
that	IN	that
I	PP	I
got	VBD	get
before	IN	before
Derek	NP	Derek
came	VBD	come
back	RB	back
,	,	,
I	PP	I
could	MD	could
just	RB	just
play	VB	play
something	NN	something
very	RB	very
quickly	RB	quickly
for	IN	for
him	PP	him
to	TO	to
learn	VB	learn
.	SENT	.
And	CC	and
in	IN	in
the	DT	the
end	NN	end
,	,	,
Derek	NP	Derek
,	,	,
I	PP	I
think	VBP	think
you	PP	you
agreed	VBD	agree
that	IN	that
we	PP	we
could	MD	could
actually	RB	actually
have	VB	have
some	DT	some
fun	NN	fun
playing	VBG	play
the	DT	the
piano	NN	piano
together	RB	together
.	SENT	.
As	IN	as
you	PP	you
can	MD	can
see	VB	see
,	,	,
there	EX	there
'	''	'
s	VBG	<unknown>
me	PP	me
in	IN	in
my	PP$	my
early	JJ	early
,	,	,
pre-marriage	JJ	<unknown>
days	NNS	day
with	IN	with
a	DT	a
brown	JJ	brown
beard	NN	beard
,	,	,
and	CC	and
little	JJ	little
Derek	NP	Derek
concentrating	VBG	concentrate
there	RB	there
.	SENT	.
I	PP	I
just	RB	just
realized	VBD	realize
this	DT	this
is	VBZ	be
going	VBG	go
to	TO	to
be	VB	be
recorded	VBN	record
,	,	,
isn	NP	isn
'	POS	'
t	NN	t
it	PP	it
?	SENT	?
Right	RB	right
.	SENT	.
Okay	JJ	okay
.	SENT	.
Now	RB	now
then	RB	then
,	,	,
by	IN	by
the	DT	the
age	NN	age
of	IN	of
10	CD	@card@
,	,	,
Derek	NP	Derek
really	RB	really
had	VBD	have
taken	VBN	take
the	DT	the
world	NN	world
by	IN	by
storm	NN	storm
.	SENT	.
This	DT	this
is	VBZ	be
a	DT	a
photo	NN	photo
of	IN	of
you	PP	you
,	,	,
Derek	NP	Derek
,	,	,
playing	VBG	play
at	IN	at
the	DT	the
Barbican	NN	barbican
with	IN	with
the	DT	the
Royal	NP	Royal
Philharmonic	NN	philharmonic
Pops	VBZ	pop
.	SENT	.
Basically	RB	basically
it	PP	it
was	VBD	be
just	RB	just
an	DT	an
exciting	JJ	exciting
journey	NN	journey
,	,	,
really	RB	really
.	SENT	.
And	CC	and
in	IN	in
those	DT	those
days	NNS	day
,	,	,
Derek	NP	Derek
,	,	,
you	PP	you
didn	NNS	<unknown>
'	POS	'
t	NN	t
speak	VBP	speak
very	RB	very
much	RB	much
,	,	,
and	CC	and
so	RB	so
there	EX	there
was	VBD	be
always	RB	always
a	DT	a
moment	NN	moment
of	IN	of
tension	NN	tension
as	IN	as
to	TO	to
whether	IN	whether
you	PP	you
'	POS	'
d	NN	d
actually	RB	actually
understood	VBD	understand
what	WP	what
it	PP	it
was	VBD	be
we	PP	we
were	VBD	be
going	VBG	go
to	TO	to
play	VB	play
and	CC	and
whether	IN	whether
you	PP	you
'	POS	'
d	NN	d
play	VB	play
the	DT	the
right	JJ	right
piece	NN	piece
in	IN	in
the	DT	the
right	JJ	right
key	NN	key
,	,	,
and	CC	and
all	PDT	all
that	DT	that
kind	NN	kind
of	IN	of
thing	NN	thing
.	SENT	.
But	CC	but
the	DT	the
orchestra	NN	orchestra
were	VBD	be
wowed	VBN	wow
as	IN	as
well	RB	well
,	,	,
and	CC	and
the	DT	the
press	NN	press
of	IN	of
the	DT	the
world	NN	world
were	VBD	be
fascinated	VBN	fascinate
by	IN	by
your	PP$	your
ability	NN	ability
to	TO	to
play	VB	play
these	DT	these
fantastic	JJ	fantastic
pieces	NNS	piece
.	SENT	.
Now	RB	now
the	DT	the
question	NN	question
is	VBZ	be
,	,	,
how	WRB	how
do	VBP	do
you	PP	you
do	VBP	do
it	PP	it
,	,	,
Derek	NP	Derek
?	SENT	?
And	CC	and
hopefully	RB	hopefully
we	PP	we
can	MD	can
show	VB	show
the	DT	the
audience	NN	audience
now	RB	now
how	WRB	how
it	PP	it
is	VBZ	be
you	PP	you
do	VBP	do
what	WP	what
you	PP	you
do	VBP	do
.	SENT	.
I	PP	I
think	VBP	think
that	IN	that
one	CD	one
of	IN	of
the	DT	the
first	JJ	first
things	NNS	thing
that	WDT	that
happened	VBD	happen
when	WRB	when
you	PP	you
were	VBD	be
very	RB	very
little	RB	little
,	,	,
Derek	NP	Derek
,	,	,
was	VBD	be
that	IN	that
by	IN	by
the	DT	the
time	NN	time
you	PP	you
were	VBD	be
two	CD	two
,	,	,
your	PP$	your
musical	JJ	musical
ear	NN	ear
had	VBD	have
already	RB	already
outstripped	VBN	outstrip
that	IN	that
of	IN	of
most	JJS	most
adults	NNS	adult
.	SENT	.
And	CC	and
so	RB	so
whenever	WRB	whenever
you	PP	you
heard	VBD	hear
any	DT	any
note	NN	note
at	IN	at
all	DT	all
—	:	-
if	IN	if
I	PP	I
just	RB	just
play	VBP	play
a	DT	a
random	JJ	random
note	NN	note
—	:	-
—	:	-
you	PP	you
knew	VBD	know
instantly	RB	instantly
what	WP	what
it	PP	it
was	VBD	be
,	,	,
and	CC	and
you	PP	you
'	POS	'
d	NN	d
got	VBD	get
the	DT	the
ability	NN	ability
as	IN	as
well	RB	well
to	TO	to
find	VB	find
that	DT	that
note	NN	note
on	IN	on
the	DT	the
piano	NN	piano
.	SENT	.
Now	RB	now
that	RB	that
'	''	'
s	NNS	<unknown>
called	VBD	call
perfect	JJ	perfect
pitch	NN	pitch
,	,	,
and	CC	and
some	DT	some
people	NNS	people
have	VBP	have
perfect	JJ	perfect
pitch	NN	pitch
for	IN	for
a	DT	a
few	JJ	few
white	JJ	white
notes	NNS	note
in	IN	in
the	DT	the
middle	NN	middle
of	IN	of
the	DT	the
piano	NN	piano
.	SENT	.
You	PP	you
can	MD	can
see	VB	see
how	WRB	how
—	:	-
you	PP	you
get	VBP	get
a	DT	a
sense	NN	sense
of	IN	of
playing	VBG	play
with	IN	with
Derek	NP	Derek
.	SENT	.
But	CC	but
Derek	NP	Derek
,	,	,
your	PP$	your
ear	NN	ear
is	VBZ	be
so	RB	so
much	RB	much
more	JJR	more
than	IN	than
that	DT	that
.	SENT	.
If	IN	if
I	PP	I
just	RB	just
put	VBD	put
the	DT	the
microphone	NN	microphone
down	RB	down
for	IN	for
a	DT	a
bit	NN	bit
,	,	,
I	PP	I
'	POS	'
m	NN	m
going	VBG	go
to	TO	to
play	VB	play
a	DT	a
cluster	NN	cluster
of	IN	of
notes	NNS	note
.	SENT	.
Those	DT	those
of	IN	of
you	PP	you
who	WP	who
can	MD	can
see	VB	see
will	MD	will
know	VB	know
how	WRB	how
many	JJ	many
notes	NNS	note
,	,	,
but	CC	but
Derek	NP	Derek
,	,	,
of	IN	of
course	NN	course
,	,	,
can	NN	can
'	POS	'
t	NN	t
.	SENT	.
Not	RB	not
only	RB	only
can	MD	can
you	PP	you
say	VB	say
how	WRB	how
many	JJ	many
notes	NNS	note
,	,	,
it	PP	it
'	POS	'
s	NNS	<unknown>
being	VBG	be
able	JJ	able
to	TO	to
play	VB	play
them	PP	them
all	RB	all
at	IN	at
the	DT	the
same	JJ	same
time	NN	time
.	SENT	.
Here	RB	here
we	PP	we
are	VBP	be
.	SENT	.
Well	RB	well
,	,	,
forget	VB	forget
the	DT	the
terminology	NN	terminology
,	,	,
Derek	NP	Derek
.	SENT	.
Fantastic	JJ	fantastic
.	SENT	.
And	CC	and
it	PP	it
'	POS	'
s	NN	S
that	IN	that
ability	NN	ability
,	,	,
that	DT	that
ability	NN	ability
to	TO	to
hear	VB	hear
simultaneous	JJ	simultaneous
sounds	NNS	sound
,	,	,
not	RB	not
only	RB	only
just	RB	just
single	JJ	single
sounds	NNS	sound
,	,	,
but	CC	but
when	WRB	when
a	DT	a
whole	JJ	whole
orchestra	NN	orchestra
is	VBZ	be
playing	VBG	play
,	,	,
Derek	NP	Derek
,	,	,
you	PP	you
can	MD	can
hear	VB	hear
every	DT	every
note	NN	note
,	,	,
and	CC	and
instantly	RB	instantly
,	,	,
through	IN	through
all	PDT	all
those	DT	those
hours	NNS	hour
and	CC	and
hours	NNS	hour
of	IN	of
practice	NN	practice
,	,	,
reproduce	VB	reproduce
those	DT	those
on	IN	on
the	DT	the
keyboard	NN	keyboard
,	,	,
that	WDT	that
makes	VBZ	make
you	PP	you
,	,	,
I	PP	I
think	VBP	think
,	,	,
is	VBZ	be
the	DT	the
basis	NN	basis
of	IN	of
all	PDT	all
your	PP$	your
ability	NN	ability
.	SENT	.
Now	RB	now
then	RB	then
.	SENT	.
It	PP	it
'	POS	'
s	NNS	<unknown>
no	RB	no
use	VB	use
having	VBG	have
that	DT	that
kind	NN	kind
of	IN	of
raw	JJ	raw
ability	NN	ability
without	IN	without
the	DT	the
technique	NN	technique
,	,	,
and	CC	and
luckily	RB	luckily
,	,	,
Derek	NP	Derek
,	,	,
you	PP	you
decided	VBD	decide
that	IN	that
,	,	,
once	IN	once
we	PP	we
did	VBD	do
start	VB	start
learning	VBG	learn
,	,	,
you	PP	you
'	POS	'
d	NN	d
let	VBD	let
me	PP	me
help	VBP	help
you	PP	you
learn	VBP	learn
all	PDT	all
the	DT	the
scale	NN	scale
fingerings	NNS	fingering
.	SENT	.
So	RB	so
for	IN	for
example	NN	example
using	VBG	use
your	PP$	your
thumb	NN	thumb
under	IN	under
with	IN	with
C	NP	C
major	JJ	major
.	SENT	.
Etc	FW	etc
.	SENT	.
And	CC	and
in	IN	in
the	DT	the
end	NN	end
,	,	,
you	PP	you
got	VBD	get
so	RB	so
quick	JJ	quick
,	,	,
that	IN	that
things	NNS	thing
like	IN	like
"	``	"
Flight	NN	flight
of	IN	of
the	DT	the
Bumblebee	NN	bumblebee
"	``	"
were	VBD	be
no	DT	no
problem	NN	problem
,	,	,
were	VBD	be
they	PP	they
?	SENT	?
DP	NP	DP
:	:	:
No	UH	no
.	SENT	.
AO	NN	AO
:	:	:
Right	RB	right
.	SENT	.
So	RB	so
here	RB	here
,	,	,
by	IN	by
the	DT	the
age	NN	age
of	IN	of
11	CD	@card@
,	,	,
Derek	NP	Derek
was	VBD	be
playing	VBG	play
things	NNS	thing
like	IN	like
this	DT	this
.	SENT	.
DP	NP	DP
:	:	:
This	DT	this
.	SENT	.
AO	NP	AO
:	:	:
Derek	NP	Derek
,	,	,
let	VBN	let
'	POS	'
s	NNS	<unknown>
have	VBP	have
a	DT	a
bow	NN	bow
.	SENT	.
Well	RB	well
done	VBN	do
.	SENT	.
Now	RB	now
the	DT	the
truly	RB	truly
amazing	JJ	amazing
thing	NN	thing
was	VBD	be
,	,	,
with	IN	with
all	PDT	all
those	DT	those
scales	NNS	scale
,	,	,
Derek	NP	Derek
,	,	,
you	PP	you
could	MD	could
not	RB	not
only	RB	only
play	VB	play
"	``	"
Flight	NN	flight
of	IN	of
the	DT	the
Bumblebee	NN	bumblebee
"	''	"
in	IN	in
the	DT	the
usual	JJ	usual
key	NN	key
,	,	,
but	CC	but
any	DT	any
note	NN	note
I	PP	I
play	VBP	play
,	,	,
Derek	NP	Derek
can	MD	can
play	VB	play
it	PP	it
on	RP	on
.	SENT	.
So	RB	so
if	IN	if
I	PP	I
just	RB	just
choose	VBP	choose
a	DT	a
note	NN	note
at	IN	at
random	JJ	random
,	,	,
like	IN	like
that	WDT	that
one	PP	one
.	SENT	.
Can	MD	can
you	PP	you
play	VB	play
"	``	"
Flight	NN	flight
of	IN	of
the	DT	the
Bumblebee	NN	bumblebee
"	''	"
on	IN	on
that	DT	that
note	NN	note
?	SENT	?
DP	NP	DP
:	:	:
"	``	"
Flight	NN	flight
of	IN	of
the	DT	the
Bumblebee	NN	bumblebee
"	''	"
on	IN	on
that	DT	that
note	NN	note
.	SENT	.
AO	NN	AO
:	:	:
Or	CC	or
another	DT	another
one	CD	one
?	SENT	?
How	WRB	how
about	RB	about
in	IN	in
G	NP	G
minor	JJ	minor
?	SENT	?
DP	NP	DP
:	:	:
G	NP	G
minor	JJ	minor
.	SENT	.
AO	NN	AO
:	:	:
Fantastic	JJ	fantastic
.	SENT	.
Well	RB	well
done	VBN	do
,	,	,
Derek	NP	Derek
.	SENT	.
So	RB	so
you	PP	you
see	VBP	see
,	,	,
in	IN	in
your	PP$	your
brain	NN	brain
,	,	,
Derek	NP	Derek
,	,	,
is	VBZ	be
this	DT	this
amazing	JJ	amazing
musical	JJ	musical
computer	NN	computer
that	WDT	that
can	MD	can
instantly	RB	instantly
recalibrate	VB	recalibrate
,	,	,
recalculate	VB	recalculate
,	,	,
all	RB	all
the	DT	the
pieces	NNS	piece
in	IN	in
the	DT	the
world	NN	world
that	WDT	that
are	VBP	be
out	RB	out
there	RB	there
.	SENT	.
Most	JJS	most
pianists	NNS	pianist
would	MD	would
have	VB	have
a	DT	a
heart	NN	heart
attack	NN	attack
if	IN	if
you	PP	you
said	VBD	say
,	,	,
"	``	"
Sorry	RB	sorry
,	,	,
do	VBP	do
you	PP	you
mind	VB	mind
playing	NN	playing
'	POS	'
Flight	NN	flight
of	IN	of
the	DT	the
Bumblebee	NN	bumblebee
'	''	'
in	IN	in
B	NP	B
minor	JJ	minor
instead	RB	instead
of	IN	of
A	DT	a
minor	JJ	minor
?	SENT	?
"	``	"
as	IN	as
we	PP	we
went	VBD	go
on	RP	on
.	SENT	.
In	IN	in
fact	NN	fact
,	,	,
the	DT	the
first	JJ	first
time	NN	time
,	,	,
Derek	NP	Derek
,	,	,
you	PP	you
played	VBD	play
that	IN	that
with	IN	with
an	DT	an
orchestra	NN	orchestra
,	,	,
you	PP	you
'	POS	'
d	NN	d
learned	VBD	learn
the	DT	the
version	NN	version
that	IN	that
you	PP	you
'	POS	'
d	NN	d
learned	VBD	learn
,	,	,
and	CC	and
then	RB	then
the	DT	the
orchestra	NN	orchestra
,	,	,
in	IN	in
fact	NN	fact
,	,	,
did	VBD	do
have	VB	have
a	DT	a
different	JJ	different
version	NN	version
,	,	,
so	RB	so
while	IN	while
we	PP	we
were	VBD	be
waiting	VBG	wait
in	IN	in
the	DT	the
two	CD	two
hours	NNS	hour
before	IN	before
the	DT	the
rehearsal	NN	rehearsal
and	CC	and
the	DT	the
concert	NN	concert
,	,	,
Derek	NP	Derek
listened	VBD	listen
to	TO	to
the	DT	the
different	JJ	different
version	NN	version
and	CC	and
learned	VBD	learn
it	PP	it
quickly	RB	quickly
and	CC	and
then	RB	then
was	VBD	be
able	JJ	able
to	TO	to
play	VB	play
it	PP	it
with	IN	with
the	DT	the
orchestra	NN	orchestra
.	SENT	.
Fantastic	JJ	fantastic
chap	NN	chap
.	SENT	.
The	DT	the
other	JJ	other
wonderful	JJ	wonderful
thing	NN	thing
about	IN	about
you	PP	you
is	VBZ	be
memory	NN	memory
.	SENT	.
DP	NP	DP
:	:	:
Memory	NN	memory
.	SENT	.
AO	NN	AO
:	:	:
Your	PP$	your
memory	NN	memory
is	VBZ	be
truly	RB	truly
amazing	JJ	amazing
,	,	,
and	CC	and
every	DT	every
concert	NN	concert
we	PP	we
do	VBP	do
,	,	,
we	PP	we
ask	VBP	ask
