Almost	RB	almost
should	MD	should
I	PP	I
really	RB	really
care	VBP	care
about	IN	about
this	DT	this
,	,	,
right	RB	right
?	SENT	?
Be	VB	be
honest	JJ	honest
.	SENT	.
Well	RB	well
,	,	,
ratings	NNS	rating
affect	VBP	affect
you	PP	you
.	SENT	.
They	PP	they
affect	VBP	affect
all	DT	all
of	IN	of
us	PP	us
.	SENT	.
If	IN	if
a	DT	a
rating	NN	rating
agency	NN	agency
rates	NNS	rate
a	DT	a
country	NN	country
,	,	,
it	PP	it
basically	RB	basically
assesses	VBZ	assess
and	CC	and
evaluates	VBZ	evaluate
a	DT	a
country	NN	country
'	POS	'
s	NN	S
debt	NN	debt
and	CC	and
the	DT	the
ability	NN	ability
and	CC	and
willingness	NN	willingness
of	IN	of
a	DT	a
country	NN	country
to	TO	to
repay	VB	repay
its	PP$	its
debt	NN	debt
.	SENT	.
So	RB	so
if	IN	if
a	DT	a
country	NN	country
gets	VBZ	get
downgraded	VBN	downgrade
by	IN	by
a	DT	a
rating	NN	rating
agency	NN	agency
,	,	,
the	DT	the
country	NN	country
has	VBZ	have
to	TO	to
pay	VB	pay
more	JJR	more
in	IN	in
order	NN	order
to	TO	to
borrow	VB	borrow
money	NN	money
on	IN	on
the	DT	the
international	JJ	international
markets	NNS	market
.	SENT	.
So	RB	so
it	PP	it
affects	VBZ	affect
you	PP	you
as	IN	as
a	DT	a
citizen	NN	citizen
and	CC	and
as	IN	as
a	DT	a
taxpayer	NN	taxpayer
,	,	,
because	IN	because
you	PP	you
and	CC	and
your	PP$	your
fellow	JJ	fellow
countrymen	NNS	countryman
have	VBP	have
to	TO	to
pony	NN	pony
up	RP	up
more	JJR	more
in	IN	in
order	NN	order
to	TO	to
borrow	VB	borrow
.	SENT	.
But	CC	but
what	WP	what
if	IN	if
a	DT	a
country	NN	country
can	NN	can
'	POS	'
t	NN	t
afford	VB	afford
to	TO	to
pay	VB	pay
more	JJR	more
because	IN	because
it	PP	it
'	POS	'
s	NN	S
maybe	RB	maybe
too	RB	too
expensive	JJ	expensive
?	SENT	?
Well	RB	well
,	,	,
then	RB	then
the	DT	the
country	NN	country
has	VBZ	have
less	RBR	less
available	JJ	available
for	IN	for
other	JJ	other
services	NNS	service
,	,	,
like	IN	like
roads	NNS	road
,	,	,
schools	NNS	school
,	,	,
healthcare	NN	<unknown>
.	SENT	.
And	CC	and
this	DT	this
is	VBZ	be
the	DT	the
reason	NN	reason
why	WRB	why
you	PP	you
should	MD	should
care	VB	care
,	,	,
because	IN	because
sovereign	JJ	sovereign
ratings	NNS	rating
affect	VBP	affect
everyone	NN	everyone
.	SENT	.
And	CC	and
that	DT	that
is	VBZ	be
the	DT	the
reason	NN	reason
why	WRB	why
I	PP	I
believe	VBP	believe
they	PP	they
should	MD	should
be	VB	be
defined	VBN	define
as	IN	as
public	JJ	public
goods	NNS	good
.	SENT	.
They	PP	they
should	MD	should
be	VB	be
transparent	JJ	transparent
,	,	,
accessible	JJ	accessible
,	,	,
and	CC	and
available	JJ	available
to	TO	to
everyone	NN	everyone
at	IN	at
no	DT	no
cost	NN	cost
.	SENT	.
But	CC	but
here	RB	here
'	''	'
s	VBG	<unknown>
the	DT	the
situation	NN	situation
:	:	:
the	DT	the
rating	NN	rating
agency	NN	agency
market	NN	market
is	VBZ	be
dominated	VBN	dominate
by	IN	by
three	CD	three
players	NNS	player
and	CC	and
three	CD	three
players	NNS	player
only	RB	only
—	:	-
Standard	NP	Standard
&	CC	&
Poor	NP	Poor
'	POS	'
s	NN	S
,	,	,
Moody	NP	Moody
'	POS	'
s	NN	S
,	,	,
and	CC	and
Fitch	NP	Fitch
—	:	-
and	CC	and
we	PP	we
know	VBP	know
whenever	WRB	whenever
there	EX	there
is	VBZ	be
a	DT	a
market	NN	market
concentration	NN	concentration
,	,	,
there	EX	there
is	VBZ	be
really	RB	really
no	DT	no
competition	NN	competition
.	SENT	.
There	EX	there
is	VBZ	be
no	DT	no
incentive	NN	incentive
to	TO	to
improve	VB	improve
the	DT	the
quality	NN	quality
of	IN	of
your	PP$	your
product	NN	product
.	SENT	.
And	CC	and
let	VB	let
'	''	'
s	NNS	<unknown>
face	VBP	face
it	PP	it
,	,	,
the	DT	the
credit	NN	credit
rating	NN	rating
agencies	NNS	agency
have	VBP	have
contributed	VBN	contribute
,	,	,
putting	VBG	put
the	DT	the
global	JJ	global
economy	NN	economy
on	IN	on
the	DT	the
brink	NN	brink
,	,	,
and	CC	and
yet	RB	yet
they	PP	they
have	VBP	have
to	TO	to
change	VB	change
the	DT	the
way	NN	way
they	PP	they
operate	VBP	operate
.	SENT	.
The	DT	the
second	JJ	second
point	NN	point
,	,	,
would	MD	would
you	PP	you
really	RB	really
buy	VBP	buy
a	DT	a
car	NN	car
just	RB	just
based	VBN	base
on	IN	on
the	DT	the
advice	NN	advice
of	IN	of
the	DT	the
dealer	NN	dealer
?	SENT	?
Obviously	RB	obviously
not	RB	not
,	,	,
right	RB	right
?	SENT	?
That	DT	that
would	MD	would
be	VB	be
irresponsible	JJ	irresponsible
.	SENT	.
But	CC	but
that	WDT	that
'	POS	'
s	NNS	<unknown>
actually	RB	actually
what	WP	what
'	POS	'
s	NNS	<unknown>
going	VBG	go
on	IN	on
in	IN	in
the	DT	the
rating	NN	rating
agency	NN	agency
sector	NN	sector
every	DT	every
single	JJ	single
day	NN	day
.	SENT	.
The	DT	the
customers	NNS	customer
of	IN	of
these	DT	these
rating	NN	rating
agencies	NNS	agency
,	,	,
like	IN	like
countries	NNS	country
or	CC	or
companies	NNS	company
,	,	,
they	PP	they
are	VBP	be
paying	VBG	pay
for	IN	for
their	PP$	their
own	JJ	own
ratings	NNS	rating
,	,	,
and	CC	and
obviously	RB	obviously
this	DT	this
is	VBZ	be
creating	VBG	create
a	DT	a
conflict	NN	conflict
of	IN	of
interest	NN	interest
.	SENT	.
The	DT	the
third	JJ	third
point	NN	point
is	VBZ	be
,	,	,
the	DT	the
rating	NN	rating
agencies	NNS	agency
are	VBP	be
not	RB	not
really	RB	really
telling	VBG	tell
us	PP	us
how	WRB	how
they	PP	they
are	VBP	be
coming	VBG	come
up	RP	up
with	IN	with
their	PP$	their
ratings	NNS	rating
,	,	,
but	CC	but
in	IN	in
this	DT	this
day	NN	day
and	CC	and
age	NN	age
,	,	,
you	PP	you
can	MD	can
'	''	'
t	NN	t
even	RB	even
sell	VB	sell
a	DT	a
candy	NN	candy
bar	NN	bar
without	IN	without
listing	VBG	list
everything	NN	everything
that	RB	that
'	POS	'
s	NN	S
inside	NN	inside
.	SENT	.
But	CC	but
for	IN	for
ratings	NNS	rating
,	,	,
a	DT	a
crucial	JJ	crucial
element	NN	element
of	IN	of
our	PP$	our
economy	NN	economy
,	,	,
we	PP	we
really	RB	really
do	VBP	do
not	RB	not
know	VB	know
what	WP	what
all	PDT	all
the	DT	the
different	JJ	different
ingredients	NNS	ingredient
are	VBP	be
.	SENT	.
We	PP	we
are	VBP	be
allowing	VBG	allow
the	DT	the
rating	NN	rating
agencies	NNS	agency
to	TO	to
be	VB	be
intransparent	JJ	intransparent
about	IN	about
their	PP$	their
work	NN	work
,	,	,
and	CC	and
we	PP	we
need	VBP	need
to	TO	to
change	VB	change
this	DT	this
.	SENT	.
I	PP	I
think	VBP	think
there	EX	there
is	VBZ	be
no	DT	no
doubt	NN	doubt
that	IN	that
the	DT	the
sector	NN	sector
needs	VBZ	need
a	DT	a
complete	JJ	complete
overhaul	NN	overhaul
,	,	,
not	RB	not
just	RB	just
a	DT	a
trimming	NN	trimming
at	IN	at
the	DT	the
margins	NNS	margin
.	SENT	.
I	PP	I
think	VBP	think
it	PP	it
'	''	'
s	NN	S
time	NN	time
for	IN	for
a	DT	a
bold	JJ	bold
move	NN	move
.	SENT	.
I	PP	I
think	VBP	think
it	PP	it
'	''	'
s	NN	S
time	NN	time
to	TO	to
upgrade	VB	upgrade
the	DT	the
system	NN	system
.	SENT	.
And	CC	and
this	DT	this
is	VBZ	be
why	WRB	why
we	PP	we
at	IN	at
the	DT	the
Bertelsmann	NP	Bertelsmann
Foundation	NP	Foundation
have	VBP	have
invested	VBN	invest
a	DT	a
lot	NN	lot
of	IN	of
time	NN	time
and	CC	and
effort	NN	effort
thinking	NN	thinking
about	IN	about
an	DT	an
alternative	NN	alternative
for	IN	for
the	DT	the
sector	NN	sector
.	SENT	.
And	CC	and
we	PP	we
have	VBP	have
developed	VBN	develop
the	DT	the
first	JJ	first
model	NN	model
for	IN	for
a	DT	a
nonprofit	JJ	nonprofit
rating	NN	rating
agency	NN	agency
for	IN	for
sovereign	JJ	sovereign
risk	NN	risk
,	,	,
and	CC	and
we	PP	we
call	VBP	call
it	PP	it
by	IN	by
its	PP$	its
acronym	NN	acronym
,	,	,
INCRA	NP	<unknown>
.	SENT	.
INCRA	NP	<unknown>
would	MD	would
make	VB	make
a	DT	a
difference	NN	difference
to	TO	to
the	DT	the
current	JJ	current
system	NN	system
by	IN	by
adding	VBG	add
another	DT	another
nonprofit	JJ	nonprofit
player	NN	player
to	TO	to
the	DT	the
mix	NN	mix
.	SENT	.
It	PP	it
would	MD	would
be	VB	be
based	VBN	base
on	IN	on
a	DT	a
nonprofit	JJ	nonprofit
model	NN	model
that	WDT	that
would	MD	would
be	VB	be
based	VBN	base
on	IN	on
a	DT	a
sustainable	JJ	sustainable
endowment	NN	endowment
.	SENT	.
The	DT	the
endowment	NN	endowment
would	MD	would
create	VB	create
income	NN	income
that	WDT	that
would	MD	would
allow	VB	allow
us	PP	us
to	TO	to
run	VB	run
the	DT	the
operation	NN	operation
,	,	,
to	TO	to
run	VB	run
the	DT	the
rating	NN	rating
agency	NN	agency
,	,	,
and	CC	and
it	PP	it
would	MD	would
also	RB	also
allow	VB	allow
us	PP	us
to	TO	to
make	VB	make
our	PP$	our
ratings	NNS	rating
publicly	RB	publicly
available	JJ	available
.	SENT	.
But	CC	but
this	DT	this
is	VBZ	be
not	RB	not
enough	JJ	enough
to	TO	to
make	VB	make
a	DT	a
difference	NN	difference
,	,	,
right	RB	right
?	SENT	?
INCRA	NP	<unknown>
would	MD	would
also	RB	also
be	VB	be
based	VBN	base
on	IN	on
a	DT	a
very	JJ	very
,	,	,
very	RB	very
clear	JJ	clear
governance	NN	governance
structure	NN	structure
that	WDT	that
would	MD	would
avoid	VB	avoid
any	DT	any
conflict	NN	conflict
of	IN	of
interest	NN	interest
,	,	,
and	CC	and
it	PP	it
would	MD	would
include	VB	include
many	JJ	many
stakeholders	NNS	stakeholder
from	IN	from
society	NN	society
.	SENT	.
INCRA	NP	<unknown>
would	MD	would
not	RB	not
only	RB	only
be	VB	be
a	DT	a
European	JJ	European
or	CC	or
an	DT	an
American	JJ	American
rating	NN	rating
agency	NN	agency
,	,	,
it	PP	it
would	MD	would
be	VB	be
a	DT	a
truly	RB	truly
international	JJ	international
one	CD	one
,	,	,
in	IN	in
which	WDT	which
,	,	,
in	IN	in
particular	JJ	particular
,	,	,
the	DT	the
emerging	VBG	emerge
economies	NNS	economy
would	MD	would
have	VB	have
an	DT	an
equal	JJ	equal
interest	NN	interest
,	,	,
voice	NN	voice
and	CC	and
representation	NN	representation
.	SENT	.
The	DT	the
second	JJ	second
big	JJ	big
difference	NN	difference
that	IN	that
INCRA	NP	<unknown>
would	MD	would
make	VB	make
is	VBZ	be
that	WDT	that
would	MD	would
it	PP	it
base	VB	base
its	PP$	its
sovereign	JJ	sovereign
risk	NN	risk
assessment	NN	assessment
on	IN	on
a	DT	a
broader	JJR	broad
set	NN	set
of	IN	of
indicators	NNS	indicator
.	SENT	.
Think	VB	think
about	IN	about
it	PP	it
that	DT	that
way	NN	way
.	SENT	.
If	IN	if
we	PP	we
conduct	VBP	conduct
a	DT	a
sovereign	JJ	sovereign
rating	NN	rating
,	,	,
we	PP	we
basically	RB	basically
take	VBP	take
a	DT	a
look	NN	look
at	IN	at
the	DT	the
economic	JJ	economic
soil	NN	soil
of	IN	of
a	DT	a
country	NN	country
,	,	,
its	PP$	its
macroeconomic	JJ	macroeconomic
fundamentals	NNS	fundamental
.	SENT	.
But	CC	but
we	PP	we
also	RB	also
have	VB	have
to	TO	to
ask	VB	ask
the	DT	the
question	NN	question
,	,	,
who	WP	who
is	VBZ	be
cultivating	VBG	cultivate
the	DT	the
economic	JJ	economic
soil	NN	soil
of	IN	of
a	DT	a
country	NN	country
,	,	,
right	RB	right
?	SENT	?
Well	RB	well
,	,	,
a	DT	a
country	NN	country
has	VBZ	have
many	JJ	many
gardeners	NNS	gardener
,	,	,
and	CC	and
one	CD	one
of	IN	of
them	PP	them
is	VBZ	be
the	DT	the
government	NN	government
,	,	,
so	RB	so
we	PP	we
have	VBP	have
to	TO	to
ask	VB	ask
the	DT	the
question	NN	question
,	,	,
how	WRB	how
is	VBZ	be
a	DT	a
country	NN	country
governed	VBD	govern
?	SENT	?
How	WRB	how
is	VBZ	be
it	PP	it
managed	VBD	manage
?	SENT	?
And	CC	and
this	DT	this
is	VBZ	be
the	DT	the
reason	NN	reason
why	WRB	why
we	PP	we
have	VBP	have
developed	VBN	develop
what	WP	what
we	PP	we
call	VBP	call
forward-looking	JJ	forward-looking
indicators	NNS	indicator
.	SENT	.
These	DT	these
are	VBP	be
indicators	NNS	indicator
that	WDT	that
give	VBP	give
you	PP	you
a	DT	a
much	RB	much
better	RBR	well
read	VB	read
about	IN	about
the	DT	the
socioeconomic	JJ	socioeconomic
development	NN	development
of	IN	of
a	DT	a
country	NN	country
.	SENT	.
I	PP	I
hope	VBP	hope
you	PP	you
would	MD	would
agree	VB	agree
it	PP	it
'	POS	'
s	NNS	<unknown>
important	JJ	important
for	IN	for
you	PP	you
to	TO	to
know	VB	know
if	IN	if
your	PP$	your
government	NN	government
is	VBZ	be
willing	JJ	willing
to	TO	to
invest	VB	invest
in	IN	in
renewable	JJ	renewable
energy	NN	energy
and	CC	and
education	NN	education
.	SENT	.
It	PP	it
'	POS	'
s	NNS	<unknown>
important	JJ	important
for	IN	for
you	PP	you
to	TO	to
know	VB	know
if	IN	if
the	DT	the
government	NN	government
of	IN	of
your	PP$	your
country	NN	country
is	VBZ	be
able	JJ	able
to	TO	to
manage	VB	manage
a	DT	a
crisis	NN	crisis
,	,	,
if	IN	if
the	DT	the
government	NN	government
is	VBZ	be
finally	RB	finally
able	JJ	able
to	TO	to
implement	VB	implement
the	DT	the
reforms	NNS	reform
that	IN	that
it	PP	it
'	POS	'
s	NN	S
promised	VBD	promise
.	SENT	.
For	IN	for
example	NN	example
,	,	,
if	IN	if
INCRA	NP	<unknown>
would	MD	would
rate	VB	rate
South	NP	South
Africa	NP	Africa
right	RB	right
now	RB	now
,	,	,
of	IN	of
course	NN	course
we	PP	we
would	MD	would
take	VB	take
a	DT	a
very	JJ	very
,	,	,
very	RB	very
close	RB	close
look	VB	look
at	IN	at
the	DT	the
youth	NN	youth
unemployment	NN	unemployment
of	IN	of
the	DT	the
country	NN	country
,	,	,
the	DT	the
highest	JJS	high
in	IN	in
the	DT	the
world	NN	world
.	SENT	.
If	IN	if
over	RB	over
70	CD	@card@
percent	NN	percent
of	IN	of
a	DT	a
country	NN	country
'	POS	'
s	JJ	<unknown>
population	NN	population
under	IN	under
the	DT	the
age	NN	age
of	IN	of
35	CD	@card@
is	VBZ	be
unemployed	JJ	unemployed
,	,	,
of	IN	of
course	NN	course
this	DT	this
has	VBZ	have
a	DT	a
huge	JJ	huge
impact	NN	impact
on	IN	on
the	DT	the
economy	NN	economy
today	NN	today
and	CC	and
even	RB	even
more	RBR	more
so	RB	so
in	IN	in
the	DT	the
future	NN	future
.	SENT	.
Well	RB	well
,	,	,
our	PP$	our
friends	NNS	friend
at	IN	at
Moody	NP	Moody
'	POS	'
s	NN	S
,	,	,
Standard	NP	Standard
&	CC	&
Poor	NP	Poor
'	POS	'
s	NN	S
,	,	,
and	CC	and
Fitch	NP	Fitch
will	MD	will
tell	VB	tell
us	PP	us
we	PP	we
would	MD	would
take	VB	take
this	DT	this
into	IN	into
account	NN	account
as	IN	as
well	RB	well
.	SENT	.
But	CC	but
guess	VBP	guess
what	WP	what
?	SENT	?
We	PP	we
do	VBP	do
not	RB	not
know	VB	know
exactly	RB	exactly
how	WRB	how
they	PP	they
will	MD	will
take	VB	take
this	DT	this
into	IN	into
account	NN	account
.	SENT	.
And	CC	and
this	DT	this
leads	VBZ	lead
me	PP	me
to	TO	to
the	DT	the
third	JJ	third
big	JJ	big
difference	NN	difference
that	IN	that
INCRA	NP	<unknown>
would	MD	would
make	VB	make
.	SENT	.
INCRA	NP	<unknown>
would	MD	would
not	RB	not
only	RB	only
release	VB	release
its	PP$	its
ratings	NNS	rating
but	CC	but
it	PP	it
would	MD	would
also	RB	also
release	VB	release
its	PP$	its
indicators	NNS	indicator
and	CC	and
methodology	NN	methodology
.	SENT	.
So	RB	so
in	IN	in
contrast	NN	contrast
to	TO	to
the	DT	the
current	JJ	current
system	NN	system
,	,	,
INCRA	NP	<unknown>
would	MD	would
be	VB	be
fully	RB	fully
transparent	JJ	transparent
.	SENT	.
So	RB	so
in	IN	in
a	DT	a
nutshell	NN	nutshell
,	,	,
INCRA	NP	<unknown>
would	MD	would
offer	VB	offer
an	DT	an
alternative	NN	alternative
to	TO	to
the	DT	the
current	JJ	current
system	NN	system
of	IN	of
the	DT	the
big	JJ	big
three	CD	three
rating	NN	rating
agencies	NNS	agency
by	IN	by
adding	VBG	add
a	DT	a
new	JJ	new
,	,	,
nonprofit	JJ	nonprofit
player	NN	player
to	TO	to
the	DT	the
mix	NN	mix
that	WDT	that
would	MD	would
increase	VB	increase
the	DT	the
competition	NN	competition
,	,	,
it	PP	it
would	MD	would
increase	VB	increase
the	DT	the
transparency	NN	transparency
of	IN	of
the	DT	the
sector	NN	sector
,	,	,
and	CC	and
it	PP	it
would	MD	would
also	RB	also
increase	VB	increase
the	DT	the
quality	NN	quality
.	SENT	.
I	PP	I
can	MD	can
tell	VB	tell
that	IN	that
sovereign	JJ	sovereign
ratings	NNS	rating
may	MD	may
still	RB	still
look	VB	look
to	TO	to
you	PP	you
like	IN	like
this	DT	this
very	RB	very
small	JJ	small
piece	NN	piece
of	IN	of
this	DT	this
very	RB	very
complex	JJ	complex
global	JJ	global
financial	JJ	financial
world	NN	world
,	,	,
but	CC	but
I	PP	I
tell	VBP	tell
you	PP	you
it	PP	it
'	POS	'
s	NN	S
a	DT	a
very	RB	very
important	JJ	important
one	CD	one
,	,	,
and	CC	and
a	DT	a
very	RB	very
important	JJ	important
one	CD	one
to	TO	to
fix	VB	fix
,	,	,
because	IN	because
sovereign	JJ	sovereign
ratings	NNS	rating
affect	VBP	affect
all	DT	all
of	IN	of
us	PP	us
,	,	,
and	CC	and
they	PP	they
should	MD	should
be	VB	be
addressed	VBN	address
and	CC	and
should	MD	should
be	VB	be
defined	VBN	define
as	IN	as
public	JJ	public
goods	NNS	good
.	SENT	.
And	CC	and
this	DT	this
is	VBZ	be
why	WRB	why
we	PP	we
are	VBP	be
testing	VBG	test
our	PP$	our
model	NN	model
right	RB	right
now	RB	now
,	,	,
and	CC	and
why	WRB	why
we	PP	we
are	VBP	be
trying	VBG	try
to	TO	to
find	VB	find
out	RP	out
if	IN	if
it	PP	it
can	MD	can
bring	VB	bring
together	RB	together
a	DT	a
group	NN	group
of	IN	of
able	JJ	able
and	CC	and
willing	JJ	willing
actors	NNS	actor
to	TO	to
bring	VB	bring
INCRA	NP	<unknown>
to	TO	to
life	NN	life
.	SENT	.
I	PP	I
truly	RB	truly
believe	VBP	believe
building	NN	building
up	IN	up
INCRA	NP	<unknown>
is	VBZ	be
in	IN	in
everyone	NN	everyone
'	POS	'
s	NN	S
interest	NN	interest
,	,	,
and	CC	and
that	IN	that
we	PP	we
have	VBP	have
the	DT	the
unique	JJ	unique
opportunity	NN	opportunity
right	RB	right
now	RB	now
to	TO	to
turn	VB	turn
INCRA	NP	<unknown>
into	IN	into
a	DT	a
cornerstone	NN	cornerstone
of	IN	of
a	DT	a
new	JJ	new
,	,	,
more	RBR	more
inclusive	JJ	inclusive
financial	JJ	financial
system	NN	system
.	SENT	.
Because	IN	because
for	IN	for
way	NN	way
too	RB	too
long	RB	long
,	,	,
we	PP	we
have	VBP	have
left	VBN	leave
the	DT	the
big	JJ	big
financial	JJ	financial
players	NNS	player
on	IN	on
their	PP$	their
own	JJ	own
.	SENT	.
It	PP	it
'	POS	'
s	JJ	<unknown>
time	NN	time
to	TO	to
give	VB	give
them	PP	them
some	DT	some
company	NN	company
.	SENT	.
Thank	VB	thank
you	PP	you
.	SENT	.
