Let	NP	Let
hour	NN	hour
down	RB	down
,	,	,
lane-splitting	VBG	lane-split
—	:	-
I	PP	I
know	VBP	know
you	PP	you
'	POS	'
ve	NN	ve
had	VBD	have
this	DT	this
experience	NN	experience
—	:	-
that	DT	that
guy	NN	guy
didn	NN	<unknown>
'	POS	'
t	NN	t
"	``	"
just	RB	just
come	VB	come
out	RP	out
of	IN	of
nowhere	RB	nowhere
.	SENT	.
"	''	"
That	DT	that
guy	NN	guy
'	POS	'
s	RB	<unknown>
been	VBN	be
on	IN	on
the	DT	the
road	NN	road
probably	RB	probably
for	IN	for
the	DT	the
last	JJ	last
half	NN	half
hour	NN	hour
.	SENT	.
Right	RB	right
?	SENT	?
I	PP	I
mean	VBP	mean
,	,	,
somebody	NN	somebody
'	POS	'
s	NN	S
seen	VBN	see
him	PP	him
.	SENT	.
Ten	CD	ten
,	,	,
20	CD	@card@
,	,	,
30	CD	@card@
miles	NNS	mile
back	RB	back
,	,	,
someone	NN	someone
'	POS	'
s	NN	S
seen	VBN	see
that	DT	that
guy	NN	guy
,	,	,
and	CC	and
as	RB	as
soon	RB	soon
as	IN	as
one	CD	one
car	NN	car
sees	VBZ	see
that	IN	that
guy	NN	guy
and	CC	and
puts	VBZ	put
him	PP	him
on	IN	on
the	DT	the
map	NN	map
,	,	,
he	PP	he
'	POS	'
s	NN	S
on	IN	on
the	DT	the
map	NN	map
—	:	-
position	NN	position
,	,	,
velocity	NN	velocity
,	,	,
good	JJ	good
estimate	VBP	estimate
he	PP	he
'	''	'
ll	NNS	<unknown>
continue	VBP	continue
going	VBG	go
85	CD	@card@
miles	NNS	mile
an	DT	an
hour	NN	hour
.	SENT	.
You	PP	you
'	POS	'
ll	NNS	<unknown>
know	VBP	know
,	,	,
because	IN	because
your	PP$	your
car	NN	car
will	MD	will
know	VB	know
,	,	,
because	IN	because
that	DT	that
other	JJ	other
car	NN	car
will	MD	will
have	VB	have
whispered	VBN	whisper
something	NN	something
in	IN	in
his	PP$	his
ear	NN	ear
,	,	,
like	VB	like
,	,	,
"	''	"
By	IN	by
the	DT	the
way	NN	way
,	,	,
five	CD	five
minutes	NNS	minute
,	,	,
motorcyclist	NN	motorcyclist
,	,	,
watch	VB	watch
out	RP	out
.	SENT	.
"	``	"
You	PP	you
can	MD	can
make	VB	make
reasonable	JJ	reasonable
predictions	NNS	prediction
about	RB	about
how	WRB	how
cars	NNS	car
behave	VBP	behave
.	SENT	.
I	PP	I
mean	VBP	mean
,	,	,
they	PP	they
'	POS	'
re	NN	re
Newtonian	NN	Newtonian
objects	NNS	object
.	SENT	.
That	IN	that
'	POS	'
s	NN	S
very	RB	very
nice	JJ	nice
about	IN	about
them	PP	them
.	SENT	.
So	RB	so
how	WRB	how
do	VBP	do
we	PP	we
get	VBP	get
there	RB	there
?	SENT	?
We	PP	we
can	MD	can
start	VB	start
with	IN	with
something	NN	something
as	IN	as
simple	JJ	simple
as	IN	as
sharing	VBG	share
our	PP$	our
position	NN	position
data	NNS	datum
between	IN	between
cars	NNS	car
,	,	,
just	RB	just
sharing	VBG	share
GPS	NP	GPS
.	SENT	.
If	IN	if
I	PP	I
have	VBP	have
a	DT	a
GPS	NP	GPS
and	CC	and
a	DT	a
camera	NN	camera
in	IN	in
my	PP$	my
car	NN	car
,	,	,
I	PP	I
have	VBP	have
a	DT	a
pretty	RB	pretty
precise	JJ	precise
idea	NN	idea
of	IN	of
where	WRB	where
I	PP	I
am	VBP	be
and	CC	and
how	WRB	how
fast	JJ	fast
I	PP	I
'	''	'
m	NN	m
going	VBG	go
.	SENT	.
With	IN	with
computer	NN	computer
vision	NN	vision
,	,	,
I	PP	I
can	MD	can
estimate	VB	estimate
where	WRB	where
the	DT	the
cars	NNS	car
around	IN	around
me	PP	me
are	VBP	be
,	,	,
sort	VB	sort
of	IN	of
,	,	,
and	CC	and
where	WRB	where
they	PP	they
'	POS	'
re	NN	re
going	VBG	go
.	SENT	.
And	CC	and
same	JJ	same
with	IN	with
the	DT	the
other	JJ	other
cars	NNS	car
.	SENT	.
They	PP	they
can	MD	can
have	VB	have
a	DT	a
precise	JJ	precise
idea	NN	idea
of	IN	of
where	WRB	where
they	PP	they
are	VBP	be
,	,	,
and	CC	and
sort	NN	sort
of	IN	of
a	DT	a
vague	JJ	vague
idea	NN	idea
of	IN	of
where	WRB	where
the	DT	the
other	JJ	other
cars	NNS	car
are	VBP	be
.	SENT	.
What	WP	what
happens	VBZ	happen
if	IN	if
two	CD	two
cars	NNS	car
share	VBP	share
that	IN	that
data	NNS	datum
,	,	,
if	IN	if
they	PP	they
talk	VBP	talk
to	TO	to
each	DT	each
other	JJ	other
?	SENT	?
I	PP	I
can	MD	can
tell	VB	tell
you	PP	you
exactly	RB	exactly
what	WP	what
happens	VBZ	happen
.	SENT	.
Both	DT	both
models	NNS	model
improve	VBP	improve
.	SENT	.
Everybody	NN	everybody
wins	NNS	win
.	SENT	.
Professor	NP	Professor
Bob	NP	Bob
Wang	NP	Wang
and	CC	and
his	PP$	his
team	NN	team
have	VBP	have
done	VBN	do
computer	NN	computer
simulations	NNS	simulation
of	IN	of
what	WP	what
happens	VBZ	happen
when	WRB	when
fuzzy	JJ	fuzzy
estimates	NNS	estimate
combine	VBP	combine
,	,	,
even	RB	even
in	IN	in
light	JJ	light
traffic	NN	traffic
,	,	,
when	WRB	when
cars	NNS	car
just	RB	just
share	VBP	share
GPS	NP	GPS
data	NNS	datum
,	,	,
and	CC	and
we	PP	we
'	POS	'
ve	NN	ve
moved	VBD	move
this	DT	this
research	NN	research
out	RP	out
of	IN	of
the	DT	the
computer	NN	computer
simulation	NN	simulation
and	CC	and
into	IN	into
robot	NN	robot
test	NN	test
beds	NNS	bed
that	WDT	that
have	VBP	have
the	DT	the
actual	JJ	actual
sensors	NNS	sensor
that	WDT	that
are	VBP	be
in	IN	in
cars	NNS	car
now	RB	now
on	IN	on
these	DT	these
robots	NNS	robot
:	:	:
stereo	JJ	stereo
cameras	NNS	camera
,	,	,
GPS	NP	GPS
,	,	,
and	CC	and
the	DT	the
two-dimensional	JJ	two-dimensional
laser	NN	laser
range	NN	range
finders	NNS	finder
that	WDT	that
are	VBP	be
common	JJ	common
in	IN	in
backup	JJ	backup
systems	NNS	system
.	SENT	.
We	PP	we
also	RB	also
attach	VBP	attach
a	DT	a
discrete	JJ	discrete
short-range	JJ	short-range
communication	NN	communication
radio	NN	radio
,	,	,
and	CC	and
the	DT	the
robots	NNS	robot
talk	VBP	talk
to	TO	to
each	DT	each
other	JJ	other
.	SENT	.
When	WRB	when
these	DT	these
robots	NNS	robot
come	VBP	come
at	IN	at
each	DT	each
other	JJ	other
,	,	,
they	PP	they
track	VBP	track
each	DT	each
other	JJ	other
'	POS	'
s	NN	S
position	NN	position
precisely	RB	precisely
,	,	,
and	CC	and
they	PP	they
can	MD	can
avoid	VB	avoid
each	DT	each
other	JJ	other
.	SENT	.
We	PP	we
'	POS	'
re	NN	re
now	RB	now
adding	VBG	add
more	JJR	more
and	CC	and
more	JJR	more
robots	NNS	robot
into	IN	into
the	DT	the
mix	NN	mix
,	,	,
and	CC	and
we	PP	we
encountered	VBD	encounter
some	DT	some
problems	NNS	problem
.	SENT	.
One	CD	one
of	IN	of
the	DT	the
problems	NNS	problem
,	,	,
when	WRB	when
you	PP	you
get	VBP	get
too	RB	too
much	JJ	much
chatter	NN	chatter
,	,	,
it	PP	it
'	POS	'
s	NN	S
hard	JJ	hard
to	TO	to
process	VB	process
all	PDT	all
the	DT	the
packets	NNS	packet
,	,	,
so	RB	so
you	PP	you
have	VBP	have
to	TO	to
prioritize	VB	<unknown>
,	,	,
and	CC	and
that	IN	that
'	POS	'
s	NN	S
where	WRB	where
the	DT	the
predictive	JJ	predictive
model	NN	model
helps	VBZ	help
you	PP	you
.	SENT	.
If	IN	if
your	PP$	your
robot	NN	robot
cars	NNS	car
are	VBP	be
all	RB	all
tracking	VBG	track
the	DT	the
predicted	VBN	predict
trajectories	NNS	trajectory
,	,	,
you	PP	you
don	VBP	don
'	''	'
t	NN	t
pay	NN	pay
as	IN	as
much	JJ	much
attention	NN	attention
to	TO	to
those	DT	those
packets	NNS	packet
.	SENT	.
You	PP	you
prioritize	VBP	<unknown>
the	DT	the
one	CD	one
guy	NN	guy
who	WP	who
seems	VBZ	seem
to	TO	to
be	VB	be
going	VBG	go
a	DT	a
little	JJ	little
off	JJ	off
course	NN	course
.	SENT	.
That	DT	that
guy	NN	guy
could	MD	could
be	VB	be
a	DT	a
problem	NN	problem
.	SENT	.
And	CC	and
you	PP	you
can	MD	can
predict	VB	predict
the	DT	the
new	JJ	new
trajectory	NN	trajectory
.	SENT	.
So	RB	so
you	PP	you
don	VB	don
'	''	'
t	NN	t
only	RB	only
know	VBP	know
that	IN	that
he	PP	he
'	POS	'
s	NNS	<unknown>
going	VBG	go
off	RP	off
course	NN	course
,	,	,
you	PP	you
know	VBP	know
how	WRB	how
.	SENT	.
And	CC	and
you	PP	you
know	VBP	know
which	WDT	which
drivers	NNS	driver
you	PP	you
need	VBP	need
to	TO	to
alert	VB	alert
to	TO	to
get	VB	get
out	RP	out
of	IN	of
the	DT	the
way	NN	way
.	SENT	.
And	CC	and
we	PP	we
wanted	VBD	want
to	TO	to
do	VB	do
—	:	-
how	WRB	how
can	MD	can
we	PP	we
best	RBS	well
alert	JJ	alert
everyone	NN	everyone
?	SENT	?
How	WRB	how
can	MD	can
these	DT	these
cars	NNS	car
whisper	NN	whisper
,	,	,
"	``	"
You	PP	you
need	VBP	need
to	TO	to
get	VB	get
out	RP	out
of	IN	of
the	DT	the
way	NN	way
?	SENT	?
"	''	"
Well	RB	well
,	,	,
it	PP	it
depends	VBZ	depend
on	IN	on
two	CD	two
things	NNS	thing
:	:	:
one	CD	one
,	,	,
the	DT	the
ability	NN	ability
of	IN	of
the	DT	the
car	NN	car
,	,	,
and	CC	and
second	RB	second
the	DT	the
ability	NN	ability
of	IN	of
the	DT	the
driver	NN	driver
.	SENT	.
If	IN	if
one	CD	one
guy	NN	guy
has	VBZ	have
a	DT	a
really	RB	really
great	JJ	great
car	NN	car
,	,	,
but	CC	but
they	PP	they
'	POS	'
re	NN	re
on	IN	on
their	PP$	their
phone	NN	phone
or	CC	or
,	,	,
you	PP	you
know	VBP	know
,	,	,
doing	VBG	do
something	NN	something
,	,	,
they	PP	they
'	POS	'
re	NN	re
not	RB	not
probably	RB	probably
in	IN	in
the	DT	the
best	JJS	good
position	NN	position
to	TO	to
react	VB	react
in	IN	in
an	DT	an
emergency	NN	emergency
.	SENT	.
So	RB	so
we	PP	we
started	VBD	start
a	DT	a
separate	JJ	separate
line	NN	line
of	IN	of
research	NN	research
doing	VBG	do
driver	NN	driver
state	NN	state
modeling	NN	modeling
.	SENT	.
And	CC	and
now	RB	now
,	,	,
using	VBG	use
a	DT	a
series	NN	series
of	IN	of
three	CD	three
cameras	NNS	camera
,	,	,
we	PP	we
can	MD	can
detect	VB	detect
if	IN	if
a	DT	a
driver	NN	driver
is	VBZ	be
looking	VBG	look
forward	RB	forward
,	,	,
looking	VBG	look
away	RB	away
,	,	,
looking	VBG	look
down	RP	down
,	,	,
on	IN	on
the	DT	the
phone	NN	phone
,	,	,
or	CC	or
having	VBG	have
a	DT	a
cup	NN	cup
of	IN	of
coffee	NN	coffee
.	SENT	.
We	PP	we
can	MD	can
predict	VB	predict
the	DT	the
accident	NN	accident
and	CC	and
we	PP	we
can	MD	can
predict	VB	predict
who	WP	who
,	,	,
which	WDT	which
cars	NNS	car
,	,	,
are	VBP	be
in	IN	in
the	DT	the
best	JJS	good
position	NN	position
to	TO	to
move	VB	move
out	RP	out
of	IN	of
the	DT	the
way	NN	way
to	TO	to
calculate	VB	calculate
the	DT	the
safest	JJS	safe
route	NN	route
for	IN	for
everyone	NN	everyone
.	SENT	.
Fundamentally	RB	fundamentally
,	,	,
these	DT	these
technologies	NNS	technology
exist	VBP	exist
today	NN	today
.	SENT	.
I	PP	I
think	VBP	think
the	DT	the
biggest	JJS	big
problem	NN	problem
that	IN	that
we	PP	we
face	VBP	face
is	VBZ	be
our	PP$	our
own	JJ	own
willingness	NN	willingness
to	TO	to
share	VB	share
our	PP$	our
data	NNS	datum
.	SENT	.
I	PP	I
think	VBP	think
it	PP	it
'	''	'
s	VBG	<unknown>
a	DT	a
very	RB	very
disconcerting	VBG	disconcert
notion	NN	notion
,	,	,
this	DT	this
idea	NN	idea
that	IN	that
our	PP$	our
cars	NNS	car
will	MD	will
be	VB	be
watching	VBG	watch
us	PP	us
,	,	,
talking	VBG	talk
about	IN	about
us	PP	us
to	TO	to
other	JJ	other
cars	NNS	car
,	,	,
that	WDT	that
we	PP	we
'	''	'
ll	NN	ll
be	VB	be
going	VBG	go
down	RP	down
the	DT	the
road	NN	road
in	IN	in
a	DT	a
sea	NN	sea
of	IN	of
gossip	NN	gossip
.	SENT	.
But	CC	but
I	PP	I
believe	VBP	believe
it	PP	it
can	MD	can
be	VB	be
done	VBN	do
in	IN	in
a	DT	a
way	NN	way
that	WDT	that
protects	VBZ	protect
our	PP$	our
privacy	NN	privacy
,	,	,
just	RB	just
like	IN	like
right	RB	right
now	RB	now
,	,	,
when	WRB	when
I	PP	I
look	VBP	look
at	IN	at
your	PP$	your
car	NN	car
from	IN	from
the	DT	the
outside	NN	outside
,	,	,
I	PP	I
don	VBP	don
'	''	'
t	NN	t
really	RB	really
know	VBP	know
about	IN	about
you	PP	you
.	SENT	.
If	IN	if
I	PP	I
look	VBP	look
at	IN	at
your	PP$	your
license	NN	license
plate	NN	plate
number	NN	number
,	,	,
I	PP	I
don	VBP	don
'	''	'
t	NN	t
really	RB	really
know	VBP	know
who	WP	who
you	PP	you
are	VBP	be
.	SENT	.
I	PP	I
believe	VBP	believe
our	PP$	our
cars	NNS	car
can	MD	can
talk	VB	talk
about	IN	about
us	PP	us
behind	IN	behind
our	PP$	our
backs	NNS	back
.	SENT	.
And	CC	and
I	PP	I
think	VBP	think
it	PP	it
'	''	'
s	NNS	<unknown>
going	VBG	go
to	TO	to
be	VB	be
a	DT	a
great	JJ	great
thing	NN	thing
.	SENT	.
I	PP	I
want	VBP	want
you	PP	you
to	TO	to
consider	VB	consider
for	IN	for
a	DT	a
moment	NN	moment
if	IN	if
you	PP	you
really	RB	really
don	VBP	don
'	POS	'
t	NN	t
want	VBP	want
the	DT	the
distracted	JJ	distracted
teenager	NN	teenager
behind	IN	behind
you	PP	you
to	TO	to
know	VB	know
that	IN	that
you	PP	you
'	POS	'
re	NN	re
braking	VBG	brake
,	,	,
that	IN	that
you	PP	you
'	POS	'
re	NN	re
coming	VBG	come
to	TO	to
a	DT	a
dead	JJ	dead
stop	NN	stop
.	SENT	.
By	IN	by
sharing	VBG	share
