Diana	NP	Diana
the	DT	the
consciousness	NN	consciousness
of	IN	of
others	NNS	other
and	CC	and
our	PP$	our
relationship	NN	relationship
with	IN	with
the	DT	the
rest	NN	rest
of	IN	of
the	DT	the
animal	JJ	animal
world	NN	world
,	,	,
that	WDT	that
we	PP	we
'	POS	'
ll	NNS	<unknown>
give	VBP	give
them	PP	them
the	DT	the
respect	NN	respect
and	CC	and
protection	NN	protection
that	IN	that
they	PP	they
deserve	VBP	deserve
.	SENT	.
So	IN	so
that	DT	that
'	''	'
s	NNS	<unknown>
a	DT	a
wish	VBP	wish
I	PP	I
'	''	'
m	NN	m
throwing	VBG	throw
out	RP	out
here	RB	here
for	IN	for
everybody	NN	everybody
,	,	,
and	CC	and
I	PP	I
hope	VBP	hope
I	PP	I
can	MD	can
really	RB	really
engage	VB	engage
you	PP	you
in	IN	in
this	DT	this
idea	NN	idea
.	SENT	.
Now	RB	now
,	,	,
I	PP	I
want	VBP	want
to	TO	to
return	VB	return
to	TO	to
dolphins	NNS	dolphin
,	,	,
because	IN	because
these	DT	these
are	VBP	be
the	DT	the
animals	NNS	animal
that	WDT	that
I	PP	I
feel	VBP	feel
like	IN	like
I	PP	I
'	POS	'
ve	RB	<unknown>
been	VBN	be
working	VBG	work
up	RP	up
closely	RB	closely
and	CC	and
personal	JJ	personal
with	IN	with
for	IN	for
over	RB	over
30	CD	@card@
years	NNS	year
.	SENT	.
And	CC	and
these	DT	these
are	VBP	be
real	JJ	real
personalities	NNS	personality
.	SENT	.
They	PP	they
are	VBP	be
not	RB	not
persons	NNS	person
,	,	,
but	CC	but
they	PP	they
'	POS	'
re	NN	re
personalities	NNS	personality
in	IN	in
every	DT	every
sense	NN	sense
of	IN	of
the	DT	the
word	NN	word
.	SENT	.
And	CC	and
you	PP	you
can	MD	can
'	''	'
t	NN	t
get	VB	get
more	RBR	more
alien	JJ	alien
than	IN	than
the	DT	the
dolphin	NN	dolphin
.	SENT	.
They	PP	they
are	VBP	be
very	RB	very
different	JJ	different
from	IN	from
us	PP	us
in	IN	in
body	NN	body
form	NN	form
.	SENT	.
They	PP	they
'	POS	'
re	NN	re
radically	RB	radically
different	JJ	different
.	SENT	.
They	PP	they
come	VBP	come
from	IN	from
a	DT	a
radically	RB	radically
different	JJ	different
environment	NN	environment
.	SENT	.
In	IN	in
fact	NN	fact
,	,	,
we	PP	we
'	POS	'
re	NN	re
separated	VBN	separate
by	IN	by
95	CD	@card@
million	CD	million
years	NNS	year
of	IN	of
divergent	JJ	divergent
evolution	NN	evolution
.	SENT	.
Look	VB	look
at	IN	at
this	DT	this
body	NN	body
.	SENT	.
And	CC	and
in	IN	in
every	DT	every
sense	NN	sense
of	IN	of
making	VBG	make
a	DT	a
pun	NN	pun
here	RB	here
,	,	,
these	DT	these
are	VBP	be
true	JJ	true
non-terrestrials	NNS	non-terrestrial
.	SENT	.
I	PP	I
wondered	VBD	wonder
how	WRB	how
we	PP	we
might	MD	might
interface	NN	interface
with	IN	with
these	DT	these
animals	NNS	animal
.	SENT	.
In	IN	in
the	DT	the
1980s	NNS	1980s
,	,	,
I	PP	I
developed	VBD	develop
an	DT	an
underwater	JJ	underwater
keyboard	NN	keyboard
.	SENT	.
This	DT	this
was	VBD	be
a	DT	a
custom-made	JJ	custom-made
touch-screen	NN	touch-screen
keyboard	NN	keyboard
.	SENT	.
What	WP	what
I	PP	I
wanted	VBD	want
to	TO	to
do	VB	do
was	VBD	be
give	VB	give
the	DT	the
dolphins	NNS	dolphin
choice	NN	choice
and	CC	and
control	NN	control
.	SENT	.
These	DT	these
are	VBP	be
big	JJ	big
brains	NNS	brain
,	,	,
highly	RB	highly
social	JJ	social
animals	NNS	animal
,	,	,
and	CC	and
I	PP	I
thought	VBD	think
,	,	,
well	RB	well
,	,	,
if	IN	if
we	PP	we
give	VBP	give
them	PP	them
choice	NN	choice
and	CC	and
control	NN	control
,	,	,
if	IN	if
they	PP	they
can	MD	can
hit	VB	hit
a	DT	a
symbol	NN	symbol
on	IN	on
this	DT	this
keyboard	NN	keyboard
—	:	-
and	CC	and
by	IN	by
the	DT	the
way	NN	way
,	,	,
it	PP	it
was	VBD	be
interfaced	VBN	interface
by	IN	by
fiber	NN	fiber
optic	NN	optic
cables	NNS	cable
from	IN	from
Hewlett-Packard	NP	Hewlett-Packard
with	IN	with
an	DT	an
Apple	NP	Apple
II	NP	II
computer	NN	computer
.	SENT	.
This	DT	this
seems	VBZ	seem
prehistoric	JJ	prehistoric
now	RB	now
,	,	,
but	CC	but
this	DT	this
was	VBD	be
where	WRB	where
we	PP	we
were	VBD	be
with	IN	with
technology	NN	technology
.	SENT	.
So	IN	so
the	DT	the
dolphins	NNS	dolphin
could	MD	could
hit	VB	hit
a	DT	a
key	NN	key
,	,	,
a	DT	a
symbol	NN	symbol
,	,	,
they	PP	they
heard	VBD	hear
a	DT	a
computer-generated	JJ	computer-generated
whistle	NN	whistle
,	,	,
and	CC	and
they	PP	they
got	VBD	get
an	DT	an
object	NN	object
or	CC	or
activity	NN	activity
.	SENT	.
Now	RB	now
here	RB	here
'	''	'
s	VBG	<unknown>
a	DT	a
little	JJ	little
video	NN	video
.	SENT	.
This	DT	this
is	VBZ	be
Delphi	NP	Delphi
and	CC	and
Pan	NP	Pan
,	,	,
and	CC	and
you	PP	you
'	POS	'
re	NN	re
going	VBG	go
to	TO	to
see	VB	see
Delphi	NP	Delphi
hitting	VBG	hit
a	DT	a
key	NN	key
,	,	,
he	PP	he
hears	VBZ	hear
a	DT	a
computer-generated	JJ	computer-generated
whistle	NN	whistle
—	:	-
—	:	-
and	CC	and
gets	VBZ	get
a	DT	a
ball	NN	ball
,	,	,
so	RB	so
they	PP	they
can	MD	can
actually	RB	actually
ask	VB	ask
for	IN	for
things	NNS	thing
they	PP	they
want	VBP	want
.	SENT	.
What	WP	what
was	VBD	be
remarkable	JJ	remarkable
is	VBZ	be
,	,	,
they	PP	they
explored	VBD	explore
this	DT	this
keyboard	NN	keyboard
on	IN	on
their	PP$	their
own	JJ	own
.	SENT	.
There	EX	there
was	VBD	be
no	DT	no
intervention	NN	intervention
on	IN	on
our	PP$	our
part	NN	part
.	SENT	.
They	PP	they
explored	VBD	explore
the	DT	the
keyboard	NN	keyboard
.	SENT	.
They	PP	they
played	VBD	play
around	RP	around
with	IN	with
it	PP	it
.	SENT	.
They	PP	they
figured	VBD	figure
out	RP	out
how	WRB	how
it	PP	it
worked	VBD	work
.	SENT	.
And	CC	and
they	PP	they
started	VBD	start
to	TO	to
quickly	RB	quickly
imitate	VB	imitate
the	DT	the
sounds	NNS	sound
they	PP	they
were	VBD	be
hearing	VBG	hear
on	IN	on
the	DT	the
keyboard	NN	keyboard
.	SENT	.
They	PP	they
imitated	VBD	imitate
on	IN	on
their	PP$	their
own	JJ	own
.	SENT	.
Beyond	IN	beyond
that	DT	that
,	,	,
though	RB	though
,	,	,
they	PP	they
started	VBD	start
learning	VBG	learn
associations	NNS	association
between	IN	between
the	DT	the
symbols	NNS	symbol
,	,	,
the	DT	the
sounds	NNS	sound
and	CC	and
the	DT	the
objects	NNS	object
.	SENT	.
What	WP	what
we	PP	we
saw	VBD	see
was	VBD	be
self-organized	VBN	self-organize
learning	VBG	learn
,	,	,
and	CC	and
now	RB	now
I	NP	I
'	POS	'
m	NN	m
imagining	VBG	imagine
,	,	,
what	WP	what
can	MD	can
we	PP	we
do	VB	do
with	IN	with
new	JJ	new
technologies	NNS	technology
?	SENT	?
How	WRB	how
can	MD	can
we	PP	we
create	VB	create
interfaces	NNS	interface
,	,	,
new	JJ	new
windows	NNS	window
into	IN	into
the	DT	the
minds	NNS	mind
of	IN	of
animals	NNS	animal
,	,	,
with	IN	with
the	DT	the
technologies	NNS	technology
that	WDT	that
exist	VBP	exist
today	NN	today
?	SENT	?
So	RB	so
I	PP	I
was	VBD	be
thinking	VBG	think
about	IN	about
this	DT	this
,	,	,
and	CC	and
then	RB	then
,	,	,
one	CD	one
day	NN	day
,	,	,
I	PP	I
got	VBD	get
a	DT	a
call	NN	call
from	IN	from
Peter	NP	Peter
.	SENT	.
Peter	NP	Peter
Gabriel	NP	Gabriel
:	:	:
I	PP	I
make	VBP	make
noises	NNS	noise
for	IN	for
a	DT	a
living	NN	living
.	SENT	.
On	IN	on
a	DT	a
good	JJ	good
day	NN	day
,	,	,
it	PP	it
'	POS	'
s	NN	S
music	NN	music
,	,	,
and	CC	and
I	PP	I
want	VBP	want
to	TO	to
talk	VB	talk
a	DT	a
little	JJ	little
bit	NN	bit
about	IN	about
the	DT	the
most	RBS	most
amazing	JJ	amazing
music-making	NN	music-making
experience	NN	experience
I	PP	I
ever	RB	ever
had	VBD	have
.	SENT	.
I	NP	I
'	POS	'
m	NN	m
a	DT	a
farm	NN	farm
boy	NN	boy
.	SENT	.
I	PP	I
grew	VBD	grow
up	RB	up
surrounded	VBN	surround
by	IN	by
animals	NNS	animal
,	,	,
and	CC	and
I	PP	I
would	MD	would
look	VB	look
in	IN	in
these	DT	these
eyes	NNS	eye
and	CC	and
wonder	VBP	wonder
what	WP	what
was	VBD	be
going	VBG	go
on	IN	on
there	RB	there
?	SENT	?
So	RB	so
as	IN	as
an	DT	an
adult	NN	adult
,	,	,
when	WRB	when
I	PP	I
started	VBD	start
to	TO	to
read	VB	read
about	IN	about
the	DT	the
amazing	JJ	amazing
breakthroughs	NNS	breakthrough
with	IN	with
Penny	NP	Penny
Patterson	NP	Patterson
and	CC	and
Koko	NP	Koko
,	,	,
with	IN	with
Sue	NP	Sue
Savage-	NP	<unknown>
Rumbaugh	NP	Rumbaugh
and	CC	and
Kanzi	NP	<unknown>
,	,	,
Panbanisha	NP	Panbanisha
,	,	,
Irene	NP	Irene
Pepperberg	NP	<unknown>
,	,	,
Alex	NP	Alex
the	DT	the
parrot	NN	parrot
,	,	,
I	PP	I
got	VBD	get
all	DT	all
excited	JJ	excited
.	SENT	.
What	WP	what
was	VBD	be
amazing	JJ	amazing
to	TO	to
me	PP	me
also	RB	also
was	VBD	be
they	PP	they
seemed	VBD	seem
a	DT	a
lot	NN	lot
more	RBR	more
adept	JJ	adept
at	IN	at
getting	VBG	get
a	DT	a
handle	NN	handle
on	IN	on
our	PP$	our
language	NN	language
than	IN	than
we	PP	we
were	VBD	be
on	IN	on
getting	VBG	get
a	DT	a
handle	NN	handle
on	IN	on
theirs	PP	theirs
.	SENT	.
I	PP	I
work	VBP	work
with	IN	with
a	DT	a
lot	NN	lot
of	IN	of
musicians	NNS	musician
from	IN	from
around	IN	around
the	DT	the
world	NN	world
,	,	,
and	CC	and
often	RB	often
we	PP	we
don	VB	don
'	''	'
t	NN	t
have	VBP	have
any	DT	any
common	JJ	common
language	NN	language
at	IN	at
all	DT	all
,	,	,
but	CC	but
we	PP	we
sit	VBP	sit
down	RB	down
behind	IN	behind
our	PP$	our
instruments	NNS	instrument
,	,	,
and	CC	and
suddenly	RB	suddenly
there	EX	there
'	''	'
s	VBG	<unknown>
a	DT	a
way	NN	way
for	IN	for
us	PP	us
to	TO	to
connect	VB	connect
and	CC	and
emote	VB	emote
.	SENT	.
So	RB	so
I	PP	I
started	VBD	start
cold-calling	VBG	cold-call
,	,	,
and	CC	and
eventually	RB	eventually
got	VBD	get
through	RP	through
to	TO	to
Sue	NP	Sue
Savage-Rumbaugh	NP	Savage-Rumbaugh
,	,	,
and	CC	and
she	PP	she
invited	VBD	invite
me	PP	me
down	RP	down
.	SENT	.
I	PP	I
went	VBD	go
down	RP	down
,	,	,
and	CC	and
the	DT	the
bonobos	NNS	<unknown>
had	VBD	have
had	VBN	have
access	NN	access
to	TO	to
percussion	NN	percussion
instruments	NNS	instrument
,	,	,
musical	JJ	musical
toys	NNS	toy
,	,	,
but	CC	but
never	RB	never
before	IN	before
to	TO	to
a	DT	a
keyboard	NN	keyboard
.	SENT	.
At	IN	at
first	RB	first
they	PP	they
did	VBD	do
what	WP	what
infants	NNS	infant
do	VBP	do
,	,	,
just	RB	just
bashed	VBD	bash
it	PP	it
with	IN	with
their	PP$	their
fists	NNS	fist
,	,	,
and	CC	and
then	RB	then
I	PP	I
asked	VBD	ask
,	,	,
through	IN	through
Sue	NP	Sue
,	,	,
if	IN	if
Panbanisha	NP	Panbanisha
could	MD	could
try	VB	try
with	IN	with
one	CD	one
finger	NN	finger
only	RB	only
.	SENT	.
Sue	NP	Sue
Savage-Rumbaugh	NP	Savage-Rumbaugh
:	:	:
Can	MD	can
you	PP	you
play	VB	play
a	DT	a
grooming	VBG	groom
song	NN	song
?	SENT	?
I	PP	I
want	VBP	want
to	TO	to
hear	VB	hear
a	DT	a
grooming	VBG	groom
song	NN	song
.	SENT	.
Play	VB	play
a	DT	a
real	JJ	real
quiet	JJ	quiet
grooming	VBG	groom
song	NN	song
.	SENT	.
PG	NP	PG
:	:	:
So	RB	so
groom	NN	groom
was	VBD	be
the	DT	the
subject	NN	subject
of	IN	of
the	DT	the
piece	NN	piece
.	SENT	.
So	IN	so
I	PP	I
'	POS	'
m	NN	m
just	RB	just
behind	RB	behind
,	,	,
jamming	NN	jamming
,	,	,
yeah	RB	yeah
,	,	,
this	DT	this
is	VBZ	be
what	WP	what
we	PP	we
started	VBD	start
with	IN	with
.	SENT	.
Sue	NP	Sue
'	POS	'
s	NN	S
encouraging	VBG	encourage
her	PP	her
to	TO	to
continue	VB	continue
a	DT	a
little	RB	little
more	JJR	more
.	SENT	.
She	PP	she
discovers	VBZ	discover
a	DT	a
note	NN	note
she	PP	she
likes	VBZ	like
,	,	,
finds	VBZ	find
the	DT	the
octave	NN	octave
.	SENT	.
She	NN	she
'	POS	'
d	NN	d
never	RB	never
sat	VBD	sit
at	IN	at
a	DT	a
keyboard	NN	keyboard
before	RB	before
.	SENT	.
Nice	JJ	nice
triplets	NNS	triplet
.	SENT	.
SSR	NN	SSR
:	:	:
You	PP	you
did	VBD	do
good	JJ	good
.	SENT	.
That	DT	that
was	VBD	be
very	RB	very
good	JJ	good
.	SENT	.
PG	NP	PG
:	:	:
She	PP	she
hit	VBD	hit
good	JJ	good
.	SENT	.
So	IN	so
that	DT	that
night	NN	night
,	,	,
we	PP	we
began	VBD	begin
to	TO	to
dream	VB	dream
,	,	,
and	CC	and
we	PP	we
thought	VBD	think
,	,	,
perhaps	RB	perhaps
the	DT	the
most	RBS	most
amazing	JJ	amazing
tool	NN	tool
that	DT	that
man	NN	man
'	POS	'
s	NN	S
created	VBN	create
is	VBZ	be
the	DT	the
Internet	NN	Internet
,	,	,
and	CC	and
what	WP	what
would	MD	would
happen	VB	happen
if	IN	if
we	PP	we
could	MD	could
somehow	RB	somehow
find	VB	find
new	JJ	new
interfaces	NNS	interface
,	,	,
visual-audio	NN	visual-audio
interfaces	NNS	interface
that	WDT	that
would	MD	would
allow	VB	allow
these	DT	these
remarkable	JJ	remarkable
sentient	JJ	sentient
beings	NNS	being
that	IN	that
we	PP	we
share	VBP	share
the	DT	the
planet	NN	planet
with	IN	with
access	NN	access
?	SENT	?
And	CC	and
Sue	NP	Sue
Savage-Rumbaugh	NP	Savage-Rumbaugh
got	VBD	get
excited	VBN	excite
about	RB	about
that	IN	that
,	,	,
called	VBD	call
her	PP$	her
friend	NN	friend
Steve	NP	Steve
Woodruff	NP	Woodruff
,	,	,
and	CC	and
we	PP	we
began	VBD	begin
hustling	VBG	hustle
all	DT	all
sorts	NNS	sort
of	IN	of
people	NNS	people
whose	WP$	whose
work	NN	work
related	VBD	relate
or	CC	or
was	VBD	be
inspiring	JJ	inspiring
,	,	,
which	WDT	which
led	VBD	lead
us	PP	us
to	TO	to
Diana	NP	Diana
,	,	,
and	CC	and
led	VBD	lead
us	PP	us
to	TO	to
Neil	NP	Neil
.	SENT	.
Neil	NP	Neil
Gershenfeld	NP	<unknown>
:	:	:
Thanks	NNS	thanks
,	,	,
Peter	NP	Peter
.	SENT	.
PG	NP	PG
:	:	:
Thank	VB	thank
you	PP	you
.	SENT	.
NG	NNS	<unknown>
:	:	:
So	RB	so
Peter	NP	Peter
approached	VBD	approach
me	PP	me
.	SENT	.
I	PP	I
lost	VBD	lose
it	PP	it
when	WRB	when
I	PP	I
saw	VBD	see
that	DT	that
clip	NN	clip
.	SENT	.
He	PP	he
approached	VBD	approach
me	PP	me
with	IN	with
a	DT	a
vision	NN	vision
of	IN	of
doing	VBG	do
these	DT	these
things	NNS	thing
not	RB	not
for	IN	for
people	NNS	people
,	,	,
for	IN	for
animals	NNS	animal
.	SENT	.
And	CC	and
then	RB	then
I	PP	I
was	VBD	be
struck	VBN	strike
in	IN	in
the	DT	the
history	NN	history
of	IN	of
the	DT	the
Internet	NN	Internet
.	SENT	.
This	DT	this
is	VBZ	be
what	WP	what
the	DT	the
Internet	NN	Internet
looked	VBD	look
like	IN	like
when	WRB	when
it	PP	it
was	VBD	be
born	VBN	bear
and	CC	and
you	PP	you
can	MD	can
call	VB	call
that	IN	that
the	DT	the
Internet	NN	Internet
of	IN	of
middle-aged	JJ	middle-aged
white	JJ	white
men	NNS	man
,	,	,
mostly	RB	mostly
middle-aged	JJ	middle-aged
white	JJ	white
men	NNS	man
.	SENT	.
Vint	NP	Vint
Cerf	NP	Cerf
:	:	:
NG	NNS	<unknown>
:	:	:
Speaking	VBG	speak
as	IN	as
one	CD	one
.	SENT	.
Then	RB	then
,	,	,
when	WRB	when
I	PP	I
first	RB	first
came	VBD	come
to	TO	to
TED	VB	ted
,	,	,
which	WDT	which
was	VBD	be
where	WRB	where
I	PP	I
met	VBD	meet
Peter	NP	Peter
,	,	,
I	PP	I
showed	VBD	show
this	DT	this
.	SENT	.
This	DT	this
is	VBZ	be
a	DT	a
$1	JJ	<unknown>
web	NN	web
server	NN	server
,	,	,
and	CC	and
at	IN	at
the	DT	the
time	NN	time
that	WDT	that
was	VBD	be
radical	JJ	radical
.	SENT	.
And	CC	and
the	DT	the
possibility	NN	possibility
of	IN	of
making	VBG	make
a	DT	a
web	NN	web
server	NN	server
for	IN	for
a	DT	a
dollar	NN	dollar
grew	VBD	grow
into	IN	into
what	WP	what
became	VBD	become
known	VBN	know
as	IN	as
the	DT	the
Internet	NN	Internet
of	IN	of
Things	NNS	thing
,	,	,
which	WDT	which
is	VBZ	be
literally	RB	literally
an	DT	an
industry	NN	industry
now	RB	now
with	IN	with
tremendous	JJ	tremendous
implications	NNS	implication
for	IN	for
health	NN	health
care	NN	care
,	,	,
energy	NN	energy
efficiency	NN	efficiency
.	SENT	.
And	CC	and
we	PP	we
were	VBD	be
happy	JJ	happy
with	IN	with
ourselves	PP	ourselves
.	SENT	.
And	CC	and
then	RB	then
when	WRB	when
Peter	NP	Peter
showed	VBD	show
me	PP	me
that	IN	that
,	,	,
I	PP	I
realized	VBD	realize
we	PP	we
had	VBD	have
missed	VBN	miss
something	NN	something
,	,	,
which	WDT	which
is	VBZ	be
the	DT	the
rest	NN	rest
of	IN	of
the	DT	the
planet	NN	planet
.	SENT	.
So	RB	so
we	PP	we
started	VBD	start
up	RP	up
this	DT	this
interspecies	NNS	interspecie
Internet	NN	Internet
project	NN	project
.	SENT	.
Now	RB	now
we	PP	we
started	VBD	start
talking	VBG	talk
with	IN	with
TED	VB	ted
about	RB	about
how	WRB	how
you	PP	you
bring	VBP	bring
dolphins	NNS	dolphin
and	CC	and
great	JJ	great
apes	NNS	ape
and	CC	and
elephants	NNS	elephant
to	TO	to
TED	VB	ted
,	,	,
and	CC	and
we	PP	we
realized	VBD	realize
that	IN	that
wouldn	NP	<unknown>
'	POS	'
t	NN	t
work	NN	work
.	SENT	.
So	IN	so
we	PP	we
'	POS	'
re	NN	re
going	VBG	go
to	TO	to
bring	VB	bring
you	PP	you
to	TO	to
them	PP	them
.	SENT	.
So	RB	so
if	IN	if
we	PP	we
could	MD	could
switch	VB	switch
to	TO	to
the	DT	the
audio	NN	audio
from	IN	from
this	DT	this
computer	NN	computer
,	,	,
we	PP	we
'	POS	'
ve	RB	<unknown>
been	VBN	be
video	NN	video
conferencing	VBG	conference
with	IN	with
cognitive	JJ	cognitive
animals	NNS	animal
,	,	,
and	CC	and
we	PP	we
'	POS	'
re	NN	re
going	VBG	go
to	TO	to
have	VB	have
each	DT	each
of	IN	of
them	PP	them
just	RB	just
briefly	RB	briefly
introduce	VB	introduce
them	PP	them
.	SENT	.
And	CC	and
so	RB	so
if	IN	if
we	PP	we
could	MD	could
also	RB	also
have	VB	have
this	DT	this
up	RB	up
,	,	,
great	JJ	great
.	SENT	.
So	IN	so
the	DT	the
first	JJ	first
site	NN	site
we	PP	we
'	POS	'
re	NN	re
going	VBG	go
to	TO	to
meet	VB	meet
is	VBZ	be
Cameron	NP	Cameron
Park	NP	Park
Zoo	NN	zoo
in	IN	in
Waco	NP	Waco
,	,	,
with	IN	with
orangutans	NNS	orangutan
.	SENT	.
In	IN	in
the	DT	the
daytime	NN	daytime
they	PP	they
live	VBP	live
outside	RB	outside
.	SENT	.
It	PP	it
'	POS	'
s	NN	S
nighttime	NN	nighttime
there	RB	there
now	RB	now
.	SENT	.
So	RB	so
can	MD	can
you	PP	you
please	VB	please
go	VB	go
ahead	RB	ahead
?	SENT	?
Terri	NP	Terri
Cox	NP	Cox
:	:	:
Hi	UH	hi
,	,	,
I	PP	I
'	POS	'
m	NN	m
Terri	NP	Terri
Cox	NP	Cox
with	IN	with
the	DT	the
Cameron	NP	Cameron
Park	NP	Park
Zoo	NN	zoo
in	IN	in
Waco	NP	Waco
,	,	,
Texas	NP	Texas
,	,	,
and	CC	and
with	IN	with
me	PP	me
I	PP	I
have	VB	have
KeraJaan	NP	<unknown>
and	CC	and
Mei	NP	Mei
,	,	,
two	CD	two
of	IN	of
our	PP$	our
Bornean	NP	<unknown>
orangutans	NNS	orangutan
.	SENT	.
During	IN	during
the	DT	the
day	NN	day
,	,	,
they	PP	they
have	VBP	have
a	DT	a
beautiful	JJ	beautiful
,	,	,
large	JJ	large
outdoor	JJ	outdoor
habitat	NN	habitat
