Martin	NP	Martin
has	VBZ	have
to	TO	to
grow	VB	grow
up	RP	up
and	CC	and
start	VB	start
to	TO	to
think	VB	think
about	RB	about
what	WP	what
progress	NN	progress
is	VBZ	be
.	SENT	.
What	WP	what
would	MD	would
it	PP	it
be	VB	be
like	JJ	like
to	TO	to
be	VB	be
improving	VBG	improve
the	DT	the
human	JJ	human
lot	NN	lot
?	SENT	?
And	CC	and
one	CD	one
of	IN	of
the	DT	the
problems	NNS	problem
that	WDT	that
we	PP	we
face	VBP	face
,	,	,
I	PP	I
think	VBP	think
,	,	,
is	VBZ	be
that	IN	that
the	DT	the
only	JJ	only
people	NNS	people
that	WDT	that
have	VBP	have
cornered	VBN	corner
the	DT	the
market	NN	market
in	IN	in
terms	NNS	term
of	IN	of
progress	NN	progress
is	VBZ	be
a	DT	a
financial	JJ	financial
definition	NN	definition
of	IN	of
what	WP	what
progress	NN	progress
is	VBZ	be
,	,	,
an	DT	an
economic	JJ	economic
definition	NN	definition
of	IN	of
what	WP	what
progress	NN	progress
is	VBZ	be
—	:	-
that	IN	that
somehow	RB	somehow
,	,	,
if	IN	if
we	PP	we
get	VBP	get
the	DT	the
right	JJ	right
numbers	NNS	number
to	TO	to
go	VB	go
up	RP	up
,	,	,
we	PP	we
'	POS	'
re	NN	re
going	VBG	go
to	TO	to
be	VB	be
better	RBR	well
off	RP	off
,	,	,
whether	IN	whether
that	WDT	that
'	POS	'
s	NN	S
on	IN	on
the	DT	the
stock	NN	stock
market	NN	market
,	,	,
whether	IN	whether
that	WDT	that
'	POS	'
s	NN	S
with	IN	with
GDP	NP	GDP
and	CC	and
economic	JJ	economic
growth	NN	growth
,	,	,
that	WDT	that
somehow	RB	somehow
life	NN	life
is	VBZ	be
going	VBG	go
to	TO	to
get	VB	get
better	RBR	well
.	SENT	.
This	DT	this
is	VBZ	be
somehow	RB	somehow
appealing	VBG	appeal
to	TO	to
human	JJ	human
greed	NN	greed
instead	RB	instead
of	IN	of
fear	NN	fear
—	:	-
that	IN	that
more	JJR	more
is	VBZ	be
better	JJR	good
.	SENT	.
Come	VBN	come
on	IN	on
.	SENT	.
In	IN	in
the	DT	the
Western	JJ	Western
world	NN	world
,	,	,
we	PP	we
have	VBP	have
enough	RB	enough
.	SENT	.
Maybe	RB	maybe
some	DT	some
parts	NNS	part
of	IN	of
the	DT	the
world	NN	world
don	NN	don
'	POS	'
t	NN	t
,	,	,
but	CC	but
we	PP	we
have	VBP	have
enough	RB	enough
.	SENT	.
And	CC	and
we	PP	we
'	POS	'
ve	NNS	<unknown>
know	VBP	know
for	IN	for
a	DT	a
long	JJ	long
time	NN	time
that	IN	that
this	DT	this
is	VBZ	be
not	RB	not
a	DT	a
good	JJ	good
measure	NN	measure
of	IN	of
the	DT	the
welfare	NN	welfare
of	IN	of
nations	NNS	nation
.	SENT	.
In	IN	in
fact	NN	fact
,	,	,
the	DT	the
architect	NN	architect
of	IN	of
our	PP$	our
national	JJ	national
accounting	NN	accounting
system	NN	system
,	,	,
Simon	NP	Simon
Kuznets	NP	Kuznets
,	,	,
in	IN	in
the	DT	the
1930s	NNS	1930s
,	,	,
said	VBD	say
that	IN	that
,	,	,
"	``	"
A	DT	a
nation	NN	nation
'	POS	'
s	NN	S
welfare	NN	welfare
can	MD	can
scarcely	RB	scarcely
be	VB	be
inferred	VBN	infer
from	IN	from
their	PP$	their
national	JJ	national
income	NN	income
.	SENT	.
"	``	"
But	CC	but
we	PP	we
'	POS	'
ve	NN	ve
created	VBD	create
a	DT	a
national	JJ	national
accounting	NN	accounting
system	NN	system
which	WDT	which
is	VBZ	be
firmly	RB	firmly
based	VBN	base
on	IN	on
production	NN	production
and	CC	and
producing	VBG	produce
stuff	NN	stuff
.	SENT	.
And	CC	and
indeed	RB	indeed
,	,	,
this	DT	this
is	VBZ	be
probably	RB	probably
historical	JJ	historical
,	,	,
and	CC	and
it	PP	it
had	VBD	have
its	PP$	its
time	NN	time
.	SENT	.
In	IN	in
the	DT	the
second	JJ	second
World	NP	World
War	NP	War
,	,	,
we	PP	we
needed	VBD	need
to	TO	to
produce	VB	produce
a	DT	a
lot	NN	lot
of	IN	of
stuff	NN	stuff
.	SENT	.
And	CC	and
indeed	RB	indeed
,	,	,
we	PP	we
were	VBD	be
so	RB	so
successful	JJ	successful
at	IN	at
producing	VBG	produce
certain	JJ	certain
types	NNS	type
of	IN	of
stuff	NN	stuff
that	IN	that
we	PP	we
destroyed	VBD	destroy
a	DT	a
lot	NN	lot
of	IN	of
Europe	NP	Europe
,	,	,
and	CC	and
we	PP	we
had	VBD	have
to	TO	to
rebuild	VB	rebuild
it	PP	it
afterwards	RB	afterwards
.	SENT	.
And	CC	and
so	IN	so
our	PP$	our
national	JJ	national
accounting	NN	accounting
system	NN	system
became	VBD	become
fixated	VBN	fixate
on	IN	on
what	WP	what
we	PP	we
can	MD	can
produce	VB	produce
.	SENT	.
But	CC	but
as	RB	as
early	JJ	early
as	IN	as
1968	CD	@card@
,	,	,
this	DT	this
visionary	JJ	visionary
man	NN	man
,	,	,
Robert	NP	Robert
Kennedy	NP	Kennedy
,	,	,
at	IN	at
the	DT	the
start	NN	start
of	IN	of
his	PP$	his
ill-fated	JJ	ill-fated
presidential	JJ	presidential
campaign	NN	campaign
,	,	,
gave	VBD	give
the	DT	the
most	RBS	most
eloquent	JJ	eloquent
deconstruction	NN	deconstruction
of	IN	of
gross	JJ	gross
national	JJ	national
product	NN	product
that	WDT	that
ever	RB	ever
has	VBZ	have
been	VBN	be
.	SENT	.
And	CC	and
he	PP	he
finished	VBD	finish
his	PP$	his
talk	NN	talk
with	IN	with
the	DT	the
phrase	NN	phrase
,	,	,
that	IN	that
,	,	,
"	``	"
The	DT	the
gross	JJ	gross
national	JJ	national
product	NN	product
measures	NNS	measure
everything	NN	everything
except	IN	except
that	DT	that
which	WDT	which
makes	VBZ	make
life	NN	life
worthwhile	JJ	worthwhile
.	SENT	.
"	``	"
How	WRB	how
crazy	JJ	crazy
is	VBZ	be
that	RB	that
?	SENT	?
That	IN	that
our	PP$	our
measure	NN	measure
of	IN	of
progress	NN	progress
,	,	,
our	PP$	our
dominant	JJ	dominant
measure	NN	measure
of	IN	of
progress	NN	progress
in	IN	in
society	NN	society
,	,	,
is	VBZ	be
measuring	VBG	measure
everything	NN	everything
except	IN	except
that	DT	that
which	WDT	which
makes	VBZ	make
life	NN	life
worthwhile	JJ	worthwhile
?	SENT	?
I	PP	I
believe	VBP	believe
,	,	,
if	IN	if
Kennedy	NP	Kennedy
was	VBD	be
alive	JJ	alive
today	NN	today
,	,	,
he	PP	he
would	MD	would
be	VB	be
asking	VBG	ask
statisticians	NNS	statistician
such	JJ	such
as	IN	as
myself	PP	myself
to	TO	to
go	VB	go
out	RP	out
and	CC	and
find	VB	find
out	RP	out
what	WP	what
makes	VBZ	make
life	NN	life
worthwhile	JJ	worthwhile
.	SENT	.
He	PP	he
'	''	'
d	SYM	d
be	VB	be
asking	VBG	ask
us	PP	us
to	TO	to
redesign	VB	redesign
our	PP$	our
national	JJ	national
accounting	NN	accounting
system	NN	system
to	TO	to
be	VB	be
based	VBN	base
upon	IN	upon
such	JJ	such
important	JJ	important
things	NNS	thing
as	IN	as
social	JJ	social
justice	NN	justice
,	,	,
sustainability	NN	sustainability
and	CC	and
people	NNS	people
'	POS	'
s	NN	S
well-	NN	<unknown>
being	VBG	be
.	SENT	.
And	CC	and
actually	RB	actually
,	,	,
social	JJ	social
scientists	NNS	scientist
have	VBP	have
already	RB	already
gone	VBN	go
out	RP	out
and	CC	and
asked	VBD	ask
these	DT	these
questions	NNS	question
around	IN	around
the	DT	the
world	NN	world
.	SENT	.
This	DT	this
is	VBZ	be
from	IN	from
a	DT	a
global	JJ	global
survey	NN	survey
.	SENT	.
It	PP	it
'	POS	'
s	NNS	<unknown>
asking	VBG	ask
people	NNS	people
,	,	,
what	WP	what
do	VBP	do
they	PP	they
want	VBP	want
.	SENT	.
And	CC	and
unsurprisingly	RB	unsurprisingly
,	,	,
people	NNS	people
all	RB	all
around	IN	around
the	DT	the
world	NN	world
say	VBP	say
that	IN	that
what	WP	what
they	PP	they
want	VBP	want
is	VBZ	be
happiness	NN	happiness
,	,	,
for	IN	for
themselves	PP	themselves
,	,	,
for	IN	for
their	PP$	their
families	NNS	family
,	,	,
their	PP$	their
children	NNS	child
,	,	,
their	PP$	their
communities	NNS	community
.	SENT	.
Okay	RB	okay
,	,	,
they	PP	they
think	VBP	think
money	NN	money
is	VBZ	be
slightly	RB	slightly
important	JJ	important
.	SENT	.
It	PP	it
'	POS	'
s	NN	S
there	RB	there
,	,	,
but	CC	but
it	PP	it
'	POS	'
s	NN	S
not	RB	not
nearly	RB	nearly
as	RB	as
important	JJ	important
as	IN	as
happiness	NN	happiness
,	,	,
and	CC	and
it	PP	it
'	POS	'
s	NN	S
not	RB	not
nearly	RB	nearly
as	RB	as
important	JJ	important
as	IN	as
love	NN	love
.	SENT	.
We	PP	we
all	RB	all
need	VBP	need
to	TO	to
love	VB	love
and	CC	and
be	VB	be
loved	VBN	love
in	IN	in
life	NN	life
.	SENT	.
It	PP	it
'	POS	'
s	NN	S
not	RB	not
nearly	RB	nearly
as	RB	as
important	JJ	important
as	IN	as
health	NN	health
.	SENT	.
We	PP	we
want	VBP	want
to	TO	to
be	VB	be
healthy	JJ	healthy
and	CC	and
live	VB	live
a	DT	a
full	JJ	full
life	NN	life
.	SENT	.
These	DT	these
seem	VBP	seem
to	TO	to
be	VB	be
natural	JJ	natural
human	JJ	human
aspirations	NNS	aspiration
.	SENT	.
Why	WRB	why
are	VBP	be
statisticians	NNS	statistician
not	RB	not
measuring	VBG	measure
these	DT	these
?	SENT	?
Why	WRB	why
are	VBP	be
we	PP	we
not	RB	not
thinking	VBG	think
of	IN	of
the	DT	the
progress	NN	progress
of	IN	of
nations	NNS	nation
in	IN	in
these	DT	these
terms	NNS	term
,	,	,
instead	RB	instead
of	IN	of
just	RB	just
how	WRB	how
much	JJ	much
stuff	NN	stuff
we	PP	we
have	VBP	have
?	SENT	?
And	CC	and
really	RB	really
,	,	,
this	DT	this
is	VBZ	be
what	WP	what
I	PP	I
'	POS	'
ve	NNS	<unknown>
done	VBN	do
with	IN	with
my	PP$	my
adult	NN	adult
life	NN	life
—	:	-
is	VBZ	be
think	VB	think
about	RB	about
how	WRB	how
do	VBP	do
we	PP	we
measure	NN	measure
happiness	NN	happiness
,	,	,
how	WRB	how
do	VBP	do
we	PP	we
measure	NN	measure
well-being	NN	well-being
,	,	,
how	WRB	how
can	MD	can
we	PP	we
do	VB	do
that	IN	that
within	IN	within
environmental	JJ	environmental
limits	NNS	limit
.	SENT	.
And	CC	and
we	PP	we
created	VBD	create
,	,	,
at	IN	at
the	DT	the
organization	NN	organization
that	IN	that
I	PP	I
work	VBP	work
for	IN	for
,	,	,
the	DT	the
New	NP	New
Economics	NP	Economics
Foundation	NP	Foundation
,	,	,
something	NN	something
we	PP	we
call	VBP	call
the	DT	the
Happy	NP	Happy
Planet	NP	Planet
Index	NP	Index
,	,	,
because	IN	because
we	PP	we
think	VBP	think
people	NNS	people
should	MD	should
be	VB	be
happy	JJ	happy
and	CC	and
the	DT	the
planet	NN	planet
should	MD	should
be	VB	be
happy	JJ	happy
.	SENT	.
Why	WRB	why
don	NN	don
'	POS	'
t	NN	t
we	PP	we
create	VBP	create
a	DT	a
measure	NN	measure
of	IN	of
progress	NN	progress
that	WDT	that
shows	VBZ	show
that	DT	that
?	SENT	?
And	CC	and
what	WP	what
we	PP	we
do	VBP	do
,	,	,
is	VBZ	be
we	PP	we
say	VBP	say
that	IN	that
the	DT	the
ultimate	JJ	ultimate
outcome	NN	outcome
of	IN	of
a	DT	a
nation	NN	nation
is	VBZ	be
how	WRB	how
successful	JJ	successful
is	VBZ	be
it	PP	it
at	IN	at
creating	VBG	create
happy	JJ	happy
and	CC	and
healthy	JJ	healthy
lives	NNS	life
for	IN	for
its	PP$	its
citizens	NNS	citizen
.	SENT	.
That	DT	that
should	MD	should
be	VB	be
the	DT	the
goal	NN	goal
of	IN	of
every	DT	every
nation	NN	nation
on	IN	on
the	DT	the
planet	NN	planet
.	SENT	.
But	CC	but
we	PP	we
have	VBP	have
to	TO	to
remember	VB	remember
that	IN	that
there	EX	there
'	''	'
s	VBG	<unknown>
a	DT	a
fundamental	JJ	fundamental
input	NN	input
to	TO	to
that	DT	that
,	,	,
and	CC	and
that	DT	that
is	VBZ	be
how	WRB	how
many	JJ	many
of	IN	of
the	DT	the
planet	NN	planet
'	POS	'
s	JJ	<unknown>
resources	NNS	resource
we	PP	we
use	VBP	use
.	SENT	.
We	PP	we
all	RB	all
have	VBP	have
one	CD	one
planet	NN	planet
.	SENT	.
We	PP	we
all	RB	all
have	VB	have
to	TO	to
share	VB	share
it	PP	it
.	SENT	.
It	PP	it
is	VBZ	be
the	DT	the
ultimate	JJ	ultimate
scarce	JJ	scarce
resource	NN	resource
,	,	,
the	DT	the
one	CD	one
planet	NN	planet
that	IN	that
we	PP	we
share	VBP	share
.	SENT	.
And	CC	and
economics	NNS	economics
is	VBZ	be
very	RB	very
interested	JJ	interested
in	IN	in
scarcity	NN	scarcity
.	SENT	.
When	WRB	when
it	PP	it
has	VBZ	have
a	DT	a
scarce	JJ	scarce
resource	NN	resource
that	IN	that
it	PP	it
wants	VBZ	want
to	TO	to
turn	VB	turn
into	IN	into
a	DT	a
desirable	JJ	desirable
outcome	NN	outcome
,	,	,
it	PP	it
thinks	VBZ	think
in	IN	in
terms	NNS	term
of	IN	of
efficiency	NN	efficiency
.	SENT	.
It	PP	it
thinks	VBZ	think
in	IN	in
terms	NNS	term
of	IN	of
how	WRB	how
much	JJ	much
bang	NN	bang
do	VBP	do
we	PP	we
get	VB	get
for	IN	for
our	PP$	our
buck	NN	buck
.	SENT	.
And	CC	and
this	DT	this
is	VBZ	be
a	DT	a
measure	NN	measure
of	IN	of
how	WRB	how
much	JJ	much
well-being	NN	well-being
we	PP	we
get	VBP	get
for	IN	for
our	PP$	our
planetary	JJ	planetary
resource	NN	resource
use	NN	use
.	SENT	.
It	PP	it
is	VBZ	be
an	DT	an
efficiency	NN	efficiency
measure	NN	measure
.	SENT	.
And	CC	and
probably	RB	probably
the	DT	the
easiest	JJS	easy
way	NN	way
to	TO	to
show	VB	show
you	PP	you
that	IN	that
,	,	,
is	VBZ	be
to	TO	to
show	VB	show
you	PP	you
this	DT	this
graph	NN	graph
.	SENT	.
Running	VBG	run
horizontally	RB	horizontally
along	IN	along
the	DT	the
graph	NN	graph
,	,	,
is	VBZ	be
"	``	"
ecological	JJ	ecological
footprint	NN	footprint
,	,	,
"	''	"
which	WDT	which
is	VBZ	be
a	DT	a
measure	NN	measure
of	IN	of
how	WRB	how
much	JJ	much
resources	NNS	resource
we	PP	we
use	VBP	use
and	CC	and
how	WRB	how
much	JJ	much
pressure	NN	pressure
we	PP	we
put	VBD	put
on	IN	on
the	DT	the
planet	NN	planet
.	SENT	.
More	JJR	more
is	VBZ	be
bad	JJ	bad
.	SENT	.
Running	VBG	run
vertically	RB	vertically
upwards	RB	upwards
,	,	,
is	VBZ	be
a	DT	a
measure	NN	measure
called	VBN	call
"	``	"
happy	JJ	happy
life	NN	life
years	NNS	year
.	SENT	.
"	``	"
It	PP	it
'	POS	'
s	NN	S
about	IN	about
the	DT	the
well-being	NN	well-being
of	IN	of
nations	NNS	nation
.	SENT	.
It	PP	it
'	POS	'
s	NN	S
like	IN	like
a	DT	a
happiness	NN	happiness
adjusted	JJ	adjusted
life-expectancy	NN	life-expectancy
.	SENT	.
It	PP	it
'	POS	'
s	NN	S
like	IN	like
quality	NN	quality
and	CC	and
quantity	NN	quantity
of	IN	of
life	NN	life
in	IN	in
nations	NNS	nation
.	SENT	.
And	CC	and
the	DT	the
yellow	JJ	yellow
dot	NN	dot
there	EX	there
you	PP	you
see	VBP	see
,	,	,
is	VBZ	be
the	DT	the
global	JJ	global
average	NN	average
.	SENT	.
Now	RB	now
,	,	,
there	EX	there
'	''	'
s	VBG	<unknown>
a	DT	a
huge	JJ	huge
array	NN	array
of	IN	of
nations	NNS	nation
around	IN	around
that	DT	that
global	JJ	global
average	NN	average
.	SENT	.
To	TO	to
the	DT	the
top	JJ	top
right	NN	right
of	IN	of
the	DT	the
graph	NN	graph
,	,	,
are	VBP	be
countries	NNS	country
which	WDT	which
are	VBP	be
doing	VBG	do
reasonably	RB	reasonably
well	RB	well
and	CC	and
producing	VBG	produce
well-being	NN	well-being
,	,	,
but	CC	but
they	PP	they
'	POS	'
re	NN	re
using	VBG	use
a	DT	a
lot	NN	lot
of	IN	of
planet	NN	planet
to	TO	to
get	VB	get
there	RB	there
.	SENT	.
They	PP	they
are	VBP	be
the	DT	the
U	NP	U
.	SENT	.
S	NP	S
.	SENT	.
A	DT	a
.	SENT	.
,	,	,
other	JJ	other
Western	JJ	Western
countries	NNS	country
going	VBG	go
across	IN	across
in	IN	in
those	DT	those
triangles	NNS	triangle
and	CC	and
a	DT	a
few	JJ	few
Gulf	NP	Gulf
states	NNS	state
in	IN	in
there	RB	there
actually	RB	actually
.	SENT	.
Conversely	RB	conversely
,	,	,
at	IN	at
the	DT	the
bottom	NN	bottom
left	VBN	leave
of	IN	of
the	DT	the
graph	NN	graph
,	,	,
are	VBP	be
countries	NNS	country
that	WDT	that
are	VBP	be
not	RB	not
producing	VBG	produce
much	JJ	much
well-being	NN	well-being
—	:	-
typically	RB	typically
,	,	,
sub-Saharan	JJ	sub-Saharan
Africa	NP	Africa
.	SENT	.
In	IN	in
Hobbesian	JJ	Hobbesian
terms	NNS	term
,	,	,
life	NN	life
is	VBZ	be
short	JJ	short
and	CC	and
brutish	JJ	brutish
there	RB	there
.	SENT	.
The	DT	the
average	JJ	average
life	NN	life
expectancy	NN	expectancy
in	IN	in
many	JJ	many
of	IN	of
these	DT	these
countries	NNS	country
is	VBZ	be
only	RB	only
40	CD	@card@
years	NNS	year
.	SENT	.
Malaria	NN	malaria
,	,	,
HIV	NP	HIV
/	SYM	/
AIDS	NP	AIDS
are	VBP	be
killing	VBG	kill
a	DT	a
lot	NN	lot
of	IN	of
people	NNS	people
in	IN	in
these	DT	these
regions	NNS	region
of	IN	of
the	DT	the
world	NN	world
.	SENT	.
But	CC	but
now	RB	now
for	IN	for
the	DT	the
good	JJ	good
news	NN	news
!	SENT	!
There	EX	there
are	VBP	be
some	DT	some
countries	NNS	country
up	RB	up
there	RB	there
,	,	,
yellow	JJ	yellow
triangles	NNS	triangle
,	,	,
that	WDT	that
are	VBP	be
doing	VBG	do
better	RBR	well
than	IN	than
global	JJ	global
average	NN	average
,	,	,
that	WDT	that
are	VBP	be
heading	VBG	head
up	RP	up
towards	IN	towards
the	DT	the
top	NN	top
left	VBN	leave
of	IN	of
the	DT	the
graph	NN	graph
.	SENT	.
This	DT	this
is	VBZ	be
an	DT	an
aspirational	JJ	aspirational
graph	NN	graph
.	SENT	.
We	PP	we
want	VBP	want
to	TO	to
be	VB	be
top	JJ	top
left	RB	left
,	,	,
where	WRB	where
good	JJ	good
lives	NNS	life
don	NN	don
'	POS	'
t	NN	t
cost	VBD	cost
the	DT	the
earth	NN	earth
.	SENT	.
They	PP	they
'	''	'
re	IN	re
Latin	NP	Latin
American	NP	American
.	SENT	.
The	DT	the
country	NN	country
on	IN	on
its	PP$	its
own	JJ	own
up	RB	up
at	IN	at
the	DT	the
top	NN	top
is	VBZ	be
a	DT	a
place	NN	place
I	PP	I
haven	VBP	haven
'	''	'
t	NN	t
been	VBN	be
to	TO	to
.	SENT	.
Maybe	RB	maybe
some	DT	some
of	IN	of
you	PP	you
have	VBP	have
.	SENT	.
Costa	NP	Costa
Rica	NP	Rica
.	SENT	.
Costa	NP	Costa
Rica	NP	Rica
—	:	-
average	JJ	average
life	NN	life
expectancy	NN	expectancy
is	VBZ	be
78-and-a-half	JJ	<unknown>
years	NNS	year
.	SENT	.
That	DT	that
is	VBZ	be
longer	JJR	long
than	IN	than
in	IN	in
the	DT	the
USA	NP	USA
.	SENT	.
They	PP	they
are	VBP	be
,	,	,
according	VBG	accord
to	TO	to
the	DT	the
latest	JJS	late
Gallup	NN	Gallup
world	NN	world
poll	NN	poll
,	,	,
the	DT	the
happiest	JJS	happy
nation	NN	nation
on	IN	on
the	DT	the
planet	NN	planet
—	:	-
than	IN	than
anybody	NN	anybody
;	:	;
more	JJR	more
than	IN	than
Switzerland	NP	Switzerland
and	CC	and
Denmark	NP	Denmark
.	SENT	.
They	PP	they
are	VBP	be
the	DT	the
happiest	JJS	happy
place	NN	place
.	SENT	.
They	PP	they
are	VBP	be
doing	VBG	do
that	IN	that
on	IN	on
a	DT	a
quarter	NN	quarter
of	IN	of
the	DT	the
resources	NNS	resource
that	WDT	that
are	VBP	be
used	VBN	use
typically	RB	typically
in	RB	in
[	SYM	[
the	NP	the
]	SYM	]
Western	JJ	Western
world	NN	world
—	:	-
a	DT	a
quarter	NN	quarter
of	IN	of
the	DT	the
resources	NNS	resource
.	SENT	.
What	WP	what
'	POS	'
s	NNS	<unknown>
going	VBG	go
on	IN	on
there	RB	there
?	SENT	?
What	WP	what
'	POS	'
s	NNS	<unknown>
happening	VBG	happen
in	IN	in
Costa	NP	Costa
Rica	NP	Rica
?	SENT	?
We	PP	we
can	MD	can
look	VB	look
at	IN	at
some	DT	some
of	IN	of
the	DT	the
data	NNS	datum
.	SENT	.
99	CD	@card@
percent	NN	percent
of	IN	of
their	PP$	their
electricity	NN	electricity
comes	VBZ	come
from	IN	from
renewable	JJ	renewable
resources	NNS	resource
.	SENT	.
Their	PP$	their
government	NN	government
is	VBZ	be
one	CD	one
of	IN	of
the	DT	the
first	JJ	first
to	TO	to
commit	VB	commit
to	TO	to
be	VB	be
carbon	NN	carbon
neutral	JJ	neutral
by	IN	by
2021	CD	@card@
.	SENT	.
They	PP	they
abolished	VBD	abolish
the	DT	the
army	NN	army
in	IN	in
1949	CD	@card@
—	:	-
1949	CD	@card@
.	SENT	.
And	CC	and
they	PP	they
invested	VBD	invest
in	IN	in
social	JJ	social
programs	NNS	program
—	:	-
health	NN	health
and	CC	and
education	NN	education
.	SENT	.
They	PP	they
have	VBP	have
one	CD	one
of	IN	of
the	DT	the
highest	JJS	high
literacy	NN	literacy
rates	NNS	rate
in	IN	in
Latin	NP	Latin
America	NP	America
and	CC	and
in	IN	in
the	DT	the
world	NN	world
.	SENT	.
And	CC	and
they	PP	they
have	VBP	have
that	DT	that
Latin	JJ	Latin
vibe	NN	<unknown>
