Ladies	NNS	lady
It	PP	it
takes	VBZ	take
guts	NNS	gut
to	TO	to
stand	VB	stand
out	RP	out
like	IN	like
that	DT	that
.	SENT	.
The	DT	the
first	JJ	first
follower	NN	follower
is	VBZ	be
what	WP	what
transforms	VBZ	transform
a	DT	a
lone	JJ	lone
nut	NN	nut
into	IN	into
a	DT	a
leader	NN	leader
.	SENT	.
And	CC	and
here	RB	here
comes	VBZ	come
a	DT	a
second	JJ	second
follower	NN	follower
.	SENT	.
Now	RB	now
it	PP	it
'	POS	'
s	NN	S
not	RB	not
a	DT	a
lone	JJ	lone
nut	NN	nut
,	,	,
it	PP	it
'	POS	'
s	NN	S
not	RB	not
two	CD	two
nuts	NNS	nut
—	:	-
three	CD	three
is	VBZ	be
a	DT	a
crowd	NN	crowd
,	,	,
and	CC	and
a	DT	a
crowd	NN	crowd
is	VBZ	be
news	NN	news
.	SENT	.
So	IN	so
a	DT	a
movement	NN	movement
must	MD	must
be	VB	be
public	JJ	public
.	SENT	.
It	PP	it
'	POS	'
s	NN	S
important	JJ	important
to	TO	to
show	VB	show
not	RB	not
just	RB	just
the	DT	the
leader	NN	leader
,	,	,
but	CC	but
the	DT	the
followers	NNS	follower
,	,	,
because	IN	because
you	PP	you
find	VBP	find
that	IN	that
new	JJ	new
followers	NNS	follower
emulate	VBP	emulate
the	DT	the
followers	NNS	follower
,	,	,
not	RB	not
the	DT	the
leader	NN	leader
.	SENT	.
Now	RB	now
,	,	,
here	RB	here
come	VBP	come
two	CD	two
more	JJR	more
people	NNS	people
,	,	,
and	CC	and
immediately	RB	immediately
after	RB	after
,	,	,
three	CD	three
more	JJR	more
people	NNS	people
.	SENT	.
Now	RB	now
we	PP	we
'	POS	'
ve	NN	ve
got	VBD	get
momentum	NN	momentum
.	SENT	.
This	DT	this
is	VBZ	be
the	DT	the
tipping	VBG	tip
point	NN	point
.	SENT	.
Now	RB	now
we	PP	we
'	POS	'
ve	NN	ve
got	VBD	get
a	DT	a
movement	NN	movement
.	SENT	.
So	RB	so
,	,	,
notice	VBP	notice
that	IN	that
,	,	,
as	IN	as
more	JJR	more
people	NNS	people
join	VBP	join
in	IN	in
,	,	,
it	PP	it
'	POS	'
s	NNS	<unknown>
less	RBR	less
risky	JJ	risky
.	SENT	.
So	IN	so
those	DT	those
that	WDT	that
were	VBD	be
sitting	VBG	sit
on	IN	on
the	DT	the
fence	NN	fence
before	RB	before
now	RB	now
have	VB	have
no	DT	no
reason	NN	reason
not	RB	not
to	TO	to
.	SENT	.
They	PP	they
won	VBD	win
'	''	'
t	NN	t
stand	VBP	stand
out	RP	out
,	,	,
they	PP	they
won	VBD	win
'	''	'
t	NN	t
be	VB	be
ridiculed	VBN	ridicule
,	,	,
but	CC	but
they	PP	they
will	MD	will
be	VB	be
part	NN	part
of	IN	of
the	DT	the
in-crowd	NN	in-crowd
if	IN	if
they	PP	they
hurry	VBP	hurry
.	SENT	.
So	RB	so
,	,	,
over	IN	over
the	DT	the
next	JJ	next
minute	NN	minute
,	,	,
you	PP	you
'	POS	'
ll	NNS	<unknown>
see	VBP	see
all	DT	all
of	IN	of
those	DT	those
that	WDT	that
prefer	VBP	prefer
to	TO	to
stick	VB	stick
with	IN	with
the	DT	the
crowd	NN	crowd
because	IN	because
eventually	RB	eventually
they	PP	they
would	MD	would
be	VB	be
ridiculed	VBN	ridicule
for	IN	for
not	RB	not
joining	VBG	join
in	IN	in
.	SENT	.
And	CC	and
that	WDT	that
'	POS	'
s	NN	S
how	WRB	how
you	PP	you
make	VBP	make
a	DT	a
movement	NN	movement
.	SENT	.
But	CC	but
let	VB	let
'	''	'
s	NNS	<unknown>
recap	VBP	recap
some	DT	some
lessons	NNS	lesson
from	IN	from
this	DT	this
.	SENT	.
So	RB	so
first	JJ	first
,	,	,
if	IN	if
you	PP	you
are	VBP	be
the	DT	the
type	NN	type
,	,	,
like	IN	like
the	DT	the
shirtless	JJ	shirtless
dancing	NN	dancing
guy	NN	guy
that	WDT	that
is	VBZ	be
standing	VBG	stand
alone	RB	alone
,	,	,
remember	VBP	remember
the	DT	the
importance	NN	importance
of	IN	of
nurturing	VBG	nurture
your	PP$	your
first	JJ	first
few	JJ	few
followers	NNS	follower
as	IN	as
equals	NNS	equal
so	IN	so
it	PP	it
'	POS	'
s	NN	S
clearly	RB	clearly
about	IN	about
the	DT	the
movement	NN	movement
,	,	,
not	RB	not
you	PP	you
.	SENT	.
Okay	RB	okay
,	,	,
but	CC	but
we	PP	we
might	MD	might
have	VB	have
missed	VBN	miss
the	DT	the
real	JJ	real
lesson	NN	lesson
here	RB	here
.	SENT	.
The	DT	the
biggest	JJS	big
lesson	NN	lesson
,	,	,
if	IN	if
you	PP	you
noticed	VBD	notice
—	:	-
did	VBD	do
you	PP	you
catch	VB	catch
it	PP	it
?	SENT	?
—	:	-
is	VBZ	be
that	IN	that
leadership	NN	leadership
is	VBZ	be
over-glorified	JJ	<unknown>
.	SENT	.
Yes	UH	yes
,	,	,
it	PP	it
was	VBD	be
the	DT	the
shirtless	JJ	shirtless
guy	NN	guy
who	WP	who
was	VBD	be
first	JJ	first
,	,	,
and	CC	and
he	PP	he
'	POS	'
ll	NNS	<unknown>
get	VBP	get
all	PDT	all
the	DT	the
credit	NN	credit
,	,	,
but	CC	but
it	PP	it
was	VBD	be
really	RB	really
the	DT	the
first	JJ	first
follower	NN	follower
that	WDT	that
transformed	VBD	transform
the	DT	the
lone	JJ	lone
nut	NN	nut
into	IN	into
a	DT	a
leader	NN	leader
.	SENT	.
So	RB	so
,	,	,
as	IN	as
we	PP	we
'	POS	'
re	NN	re
told	VBD	tell
that	IN	that
we	PP	we
should	MD	should
all	RB	all
be	VB	be
leaders	NNS	leader
,	,	,
that	WDT	that
would	MD	would
be	VB	be
really	RB	really
ineffective	JJ	ineffective
.	SENT	.
If	IN	if
you	PP	you
really	RB	really
care	VBP	care
about	IN	about
starting	VBG	start
a	DT	a
movement	NN	movement
,	,	,
have	VBP	have
the	DT	the
courage	NN	courage
to	TO	to
follow	VB	follow
and	CC	and
show	VB	show
others	NNS	other
how	WRB	how
to	TO	to
follow	VB	follow
.	SENT	.
And	CC	and
when	WRB	when
you	PP	you
find	VBP	find
a	DT	a
lone	JJ	lone
nut	NN	nut
doing	VBG	do
something	NN	something
great	JJ	great
,	,	,
have	VBP	have
the	DT	the
guts	NNS	gut
to	TO	to
be	VB	be
the	DT	the
first	JJ	first
one	CD	one
to	TO	to
stand	VB	stand
up	RP	up
and	CC	and
join	VB	join
in	RP	in
.	SENT	.
And	CC	and
what	WP	what
a	DT	a
perfect	JJ	perfect
place	NN	place
to	TO	to
do	VB	do
that	IN	that
,	,	,
at	IN	at
TED	VB	ted
.	SENT	.
Thanks	NNS	thanks
.	SENT	.
