Sometimes	RB	sometimes
after	IN	after
the	DT	the
stones	NNS	stone
,	,	,
the	DT	the
plants	NNS	plant
that	WDT	that
are	VBP	be
just	RB	just
able	JJ	able
to	TO	to
live	VB	live
.	SENT	.
We	PP	we
have	VBP	have
the	DT	the
animals	NNS	animal
that	WDT	that
are	VBP	be
able	JJ	able
to	TO	to
live	VB	live
and	CC	and
to	TO	to
sense	NN	sense
,	,	,
and	CC	and
on	IN	on
the	DT	the
top	NN	top
of	IN	of
the	DT	the
pyramid	NN	pyramid
,	,	,
there	EX	there
is	VBZ	be
the	DT	the
man	NN	man
.	SENT	.
This	DT	this
is	VBZ	be
not	RB	not
the	DT	the
common	JJ	common
man	NN	man
.	SENT	.
The	DT	the
"	``	"
Homo	NN	homo
studiosus	NN	<unknown>
"	``	"
â	NP	<unknown>
the	DT	the
studying	VBG	study
man	NN	man
.	SENT	.
This	DT	this
is	VBZ	be
quite	RB	quite
comforting	JJ	comforting
for	IN	for
people	NNS	people
like	IN	like
me	PP	me
â	NP	<unknown>
I	NP	I
'	POS	'
m	NN	m
a	DT	a
professor	NN	professor
â	NP	<unknown>
this	DT	this
to	TO	to
be	VB	be
over	RB	over
there	RB	there
on	IN	on
the	DT	the
top	NN	top
of	IN	of
creation	NN	creation
.	SENT	.
But	CC	but
it	PP	it
'	POS	'
s	NN	S
something	NN	something
completely	RB	completely
wrong	JJ	wrong
.	SENT	.
You	PP	you
know	VBP	know
very	RB	very
well	RB	well
about	IN	about
professors	NNS	professor
.	SENT	.
But	CC	but
it	PP	it
'	POS	'
s	NN	S
also	RB	also
wrong	JJ	wrong
about	IN	about
plants	NNS	plant
,	,	,
because	IN	because
plants	NNS	plant
are	VBP	be
not	RB	not
just	RB	just
able	JJ	able
to	TO	to
live	VB	live
;	:	;
they	PP	they
are	VBP	be
able	JJ	able
to	TO	to
sense	NN	sense
.	SENT	.
They	PP	they
are	VBP	be
much	RB	much
more	RBR	more
sophisticated	JJ	sophisticated
in	IN	in
sensing	VBG	sense
than	IN	than
animals	NNS	animal
.	SENT	.
Just	RB	just
to	TO	to
give	VB	give
you	PP	you
an	DT	an
example	NN	example
,	,	,
every	DT	every
single	JJ	single
root	NN	root
apex	NN	apex
is	VBZ	be
able	JJ	able
to	TO	to
detect	VB	detect
and	CC	and
to	TO	to
monitor	VB	monitor
concurrently	RB	concurrently
and	CC	and
continuously	RB	continuously
at	IN	at
least	JJS	least
15	CD	@card@
different	JJ	different
chemical	NN	chemical
and	CC	and
physical	JJ	physical
parameters	NNS	parameter
.	SENT	.
And	CC	and
they	PP	they
also	RB	also
are	VBP	be
able	JJ	able
to	TO	to
show	VB	show
and	CC	and
to	TO	to
exhibit	VB	exhibit
such	PDT	such
a	DT	a
wonderful	JJ	wonderful
and	CC	and
complex	JJ	complex
behavior	NN	behavior
that	WDT	that
can	MD	can
be	VB	be
described	VBN	describe
just	RB	just
with	IN	with
the	DT	the
term	NN	term
of	IN	of
intelligence	NN	intelligence
.	SENT	.
Well	RB	well
,	,	,
but	CC	but
this	DT	this
is	VBZ	be
something	NN	something
â	NP	<unknown>
this	DT	this
underestimation	NN	underestimation
of	IN	of
plants	NNS	plant
is	VBZ	be
something	NN	something
that	WDT	that
is	VBZ	be
always	RB	always
with	IN	with
us	PP	us
.	SENT	.
Let	NP	Let
'	POS	'
s	NNS	<unknown>
have	VBP	have
a	DT	a
look	NN	look
at	IN	at
this	DT	this
short	JJ	short
movie	NN	movie
now	RB	now
.	SENT	.
We	PP	we
have	VBP	have
David	NP	David
Attenborough	NP	Attenborough
.	SENT	.
Now	RB	now
David	NP	David
Attenborough	NP	Attenborough
is	VBZ	be
really	RB	really
a	DT	a
plant	NN	plant
lover	NN	lover
;	:	;
he	PP	he
did	VBD	do
some	DT	some
of	IN	of
the	DT	the
most	RBS	most
beautiful	JJ	beautiful
movies	NNS	movie
about	IN	about
plant	NN	plant
behavior	NN	behavior
.	SENT	.
Now	RB	now
,	,	,
when	WRB	when
he	PP	he
speaks	VBZ	speak
about	IN	about
plants	NNS	plant
,	,	,
everything	NN	everything
is	VBZ	be
correct	JJ	correct
.	SENT	.
When	WRB	when
he	PP	he
speaks	VBZ	speak
about	IN	about
animals	NNS	animal
,	,	,
[	SYM	[
he	PP	he
]	SYM	]
tends	VBZ	tend
to	TO	to
remove	VB	remove
the	DT	the
fact	NN	fact
that	IN	that
plants	NNS	plant
exist	VBP	exist
.	SENT	.
The	DT	the
blue	JJ	blue
whale	NN	whale
,	,	,
the	DT	the
biggest	JJS	big
creature	NN	creature
that	WDT	that
exists	VBZ	exist
on	IN	on
the	DT	the
planet	NN	planet
â	NP	<unknown>
that	WDT	that
is	VBZ	be
wrong	JJ	wrong
,	,	,
completely	RB	completely
wrong	JJ	wrong
.	SENT	.
The	DT	the
blue	JJ	blue
whale	NN	whale
,	,	,
it	PP	it
'	POS	'
s	NNS	<unknown>
a	DT	a
dwarf	NN	dwarf
if	IN	if
compared	VBN	compare
with	IN	with
the	DT	the
real	JJ	real
biggest	JJS	big
creature	NN	creature
that	WDT	that
exists	VBZ	exist
on	IN	on
the	DT	the
planet	NN	planet
â	NP	<unknown>
that	WDT	that
is	VBZ	be
,	,	,
this	DT	this
wonderful	JJ	wonderful
,	,	,
magnificent	JJ	magnificent
Sequoiadendron	NP	<unknown>
giganteum	NN	<unknown>
.	SENT	.
And	CC	and
this	DT	this
is	VBZ	be
a	DT	a
living	VBG	live
organism	NN	organism
that	WDT	that
has	VBZ	have
a	DT	a
mass	NN	mass
of	IN	of
at	IN	at
least	JJS	least
2	CD	@card@
,	,	,
000	CD	@card@
tons	NNS	ton
.	SENT	.
Now	RB	now
,	,	,
the	DT	the
story	NN	story
that	IN	that
plants	NNS	plant
are	VBP	be
some	DT	some
low-level	JJ	low-level
organisms	NNS	organism
has	VBZ	have
been	VBN	be
formalized	VBN	formalize
many	JJ	many
times	NNS	time
ago	RB	ago
by	IN	by
Aristotle	NP	Aristotle
,	,	,
that	WDT	that
in	IN	in
"	``	"
De	NP	De
Anima	NP	Anima
"	``	"
â	NP	<unknown>
that	DT	that
is	VBZ	be
a	DT	a
very	RB	very
influential	JJ	influential
book	NN	book
for	IN	for
the	DT	the
Western	JJ	Western
civilization	NN	civilization
â	NP	<unknown>
wrote	VBD	write
that	IN	that
the	DT	the
plants	NNS	plant
are	VBP	be
on	IN	on
the	DT	the
edge	NN	edge
between	IN	between
living	VBG	live
and	CC	and
not	RB	not
living	VBG	live
.	SENT	.
They	PP	they
have	VBP	have
just	RB	just
a	DT	a
kind	NN	kind
of	IN	of
very	RB	very
low-level	JJ	low-level
soul	NN	soul
.	SENT	.
It	PP	it
'	POS	'
s	NN	S
called	VBD	call
the	DT	the
vegetative	JJ	vegetative
soul	NN	soul
,	,	,
because	IN	because
they	PP	they
lack	VBP	lack
movement	NN	movement
,	,	,
and	CC	and
so	RB	so
they	PP	they
don	VB	don
'	''	'
t	NN	t
need	NN	need
to	TO	to
sense	NN	sense
.	SENT	.
Let	NP	Let
'	POS	'
s	NNS	<unknown>
see	VBP	see
.	SENT	.
Okay	RB	okay
,	,	,
some	DT	some
of	IN	of
the	DT	the
movements	NNS	movement
of	IN	of
the	DT	the
plants	NNS	plant
are	VBP	be
very	RB	very
well-known	JJ	well-known
.	SENT	.
This	DT	this
is	VBZ	be
a	DT	a
very	RB	very
fast	JJ	fast
movement	NN	movement
.	SENT	.
This	DT	this
is	VBZ	be
a	DT	a
Dionaea	NP	<unknown>
,	,	,
a	DT	a
Venus	NP	Venus
fly	NN	fly
trap	NN	trap
hunting	NN	hunting
snails	NNS	snail
â	NP	<unknown>
sorry	RB	sorry
for	IN	for
the	DT	the
snail	NN	snail
.	SENT	.
This	DT	this
has	VBZ	have
been	VBN	be
something	NN	something
that	WDT	that
has	VBZ	have
been	VBN	be
refused	VBN	refuse
for	IN	for
centuries	NNS	century
,	,	,
despite	IN	despite
the	DT	the
evidence	NN	evidence
.	SENT	.
No	DT	no
one	CD	one
can	MD	can
say	VB	say
that	IN	that
the	DT	the
plants	NNS	plant
were	VBD	be
able	JJ	able
to	TO	to
eat	VB	eat
an	DT	an
animal	NN	animal
,	,	,
because	IN	because
it	PP	it
was	VBD	be
against	IN	against
the	DT	the
order	NN	order
of	IN	of
nature	NN	nature
.	SENT	.
But	CC	but
plants	NNS	plant
are	VBP	be
also	RB	also
able	JJ	able
to	TO	to
show	VB	show
a	DT	a
lot	NN	lot
of	IN	of
movement	NN	movement
.	SENT	.
Some	DT	some
of	IN	of
them	PP	them
are	VBP	be
very	RB	very
well	RB	well
known	VBN	know
,	,	,
like	IN	like
the	DT	the
flowering	JJ	flowering
.	SENT	.
It	PP	it
'	POS	'
s	NN	S
just	RB	just
a	DT	a
question	NN	question
to	TO	to
use	VB	use
some	DT	some
techniques	NNS	technique
like	IN	like
the	DT	the
time	NN	time
lapse	NN	lapse
.	SENT	.
Some	DT	some
of	IN	of
them	PP	them
are	VBP	be
much	RB	much
more	RBR	more
sophisticated	JJ	sophisticated
.	SENT	.
Look	VB	look
at	IN	at
this	DT	this
young	JJ	young
bean	NN	bean
that	WDT	that
is	VBZ	be
moving	VBG	move
to	TO	to
catch	VB	catch
the	DT	the
light	NN	light
every	DT	every
time	NN	time
.	SENT	.
And	CC	and
it	PP	it
'	POS	'
s	NN	S
really	RB	really
so	RB	so
graceful	JJ	graceful
;	:	;
it	PP	it
'	POS	'
s	NN	S
like	IN	like
a	DT	a
dancing	NN	dancing
angel	NN	angel
.	SENT	.
They	PP	they
are	VBP	be
also	RB	also
able	JJ	able
to	TO	to
play	VB	play
â	NP	<unknown>
they	PP	they
are	VBP	be
really	RB	really
playing	VBG	play
.	SENT	.
These	DT	these
are	VBP	be
young	JJ	young
sunflowers	NNS	sunflower
,	,	,
and	CC	and
what	WP	what
they	PP	they
are	VBP	be
doing	VBG	do
cannot	MD	can
be	VB	be
described	VBN	describe
with	IN	with
any	DT	any
other	JJ	other
terms	NNS	term
than	IN	than
playing	NN	playing
.	SENT	.
They	PP	they
are	VBP	be
training	VBG	train
themselves	PP	themselves
,	,	,
as	IN	as
many	JJ	many
young	JJ	young
animals	NNS	animal
do	VBP	do
,	,	,
to	TO	to
the	DT	the
adult	JJ	adult
life	NN	life
where	WRB	where
they	PP	they
will	MD	will
be	VB	be
called	VBN	call
to	TO	to
track	VB	track
the	DT	the
sun	NN	sun
all	RB	all
the	DT	the
day	NN	day
.	SENT	.
They	PP	they
are	VBP	be
able	JJ	able
to	TO	to
respond	VB	respond
to	TO	to
gravity	NN	gravity
,	,	,
of	IN	of
course	NN	course
,	,	,
so	RB	so
the	DT	the
shoots	NNS	shoot
are	VBP	be
growing	VBG	grow
against	IN	against
the	DT	the
vector	NN	vector
of	IN	of
gravity	NN	gravity
and	CC	and
the	DT	the
roots	NNS	root
toward	IN	toward
the	DT	the
vector	NN	vector
of	IN	of
gravity	NN	gravity
.	SENT	.
But	CC	but
they	PP	they
are	VBP	be
also	RB	also
able	JJ	able
to	TO	to
sleep	VB	sleep
.	SENT	.
This	DT	this
is	VBZ	be
one	CD	one
,	,	,
Mimosa	NN	mimosa
pudica	NN	<unknown>
.	SENT	.
So	RB	so
during	IN	during
the	DT	the
night	NN	night
,	,	,
they	PP	they
curl	VBP	curl
the	DT	the
leaves	NNS	leaf
and	CC	and
reduce	VB	reduce
the	DT	the
movement	NN	movement
,	,	,
and	CC	and
during	IN	during
the	DT	the
day	NN	day
,	,	,
you	PP	you
have	VBP	have
the	DT	the
opening	NN	opening
of	IN	of
the	DT	the
leaves	VBZ	leave
â	NP	<unknown>
there	RB	there
is	VBZ	be
much	RB	much
more	JJR	more
movement	NN	movement
.	SENT	.
This	DT	this
is	VBZ	be
interesting	JJ	interesting
because	IN	because
this	DT	this
sleeping	NN	sleeping
machinery	NN	machinery
,	,	,
it	PP	it
'	POS	'
s	NN	S
perfectly	RB	perfectly
conserved	VBN	conserve
.	SENT	.
It	PP	it
'	POS	'
s	NN	S
the	DT	the
same	JJ	same
in	IN	in
plants	NNS	plant
,	,	,
in	IN	in
insects	NNS	insect
and	CC	and
in	IN	in
animals	NNS	animal
.	SENT	.
And	CC	and
so	RB	so
if	IN	if
you	PP	you
need	VBP	need
to	TO	to
study	VB	study
this	DT	this
sleeping	NN	sleeping
problem	NN	problem
,	,	,
it	PP	it
'	POS	'
s	NN	S
easy	JJ	easy
to	TO	to
study	VB	study
on	IN	on
plants	NNS	plant
,	,	,
for	IN	for
example	NN	example
,	,	,
than	IN	than
in	IN	in
animals	NNS	animal
and	CC	and
it	PP	it
'	POS	'
s	NN	S
much	RB	much
more	RBR	more
easy	JJ	easy
even	RB	even
ethically	RB	ethically
.	SENT	.
It	PP	it
'	POS	'
s	NNS	<unknown>
a	DT	a
kind	NN	kind
of	IN	of
vegetarian	JJ	vegetarian
experimentation	NN	experimentation
.	SENT	.
Plants	NNS	plant
are	VBP	be
even	RB	even
able	JJ	able
to	TO	to
communicate	VB	communicate
â	NP	<unknown>
they	PP	they
are	VBP	be
extraordinary	JJ	extraordinary
communicators	NNS	communicator
.	SENT	.
They	PP	they
communicate	VBP	communicate
with	IN	with
other	JJ	other
plants	NNS	plant
.	SENT	.
They	PP	they
are	VBP	be
able	JJ	able
to	TO	to
distinguish	VB	distinguish
kin	NN	kin
and	CC	and
non-	NN	non-
kin	NN	kin
.	SENT	.
They	PP	they
communicate	VBP	communicate
with	IN	with
plants	NNS	plant
of	IN	of
other	JJ	other
species	NNS	specie
and	CC	and
they	PP	they
communicate	VBP	communicate
with	IN	with
animals	NNS	animal
by	IN	by
producing	VBG	produce
chemical	NN	chemical
volatiles	NNS	volatile
,	,	,
for	IN	for
example	NN	example
,	,	,
during	IN	during
the	DT	the
pollination	NN	pollination
.	SENT	.
Now	RB	now
with	IN	with
the	DT	the
pollination	NN	pollination
,	,	,
it	PP	it
'	POS	'
s	NN	S
a	DT	a
very	RB	very
serious	JJ	serious
issue	NN	issue
for	IN	for
plants	NNS	plant
,	,	,
because	IN	because
they	PP	they
move	VBP	move
the	DT	the
pollen	NN	pollen
from	IN	from
one	CD	one
flower	NN	flower
to	TO	to
the	DT	the
other	JJ	other
,	,	,
yet	CC	yet
they	PP	they
cannot	MD	can
move	VB	move
from	IN	from
one	CD	one
flower	NN	flower
to	TO	to
the	DT	the
other	JJ	other
.	SENT	.
So	RB	so
they	PP	they
need	VBP	need
a	DT	a
vector	NN	vector
â	NP	<unknown>
and	CC	and
this	DT	this
vector	NN	vector
,	,	,
it	PP	it
'	POS	'
s	NN	S
normally	RB	normally
an	DT	an
animal	NN	animal
.	SENT	.
Many	JJ	many
insects	NNS	insect
have	VBP	have
been	VBN	be
used	VBN	use
by	IN	by
plants	NNS	plant
as	IN	as
vectors	NNS	vector
for	IN	for
the	DT	the
transport	NN	transport
of	IN	of
the	DT	the
pollination	NN	pollination
,	,	,
but	CC	but
not	RB	not
just	RB	just
insects	NNS	insect
;	:	;
even	RB	even
birds	NNS	bird
,	,	,
reptiles	NNS	reptile
,	,	,
and	CC	and
mammals	NNS	mammal
like	IN	like
bats	NNS	bat
rats	NNS	rat
are	VBP	be
normally	RB	normally
used	VBN	use
for	IN	for
the	DT	the
transportation	NN	transportation
of	IN	of
the	DT	the
pollen	NN	pollen
.	SENT	.
This	DT	this
is	VBZ	be
a	DT	a
serious	JJ	serious
business	NN	business
.	SENT	.
We	PP	we
have	VBP	have
the	DT	the
plants	NNS	plant
that	WDT	that
are	VBP	be
giving	VBG	give
to	TO	to
the	DT	the
animals	NNS	animal
a	DT	a
kind	NN	kind
of	IN	of
sweet	JJ	sweet
substance	NN	substance
â	NP	<unknown>
very	RB	very
energizing	VBG	energize
â	NP	<unknown>
having	VBG	have
in	RB	in
change	VB	change
this	DT	this
transportation	NN	transportation
of	IN	of
the	DT	the
pollen	NN	pollen
.	SENT	.
But	CC	but
some	DT	some
plants	NNS	plant
are	VBP	be
manipulating	VBG	manipulate
animals	NNS	animal
,	,	,
like	IN	like
in	IN	in
the	DT	the
case	NN	case
of	IN	of
orchids	NNS	orchid
that	WDT	that
promise	VBP	promise
sex	NN	sex
and	CC	and
nectar	NN	nectar
and	CC	and
give	VB	give
in	IN	in
change	NN	change
nothing	NN	nothing
for	IN	for
the	DT	the
transportation	NN	transportation
of	IN	of
the	DT	the
pollen	NN	pollen
.	SENT	.
Now	RB	now
,	,	,
there	EX	there
is	VBZ	be
a	DT	a
big	JJ	big
problem	NN	problem
behind	IN	behind
all	PDT	all
this	DT	this
behavior	NN	behavior
that	IN	that
we	PP	we
have	VBP	have
seen	VBN	see
.	SENT	.
How	WRB	how
is	VBZ	be
it	PP	it
possible	JJ	possible
to	TO	to
do	VB	do
this	DT	this
without	IN	without
a	DT	a
brain	NN	brain
?	SENT	?
We	PP	we
need	VBP	need
to	TO	to
wait	VB	wait
until	IN	until
1880	CD	@card@
,	,	,
when	WRB	when
this	DT	this
big	JJ	big
man	NN	man
,	,	,
Charles	NP	Charles
Darwin	NP	Darwin
,	,	,
publishes	VBZ	publish
a	DT	a
wonderful	JJ	wonderful
,	,	,
astonishing	JJ	astonishing
book	NN	book
that	WDT	that
starts	VBZ	start
a	DT	a
revolution	NN	revolution
.	SENT	.
The	DT	the
title	NN	title
is	VBZ	be
"	``	"
The	DT	the
Power	NN	power
of	IN	of
Movement	NP	Movement
in	IN	in
Plants	NP	Plants
.	SENT	.
"	``	"
No	DT	no
one	CD	one
was	VBD	be
allowed	VBN	allow
to	TO	to
speak	VB	speak
about	IN	about
movement	NN	movement
in	IN	in
plants	NNS	plant
before	IN	before
Charles	NP	Charles
Darwin	NP	Darwin
.	SENT	.
In	IN	in
his	PP$	his
book	NN	book
,	,	,
assisted	VBN	assist
by	IN	by
his	PP$	his
son	NN	son
,	,	,
Francis	NP	Francis
â	NP	<unknown>
who	WP	who
was	VBD	be
the	DT	the
first	JJ	first
professor	NN	professor
of	IN	of
plant	NN	plant
physiology	NN	physiology
in	IN	in
the	DT	the
world	NN	world
,	,	,
in	IN	in
Cambridge	NP	Cambridge
â	NP	<unknown>
they	PP	they
took	VBD	take
into	IN	into
consideration	NN	consideration
every	DT	every
single	JJ	single
movement	NN	movement
for	IN	for
500	CD	@card@
pages	NNS	page
.	SENT	.
And	CC	and
in	IN	in
the	DT	the
last	JJ	last
paragraph	NN	paragraph
of	IN	of
the	DT	the
book	NN	book
,	,	,
it	PP	it
'	POS	'
s	NNS	<unknown>
a	DT	a
kind	NN	kind
of	IN	of
stylistic	JJ	stylistic
mark	NN	mark
,	,	,
because	IN	because
normally	RB	normally
Charles	NP	Charles
Darwin	NP	Darwin
stored	VBD	store
,	,	,
in	IN	in
the	DT	the
last	JJ	last
paragraph	NN	paragraph
of	IN	of
a	DT	a
book	NN	book
,	,	,
the	DT	the
most	RBS	most
important	JJ	important
message	NN	message
.	SENT	.
He	PP	he
wrote	VBD	write
that	IN	that
,	,	,
"	``	"
It	PP	it
'	POS	'
s	NN	S
hardly	RB	hardly
an	DT	an
exaggeration	NN	exaggeration
to	TO	to
say	VB	say
that	IN	that
the	DT	the
tip	NN	tip
of	IN	of
the	DT	the
radical	JJ	radical
acts	NNS	act
like	IN	like
the	DT	the
brain	NN	brain
of	IN	of
one	CD	one
of	IN	of
the	DT	the
lower	JJR	low
animals	NNS	animal
.	SENT	.
"	``	"
This	DT	this
is	VBZ	be
not	RB	not
a	DT	a
metaphor	NN	metaphor
.	SENT	.
He	PP	he
wrote	VBD	write
some	DT	some
very	RB	very
interesting	JJ	interesting
letters	NNS	letter
to	TO	to
one	CD	one
of	IN	of
his	PP$	his
friends	NNS	friend
who	WP	who
was	VBD	be
J	NP	J
.	SENT	.
D	LS	d
.	SENT	.
Hooker	NP	Hooker
,	,	,
or	CC	or
at	IN	at
that	DT	that
time	NN	time
,	,	,
president	NN	president
of	IN	of
the	DT	the
Royal	NP	Royal
Society	NP	Society
,	,	,
so	RB	so
the	DT	the
maximum	JJ	maximum
scientific	JJ	scientific
authority	NN	authority
in	IN	in
Britain	NP	Britain
speaking	VBG	speak
about	IN	about
the	DT	the
brain	NN	brain
in	IN	in
the	DT	the
plants	NNS	plant
.	SENT	.
Now	RB	now
,	,	,
this	DT	this
is	VBZ	be
a	DT	a
root	NN	root
apex	NN	apex
growing	VBG	grow
against	IN	against
a	DT	a
slope	NN	slope
.	SENT	.
So	RB	so
you	PP	you
can	MD	can
recognize	VB	recognize
this	DT	this
kind	NN	kind
of	IN	of
movement	NN	movement
,	,	,
the	DT	the
same	JJ	same
movement	NN	movement
that	IN	that
worms	NNS	worm
,	,	,
snakes	NNS	snake
and	CC	and
every	DT	every
animal	NN	animal
that	WDT	that
are	VBP	be
moving	VBG	move
on	IN	on
the	DT	the
ground	NN	ground
without	IN	without
legs	NNS	leg
is	VBZ	be
able	JJ	able
to	TO	to
display	VB	display
.	SENT	.
And	CC	and
it	PP	it
'	POS	'
s	NN	S
not	RB	not
an	DT	an
easy	JJ	easy
movement	NN	movement
because	IN	because
,	,	,
to	TO	to
have	VB	have
this	DT	this
kind	NN	kind
of	IN	of
movement	NN	movement
,	,	,
you	PP	you
need	VBP	need
to	TO	to
move	VB	move
different	JJ	different
regions	NNS	region
of	IN	of
the	DT	the
root	NN	root
and	CC	and
to	TO	to
synchronize	VB	synchronize
these	DT	these
different	JJ	different
regions	NNS	region
without	IN	without
having	VBG	have
a	DT	a
brain	NN	brain
.	SENT	.
So	RB	so
we	PP	we
studied	VBD	study
the	DT	the
root	NN	root
apex	NN	apex
and	CC	and
we	PP	we
found	VBD	find
that	IN	that
there	EX	there
is	VBZ	be
a	DT	a
specific	JJ	specific
region	NN	region
that	WDT	that
is	VBZ	be
here	RB	here
,	,	,
depicted	VBN	depict
in	IN	in
blue	JJ	blue
â	NP	<unknown>
that	WDT	that
is	VBZ	be
called	VBN	call
the	DT	the
"	``	"
transition	NN	transition
zone	NN	zone
.	SENT	.
"	''	"
And	CC	and
this	DT	this
region	NN	region
,	,	,
it	PP	it
'	POS	'
s	NN	S
a	DT	a
very	RB	very
small	JJ	small
region	NN	region
â	NP	<unknown>
it	PP	it
'	POS	'
s	NNS	<unknown>
less	RBR	less
than	IN	than
one	CD	one
millimeter	NN	millimeter
.	SENT	.
And	CC	and
in	IN	in
this	DT	this
small	JJ	small
region	NN	region
you	PP	you
have	VBP	have
the	DT	the
highest	JJS	high
consumption	NN	consumption
of	IN	of
oxygen	NN	oxygen
in	IN	in
the	DT	the
plants	NNS	plant
and	CC	and
more	RBR	more
important	JJ	important
,	,	,
you	PP	you
have	VBP	have
these	DT	these
kinds	NNS	kind
of	IN	of
signals	NNS	signal
here	RB	here
.	SENT	.
The	DT	the
signals	VBZ	signal
that	IN	that
you	PP	you
are	VBP	be
seeing	VBG	see
here	RB	here
are	VBP	be
action	NN	action
potential	JJ	potential
,	,	,
are	VBP	be
the	DT	the
same	JJ	same
signals	NNS	signal
that	IN	that
the	DT	the
neurons	NNS	neuron
of	IN	of
my	PP$	my
brain	NN	brain
,	,	,
of	IN	of
our	PP$	our
brain	NN	brain
,	,	,
