Last	JJ	last
standards	NNS	standard
,	,	,
then	RB	then
a	DT	a
user	NN	user
could	MD	could
just	RB	just
make	VB	make
a	DT	a
map	NN	map
,	,	,
just	RB	just
by	IN	by
clicking	VBG	click
.	SENT	.
Does	VBZ	do
this	DT	this
data	NNS	datum
affect	VBP	affect
things	NNS	thing
?	SENT	?
Well	RB	well
,	,	,
let	VBP	let
'	POS	'
s	NNS	<unknown>
get	VBP	get
back	RB	back
to	TO	to
2008	CD	@card@
.	SENT	.
Look	NN	look
at	IN	at
Zanesville	NP	Zanesville
,	,	,
Ohio	NP	Ohio
.	SENT	.
Here	RB	here
'	''	'
s	VBG	<unknown>
a	DT	a
map	NN	map
a	DT	a
lawyer	NN	lawyer
made	VBD	make
.	SENT	.
He	PP	he
put	VBD	put
on	IN	on
it	PP	it
the	DT	the
water	NN	water
plant	NN	plant
,	,	,
and	CC	and
which	WDT	which
houses	NNS	house
are	VBP	be
there	RB	there
,	,	,
which	WDT	which
houses	NNS	house
have	VBP	have
been	VBN	be
connected	VBN	connect
to	TO	to
the	DT	the
water	NN	water
.	SENT	.
And	CC	and
he	PP	he
got	VBD	get
,	,	,
from	IN	from
other	JJ	other
data	NNS	datum
sources	NNS	source
,	,	,
information	NN	information
to	TO	to
show	VB	show
which	WDT	which
houses	NNS	house
are	VBP	be
occupied	VBN	occupy
by	IN	by
white	JJ	white
people	NNS	people
.	SENT	.
Well	RB	well
,	,	,
there	EX	there
was	VBD	be
too	RB	too
much	JJ	much
of	IN	of
a	DT	a
correlation	NN	correlation
,	,	,
he	PP	he
felt	VBD	feel
,	,	,
between	IN	between
which	WDT	which
houses	NNS	house
were	VBD	be
occupied	VBN	occupy
by	IN	by
white	JJ	white
people	NNS	people
and	CC	and
which	WDT	which
houses	NNS	house
had	VBD	have
water	NN	water
,	,	,
and	CC	and
the	DT	the
judge	NN	judge
was	VBD	be
not	RB	not
impressed	VBN	impress
either	RB	either
.	SENT	.
The	DT	the
judge	NN	judge
was	VBD	be
not	RB	not
impressed	VBN	impress
to	TO	to
the	DT	the
tune	NN	tune
of	IN	of
10	CD	@card@
.	SENT	.
9	CD	@card@
million	CD	million
dollars	NNS	dollar
.	SENT	.
That	IN	that
'	POS	'
s	NNS	<unknown>
the	DT	the
power	NN	power
of	IN	of
taking	VBG	take
one	CD	one
piece	NN	piece
of	IN	of
data	NNS	datum
,	,	,
another	DT	another
piece	NN	piece
of	IN	of
data	NNS	datum
,	,	,
putting	VBG	put
it	PP	it
together	RB	together
,	,	,
and	CC	and
showing	VBG	show
the	DT	the
result	NN	result
.	SENT	.
Let	NP	Let
'	POS	'
s	NNS	<unknown>
look	VBP	look
at	IN	at
some	DT	some
data	NNS	datum
from	IN	from
the	DT	the
U	NP	U
.	SENT	.
K	NP	K
.	SENT	.
now	RB	now
.	SENT	.
This	DT	this
is	VBZ	be
U	NP	U
.	SENT	.
K	NP	K
.	SENT	.
government	NN	government
data	NNS	datum
,	,	,
a	DT	a
completely	RB	completely
independent	JJ	independent
site	NN	site
,	,	,
Where	WRB	where
Does	NP	Does
My	NP	My
Money	NP	Money
Go	NP	Go
.	SENT	.
It	PP	it
allows	VBZ	allow
anybody	NN	anybody
to	TO	to
go	VB	go
there	RB	there
and	CC	and
burrow	VB	burrow
down	RP	down
.	SENT	.
You	PP	you
can	MD	can
burrow	VB	burrow
down	RP	down
by	IN	by
a	DT	a
particular	JJ	particular
type	NN	type
of	IN	of
spending	NN	spending
,	,	,
or	CC	or
you	PP	you
can	MD	can
go	VB	go
through	IN	through
all	PDT	all
the	DT	the
different	JJ	different
regions	NNS	region
and	CC	and
compare	VB	compare
them	PP	them
.	SENT	.
So	RB	so
,	,	,
that	IN	that
'	POS	'
s	NNS	<unknown>
happening	VBG	happen
in	IN	in
the	DT	the
U	NP	U
.	SENT	.
K	NP	K
.	SENT	.
with	IN	with
U	NP	U
.	SENT	.
K	NP	K
.	SENT	.
government	NN	government
data	NNS	datum
.	SENT	.
Yes	UH	yes
,	,	,
certainly	RB	certainly
you	PP	you
can	MD	can
do	VB	do
it	PP	it
over	RP	over
here	RB	here
.	SENT	.
Here	RB	here
'	''	'
s	VBG	<unknown>
a	DT	a
site	NN	site
which	WDT	which
allows	VBZ	allow
you	PP	you
to	TO	to
look	VB	look
at	IN	at
recovery	NN	recovery
spending	NN	spending
in	IN	in
California	NP	California
.	SENT	.
Take	VB	take
an	DT	an
arbitrary	JJ	arbitrary
example	NN	example
,	,	,
Long	NP	Long
Beach	NP	Beach
,	,	,
California	NP	California
,	,	,
you	PP	you
can	MD	can
go	VB	go
and	CC	and
have	VBP	have
a	DT	a
look	NN	look
at	IN	at
what	WP	what
recovery	NN	recovery
money	NN	money
they	PP	they
'	POS	'
ve	RB	<unknown>
been	VBN	be
spending	VBG	spend
on	IN	on
different	JJ	different
things	NNS	thing
such	JJ	such
as	IN	as
energy	NN	energy
.	SENT	.
In	IN	in
fact	NN	fact
,	,	,
this	DT	this
is	VBZ	be
the	DT	the
graph	NN	graph
of	IN	of
the	DT	the
number	NN	number
of	IN	of
data	NN	data
sets	NNS	set
in	IN	in
the	DT	the
repositories	NNS	repository
of	IN	of
data	NNS	datum
.	SENT	.
gov	NP	Gov
,	,	,
and	CC	and
data	NNS	datum
.	SENT	.
gov	NP	Gov
.	SENT	.
uk	NP	Uk
.	SENT	.
And	CC	and
I	PP	I
'	POS	'
m	NN	m
delighted	VBD	delight
to	TO	to
see	VB	see
a	DT	a
great	JJ	great
competition	NN	competition
between	IN	between
the	DT	the
U	NP	U
.	SENT	.
K	NP	K
.	SENT	.
in	IN	in
blue	JJ	blue
,	,	,
and	CC	and
the	DT	the
U	NP	U
.	SENT	.
S	NP	S
.	SENT	.
in	IN	in
red	NN	red
.	SENT	.
How	WRB	how
can	MD	can
you	PP	you
use	VB	use
this	DT	this
stuff	NN	stuff
?	SENT	?
Well	RB	well
,	,	,
for	IN	for
example	NN	example
,	,	,
if	IN	if
you	PP	you
have	VBP	have
lots	NNS	lot
of	IN	of
data	NNS	datum
about	IN	about
places	NNS	place
you	PP	you
can	MD	can
take	VB	take
,	,	,
from	IN	from
a	DT	a
postcode	NN	postcode
â	NP	<unknown>
which	WDT	which
is	VBZ	be
like	IN	like
a	DT	a
zip	NN	zip
plus	IN	plus
four	CD	four
â	NP	<unknown>
for	IN	for
a	DT	a
specific	JJ	specific
group	NN	group
of	IN	of
houses	NNS	house
,	,	,
you	PP	you
can	MD	can
make	VB	make
paper	NN	paper
,	,	,
print	NN	print
off	IN	off
a	DT	a
paper	NN	paper
which	WDT	which
has	VBZ	have
got	VBN	get
very	RB	very
,	,	,
very	RB	very
specific	JJ	specific
things	NNS	thing
about	IN	about
the	DT	the
bus	NN	bus
stops	VBZ	stop
,	,	,
the	DT	the
things	NNS	thing
specifically	RB	specifically
near	IN	near
you	PP	you
.	SENT	.
On	IN	on
a	DT	a
larger	JJR	large
scale	NN	scale
,	,	,
this	DT	this
is	VBZ	be
a	DT	a
mash-up	NN	<unknown>
of	IN	of
the	DT	the
data	NNS	datum
which	WDT	which
was	VBD	be
released	VBN	release
about	IN	about
the	DT	the
Afghan	JJ	Afghan
elections	NNS	election
.	SENT	.
It	PP	it
allows	VBZ	allow
you	PP	you
to	TO	to
set	VB	set
your	PP$	your
own	JJ	own
criteria	NNS	criterion
for	IN	for
what	WP	what
sort	NN	sort
of	IN	of
things	NNS	thing
you	PP	you
want	VBP	want
to	TO	to
look	VB	look
at	IN	at
.	SENT	.
The	DT	the
red	JJ	red
circles	NNS	circle
are	VBP	be
polling	VBG	poll
stations	NNS	station
,	,	,
selected	VBN	select
by	IN	by
your	PP$	your
criteria	NNS	criterion
.	SENT	.
And	CC	and
then	RB	then
you	PP	you
can	MD	can
select	VB	select
also	RB	also
other	JJ	other
things	NNS	thing
on	IN	on
the	DT	the
map	NN	map
to	TO	to
see	VB	see
what	WP	what
other	JJ	other
factors	NNS	factor
,	,	,
like	IN	like
the	DT	the
threat	NN	threat
level	NN	level
.	SENT	.
So	RB	so
,	,	,
that	WDT	that
was	VBD	be
government	NN	government
data	NNS	datum
.	SENT	.
I	PP	I
also	RB	also
talked	VBD	talk
about	IN	about
community-generated	JJ	<unknown>
data	NNS	datum
â	NP	<unknown>
in	IN	in
fact	NN	fact
I	PP	I
edited	VBD	edit
some	RB	some
.	SENT	.
This	DT	this
is	VBZ	be
the	DT	the
wiki	NP	<unknown>
map	NN	map
,	,	,
this	DT	this
is	VBZ	be
the	DT	the
Open	JJ	open
Street	NP	Street
Map	NN	map
.	SENT	.
"	''	"
Terrace	NP	Terrace
Theater	NP	Theater
"	``	"
I	PP	I
actually	RB	actually
put	VBD	put
on	IN	on
the	DT	the
map	NN	map
because	IN	because
it	PP	it
wasn	NN	<unknown>
'	POS	'
t	NN	t
on	IN	on
the	DT	the
map	NN	map
before	RB	before
TED	VB	ted
last	JJ	last
year	NN	year
.	SENT	.
I	PP	I
was	VBD	be
not	RB	not
the	DT	the
only	JJ	only
person	NN	person
editing	VBG	edit
the	DT	the
open	JJ	open
street	NN	street
map	NN	map
.	SENT	.
Each	DT	each
flash	NN	flash
on	IN	on
this	DT	this
visualization	NN	visualization
â	NP	<unknown>
put	VBD	put
together	RB	together
by	IN	by
ITO	NP	Ito
World	NP	World
â	NP	<unknown>
shows	VBZ	show
an	DT	an
edit	VB	edit
in	IN	in
2009	CD	@card@
made	VBN	make
to	TO	to
the	DT	the
Open	NP	Open
Street	NP	Street
Map	NN	map
.	SENT	.
Let	NP	Let
'	POS	'
s	NNS	<unknown>
now	RB	now
spin	VB	spin
the	DT	the
world	NN	world
during	IN	during
the	DT	the
same	JJ	same
year	NN	year
.	SENT	.
Every	DT	every
flash	NN	flash
is	VBZ	be
an	DT	an
edit	VB	edit
.	SENT	.
Somebody	NN	somebody
somewhere	RB	somewhere
looking	VBG	look
at	IN	at
the	DT	the
Open	NP	Open
Street	NP	Street
Map	NN	map
,	,	,
and	CC	and
realizing	VBG	realize
it	PP	it
could	MD	could
be	VB	be
better	JJR	good
.	SENT	.
You	PP	you
can	MD	can
see	VB	see
Europe	NP	Europe
is	VBZ	be
ablaze	RB	ablaze
with	IN	with
updates	NNS	update
.	SENT	.
Some	DT	some
places	NNS	place
,	,	,
perhaps	RB	perhaps
not	RB	not
as	RB	as
much	JJ	much
as	IN	as
they	PP	they
should	MD	should
be	VB	be
.	SENT	.
Here	RB	here
focusing	VBG	focus
in	IN	in
on	IN	on
Haiti	NP	Haiti
.	SENT	.
The	DT	the
map	NN	map
of	IN	of
Port	NP	Port
au-Prince	NN	<unknown>
at	IN	at
the	DT	the
end	NN	end
of	IN	of
2009	CD	@card@
was	VBD	be
not	RB	not
all	RB	all
it	PP	it
could	MD	could
be	VB	be
,	,	,
not	RB	not
as	RB	as
good	JJ	good
as	IN	as
the	DT	the
map	NN	map
of	IN	of
California	NP	California
.	SENT	.
Fortunately	RB	fortunately
,	,	,
just	RB	just
after	IN	after
the	DT	the
earthquake	NN	earthquake
,	,	,
GeoEye	NP	<unknown>
,	,	,
a	DT	a
commercial	JJ	commercial
company	NN	company
,	,	,
released	VBN	release
satellite	JJ	satellite
imagery	NN	imagery
with	IN	with
a	DT	a
license	NN	license
,	,	,
which	WDT	which
allowed	VBD	allow
the	DT	the
open-source	NN	open-source
community	NN	community
to	TO	to
use	VB	use
it	PP	it
.	SENT	.
This	DT	this
is	VBZ	be
January	NP	January
,	,	,
in	IN	in
time	NN	time
lapse	NN	lapse
,	,	,
of	IN	of
people	NNS	people
editing	VBG	edit
.	SENT	.
.	SENT	.
.	SENT	.
that	IN	that
'	POS	'
s	NNS	<unknown>
the	DT	the
earthquake	NN	earthquake
.	SENT	.
After	IN	after
the	DT	the
earthquake	NN	earthquake
,	,	,
immediately	RB	immediately
,	,	,
people	NNS	people
all	RB	all
over	IN	over
the	DT	the
world	NN	world
,	,	,
mappers	NNS	<unknown>
who	WP	who
wanted	VBD	want
to	TO	to
help	VB	help
,	,	,
and	CC	and
could	MD	could
,	,	,
looked	VBN	look
at	IN	at
that	DT	that
imagery	NN	imagery
,	,	,
built	VBD	build
the	DT	the
map	NN	map
,	,	,
quickly	RB	quickly
building	VBG	build
it	PP	it
up	RP	up
.	SENT	.
We	PP	we
'	POS	'
re	NN	re
focusing	VBG	focus
now	RB	now
on	IN	on
Port-au-Prince	NP	Port-au-Prince
.	SENT	.
The	DT	the
light	JJ	light
blue	NN	blue
is	VBZ	be
refugee	NN	refugee
camps	NNS	camp
these	DT	these
volunteers	NNS	volunteer
had	VBD	have
spotted	VBN	spot
from	IN	from
the	NP	the
[	SYM	[
satellite	JJ	satellite
images	NNS	image
]	SYM	]
.	SENT	.
So	RB	so
,	,	,
now	RB	now
we	PP	we
have	VBP	have
,	,	,
immediately	RB	immediately
,	,	,
a	DT	a
real-time	JJ	real-time
map	NN	map
showing	NN	showing
where	WRB	where
there	EX	there
are	VBP	be
refugee	NN	refugee
camps	NNS	camp
â	NP	<unknown>
rapidly	RB	rapidly
became	VBD	become
the	DT	the
best	JJS	good
map	NN	map
to	TO	to
use	VB	use
if	IN	if
you	PP	you
'	POS	'
re	NN	re
doing	VBG	do
relief	NN	relief
work	NN	work
in	IN	in
Port-au-Prince	NP	Port-au-Prince
.	SENT	.
Witness	VB	witness
the	DT	the
fact	NN	fact
that	IN	that
it	PP	it
'	POS	'
s	NN	S
here	RB	here
on	IN	on
this	DT	this
Garmin	NP	Garmin
device	NN	device
being	VBG	be
used	VBN	use
by	IN	by
rescue	NN	rescue
team	NN	team
in	IN	in
Haiti	NP	Haiti
.	SENT	.
There	EX	there
'	''	'
s	VBG	<unknown>
the	DT	the
map	NN	map
showing	NN	showing
,	,	,
on	IN	on
the	DT	the
left-hand	JJ	left-hand
side	NN	side
,	,	,
that	DT	that
hospital	NN	hospital
â	NP	<unknown>
actually	RB	actually
that	RB	that
'	''	'
s	VBG	<unknown>
a	DT	a
hospital	NN	hospital
ship	NN	ship
.	SENT	.
This	DT	this
is	VBZ	be
a	DT	a
real-time	JJ	real-time
map	NN	map
that	WDT	that
shows	VBZ	show
blocked	JJ	blocked
roads	NNS	road
,	,	,
damaged	JJ	damaged
buildings	NNS	building
,	,	,
refugee	NN	refugee
camps	NNS	camp
â	NP	<unknown>
it	PP	it
shows	VBZ	show
things	NNS	thing
that	WDT	that
are	VBP	be
needed	VBN	need
[	SYM	[
for	IN	for
rescue	NN	rescue
and	CC	and
relief	NN	relief
work	NN	work
]	SYM	]
.	SENT	.
So	RB	so
,	,	,
if	IN	if
you	PP	you
'	POS	'
ve	RB	<unknown>
been	VBN	be
involved	VBN	involve
in	IN	in
that	DT	that
at	IN	at
all	DT	all
,	,	,
I	PP	I
just	RB	just
wanted	VBD	want
to	TO	to
say	VB	say
:	:	:
Whatever	WDT	whatever
you	PP	you
'	POS	'
ve	RB	<unknown>
been	VBN	be
doing	VBG	do
,	,	,
whether	IN	whether
you	PP	you
'	POS	'
ve	NN	ve
just	RB	just
been	VBN	be
chanting	VBG	chant
,	,	,
"	''	"
Raw	NP	Raw
data	NNS	datum
now	RB	now
!	SENT	!
"	``	"
or	CC	or
you	PP	you
'	POS	'
ve	RB	<unknown>
been	VBN	be
putting	VBG	put
government	NN	government
or	CC	or
scientific	JJ	scientific
data	NNS	datum
online	JJ	online
,	,	,
I	PP	I
just	RB	just
wanted	VBD	want
to	TO	to
take	VB	take
this	DT	this
opportunity	NN	opportunity
to	TO	to
say	VB	say
:	:	:
Thank	VB	thank
you	PP	you
very	RB	very
much	JJ	much
,	,	,
and	CC	and
we	PP	we
have	VBP	have
only	RB	only
just	RB	just
started	VBN	start
!	SENT	!
