Lindsay	NP	Lindsay
the	DT	the
basic	JJ	basic
idea	NN	idea
was	VBD	be
that	IN	that
we	PP	we
need	VBP	need
to	TO	to
create	VB	create
a	DT	a
completely	RB	completely
new	JJ	new
way	NN	way
of	IN	of
collaborating	VBG	collaborate
across	IN	across
the	DT	the
ecosystem	NN	ecosystem
.	SENT	.
The	DT	the
basic	JJ	basic
idea	NN	idea
was	VBD	be
that	IN	that
we	PP	we
need	VBP	need
to	TO	to
establish	VB	establish
an	DT	an
independent	JJ	independent
center	NN	center
that	WDT	that
would	MD	would
have	VB	have
no	DT	no
vested	JJ	vested
interest	NN	interest
.	SENT	.
We	PP	we
need	VBP	need
to	TO	to
collaborate	VB	collaborate
with	IN	with
governments	NNS	government
and	CC	and
with	IN	with
companies	NNS	company
across	IN	across
the	DT	the
globe	NN	globe
,	,	,
across	IN	across
the	DT	the
ecosystem	NN	ecosystem
,	,	,
and	CC	and
we	PP	we
wanted	VBD	want
to	TO	to
establish	VB	establish
a	DT	a
team	NN	team
co-located	VBD	co-locate
so	RB	so
that	IN	that
economists	NNS	economist
and	CC	and
engineers	NNS	engineer
and	CC	and
so	RB	so
on	IN	on
would	MD	would
sit	VB	sit
side	NN	side
by	IN	by
side	NN	side
and	CC	and
imagine	VB	imagine
the	DT	the
future	NN	future
and	CC	and
develop	VB	develop
the	DT	the
solutions	NNS	solution
.	SENT	.
So	RB	so
this	DT	this
was	VBD	be
the	DT	the
idea	NN	idea
.	SENT	.
And	CC	and
of	IN	of
course	NN	course
there	EX	there
were	VBD	be
a	DT	a
lot	NN	lot
of	IN	of
concerns	NNS	concern
about	IN	about
compliance	NN	compliance
and	CC	and
antitrust	JJ	antitrust
and	CC	and
IP	NP	IP
and	CC	and
confidentiality	NN	confidentiality
and	CC	and
practicalities	NNS	practicality
.	SENT	.
But	CC	but
we	PP	we
have	VBP	have
found	VBN	find
a	DT	a
model	NN	model
now	RB	now
,	,	,
we	PP	we
have	VBP	have
overcome	VBN	overcome
those	DT	those
challenges	NNS	challenge
.	SENT	.
And	CC	and
now	RB	now
,	,	,
today	NN	today
,	,	,
we	PP	we
have	VBP	have
more	JJR	more
than	IN	than
100	CD	@card@
organizations	NNS	organization
across	IN	across
the	DT	the
globe	NN	globe
joining	VBG	join
the	DT	the
center	NN	center
.	SENT	.
Many	JJ	many
are	VBP	be
sending	VBG	send
people	NNS	people
to	TO	to
our	PP$	our
team	NN	team
in	IN	in
Copenhagen	NP	Copenhagen
.	SENT	.
Competitors	NNS	competitor
are	VBP	be
sitting	VBG	sit
side	NN	side
by	IN	by
side	NN	side
to	TO	to
develop	VB	develop
the	DT	the
solutions	NNS	solution
of	IN	of
the	DT	the
future	NN	future
.	SENT	.
LL	NP	LL
:	:	:
So	RB	so
that	RB	that
'	''	'
s	NNS	<unknown>
fabulous	JJ	fabulous
.	SENT	.
Give	VB	give
us	PP	us
a	DT	a
sense	NN	sense
of	IN	of
where	WRB	where
and	CC	and
why	WRB	why
we	PP	we
'	POS	'
re	NN	re
still	RB	still
lagging	VBG	lag
.	SENT	.
BCS	NN	BCS
:	:	:
Well	RB	well
,	,	,
if	IN	if
you	PP	you
look	VBP	look
three	CD	three
or	CC	or
five	CD	five
years	NNS	year
back	RB	back
,	,	,
I	PP	I
think	VBP	think
we	PP	we
were	VBD	be
lagging	VBG	lag
on	IN	on
the	DT	the
technology	NN	technology
side	NN	side
,	,	,
we	PP	we
were	VBD	be
lagging	VBG	lag
on	IN	on
the	DT	the
commercial	JJ	commercial
side	NN	side
,	,	,
we	PP	we
were	VBD	be
lagging	VBG	lag
on	IN	on
the	DT	the
regulatory	JJ	regulatory
side	NN	side
.	SENT	.
But	CC	but
over	IN	over
just	RB	just
the	DT	the
past	JJ	past
few	JJ	few
years	NNS	year
,	,	,
and	CC	and
you	PP	you
just	RB	just
saw	VBD	see
an	DT	an
amazing	JJ	amazing
example	NN	example
of	IN	of
that	DT	that
,	,	,
we	PP	we
'	POS	'
ve	NN	ve
seen	VBN	see
tremendous	JJ	tremendous
development	NN	development
in	IN	in
the	DT	the
space	NN	space
of	IN	of
technology	NN	technology
.	SENT	.
So	RB	so
now	RB	now
,	,	,
just	RB	just
over	IN	over
the	DT	the
next	JJ	next
one	CD	one
to	TO	to
two	CD	two
years	NNS	year
,	,	,
we	PP	we
will	MD	will
see	VB	see
container	NN	container
ships	NNS	ship
,	,	,
like	IN	like
what	WP	what
you	PP	you
just	RB	just
saw	VBD	see
,	,	,
we	PP	we
'	POS	'
ll	NNS	<unknown>
see	VBP	see
tanker	NN	tanker
vessels	NNS	vessel
,	,	,
big	JJ	big
bulk	NN	bulk
carriers	NNS	carrier
,	,	,
cruise	NN	cruise
ships	NNS	ship
,	,	,
car	NN	car
carriers	NNS	carrier
being	VBG	be
built	VBN	build
and	CC	and
getting	VBG	get
in	IN	in
the	DT	the
water	NN	water
,	,	,
running	VBG	run
on	IN	on
new	JJ	new
types	NNS	type
of	IN	of
fuels	NNS	fuel
.	SENT	.
For	IN	for
example	NN	example
,	,	,
methanol	NN	methanol
,	,	,
methane	NN	methane
,	,	,
ammonia	NN	ammonia
a	DT	a
little	RB	little
later	RBR	later
.	SENT	.
So	RB	so
this	DT	this
is	VBZ	be
now	RB	now
all	DT	all
maturing	VBG	mature
,	,	,
and	CC	and
the	DT	the
technical	JJ	technical
readiness	NN	readiness
level	NN	level
is	VBZ	be
really	RB	really
high	JJ	high
.	SENT	.
So	IN	so
the	DT	the
big	JJ	big
focus	NN	focus
now	RB	now
is	VBZ	be
on	IN	on
the	DT	the
commercial	JJ	commercial
readiness	NN	readiness
,	,	,
on	IN	on
the	DT	the
upscaling	JJ	<unknown>
opportunity	NN	opportunity
and	CC	and
the	DT	the
barriers	NNS	barrier
for	IN	for
that	DT	that
.	SENT	.
And	CC	and
there	EX	there
,	,	,
we	PP	we
'	POS	'
re	NN	re
looking	VBG	look
at	IN	at
two	CD	two
categories	NNS	category
of	IN	of
drivers	NNS	driver
and	CC	and
also	RB	also
two	CD	two
areas	NNS	area
that	IN	that
we	PP	we
have	VBP	have
to	TO	to
focus	VB	focus
on	RP	on
.	SENT	.
And	CC	and
one	PP	one
is	VBZ	be
a	DT	a
purely	RB	purely
market-driven	JJ	market-driven
one	CD	one
where	WRB	where
a	DT	a
customer	NN	customer
demands	VBZ	demand
a	DT	a
green	JJ	green
product	NN	product
,	,	,
a	DT	a
car	NN	car
,	,	,
for	IN	for
example	NN	example
,	,	,
an	DT	an
electric	JJ	electric
vehicle	NN	vehicle
,	,	,
and	CC	and
that	WDT	that
has	VBZ	have
to	TO	to
be	VB	be
produced	VBN	produce
.	SENT	.
And	CC	and
that	DT	that
supply	NN	supply
chain	NN	chain
needs	VBZ	need
to	TO	to
work	VB	work
in	IN	in
a	DT	a
green	JJ	green
manner	NN	manner
.	SENT	.
So	RB	so
that	DT	that
is	VBZ	be
driving	VBG	drive
now	RB	now
a	DT	a
part	NN	part
of	IN	of
this	DT	this
transition	NN	transition
.	SENT	.
As	IN	as
we	PP	we
just	RB	just
heard	VBD	hear
,	,	,
it	PP	it
'	POS	'
s	NN	S
just	RB	just
that	IN	that
on	IN	on
the	DT	the
industry-wide	JJ	industry-wide
scale	NN	scale
,	,	,
it	PP	it
'	POS	'
s	NN	S
not	RB	not
moving	VBG	move
fast	RB	fast
enough	RB	enough
.	SENT	.
But	CC	but
then	RB	then
we	PP	we
have	VBP	have
the	DT	the
regulatory	JJ	regulatory
side	NN	side
,	,	,
and	CC	and
here	RB	here
we	PP	we
'	POS	'
ve	NN	ve
just	RB	just
had	VBD	have
a	DT	a
major	JJ	major
breakthrough	NN	breakthrough
in	IN	in
the	DT	the
International	NP	International
Maritime	NP	Maritime
Organization	NP	Organization
.	SENT	.
So	RB	so
just	RB	just
about	IN	about
a	DT	a
week	NN	week
ago	RB	ago
,	,	,
all	DT	all
175	CD	@card@
countries	NNS	country
came	VBD	come
together	RB	together
.	SENT	.
They	PP	they
agreed	VBD	agree
.	SENT	.
We	PP	we
had	VBD	have
Asia	NP	Asia
with	IN	with
China	NP	China
,	,	,
we	PP	we
had	VBD	have
Europe	NP	Europe
,	,	,
we	PP	we
had	VBD	have
US	PP	us
,	,	,
we	PP	we
had	VBD	have
Africa	NP	Africa
.	SENT	.
Everybody	NN	everybody
agreed	VBD	agree
that	IN	that
we	PP	we
need	VBP	need
to	TO	to
update	VB	update
our	PP$	our
strategy	NN	strategy
.	SENT	.
We	PP	we
need	VBP	need
global	JJ	global
regulation	NN	regulation
for	IN	for
shipping	NN	shipping
,	,	,
we	PP	we
will	MD	will
go	VB	go
to	TO	to
zero	VB	zero
by	IN	by
around	IN	around
2050	CD	@card@
,	,	,
we	PP	we
will	MD	will
use	VB	use
sound	JJ	sound
technical	JJ	technical
measures	NNS	measure
to	TO	to
go	VB	go
there	RB	there
,	,	,
and	CC	and
we	PP	we
will	MD	will
use	VB	use
economic	JJ	economic
measures	NNS	measure
like	IN	like
a	DT	a
carbon	NN	carbon
pricing	NN	pricing
.	SENT	.
So	RB	so
that	DT	that
is	VBZ	be
now	RB	now
a	DT	a
global	JJ	global
framework	NN	framework
that	WDT	that
has	VBZ	have
been	VBN	be
agreed	VBN	agree
across	IN	across
the	DT	the
globe	NN	globe
.	SENT	.
So	IN	so
it	PP	it
'	POS	'
s	NN	S
a	DT	a
fabulous	JJ	fabulous
fundament	NN	fundament
for	IN	for
moving	VBG	move
forward	RB	forward
from	IN	from
here	RB	here
.	SENT	.
LL	NP	LL
:	:	:
Yeah	RB	yeah
,	,	,
so	RB	so
congratulations	NNS	congratulation
to	TO	to
all	DT	all
of	IN	of
those	DT	those
involved	VBN	involve
in	IN	in
that	DT	that
.	SENT	.
What	WP	what
'	POS	'
s	NN	S
still	RB	still
difficult	JJ	difficult
and	CC	and
what	WP	what
are	VBP	be
the	DT	the
opportunities	NNS	opportunity
?	SENT	?
BCS	NN	BCS
:	:	:
So	IN	so
it	PP	it
'	POS	'
s	NN	S
still	RB	still
difficult	JJ	difficult
going	VBG	go
forward	RB	forward
because	IN	because
we	PP	we
'	POS	'
re	NN	re
looking	VBG	look
at	IN	at
a	DT	a
massive	JJ	massive
change	NN	change
on	IN	on
a	DT	a
systemic	JJ	systemic
level	NN	level
and	CC	and
a	DT	a
massive	JJ	massive
change	NN	change
on	IN	on
individual	JJ	individual
level	NN	level
.	SENT	.
So	IN	so
a	DT	a
shipowner	NN	shipowner
is	VBZ	be
looking	VBG	look
into	IN	into
an	DT	an
uncertain	JJ	uncertain
future	NN	future
.	SENT	.
It	PP	it
'	POS	'
s	NN	S
much	RB	much
easier	JJR	easy
to	TO	to
quantify	VB	quantify
the	DT	the
additional	JJ	additional
cost	NN	cost
and	CC	and
the	DT	the
additional	JJ	additional
risk	NN	risk
than	IN	than
it	PP	it
is	VBZ	be
to	TO	to
quantify	VB	quantify
the	DT	the
additional	JJ	additional
opportunities	NNS	opportunity
or	CC	or
the	DT	the
risk	NN	risk
of	IN	of
not	RB	not
doing	VBG	do
anything	NN	anything
.	SENT	.
So	RB	so
that	DT	that
means	VBZ	mean
a	DT	a
lot	NN	lot
of	IN	of
companies	NNS	company
and	CC	and
a	DT	a
lot	NN	lot
of	IN	of
countries	NNS	country
are	VBP	be
stuck	VBN	stick
with	IN	with
this	DT	this
uncertainty	NN	uncertainty
and	CC	and
are	VBP	be
hesitant	JJ	hesitant
to	TO	to
move	VB	move
forward	RB	forward
.	SENT	.
A	DT	a
ship	NN	ship
owner	NN	owner
will	MD	will
be	VB	be
hesitant	JJ	hesitant
because	IN	because
she	PP	she
doesn	NN	<unknown>
'	POS	'
t	NN	t
know	VB	know
which	WDT	which
fuel	NN	fuel
type	NN	type
to	TO	to
bet	VB	bet
on	IN	on
or	CC	or
if	IN	if
the	DT	the
customers	NNS	customer
will	MD	will
pay	VB	pay
.	SENT	.
A	DT	a
country	NN	country
,	,	,
for	IN	for
example	NN	example
,	,	,
a	DT	a
developing	VBG	develop
country	NN	country
,	,	,
is	VBZ	be
hesitant	JJ	hesitant
because	IN	because
it	PP	it
'	POS	'
s	NNS	<unknown>
concerned	VBN	concern
about	IN	about
increased	VBN	increase
cost	NN	cost
of	IN	of
imported	VBN	import
goods	NNS	good
or	CC	or
how	WRB	how
export	NN	export
competitiveness	NN	competitiveness
will	MD	will
influence	VB	influence
workplaces	NNS	workplace
and	CC	and
so	RB	so
on	IN	on
.	SENT	.
So	RB	so
this	DT	this
is	VBZ	be
a	DT	a
lot	NN	lot
of	IN	of
uncertainty	NN	uncertainty
in	IN	in
there	RB	there
.	SENT	.
And	CC	and
this	DT	this
is	VBZ	be
where	WRB	where
we	PP	we
work	VBP	work
as	IN	as
a	DT	a
center	NN	center
to	TO	to
address	VB	address
all	PDT	all
those	DT	those
uncertainties	NNS	uncertainty
and	CC	and
those	DT	those
risks	NNS	risk
and	CC	and
remove	VB	remove
those	DT	those
so	IN	so
that	WDT	that
decision	NN	decision
makers	NNS	maker
can	MD	can
move	VB	move
forward	RB	forward
.	SENT	.
LL	NP	LL
:	:	:
So	RB	so
finally	RB	finally
,	,	,
give	VB	give
us	PP	us
an	DT	an
example	NN	example
of	IN	of
a	DT	a
specific	JJ	specific
thing	NN	thing
that	IN	that
the	DT	the
center	NN	center
is	VBZ	be
doing	VBG	do
to	TO	to
help	VB	help
affect	VB	affect
that	DT	that
kind	NN	kind
of	IN	of
change	NN	change
.	SENT	.
BCS	NN	BCS
:	:	:
So	RB	so
one	CD	one
of	IN	of
the	DT	the
great	JJ	great
things	NNS	thing
,	,	,
or	CC	or
one	CD	one
of	IN	of
the	DT	the
things	NNS	thing
that	IN	that
we	PP	we
'	POS	'
ve	NN	ve
had	VBD	have
a	DT	a
lot	NN	lot
of	IN	of
interest	NN	interest
in	IN	in
recently	RB	recently
,	,	,
is	VBZ	be
to	TO	to
work	VB	work
with	IN	with
green	JJ	green
corridors	NNS	corridor
.	SENT	.
A	DT	a
green	JJ	green
corridor	NN	corridor
is	VBZ	be
the	DT	the
realization	NN	realization
of	IN	of
that	DT	that
new	JJ	new
business	NN	business
system	NN	system
.	SENT	.
So	RB	so
we	PP	we
work	VBP	work
,	,	,
for	IN	for
example	NN	example
,	,	,
a	DT	a
lot	NN	lot
with	IN	with
the	DT	the
Chilean	JJ	Chilean
ministries	NNS	ministry
and	CC	and
we	PP	we
'	POS	'
ve	NN	ve
worked	VBD	work
a	DT	a
lot	NN	lot
with	IN	with
stakeholders	NNS	stakeholder
in	IN	in
Chile	NP	Chile
to	TO	to
understand	VB	understand
how	WRB	how
Chile	NP	Chile
can	MD	can
produce	VB	produce
renewable	JJ	renewable
energy	NN	energy
,	,	,
how	WRB	how
they	PP	they
can	MD	can
turn	VB	turn
that	IN	that
into	IN	into
fuels	NNS	fuel
,	,	,
how	WRB	how
they	PP	they
can	MD	can
retrofit	VB	retrofit
their	PP$	their
ports	NNS	port
,	,	,
how	WRB	how
ship-owning	NN	ship-owning
companies	NNS	company
can	MD	can
transport	VB	transport
using	VBG	use
green	JJ	green
fuels	NNS	fuel
,	,	,
and	CC	and
how	WRB	how
,	,	,
for	IN	for
example	NN	example
,	,	,
the	DT	the
Chilean	JJ	Chilean
mining	NN	mining
industry	NN	industry
can	MD	can
transport	VB	transport
copper	NN	copper
with	IN	with
zero	CD	zero
carbon	NN	carbon
transportation	NN	transportation
so	RB	so
that	IN	that
they	PP	they
can	MD	can
export	VB	export
green	JJ	green
copper	NN	copper
that	WDT	that
can	MD	can
be	VB	be
used	VBN	use
in	IN	in
,	,	,
for	IN	for
example	NN	example
,	,	,
electric	JJ	electric
vehicles	NNS	vehicle
in	IN	in
the	DT	the
future	NN	future
,	,	,
and	CC	and
thereby	RB	thereby
support	VB	support
the	DT	the
production	NN	production
of	IN	of
these	DT	these
green	JJ	green
supply	NN	supply
chains	NNS	chain
.	SENT	.
So	IN	so
green	JJ	green
corridor	NN	corridor
is	VBZ	be
really	RB	really
getting	VBG	get
all	PDT	all
those	DT	those
stakeholders	NNS	stakeholder
together	RB	together
across	IN	across
the	DT	the
entire	JJ	entire
chain	NN	chain
.	SENT	.
It	PP	it
is	VBZ	be
reimagining	VBG	reimagine
,	,	,
you	PP	you
can	MD	can
say	VB	say
,	,	,
the	DT	the
future	NN	future
,	,	,
putting	VBG	put
that	IN	that
new	JJ	new
business	NN	business
system	NN	system
in	IN	in
place	NN	place
,	,	,
defining	VBG	define
how	WRB	how
that	DT	that
new	JJ	new
business	NN	business
,	,	,
what	WP	what
it	PP	it
looks	VBZ	look
like	IN	like
.	SENT	.
And	CC	and
we	PP	we
are	VBP	be
right	RB	right
now	RB	now
,	,	,
for	IN	for
example	NN	example
in	IN	in
Chile	NP	Chile
,	,	,
brought	VBD	bring
that	IN	that
all	PDT	all
the	DT	the
way	NN	way
forward	RB	forward
to	TO	to
feasibility	NN	feasibility
study	NN	study
.	SENT	.
So	IN	so
it	PP	it
'	POS	'
s	NN	S
very	RB	very
concrete	JJ	concrete
now	RB	now
.	SENT	.
And	CC	and
then	RB	then
we	PP	we
take	VBP	take
that	IN	that
learning	VBG	learn
and	CC	and
we	PP	we
turn	VBP	turn
it	PP	it
into	IN	into
a	DT	a
general	JJ	general
blueprint	NN	blueprint
and	CC	and
we	PP	we
share	VBP	share
that	IN	that
with	IN	with
the	DT	the
world	NN	world
so	RB	so
that	IN	that
every	DT	every
region	NN	region
,	,	,
everybody	NN	everybody
can	MD	can
go	VB	go
in	RP	in
and	CC	and
use	VB	use
this	DT	this
cookbook	NN	cookbook
for	IN	for
how	WRB	how
to	TO	to
develop	VB	develop
a	DT	a
green	JJ	green
corridor	NN	corridor
.	SENT	.
And	CC	and
I	PP	I
think	VBP	think
this	DT	this
is	VBZ	be
our	PP$	our
way	NN	way
of	IN	of
working	VBG	work
.	SENT	.
We	PP	we
try	VBP	try
to	TO	to
identify	VB	identify
the	DT	the
decision	NN	decision
makers	NNS	maker
that	WDT	that
can	MD	can
really	RB	really
make	VB	make
this	DT	this
move	NN	move
.	SENT	.
And	CC	and
then	RB	then
we	PP	we
work	VBP	work
specifically	RB	specifically
with	IN	with
those	DT	those
leaders	NNS	leader
,	,	,
both	CC	both
on	IN	on
company	NN	company
level	NN	level
,	,	,
so	RB	so
this	DT	this
is	VBZ	be
typically	RB	typically
at	IN	at
strategy	NN	strategy
,	,	,
leadership	NN	leadership
level	NN	level
,	,	,
or	CC	or
in	IN	in
country	NN	country
government	NN	government
level	NN	level
,	,	,
to	TO	to
understand	VB	understand
what	WP	what
do	VBP	do
they	PP	they
need	VBP	need
in	IN	in
order	NN	order
to	TO	to
move	VB	move
forward	RB	forward
.	SENT	.
So	RB	so
in	IN	in
addition	NN	addition
to	TO	to
the	DT	the
green	JJ	green
corridors	NNS	corridor
,	,	,
we	PP	we
'	POS	'
ve	NN	ve
developed	VBD	develop
a	DT	a
number	NN	number
of	IN	of
guidelines	NNS	guideline
and	CC	and
services	NNS	service
,	,	,
how	WRB	how
a	DT	a
ship	NN	ship
owner	NN	owner
should	MD	should
invest	VB	invest
in	IN	in
new	JJ	new
ships	NNS	ship
,	,	,
how	WRB	how
a	DT	a
country	NN	country
should	MD	should
support	VB	support
the	DT	the
development	NN	development
of	IN	of
future	JJ	future
regulation	NN	regulation
,	,	,
etc	FW	etc
.	SENT	.
So	RB	so
this	DT	this
is	VBZ	be
our	PP$	our
way	NN	way
of	IN	of
working	VBG	work
.	SENT	.
LL	NP	LL
:	:	:
Fabulous	NP	Fabulous
,	,	,
Bo	NP	Bo
,	,	,
thank	VBP	thank
you	PP	you
very	RB	very
much	RB	much
for	IN	for
the	DT	the
work	NN	work
that	IN	that
you	PP	you
'	''	'
re	IN	re
doing	VBG	do
.	SENT	.
I	PP	I
know	VBP	know
that	IN	that
there	EX	there
'	''	'
s	NNS	<unknown>
going	VBG	go
to	TO	to
be	VB	be
a	DT	a
lot	NN	lot
of	IN	of
people	NNS	people
here	RB	here
in	IN	in
other	JJ	other
industries	NNS	industry
that	WDT	that
want	VBP	want
to	TO	to
learn	VB	learn
from	IN	from
your	PP$	your
example	NN	example
.	SENT	.
Thank	VB	thank
you	PP	you
for	IN	for
being	VBG	be
with	IN	with
us	PP	us
.	SENT	.
BCS	NN	BCS
:	:	:
Thank	VB	thank
you	PP	you
very	RB	very
much	RB	much
.	SENT	.
