Yordanos	NP	Yordanos
so	RB	so
many	JJ	many
of	IN	of
us	PP	us
who	WP	who
have	VBP	have
immigrant	NN	immigrant
roots	NNS	root
,	,	,
we	PP	we
feel	VBP	feel
,	,	,
very	RB	very
strongly	RB	strongly
,	,	,
that	IN	that
this	DT	this
idea	NN	idea
of	IN	of
an	DT	an
open	JJ	open
society	NN	society
is	VBZ	be
actually	RB	actually
a	DT	a
rare	JJ	rare
and	CC	and
a	DT	a
precious	JJ	precious
one	CD	one
,	,	,
and	CC	and
it	PP	it
'	POS	'
s	JJ	<unknown>
one	CD	one
that	IN	that
we	PP	we
really	RB	really
have	VB	have
to	TO	to
invest	VB	invest
in	IN	in
defending	VBG	defend
.	SENT	.
Because	IN	because
if	IN	if
it	PP	it
goes	VBZ	go
,	,	,
there	EX	there
'	''	'
s	NNS	<unknown>
not	RB	not
a	DT	a
place	NN	place
for	IN	for
people	NNS	people
like	IN	like
us	PP	us
,	,	,
people	NNS	people
from	IN	from
minority	NN	minority
backgrounds	NNS	background
,	,	,
people	NNS	people
who	WP	who
have	VBP	have
been	VBN	be
traditionally	RB	traditionally
persecuted	VBN	persecute
.	SENT	.
I	PP	I
also	RB	also
spent	VBD	spend
my	PP$	my
early	JJ	early
years	NNS	year
in	IN	in
Mexico	NP	Mexico
City	NP	City
when	WRB	when
it	PP	it
was	VBD	be
a	DT	a
essentially	RB	essentially
an	DT	an
authoritarian	JJ	authoritarian
society	NN	society
.	SENT	.
So	RB	so
I	PP	I
get	VBP	get
,	,	,
in	IN	in
my	PP$	my
bones	NNS	bone
,	,	,
the	DT	the
difference	NN	difference
between	IN	between
what	WP	what
an	DT	an
open	JJ	open
society	NN	society
is	VBZ	be
,	,	,
what	WP	what
a	DT	a
closed	JJ	closed
society	NN	society
is	VBZ	be
,	,	,
and	CC	and
how	WRB	how
easy	JJ	easy
it	PP	it
is	VBZ	be
for	IN	for
the	DT	the
former	JJ	former
to	TO	to
slip	VB	slip
into	IN	into
becoming	VBG	become
the	DT	the
latter	NN	latter
.	SENT	.
YE	PP	you
:	:	:
And	CC	and
I	PP	I
think	VBP	think
that	DT	that
'	''	'
s	NNS	<unknown>
what	WP	what
we	PP	we
'	''	'
re	IN	re
seeing	VBG	see
all	DT	all
over	IN	over
the	DT	the
world	NN	world
,	,	,
right	RB	right
?	SENT	?
So	IN	so
the	DT	the
renowned	JJ	renowned
think	NN	think
tank	NN	tank
International	NP	International
Idea	NN	idea
released	VBD	release
a	DT	a
report	NN	report
recently	RB	recently
saying	VBG	say
that	IN	that
democracy	NN	democracy
is	VBZ	be
continuing	VBG	continue
to	TO	to
deteriorate	VB	deteriorate
in	IN	in
every	DT	every
part	NN	part
of	IN	of
the	DT	the
world	NN	world
.	SENT	.
What	WP	what
do	VBP	do
you	PP	you
think	VBP	think
is	VBZ	be
driving	VBG	drive
that	DT	that
problem	NN	problem
?	SENT	?
Like	IN	like
,	,	,
how	WRB	how
are	VBP	be
you	PP	you
making	VBG	make
sense	NN	sense
of	IN	of
this	DT	this
moment	NN	moment
?	SENT	?
BS	NP	BS
:	:	:
I	PP	I
came	VBD	come
of	IN	of
age	NN	age
with	IN	with
the	DT	the
end	NN	end
of	IN	of
the	DT	the
Cold	NP	Cold
War	NP	War
.	SENT	.
I	PP	I
turned	VBD	turn
18	CD	@card@
just	RB	just
before	IN	before
the	DT	the
Soviet	NP	Soviet
Union	NP	Union
collapsed	VBD	collapse
.	SENT	.
And	CC	and
I	PP	I
remember	VBP	remember
that	IN	that
incredible	JJ	incredible
optimism	NN	optimism
that	IN	that
people	NNS	people
felt	VBD	feel
in	IN	in
the	DT	the
1990s	NNS	1990s
that	IN	that
democracy	NN	democracy
was	VBD	be
the	DT	the
future	NN	future
,	,	,
that	WDT	that
we	PP	we
had	VBD	have
reached	VBN	reach
the	DT	the
end	NN	end
of	IN	of
history	NN	history
.	SENT	.
Turns	NNS	turn
out	IN	out
it	PP	it
was	VBD	be
a	DT	a
terrible	JJ	terrible
way	NN	way
of	IN	of
thinking	VBG	think
about	IN	about
the	DT	the
world	NN	world
,	,	,
not	RB	not
least	RBS	least
because	IN	because
it	PP	it
made	VBD	make
us	PP	us
complacent	JJ	complacent
about	IN	about
what	WP	what
it	PP	it
means	VBZ	mean
to	TO	to
sustain	VB	sustain
a	DT	a
democracy	NN	democracy
.	SENT	.
Democracy	NP	Democracy
isn	NP	isn
'	POS	'
t	NN	t
just	RB	just
a	DT	a
kind	NN	kind
of	IN	of
a	DT	a
mechanical	JJ	mechanical
system	NN	system
that	IN	that
kind	NN	kind
of	IN	of
works	NNS	work
miraculously	RB	miraculously
by	IN	by
itself	PP	itself
,	,	,
without	IN	without
people	NNS	people
investing	VBG	invest
energy	NN	energy
,	,	,
ideas	NNS	idea
,	,	,
and	CC	and
a	DT	a
willingness	NN	willingness
to	TO	to
reform	VB	reform
and	CC	and
adapt	VB	adapt
to	TO	to
make	VB	make
it	PP	it
thrive	VB	thrive
.	SENT	.
In	IN	in
the	DT	the
last	JJ	last
,	,	,
I	PP	I
think	VBP	think
,	,	,
20	CD	@card@
years	NNS	year
,	,	,
there	EX	there
'	''	'
s	VBG	<unknown>
a	DT	a
sense	NN	sense
that	IN	that
democracy	NN	democracy
isn	NN	isn
'	POS	'
t	NN	t
performing	VBG	perform
a	DT	a
series	NN	series
of	IN	of
functions	NNS	function
that	IN	that
it	PP	it
was	VBD	be
intended	VBN	intend
to	TO	to
perform	VB	perform
in	IN	in
terms	NNS	term
of	IN	of
economic	JJ	economic
growth	NN	growth
,	,	,
in	IN	in
terms	NNS	term
of	IN	of
inclusion	NN	inclusion
,	,	,
in	IN	in
terms	NNS	term
of	IN	of
upward	JJ	upward
mobility	NN	mobility
.	SENT	.
People	NNS	people
look	VBP	look
at	IN	at
other	JJ	other
systems	NNS	system
and	CC	and
they	PP	they
say	VBP	say
,	,	,
"	``	"
Well	UH	well
,	,	,
that	WDT	that
'	POS	'
s	NNS	<unknown>
more	RBR	more
efficient	JJ	efficient
,	,	,
that	WDT	that
gets	VBZ	get
things	NNS	thing
done	VBN	do
.	SENT	.
"	``	"
And	CC	and
it	PP	it
is	VBZ	be
absolutely	RB	absolutely
the	DT	the
case	NN	case
that	IN	that
if	IN	if
you	PP	you
look	VBP	look
at	IN	at
many	JJ	many
of	IN	of
the	DT	the
so-called	JJ	so-called
advanced	JJ	advanced
democracies	NNS	democracy
,	,	,
they	PP	they
have	VBP	have
not	RB	not
been	VBN	be
providing	VBG	provide
as	IN	as
they	PP	they
had	VBD	have
promised	VBN	promise
to	TO	to
provide	VB	provide
.	SENT	.
Economic	JJ	economic
growth	NN	growth
stagnant	JJ	stagnant
,	,	,
particularly	RB	particularly
in	IN	in
much	RB	much
of	IN	of
of	IN	of
Europe	NP	Europe
.	SENT	.
A	DT	a
sense	NN	sense
that	IN	that
people	NNS	people
are	VBP	be
dividing	VBG	divide
increasingly	RB	increasingly
into	IN	into
classes	NNS	class
and	CC	and
that	IN	that
elites	NNS	elite
have	VBP	have
become	VBN	become
self-dealing	NN	self-dealing
,	,	,
that	WDT	that
we	PP	we
perpetuate	VBP	perpetuate
a	DT	a
system	NN	system
that	WDT	that
is	VBZ	be
for	IN	for
the	DT	the
benefit	NN	benefit
--	:	--
I	PP	I
'	POS	'
m	NN	m
speaking	NN	speaking
as	IN	as
an	DT	an
elite	NN	elite
now	RB	now
--	:	--
for	IN	for
the	DT	the
benefit	NN	benefit
of	IN	of
our	PP$	our
kids	NNS	kid
at	IN	at
the	DT	the
expense	NN	expense
of	IN	of
other	JJ	other
people	NNS	people
'	POS	'
s	NN	S
kids	NNS	kid
.	SENT	.
And	CC	and
I	PP	I
think	VBP	think
that	WDT	that
explains	VBZ	explain
the	DT	the
moment	NN	moment
of	IN	of
populism	NN	populism
and	CC	and
kind	NN	kind
of	IN	of
authoritarianism	NN	authoritarianism
that	WDT	that
has	VBZ	have
crept	VBN	creep
into	IN	into
so	RB	so
much	JJ	much
of	IN	of
our	PP$	our
discourse	NN	discourse
here	RB	here
in	IN	in
the	DT	the
United	NP	United
States	NPS	States
and	CC	and
throughout	IN	throughout
the	DT	the
world	NN	world
.	SENT	.
People	NNS	people
are	VBP	be
starting	VBG	start
to	TO	to
say	VB	say
,	,	,
well	RB	well
,	,	,
maybe	RB	maybe
that	RB	that
'	''	'
s	VBG	<unknown>
a	DT	a
model	NN	model
.	SENT	.
We	PP	we
would	MD	would
do	VB	do
well	RB	well
to	TO	to
remember	VB	remember
that	DT	that
democracy	NN	democracy
has	VBZ	have
previously	RB	previously
fallen	VBN	fall
into	IN	into
these	DT	these
crises	NNS	crisis
,	,	,
but	CC	but
at	IN	at
our	PP$	our
best	JJS	good
,	,	,
we	PP	we
have	VBP	have
been	VBN	be
able	JJ	able
to	TO	to
reform	VB	reform
,	,	,
whether	IN	whether
it	PP	it
was	VBD	be
the	DT	the
reforms	NNS	reform
of	IN	of
the	DT	the
1930s	NNS	1930s
of	IN	of
the	DT	the
New	NP	New
Deal	NP	Deal
going	VBG	go
back	RB	back
to	TO	to
the	DT	the
progressive	JJ	progressive
era	NN	era
of	IN	of
people	NNS	people
like	IN	like
Teddy	NP	Teddy
Roosevelt	NP	Roosevelt
emerging	VBG	emerge
from	IN	from
the	DT	the
Gilded	JJ	gilded
Age	NP	Age
.	SENT	.
This	DT	this
is	VBZ	be
a	DT	a
pattern	NN	pattern
in	IN	in
history	NN	history
.	SENT	.
But	CC	but
it	PP	it
doesn	NP	<unknown>
'	POS	'
t	NN	t
mean	VBP	mean
that	IN	that
we	PP	we
'	POS	'
re	NN	re
fated	VBD	fate
to	TO	to
overcome	VB	overcome
the	DT	the
challenges	NNS	challenge
we	PP	we
have	VBP	have
now	RB	now
.	SENT	.
If	IN	if
we	PP	we
don	NN	don
'	POS	'
t	NN	t
put	VBD	put
our	PP$	our
shoulders	NNS	shoulder
to	TO	to
the	DT	the
proverbial	JJ	proverbial
wheel	NN	wheel
,	,	,
we	PP	we
are	VBP	be
going	VBG	go
to	TO	to
end	VB	end
up	RP	up
moving	VBG	move
towards	IN	towards
a	DT	a
Hungarian-style	NP	Hungarian-style
system	NN	system
.	SENT	.
Or	CC	or
perhaps	RB	perhaps
even	RB	even
worse	JJR	bad
.	SENT	.
YE	PP	you
:	:	:
I	PP	I
want	VBP	want
to	TO	to
double	VB	double
click	NN	click
on	IN	on
your	PP$	your
point	NN	point
around	IN	around
disillusionment	NN	disillusionment
coming	VBG	come
from	IN	from
democracy	NN	democracy
not	RB	not
delivering	VBG	deliver
on	IN	on
its	PP$	its
economic	JJ	economic
promises	NNS	promise
,	,	,
right	RB	right
?	SENT	?
And	CC	and
some	DT	some
people	NNS	people
would	MD	would
argue	VB	argue
that	IN	that
perhaps	RB	perhaps
there	EX	there
is	VBZ	be
another	DT	another
compelling	JJ	compelling
alternative	NN	alternative
that	WDT	that
is	VBZ	be
offered	VBN	offer
by	IN	by
China	NP	China
,	,	,
right	RB	right
?	SENT	?
And	CC	and
so	RB	so
how	WRB	how
would	MD	would
you	PP	you
respond	VB	respond
to	TO	to
that	DT	that
?	SENT	?
What	WP	what
would	MD	would
you	PP	you
say	VB	say
to	TO	to
people	NNS	people
who	WP	who
say	VBP	say
that	IN	that
,	,	,
actually	RB	actually
democracy	NN	democracy
has	VBZ	have
not	RB	not
been	VBN	be
working	VBG	work
for	IN	for
me	PP	me
?	SENT	?
BS	NP	BS
:	:	:
So	RB	so
I	PP	I
think	VBP	think
this	DT	this
is	VBZ	be
one	CD	one
of	IN	of
the	DT	the
great	JJ	great
debates	NNS	debate
that	WDT	that
'	POS	'
s	NNS	<unknown>
going	VBG	go
to	TO	to
define	VB	define
the	DT	the
21st	JJ	21st
century	NN	century
.	SENT	.
Does	VBZ	do
the	DT	the
Chinese	JJ	Chinese
model	NN	model
,	,	,
at	IN	at
least	JJS	least
at	IN	at
its	PP$	its
"	``	"
best	JJS	good
"	''	"
of	IN	of
efficient	JJ	efficient
authoritarianism	NN	authoritarianism
,	,	,
is	VBZ	be
that	IN	that
a	DT	a
superior	JJ	superior
model	NN	model
for	IN	for
providing	VBG	provide
more	JJR	more
goods	NNS	good
to	TO	to
more	JJR	more
people	NNS	people
,	,	,
more	JJR	more
satisfaction	NN	satisfaction
,	,	,
than	IN	than
our	PP$	our
democratic	JJ	democratic
system	NN	system
of	IN	of
compromises	NNS	compromise
and	CC	and
bureaucracy	NN	bureaucracy
and	CC	and
things	NNS	thing
taking	VBG	take
a	DT	a
long	JJ	long
time	NN	time
?	SENT	?
And	CC	and
I	PP	I
'	POS	'
ve	NN	ve
consistently	RB	consistently
made	VBD	make
the	DT	the
argument	NN	argument
that	IN	that
as	RB	as
problematic	JJ	problematic
as	IN	as
democracy	NN	democracy
often	RB	often
is	VBZ	be
,	,	,
it	PP	it
is	VBZ	be
a	DT	a
vastly	RB	vastly
preferable	JJ	preferable
solution	NN	solution
to	TO	to
the	DT	the
Chinese	JJ	Chinese
solution	NN	solution
.	SENT	.
And	CC	and
for	IN	for
a	DT	a
couple	NN	couple
of	IN	of
reasons	NNS	reason
.	SENT	.
The	DT	the
first	JJ	first
is	VBZ	be
that	IN	that
authoritarian	JJ	authoritarian
systems	NNS	system
like	IN	like
China	NP	China
are	VBP	be
very	RB	very
good	JJ	good
at	IN	at
advertising	VBG	advertise
their	PP$	their
strengths	NNS	strength
and	CC	and
hiding	VBG	hide
their	PP$	their
weaknesses	NNS	weakness
.	SENT	.
Democracy	NN	democracy
,	,	,
almost	RB	almost
by	IN	by
its	PP$	its
nature	NN	nature
,	,	,
is	VBZ	be
constantly	RB	constantly
advertising	VBG	advertise
its	PP$	its
weakness	NN	weakness
.	SENT	.
But	CC	but
it	PP	it
'	POS	'
s	NN	S
hiding	VBG	hide
its	PP$	its
strengths	NNS	strength
,	,	,
even	RB	even
to	TO	to
itself	PP	itself
,	,	,
so	IN	so
that	WDT	that
we	PP	we
'	POS	'
re	NN	re
sort	NN	sort
of	IN	of
constantly	RB	constantly
surprised	VBN	surprise
when	WRB	when
we	PP	we
somehow	RB	somehow
emerge	VBP	emerge
stronger	JJR	strong
than	IN	than
some	DT	some
of	IN	of
our	PP$	our
adversaries	NNS	adversary
.	SENT	.
If	IN	if
you	PP	you
look	VBP	look
back	RB	back
to	TO	to
the	DT	the
1970s	NNS	1970s
,	,	,
it	PP	it
was	VBD	be
a	DT	a
period	NN	period
of	IN	of
real	JJ	real
disillusionment	NN	disillusionment
and	CC	and
doubt	NN	doubt
about	IN	about
the	DT	the
future	NN	future
of	IN	of
democracy	NN	democracy
.	SENT	.
But	CC	but
it	PP	it
was	VBD	be
in	IN	in
the	DT	the
1970s	NNS	1970s
that	IN	that
some	DT	some
guy	NN	guy
named	VBN	name
Steve	NP	Steve
Jobs	NP	Jobs
was	VBD	be
kind	NN	kind
of	IN	of
tinkering	NN	tinkering
and	CC	and
,	,	,
you	PP	you
know	VBP	know
,	,	,
in	IN	in
a	DT	a
garage	NN	garage
somewhere	RB	somewhere
or	CC	or
Bill	NP	Bill
Gates	NP	Gates
,	,	,
all	PDT	all
these	DT	these
people	NNS	people
who	WP	who
have	VBP	have
really	RB	really
defined	VBN	define
the	DT	the
decades	NNS	decade
to	TO	to
come	VB	come
were	VBD	be
in	IN	in
obscurity	NN	obscurity
.	SENT	.
We	PP	we
just	RB	just
didn	NN	<unknown>
'	POS	'
t	NN	t
know	VBP	know
about	IN	about
this	DT	this
.	SENT	.
So	RB	so
when	WRB	when
China	NP	China
advertises	VBZ	advertise
its	PP$	its
strengths	NNS	strength
,	,	,
when	WRB	when
it	PP	it
looks	VBZ	look
strong	JJ	strong
,	,	,
on	IN	on
the	DT	the
one	CD	one
hand	NN	hand
it	PP	it
appears	VBZ	appear
to	TO	to
be	VB	be
fearsome	JJ	fearsome
.	SENT	.
On	IN	on
the	DT	the
other	JJ	other
hand	NN	hand
,	,	,
there	EX	there
are	VBP	be
fewer	JJR	few
mechanisms	NNS	mechanism
in	IN	in
China	NP	China
that	WDT	that
are	VBP	be
self-correcting	VBG	self-correct
mechanisms	NNS	mechanism
.	SENT	.
If	IN	if
the	DT	the
leader	NN	leader
in	IN	in
China	NP	China
,	,	,
Xi	NN	xi
,	,	,
says	VBZ	say
,	,	,
"	``	"
We	PP	we
'	POS	'
re	NN	re
going	VBG	go
to	TO	to
invest	VB	invest
a	DT	a
trillion	CD	trillion
dollars	NNS	dollar
in	IN	in
a	DT	a
Belt	NP	Belt
and	CC	and
Road	NP	Road
initiative	NN	initiative
,	,	,
"	''	"
no	DT	no
one	CD	one
disputes	NNS	dispute
that	RB	that
.	SENT	.
No	DT	no
one	CD	one
asks	VBZ	ask
questions	NNS	question
about	IN	about
it	PP	it
.	SENT	.
Turns	NNS	turn
out	IN	out
it	PP	it
was	VBD	be
a	DT	a
trillion-dollar	NN	trillion-dollar
bad	JJ	bad
investment	NN	investment
for	IN	for
China	NP	China
.	SENT	.
In	IN	in
the	DT	the
end	NN	end
,	,	,
the	DT	the
one	CD	one
advantage	NN	advantage
democracies	NNS	democracy
have	VBP	have
is	VBZ	be
that	IN	that
we	PP	we
bend	VB	bend
and	CC	and
we	PP	we
adapt	VBP	adapt
.	SENT	.
But	CC	but
authoritarian	JJ	authoritarian
systems	NNS	system
are	VBP	be
brittle	JJ	brittle
.	SENT	.
They	PP	they
'	POS	'
re	NN	re
like	IN	like
glass	NN	glass
.	SENT	.
So	RB	so
when	WRB	when
they	PP	they
begin	VBP	begin
to	TO	to
break	VB	break
,	,	,
they	PP	they
can	MD	can
very	RB	very
quickly	RB	quickly
shatter	VB	shatter
.	SENT	.
And	CC	and
I	PP	I
think	VBP	think
that	IN	that
'	POS	'
s	NN	S
one	CD	one
of	IN	of
the	DT	the
lessons	NNS	lesson
that	WDT	that
I	PP	I
draw	VBP	draw
from	IN	from
the	DT	the
1980s	NNS	1980s
.	SENT	.
Early	JJ	early
1980s	NNS	1980s
,	,	,
the	DT	the
Soviet	NP	Soviet
Union	NP	Union
looked	VBD	look
strong	JJ	strong
.	SENT	.
And	CC	and
it	PP	it
was	VBD	be
on	IN	on
the	DT	the
ground	NN	ground
by	IN	by
the	DT	the
end	NN	end
of	IN	of
the	DT	the
decade	NN	decade
,	,	,
again	RB	again
,	,	,
because	IN	because
it	PP	it
is	VBZ	be
hiding	VBG	hide
its	PP$	its
weaknesses	NNS	weakness
,	,	,
advertising	VBG	advertise
its	PP$	its
strengths	NNS	strength
.	SENT	.
We	PP	we
'	POS	'
re	NN	re
on	IN	on
the	DT	the
other	JJ	other
side	NN	side
.	SENT	.
We	PP	we
may	MD	may
surprise	VB	surprise
ourselves	PP	ourselves
by	IN	by
how	WRB	how
resilient	JJ	resilient
and	CC	and
adaptable	JJ	adaptable
we	PP	we
might	MD	might
be	VB	be
.	SENT	.
YE	PP	you
:	:	:
I	PP	I
love	VBP	love
that	IN	that
,	,	,
and	CC	and
I	PP	I
think	VBP	think
it	PP	it
also	RB	also
spoke	VBD	speak
to	TO	to
the	DT	the
messaging	VBG	message
problem	NN	problem
that	IN	that
we	PP	we
have	VBP	have
on	IN	on
the	DT	the
pro-democracy	JJ	pro-democracy
front	NN	front
.	SENT	.
And	CC	and
obviously	RB	obviously
the	DT	the
media	NN	media
plays	VBZ	play
a	DT	a
huge	JJ	huge
role	NN	role
in	IN	in
that	DT	that
.	SENT	.
And	CC	and
you	PP	you
'	POS	'
re	NN	re
a	DT	a
journalist	NN	journalist
