Sherrell	NP	Sherrell
and	CC	and
what	WP	what
that	DT	that
'	''	'
s	NNS	<unknown>
meant	VBN	mean
for	IN	for
your	PP$	your
team	NN	team
,	,	,
for	IN	for
your	PP$	your
organization	NN	organization
at	IN	at
large	JJ	large
,	,	,
and	CC	and
how	WRB	how
we	PP	we
'	POS	'
re	NN	re
starting	VBG	start
to	TO	to
think	VB	think
a	DT	a
little	JJ	little
bit	NN	bit
differently	RB	differently
about	IN	about
the	DT	the
shifts	NNS	shift
that	WDT	that
are	VBP	be
now	RB	now
happening	VBG	happen
.	SENT	.
MDP	NN	MDP
:	:	:
So	IN	so
it	PP	it
'	POS	'
s	NN	S
a	DT	a
great	JJ	great
question	NN	question
.	SENT	.
And	CC	and
even	RB	even
before	IN	before
we	PP	we
get	VBP	get
to	TO	to
like	VB	like
,	,	,
the	DT	the
horrific	JJ	horrific
murder	NN	murder
of	IN	of
George	NP	George
Floyd	NP	Floyd
,	,	,
I	PP	I
think	VBP	think
we	PP	we
need	VBP	need
to	TO	to
step	VB	step
back	RB	back
a	DT	a
little	JJ	little
bit	NN	bit
further	RBR	further
and	CC	and
think	VBP	think
about	IN	about
COVID	NP	<unknown>
and	CC	and
the	DT	the
comorbidities	NNS	comorbidity
that	WDT	that
were	VBD	be
exacerbated	VBN	exacerbate
.	SENT	.
You	PP	you
know	VBP	know
,	,	,
we	PP	we
thought	VBD	think
about	RB	about
who	WP	who
was	VBD	be
killed	VBN	kill
by	IN	by
COVID	NP	<unknown>
.	SENT	.
And	CC	and
I	PP	I
think	VBP	think
that	IN	that
brought	VBN	bring
a	DT	a
spotlight	NN	spotlight
that	WDT	that
exacerbated	VBD	exacerbate
when	WRB	when
we	PP	we
started	VBD	start
to	TO	to
look	VB	look
at	IN	at
police	NN	police
brutality	NN	brutality
and	CC	and
,	,	,
you	PP	you
know	VBP	know
,	,	,
before	IN	before
George	NP	George
Floyd	NP	Floyd
,	,	,
there	EX	there
was	VBD	be
Breonna	NP	<unknown>
Taylor	NP	Taylor
,	,	,
Ahmaud	NP	<unknown>
Arbery	NP	<unknown>
.	SENT	.
And	CC	and
this	DT	this
wasn	NN	<unknown>
'	POS	'
t	NN	t
like	IN	like
an	DT	an
episodic	JJ	episodic
event	NN	event
.	SENT	.
It	PP	it
really	RB	really
led	VBD	lead
to	TO	to
a	DT	a
global	JJ	global
racial	JJ	racial
equity	NN	equity
movement	NN	movement
.	SENT	.
And	CC	and
I	PP	I
think	VBP	think
global	JJ	global
here	RB	here
is	VBZ	be
important	JJ	important
.	SENT	.
So	RB	so
I	PP	I
have	VBP	have
four	CD	four
generations	NNS	generation
in	IN	in
my	PP$	my
household	NN	household
.	SENT	.
My	PP$	my
mom	NN	mom
'	POS	'
s	NN	S
85	CD	@card@
,	,	,
the	DT	the
youngest	JJS	young
in	IN	in
my	PP$	my
household	NN	household
,	,	,
I	PP	I
'	POS	'
m	NN	m
a	DT	a
new	JJ	new
Gigi	NP	Gigi
to	TO	to
a	DT	a
granddaughter	NN	granddaughter
,	,	,
and	CC	and
my	PP$	my
mom	NN	mom
said	VBD	say
--	:	--
who	WP	who
marched	VBD	march
in	IN	in
the	DT	the
1960s	NNS	1960s
with	IN	with
Dr	NP	Dr
Martin	NP	Martin
Luther	NP	Luther
King	NP	King
,	,	,
both	CC	both
of	IN	of
my	PP$	my
parents	NNS	parent
did	VBD	do
,	,	,
she	PP	she
said	VBD	say
,	,	,
"	``	"
I	PP	I
can	MD	can
'	''	'
t	NN	t
believe	VBP	believe
that	IN	that
people	NNS	people
outside	IN	outside
of	IN	of
the	DT	the
United	NP	United
States	NPS	States
care	VBP	care
about	RB	about
police	VB	police
brutality	NN	brutality
towards	IN	towards
Black	NP	Black
Americans	NPS	Americans
.	SENT	.
"	``	"
I	PP	I
mean	VBP	mean
,	,	,
she	PP	she
was	VBD	be
stunned	VBN	stun
by	IN	by
this	DT	this
.	SENT	.
And	CC	and
so	RB	so
I	PP	I
think	VBP	think
that	IN	that
backdrop	NN	backdrop
is	VBZ	be
important	JJ	important
.	SENT	.
So	RB	so
what	WP	what
we	PP	we
did	VBD	do
at	IN	at
Google	NP	<unknown>
,	,	,
like	JJ	like
,	,	,
quickly	RB	quickly
recognizing	VBG	recognize
,	,	,
hey	UH	hey
,	,	,
this	DT	this
isn	NN	isn
'	POS	'
t	NN	t
a	DT	a
series	NN	series
of	IN	of
episodic	JJ	episodic
events	NNS	event
,	,	,
this	DT	this
is	VBZ	be
a	DT	a
movement	NN	movement
.	SENT	.
And	CC	and
we	PP	we
need	VBP	need
to	TO	to
immediately	RB	immediately
deepen	VB	deepen
the	DT	the
work	NN	work
that	IN	that
we	PP	we
'	''	'
re	IN	re
doing	VBG	do
.	SENT	.
So	RB	so
we	PP	we
went	VBD	go
on	IN	on
a	DT	a
100-day	JJ	<unknown>
sprint	NN	sprint
as	IN	as
a	DT	a
company	NN	company
,	,	,
not	RB	not
just	RB	just
my	PP$	my
team	NN	team
,	,	,
which	WDT	which
is	VBZ	be
a	DT	a
very	RB	very
representative	JJ	representative
team	NN	team
,	,	,
I	PP	I
have	VBP	have
a	DT	a
rock-star	NN	<unknown>
team	NN	team
that	WDT	that
enables	VBZ	enable
everything	NN	everything
that	IN	that
I	PP	I
do	VBP	do
.	SENT	.
But	CC	but
this	DT	this
was	VBD	be
a	DT	a
company	NN	company
.	SENT	.
So	RB	so
we	PP	we
did	VBD	do
a	DT	a
call	NN	call
to	TO	to
action	NN	action
globally	RB	globally
,	,	,
across	IN	across
Google	NP	<unknown>
,	,	,
and	CC	and
our	PP$	our
goal	NN	goal
was	VBD	be
to	TO	to
really	RB	really
ensure	VB	ensure
that	IN	that
we	PP	we
were	VBD	be
building	VBG	build
sustainable	JJ	sustainable
equity	NN	equity
internally	RB	internally
and	CC	and
externally	RB	externally
.	SENT	.
And	CC	and
so	RB	so
we	PP	we
had	VBD	have
teams	NNS	team
that	WDT	that
looked	VBD	look
at	IN	at
all	DT	all
of	IN	of
our	PP$	our
products	NNS	product
and	CC	and
how	WRB	how
do	VBP	do
we	PP	we
use	VB	use
our	PP$	our
products	NNS	product
for	IN	for
social	JJ	social
good	NN	good
,	,	,
which	WDT	which
is	VBZ	be
embedded	VBN	embed
in	IN	in
the	DT	the
mission	NN	mission
of	IN	of
Google	NP	<unknown>
,	,	,
to	TO	to
ensure	VB	ensure
that	IN	that
our	PP$	our
products	NNS	product
are	VBP	be
helpful	JJ	helpful
and	CC	and
accessible	JJ	accessible
.	SENT	.
And	CC	and
then	RB	then
internally	RB	internally
looking	VBG	look
at	IN	at
--	:	--
we	PP	we
used	VBD	use
our	PP$	our
Black	NP	Black
leadership	NN	leadership
,	,	,
our	PP$	our
Black	NP	Black
executives	NNS	executive
and	CC	and
our	PP$	our
Black	NP	Black
Googler	NP	<unknown>
Network	NP	Network
,	,	,
which	WDT	which
is	VBZ	be
our	PP$	our
employee	NN	employee
resource	NN	resource
group	NN	group
,	,	,
to	TO	to
look	VB	look
at	IN	at
what	WP	what
do	VBP	do
we	PP	we
need	VBP	need
to	TO	to
do	VB	do
internally	RB	internally
to	TO	to
build	VB	build
equity	NN	equity
and	CC	and
not	RB	not
just	RB	just
across	IN	across
the	DT	the
Black	NP	Black
community	NN	community
,	,	,
but	CC	but
across	IN	across
underrepresented	VBN	underrepresent
minority	NN	minority
.	SENT	.
So	RB	so
we	PP	we
look	VBP	look
at	IN	at
Black	NP	Black
,	,	,
Latinx	NP	<unknown>
,	,	,
Hispanic	JJ	Hispanic
population	NN	population
as	RB	as
well	RB	well
as	IN	as
Indigenous	JJ	indigenous
community	NN	community
.	SENT	.
Out	RB	out
of	IN	of
that	DT	that
,	,	,
we	PP	we
had	VBD	have
eight	CD	eight
commitments	NNS	commitment
:	:	:
four	CD	four
external	JJ	external
,	,	,
four	CD	four
internal	JJ	internal
.	SENT	.
We	PP	we
'	POS	'
ve	NN	ve
invested	VBD	invest
over	IN	over
500	CD	@card@
million	CD	million
dollars	NNS	dollar
in	IN	in
the	DT	the
racial	JJ	racial
equity	NN	equity
commitments	NNS	commitment
.	SENT	.
And	CC	and
they	PP	they
complete	VB	complete
in	IN	in
2025	CD	@card@
.	SENT	.
So	IN	so
we	PP	we
'	POS	'
ve	NN	ve
learned	VBD	learn
a	DT	a
lot	NN	lot
along	IN	along
the	DT	the
way	NN	way
.	SENT	.
And	CC	and
we	PP	we
do	VBP	do
this	DT	this
work	NN	work
as	IN	as
a	DT	a
collective	JJ	collective
with	IN	with
civil	JJ	civil
rights	NNS	right
organizations	NNS	organization
,	,	,
human	JJ	human
rights	NNS	right
organizations	NNS	organization
,	,	,
you	PP	you
know	VBP	know
,	,	,
other	JJ	other
organizations	NNS	organization
,	,	,
because	IN	because
you	PP	you
can	MD	can
'	''	'
t	NN	t
do	VBP	do
this	DT	this
work	NN	work
in	IN	in
isolation	NN	isolation
.	SENT	.
This	DT	this
work	NN	work
,	,	,
we	PP	we
have	VBP	have
to	TO	to
go	VB	go
together	RB	together
.	SENT	.
SD	NNS	<unknown>
:	:	:
What	WP	what
'	POS	'
s	RB	<unknown>
been	VBN	be
really	RB	really
--	:	--
first	RB	first
of	IN	of
all	DT	all
,	,	,
that	WDT	that
'	POS	'
s	NN	S
really	RB	really
fascinating	JJ	fascinating
.	SENT	.
And	CC	and
thank	VB	thank
you	PP	you
for	IN	for
really	RB	really
spelling	VBG	spell
that	IN	that
out	RB	out
for	IN	for
us	PP	us
.	SENT	.
What	WP	what
'	POS	'
s	NN	S
really	RB	really
interesting	JJ	interesting
is	VBZ	be
,	,	,
there	EX	there
is	VBZ	be
almost	RB	almost
this	DT	this
new	JJ	new
identity	NN	identity
around	IN	around
what	WP	what
discrimination	NN	discrimination
,	,	,
what	WP	what
marginalization	NN	marginalization
and	CC	and
even	RB	even
racism	NN	racism
,	,	,
if	IN	if
we	PP	we
can	MD	can
just	RB	just
call	VB	call
it	PP	it
by	IN	by
the	DT	the
the	DT	the
term	NN	term
that	IN	that
it	PP	it
is	VBZ	be
,	,	,
has	VBZ	have
inflicted	VBN	inflict
on	IN	on
various	JJ	various
groups	NNS	group
.	SENT	.
And	CC	and
it	PP	it
is	VBZ	be
sometimes	RB	sometimes
a	DT	a
challenge	NN	challenge
to	TO	to
think	VB	think
that	IN	that
it	PP	it
took	VBD	take
a	DT	a
series	NN	series
of	IN	of
very	RB	very
catastrophic	JJ	catastrophic
events	NNS	event
,	,	,
including	VBG	include
a	DT	a
tremendous	JJ	tremendous
public	JJ	public
health	NN	health
crisis	NN	crisis
,	,	,
to	TO	to
get	VB	get
to	TO	to
a	DT	a
place	NN	place
where	WRB	where
our	PP$	our
ears	NNS	ear
were	VBD	be
open	JJ	open
,	,	,
right	RB	right
?	SENT	?
And	CC	and
even	RB	even
when	WRB	when
I	PP	I
think	VBP	think
about	IN	about
the	DT	the
nature	NN	nature
of	IN	of
the	DT	the
partnerships	NNS	partnership
that	IN	that
you	PP	you
all	RB	all
have	VBP	have
had	VBN	have
,	,	,
particularly	RB	particularly
when	WRB	when
it	PP	it
comes	VBZ	come
to	TO	to
HBCUs	NP	<unknown>
,	,	,
which	WDT	which
you	PP	you
are	VBP	be
an	DT	an
alum	NN	alum
.	SENT	.
MDP	NN	MDP
:	:	:
Proud	JJ	proud
Hampton	NP	Hampton
University	NP	University
alum	NN	alum
.	SENT	.
SD	NN	SD
:	:	:
Any	DT	any
HBCUs	NP	<unknown>
?	SENT	?
I	PP	I
heard	VBD	hear
there	EX	there
are	VBP	be
some	DT	some
HBCU	NP	<unknown>
students	NNS	student
.	SENT	.
MDP	NN	MDP
:	:	:
I	PP	I
love	VBP	love
all	DT	all
HBCUs	NP	<unknown>
,	,	,
but	CC	but
particular	JJ	particular
to	TO	to
.	SENT	.
.	SENT	.
.	SENT	.
SD	NN	SD
:	:	:
So	IN	so
I	PP	I
'	POS	'
m	NN	m
not	RB	not
part	NN	part
of	IN	of
the	DT	the
club	NN	club
because	IN	because
I	PP	I
did	VBD	do
not	RB	not
attend	VB	attend
an	DT	an
HBCU	NP	<unknown>
.	SENT	.
But	CC	but
I	PP	I
hope	VBP	hope
one	CD	one
day	NN	day
to	TO	to
be	VB	be
an	DT	an
honorary	JJ	honorary
member	NN	member
of	IN	of
Spelman	NP	Spelman
.	SENT	.
I	PP	I
should	MD	should
have	VB	have
been	VBN	be
a	DT	a
Spelman	NP	Spelman
woman	NN	woman
.	SENT	.
Alright	RB	alright
,	,	,
I	PP	I
see	VBP	see
,	,	,
OK	UH	OK
.	SENT	.
MDP	NN	MDP
:	:	:
I	PP	I
'	POS	'
m	NN	m
sure	JJ	sure
Dr	NP	Dr
Gayle	NP	Gayle
is	VBZ	be
beaming	VBG	beam
right	RB	right
now	RB	now
.	SENT	.
Love	VBP	love
to	TO	to
have	VB	have
you	PP	you
at	IN	at
Spelman	NP	Spelman
.	SENT	.
SD	NN	SD
:	:	:
I	PP	I
just	RB	just
need	VBP	need
a	DT	a
sweatshirt	NN	sweatshirt
.	SENT	.
So	RB	so
meet	VB	meet
me	PP	me
after	IN	after
,	,	,
meet	VB	meet
me	PP	me
after	IN	after
.	SENT	.
But	CC	but
there	EX	there
are	VBP	be
some	DT	some
unique	JJ	unique
partnerships	NNS	partnership
that	WDT	that
are	VBP	be
expanding	VBG	expand
beyond	IN	beyond
just	RB	just
social	JJ	social
justice	NN	justice
initiatives	NNS	initiative
and	CC	and
even	RB	even
stepping	VBG	step
into	IN	into
an	DT	an
area	NN	area
of	IN	of
education	NN	education
.	SENT	.
And	CC	and
very	RB	very
unique	JJ	unique
partnerships	NNS	partnership
,	,	,
particularly	RB	particularly
around	IN	around
the	DT	the
future	NN	future
of	IN	of
work	NN	work
,	,	,
which	WDT	which
,	,	,
when	WRB	when
we	PP	we
think	VBP	think
about	IN	about
inequalities	NNS	inequality
,	,	,
when	WRB	when
we	PP	we
talk	VBP	talk
about	IN	about
the	DT	the
racial	JJ	racial
wealth	NN	wealth
gap	NN	gap
,	,	,
when	WRB	when
we	PP	we
talk	VBP	talk
about	RB	about
who	WP	who
gets	VBZ	get
to	TO	to
build	VB	build
the	DT	the
future	NN	future
,	,	,
who	WP	who
gets	VBZ	get
to	TO	to
imagine	VB	imagine
a	DT	a
future	NN	future
,	,	,
a	DT	a
lot	NN	lot
of	IN	of
times	NNS	time
when	WRB	when
we	PP	we
think	VBP	think
about	IN	about
the	DT	the
folks	NNS	folk
who	WP	who
are	VBP	be
left	VBN	leave
out	RP	out
,	,	,
that	WDT	that
is	VBZ	be
women	NNS	woman
,	,	,
that	WDT	that
is	VBZ	be
other	JJ	other
marginalized	VBN	marginalize
folks	NNS	folk
of	IN	of
color	NN	color
who	WP	who
don	VBP	don
'	POS	'
t	NN	t
necessarily	RB	necessarily
get	VB	get
access	NN	access
in	IN	in
the	DT	the
same	JJ	same
way	NN	way
that	IN	that
some	DT	some
of	IN	of
our	PP$	our
counterparts	NNS	counterpart
do	VBP	do
.	SENT	.
And	CC	and
there	EX	there
'	''	'
s	VBG	<unknown>
a	DT	a
particular	JJ	particular
emphasis	NN	emphasis
on	IN	on
unique	JJ	unique
partnerships	NNS	partnership
,	,	,
in	IN	in
order	NN	order
to	TO	to
create	VB	create
,	,	,
upskill	NN	upskill
,	,	,
reskill	NN	reskill
,	,	,
or	CC	or
even	RB	even
teach	VB	teach
particular	JJ	particular
skill	NN	skill
sets	NNS	set
that	WDT	that
are	VBP	be
going	VBG	go
to	TO	to
be	VB	be
found	VBN	find
in	IN	in
the	DT	the
future	NN	future
.	SENT	.
Can	MD	can
you	PP	you
speak	VB	speak
to	TO	to
that	WDT	that
a	DT	a
little	JJ	little
bit	NN	bit
more	RBR	more
?	SENT	?
MDP	NP	MDP
:	:	:
Yes	UH	yes
,	,	,
and	CC	and
so	IN	so
it	PP	it
'	POS	'
s	NN	S
an	DT	an
incredible	JJ	incredible
observation	NN	observation
and	CC	and
insight	NN	insight
.	SENT	.
You	PP	you
know	VBP	know
,	,	,
let	VBP	let
'	POS	'
s	JJ	<unknown>
start	NN	start
with	IN	with
our	PP$	our
historically	RB	historically
Black	JJ	Black
colleges	NNS	college
and	CC	and
universities	NNS	university
,	,	,
which	WDT	which
are	VBP	be
national	JJ	national
treasures	NNS	treasure
.	SENT	.
And	CC	and
we	PP	we
have	VBP	have
to	TO	to
surround	VB	surround
our	PP$	our
HBCUs	NP	<unknown>
and	CC	and
ensure	VB	ensure
that	IN	that
we	PP	we
continue	VBP	continue
the	DT	the
pipeline	NN	pipeline
.	SENT	.
And	CC	and
part	NN	part
of	IN	of
that	DT	that
,	,	,
yes	UH	yes
,	,	,
is	VBZ	be
investing	VBG	invest
in	IN	in
the	DT	the
pipeline	NN	pipeline
for	IN	for
development	NN	development
to	TO	to
make	VB	make
sure	JJ	sure
that	IN	that
we	PP	we
'	POS	'
re	NN	re
hiring	NN	hiring
.	SENT	.
But	CC	but
there	EX	there
'	''	'
s	VBG	<unknown>
a	DT	a
bigger	JJR	big
part	NN	part
to	TO	to
this	DT	this
picture	NN	picture
.	SENT	.
And	CC	and
so	RB	so
at	IN	at
Google	NP	<unknown>
,	,	,
I	PP	I
lead	VBP	lead
an	DT	an
HBCU	NP	<unknown>
President	NP	President
'	POS	'
s	NN	S
Council	NN	council
.	SENT	.
And	CC	and
one	CD	one
of	IN	of
the	DT	the
things	NNS	thing
we	PP	we
'	POS	'
re	NN	re
doing	VBG	do
,	,	,
in	IN	in
addition	NN	addition
to	TO	to
creating	VBG	create
opportunities	NNS	opportunity
for	IN	for
internships	NNS	internship
and	CC	and
hiring	NN	hiring
,	,	,
is	VBZ	be
we	PP	we
are	VBP	be
helping	VBG	help
to	TO	to
amplify	VB	amplify
research	NN	research
opportunities	NNS	opportunity
.	SENT	.
And	CC	and
so	RB	so
,	,	,
I	PP	I
'	POS	'
m	NN	m
not	RB	not
sure	JJ	sure
if	IN	if
you	PP	you
know	VBP	know
this	DT	this
,	,	,
Sherrell	NP	Sherrell
,	,	,
but	CC	but
out	RB	out
of	IN	of
the	DT	the
HBCU	NP	<unknown>
landscape	NN	landscape
,	,	,
there	EX	there
are	VBP	be
no	DT	no
HBCUs	NP	<unknown>
currently	RB	currently
that	WDT	that
are	VBP	be
at	IN	at
R1	JJ	<unknown>
research	NN	research
standing	NN	standing
,	,	,
and	CC	and
that	DT	that
means	VBZ	mean
that	IN	that
we	PP	we
have	VBP	have
a	DT	a
stewardship	NN	stewardship
responsibility	NN	responsibility
to	TO	to
ensure	VB	ensure
that	IN	that
we	PP	we
'	''	'
re	IN	re
providing	VBG	provide
research	NN	research
opportunities	NNS	opportunity
,	,	,
but	CC	but
research	NN	research
opportunities	NNS	opportunity
also	RB	also
not	RB	not
--	:	--
They	PP	they
don	VBP	don
'	''	'
t	NN	t
just	RB	just
provide	VBP	provide
development	NN	development
,	,	,
they	PP	they
also	RB	also
provide	VBP	provide
diverse	JJ	diverse
voices	NNS	voice
,	,	,
diverse	JJ	diverse
ideas	NNS	idea
,	,	,
diverse	JJ	diverse
thoughts	NNS	thought
into	IN	into
cutting-edge	NN	cutting-edge
research	NN	research
.	SENT	.
But	CC	but
we	PP	we
just	RB	just
launched	VBD	launch
an	DT	an
applied	VBN	apply
research	NN	research
institute	NN	institute
a	DT	a
couple	NN	couple
of	IN	of
weeks	NNS	week
ago	RB	ago
,	,	,
in	IN	in
partnership	NN	partnership
with	IN	with
UNCF	NP	UNCF
and	CC	and
TMCF	NP	<unknown>
,	,	,
focused	VBN	focus
on	IN	on
HBCUs	NP	<unknown>
with	IN	with
mathematical	JJ	mathematical
and	CC	and
computational	JJ	computational
research	NN	research
to	TO	to
provide	VB	provide
these	DT	these
hands-on	JJ	hands-on
opportunities	NNS	opportunity
.	SENT	.
And	CC	and
with	IN	with
Spelman	NP	Spelman
College	NP	College
through	IN	through
Google	NP	<unknown>
.	SENT	.
org	NP	org
,	,	,
we	PP	we
provided	VBD	provide
a	DT	a
five	CD	five
million-dollar	NN	million-dollar
grant	NN	grant
for	IN	for
a	DT	a
women	NNS	woman
of	IN	of
color	JJ	color
STEAM	NN	steam
database	NN	database
.	SENT	.
No	DT	no
one	CD	one
else	RB	else
is	VBZ	be
doing	VBG	do
this	DT	this
.	SENT	.
And	CC	and
so	RB	so
Google	NP	<unknown>
developers	NNS	developer
,	,	,
other	JJ	other
HBCUs	NP	<unknown>
are	VBP	be
partnering	VBG	partner
hand	NN	hand
in	IN	in
hand	NN	hand
with	IN	with
Spelman	NP	Spelman
to	TO	to
create	VB	create
this	DT	this
database	NN	database
.	SENT	.
And	CC	and
this	DT	this
is	VBZ	be
the	DT	the
type	NN	type
of	IN	of
opportunity	NN	opportunity
that	IN	that
we	PP	we
have	VBP	have
to	TO	to
continue	VB	continue
to	TO	to
provide	VB	provide
.	SENT	.
And	CC	and
just	RB	just
,	,	,
you	PP	you
know	VBP	know
,	,	,
one	CD	one
other	JJ	other
example	NN	example
,	,	,
at	IN	at
Howard	NP	Howard
University	NP	University
,	,	,
we	PP	we
have	VBP	have
a	DT	a
partnership	NN	partnership
that	IN	that
we	PP	we
just	RB	just
announced	VBD	announce
.	SENT	.
It	PP	it
'	POS	'
s	NN	S
called	VBD	call
Project	NP	Project
Elevate	VB	elevate
Black	NP	Black
Voices	NNS	voice
.	SENT	.
So	RB	so
how	WRB	how
many	JJ	many
of	IN	of
you	PP	you
are	VBP	be
familiar	JJ	familiar
with	IN	with
automatic	JJ	automatic
speech	NN	speech
technology	NN	technology
?	SENT	?
And	CC	and
I	PP	I
don	VBP	don
'	''	'
t	NN	t
know	VBP	know
about	IN	about
you	PP	you
,	,	,
sometimes	RB	sometimes
I	PP	I
use	VBP	use
it	PP	it
and	CC	and
it	PP	it
doesn	NP	<unknown>
'	POS	'
t	NN	t
recognize	VB	recognize
my	PP$	my
voice	NN	voice
.	SENT	.
And	CC	and
so	RB	so
Google	NP	<unknown>
'	POS	'
s	NN	S
research	NN	research
,	,	,
as	RB	as
well	RB	well
as	IN	as
external	JJ	external
research	NN	research
,	,	,
you	PP	you
know	VBP	know
,	,	,
has	VBZ	have
determined	VBN	determine
and	CC	and
validated	VBN	validate
that	IN	that
it	PP	it
doesn	NNS	<unknown>
'	POS	'
t	NN	t
universally	RB	universally
recognize	VB	recognize
all	DT	all
voices	NNS	voice
.	SENT	.
So	IN	so
Howard	NP	Howard
University	NP	University
holds	VBZ	hold
the	DT	the
licensing	NN	licensing
rights	NNS	right
,	,	,
but	CC	but
they	PP	they
are	VBP	be
doing	VBG	do
that	DT	that
research	NN	research
to	TO	to
improve	VB	improve
the	DT	the
technology	NN	technology
.	SENT	.
These	DT	these
are	VBP	be
the	DT	the
types	NNS	type
of	IN	of
opportunities	NNS	opportunity
and	CC	and
unique	JJ	unique
partnerships	NNS	partnership
that	IN	that
we	PP	we
have	VBP	have
to	TO	to
have	VB	have
to	TO	to
not	RB	not
only	RB	only
build	VB	build
the	DT	the
pipeline	NN	pipeline
,	,	,
but	CC	but
to	TO	to
ensure	VB	ensure
that	IN	that
we	PP	we
have	VBP	have
diversity	NN	diversity
in	IN	in
the	DT	the
design	NN	design
,	,	,
in	IN	in
the	DT	the
products	NNS	product
and	CC	and
in	IN	in
the	DT	the
services	NNS	service
.	SENT	.
SD	NN	SD
:	:	:
That	WDT	that
'	POS	'
s	JJ	<unknown>
super	JJ	super
incredible	JJ	incredible
,	,	,
particularly	RB	particularly
for	IN	for
students	NNS	student
who	WP	who
are	VBP	be
currently	RB	currently
at	IN	at
these	DT	these
institutions	NNS	institution
and	CC	and
are	VBP	be
going	VBG	go
to	TO	to
get	VB	get
access	NN	access
and	CC	and
opportunity	NN	opportunity
.	SENT	.
I	PP	I
think	VBP	think
also	RB	also
to	TO	to
Google	NP	<unknown>
executives	NNS	executive
and	CC	and
employees	NNS	employee
as	IN	as
well	RB	well
,	,	,
who	WP	who
provide	VBP	provide
mentorship	NN	<unknown>
and	CC	and
leadership	NN	leadership
as	RB	as
well	RB	well
amongst	IN	amongst
these	DT	these
particular	JJ	particular
programs	NNS	program
.	SENT	.
And	CC	and
you	PP	you
talked	VBD	talk
about	IN	about
the	DT	the
partnerships	NNS	partnership
with	IN	with
the	DT	the
United	NP	United
Negro	NP	Negro
College	NP	College
Fund	NP	Fund
,	,	,
the	DT	the
