Right	RB	right
be	VB	be
stored	VBN	store
with	IN	with
fuel	NN	fuel
than	IN	than
with	IN	with
batteries	NNS	battery
.	SENT	.
You	PP	you
'	''	'
d	SYM	d
have	VB	have
to	TO	to
fill	VB	fill
your	PP$	your
entire	JJ	entire
parking	NN	parking
space	NN	space
of	IN	of
one	CD	one
garage	NN	garage
space	NN	space
just	RB	just
to	TO	to
give	VB	give
yourself	PP	yourself
four	CD	four
hours	NNS	hour
of	IN	of
battery	NN	battery
backup	NN	backup
.	SENT	.
And	CC	and
I	PP	I
concluded	VBD	conclude
,	,	,
after	IN	after
researching	VBG	research
every	DT	every
other	JJ	other
technology	NN	technology
that	IN	that
we	PP	we
could	MD	could
deploy	VB	deploy
for	IN	for
storing	VBG	store
energy	NN	energy
—	:	-
flywheels	NNS	flywheel
,	,	,
different	JJ	different
formulations	NNS	formulation
of	IN	of
batteries	NNS	battery
—	:	-
it	PP	it
just	RB	just
wasn	NN	<unknown>
'	POS	'
t	NN	t
practical	JJ	practical
to	TO	to
store	VB	store
energy	NN	energy
.	SENT	.
So	RB	so
what	WP	what
about	IN	about
making	VBG	make
energy	NN	energy
?	SENT	?
Maybe	RB	maybe
we	PP	we
could	MD	could
make	VB	make
energy	NN	energy
.	SENT	.
I	PP	I
tried	VBD	try
to	TO	to
figure	VB	figure
out	RP	out
—	:	-
maybe	RB	maybe
solar	JJ	solar
'	''	'
s	NNS	<unknown>
become	VBP	become
attractive	JJ	attractive
.	SENT	.
It	PP	it
'	POS	'
s	RB	<unknown>
been	VBN	be
25	CD	@card@
years	NNS	year
since	IN	since
I	PP	I
was	VBD	be
doing	VBG	do
this	DT	this
,	,	,
let	VB	let
me	PP	me
go	VB	go
back	RB	back
and	CC	and
look	VB	look
at	IN	at
what	WP	what
'	POS	'
s	RB	<unknown>
been	VBN	be
happening	VBG	happen
with	IN	with
solar	JJ	solar
cells	NNS	cell
.	SENT	.
And	CC	and
the	DT	the
price	NN	price
had	VBD	have
gone	VBN	go
down	RP	down
from	IN	from
10	CD	@card@
dollars	NNS	dollar
a	DT	a
watt	NN	watt
to	TO	to
about	RB	about
four	CD	four
or	CC	or
five	CD	five
dollars	NNS	dollar
a	DT	a
watt	NN	watt
,	,	,
but	CC	but
it	PP	it
stabilized	VBD	stabilize
.	SENT	.
And	CC	and
it	PP	it
needed	VBD	need
to	TO	to
get	VB	get
much	RB	much
lower	JJR	low
to	TO	to
be	VB	be
cost-effective	JJ	cost-effective
.	SENT	.
I	PP	I
studied	VBD	study
all	PDT	all
the	DT	the
new	JJ	new
things	NNS	thing
that	WDT	that
had	VBD	have
happened	VBN	happen
in	IN	in
solar	JJ	solar
cells	NNS	cell
,	,	,
and	CC	and
was	VBD	be
looking	VBG	look
for	IN	for
ways	NNS	way
we	PP	we
could	MD	could
make	VB	make
solar	JJ	solar
cells	NNS	cell
more	RBR	more
inexpensively	RB	inexpensively
.	SENT	.
A	DT	a
lot	NN	lot
of	IN	of
new	JJ	new
things	NNS	thing
are	VBP	be
happening	VBG	happen
to	TO	to
do	VB	do
that	IN	that
,	,	,
but	CC	but
fundamentally	RB	fundamentally
,	,	,
the	DT	the
process	NN	process
requires	VBZ	require
a	DT	a
tremendous	JJ	tremendous
amount	NN	amount
of	IN	of
energy	NN	energy
.	SENT	.
Some	DT	some
people	NNS	people
say	VBP	say
it	PP	it
takes	VBZ	take
more	JJR	more
energy	NN	energy
to	TO	to
make	VB	make
a	DT	a
solar	JJ	solar
cell	NN	cell
than	IN	than
it	PP	it
will	MD	will
give	VB	give
out	RP	out
in	IN	in
its	PP$	its
entire	JJ	entire
life	NN	life
.	SENT	.
If	IN	if
we	PP	we
reduce	VBP	reduce
the	DT	the
amount	NN	amount
of	IN	of
energy	NN	energy
it	PP	it
takes	VBZ	take
to	TO	to
make	VB	make
the	DT	the
cells	NNS	cell
,	,	,
that	WDT	that
will	MD	will
become	VB	become
more	RBR	more
practical	JJ	practical
.	SENT	.
But	CC	but
right	RB	right
now	RB	now
,	,	,
you	PP	you
pretty	RB	pretty
much	RB	much
have	VB	have
to	TO	to
take	VB	take
silicon	NN	silicon
,	,	,
put	VBD	put
it	PP	it
in	IN	in
an	DT	an
oven	NN	oven
at	IN	at
1600	CD	@card@
F	NN	F
for	IN	for
17	CD	@card@
hours	NNS	hour
,	,	,
to	TO	to
make	VB	make
the	DT	the
cells	NNS	cell
.	SENT	.
A	DT	a
lot	NN	lot
of	IN	of
people	NNS	people
are	VBP	be
working	VBG	work
to	TO	to
try	VB	try
and	CC	and
reduce	VB	reduce
that	DT	that
,	,	,
but	CC	but
I	PP	I
didn	NN	<unknown>
'	''	'
t	NN	t
have	VBP	have
anything	NN	anything
to	TO	to
contribute	VB	contribute
.	SENT	.
So	RB	so
I	PP	I
tried	VBD	try
to	TO	to
figure	VB	figure
out	RP	out
what	WP	what
other	JJ	other
way	NN	way
could	MD	could
we	PP	we
try	VB	try
to	TO	to
make	VB	make
cost-effective	JJ	cost-effective
solar	JJ	solar
electricity	NN	electricity
.	SENT	.
What	WP	what
if	IN	if
we	PP	we
collect	VBP	collect
the	DT	the
sun	NN	sun
with	IN	with
a	DT	a
large	JJ	large
reflector	NN	reflector
—	:	-
like	IN	like
I	PP	I
had	VBD	have
been	VBN	be
thinking	VBG	think
about	RB	about
in	IN	in
high	JJ	high
school	NN	school
,	,	,
but	CC	but
maybe	RB	maybe
with	IN	with
modern	JJ	modern
technology	NN	technology
we	PP	we
could	MD	could
make	VB	make
it	PP	it
cheaper	JJR	cheap
—	:	-
concentrate	VB	concentrate
it	PP	it
to	TO	to
a	DT	a
small	JJ	small
converter	NN	converter
,	,	,
and	CC	and
then	RB	then
the	DT	the
conversion	NN	conversion
device	NN	device
wouldn	NN	<unknown>
'	''	'
t	NN	t
have	VBP	have
to	TO	to
be	VB	be
as	RB	as
expensive	JJ	expensive
,	,	,
because	IN	because
it	PP	it
'	POS	'
s	NN	S
much	RB	much
smaller	JJR	small
,	,	,
rather	RB	rather
than	IN	than
solar	JJ	solar
cells	NNS	cell
,	,	,
which	WDT	which
have	VBP	have
to	TO	to
cover	VB	cover
the	DT	the
entire	JJ	entire
surface	NN	surface
that	IN	that
you	PP	you
want	VBP	want
to	TO	to
gather	VB	gather
sun	NN	sun
from	IN	from
.	SENT	.
This	DT	this
seemed	VBD	seem
practical	JJ	practical
now	RB	now
,	,	,
because	IN	because
a	DT	a
lot	NN	lot
of	IN	of
new	JJ	new
technologies	NNS	technology
had	VBD	have
come	VBN	come
in	IN	in
the	DT	the
25	CD	@card@
years	NNS	year
since	IN	since
I	PP	I
had	VBD	have
last	RB	last
looked	VBN	look
at	IN	at
it	PP	it
.	SENT	.
There	EX	there
was	VBD	be
a	DT	a
lot	NN	lot
of	IN	of
new	JJ	new
manufacturing	NN	manufacturing
techniques	NNS	technique
,	,	,
not	RB	not
to	TO	to
mention	VB	mention
really	RB	really
cheap	JJ	cheap
miniature	JJ	miniature
motors	NNS	motor
—	:	-
brushless	JJ	<unknown>
motors	NNS	motor
,	,	,
servomotors	NNS	servomotor
,	,	,
stepper	NN	stepper
motors	NNS	motor
,	,	,
that	WDT	that
are	VBP	be
used	VBN	use
in	IN	in
printers	NNS	printer
and	CC	and
scanners	NNS	scanner
.	SENT	.
So	RB	so
,	,	,
that	IN	that
'	POS	'
s	NNS	<unknown>
a	DT	a
breakthrough	NN	breakthrough
.	SENT	.
Of	IN	of
course	NN	course
,	,	,
inexpensive	JJ	inexpensive
microprocessors	NNS	microprocessor
and	CC	and
a	DT	a
very	RB	very
important	JJ	important
breakthrough	NN	breakthrough
—	:	-
genetic	JJ	genetic
algorithms	NNS	algorithm
.	SENT	.
I	NP	I
'	POS	'
ll	NNS	<unknown>
be	VB	be
very	RB	very
short	JJ	short
on	IN	on
genetic	JJ	genetic
algorithms	NNS	algorithm
.	SENT	.
It	PP	it
'	POS	'
s	NN	S
a	DT	a
powerful	JJ	powerful
way	NN	way
of	IN	of
solving	VBG	solve
intractable	JJ	intractable
problems	NNS	problem
using	VBG	use
natural	JJ	natural
selection	NN	selection
.	SENT	.
You	PP	you
take	VBP	take
a	DT	a
problem	NN	problem
that	IN	that
you	PP	you
can	MD	can
'	''	'
t	NN	t
solve	VB	solve
with	IN	with
a	DT	a
pure	JJ	pure
mathematical	JJ	mathematical
answer	NN	answer
,	,	,
you	PP	you
build	VBP	build
an	DT	an
evolutionary	JJ	evolutionary
system	NN	system
to	TO	to
try	VB	try
multiple	JJ	multiple
tries	NNS	try
at	IN	at
guessing	VBG	guess
,	,	,
you	PP	you
add	VBP	add
sex	NN	sex
—	:	-
where	WRB	where
you	PP	you
take	VBP	take
half	NN	half
of	IN	of
one	CD	one
solution	NN	solution
and	CC	and
half	NN	half
of	IN	of
another	DT	another
and	CC	and
then	RB	then
make	VB	make
new	JJ	new
mutations	NNS	mutation
—	:	-
and	CC	and
you	PP	you
use	VBP	use
natural	JJ	natural
selection	NN	selection
to	TO	to
kill	VB	kill
off	RP	off
not-as-good	JJ	<unknown>
solutions	NNS	solution
.	SENT	.
Usually	RB	usually
,	,	,
with	IN	with
a	DT	a
genetic	JJ	genetic
algorithm	NN	algorithm
on	IN	on
a	DT	a
computer	NN	computer
today	NN	today
,	,	,
with	IN	with
a	DT	a
three	CD	three
gigahertz	NN	gigahertz
processor	NN	processor
,	,	,
you	PP	you
can	MD	can
solve	VB	solve
many	JJ	many
formerly	RB	formerly
intractable	JJ	intractable
problems	NNS	problem
in	IN	in
just	RB	just
a	DT	a
matter	NN	matter
of	IN	of
minutes	NNS	minute
.	SENT	.
So	RB	so
we	PP	we
tried	VBD	try
to	TO	to
come	VB	come
up	RP	up
with	IN	with
a	DT	a
way	NN	way
to	TO	to
use	VB	use
genetic	JJ	genetic
algorithms	NNS	algorithm
to	TO	to
create	VB	create
a	DT	a
new	JJ	new
type	NN	type
of	IN	of
concentrator	NN	concentrator
.	SENT	.
And	CC	and
I	PP	I
'	POS	'
ll	NNS	<unknown>
show	VB	show
you	PP	you
what	WP	what
we	PP	we
came	VBD	come
up	RP	up
with	IN	with
.	SENT	.
Traditionally	RB	traditionally
,	,	,
concentrators	NNS	concentrator
look	VBP	look
like	IN	like
this	DT	this
.	SENT	.
Those	DT	those
shapes	NNS	shape
are	VBP	be
parabolas	NNS	parabola
.	SENT	.
They	PP	they
take	VBP	take
all	PDT	all
the	DT	the
parallel	JJ	parallel
incoming	JJ	incoming
rays	NNS	ray
and	CC	and
focus	VB	focus
it	PP	it
to	TO	to
a	DT	a
single	JJ	single
spot	NN	spot
.	SENT	.
They	PP	they
have	VBP	have
to	TO	to
track	VB	track
the	DT	the
sun	NN	sun
,	,	,
because	IN	because
they	PP	they
have	VBP	have
to	TO	to
point	VB	point
directly	RB	directly
at	IN	at
the	DT	the
sun	NN	sun
.	SENT	.
They	PP	they
usually	RB	usually
have	VBP	have
a	DT	a
one	CD	one
degree	NN	degree
acceptance	NN	acceptance
angle	NN	angle
—	:	-
once	IN	once
they	PP	they
'	POS	'
re	NN	re
more	RBR	more
than	IN	than
a	DT	a
degree	NN	degree
off	RB	off
,	,	,
none	NN	none
of	IN	of
the	DT	the
sunlight	NN	sunlight
rays	NNS	ray
will	MD	will
hit	VB	hit
the	DT	the
focus	NN	focus
.	SENT	.
So	RB	so
we	PP	we
tried	VBD	try
to	TO	to
come	VB	come
up	RP	up
with	IN	with
a	DT	a
non-tracking	JJ	<unknown>
collector	NN	collector
that	WDT	that
would	MD	would
gather	VB	gather
much	RB	much
more	JJR	more
than	IN	than
one	CD	one
degree	NN	degree
of	IN	of
light	NN	light
,	,	,
with	IN	with
no	DT	no
moving	VBG	move
parts	NNS	part
.	SENT	.
So	RB	so
we	PP	we
created	VBD	create
a	DT	a
genetic	JJ	genetic
algorithm	NN	algorithm
to	TO	to
try	VB	try
this	DT	this
out	RP	out
,	,	,
we	PP	we
made	VBD	make
a	DT	a
model	NN	model
in	IN	in
Excel	NP	Excel
of	IN	of
a	DT	a
multisurface	JJ	<unknown>
reflector	NN	reflector
,	,	,
and	CC	and
an	DT	an
amazing	JJ	amazing
thing	NN	thing
evolved	VBD	evolve
,	,	,
literally	RB	literally
,	,	,
from	IN	from
trying	VBG	try
a	DT	a
billion	NN	billion
cycles	NNS	cycle
,	,	,
a	DT	a
billion	NN	billion
different	JJ	different
attempts	NNS	attempt
,	,	,
with	IN	with
a	DT	a
fitness	NN	fitness
function	NN	function
that	WDT	that
defined	VBD	define
how	WRB	how
can	MD	can
you	PP	you
collect	VB	collect
the	DT	the
most	JJS	most
light	NN	light
,	,	,
from	IN	from
the	DT	the
most	JJS	most
angles	NNS	angle
,	,	,
over	IN	over
a	DT	a
day	NN	day
,	,	,
from	IN	from
the	DT	the
sun	NN	sun
.	SENT	.
And	CC	and
this	DT	this
is	VBZ	be
the	DT	the
shape	NN	shape
that	WDT	that
evolved	VBD	evolve
.	SENT	.
It	PP	it
'	POS	'
s	NN	S
this	DT	this
non-tracking	JJ	<unknown>
collector	NN	collector
with	IN	with
these	DT	these
six	CD	six
tuba-like	JJ	<unknown>
horns	NNS	horn
,	,	,
and	CC	and
each	DT	each
of	IN	of
them	PP	them
collect	VBP	collect
light	NN	light
in	IN	in
the	DT	the
following	VBG	follow
way	NN	way
—	:	-
if	IN	if
the	DT	the
sunlight	NN	sunlight
strikes	VBZ	strike
right	RB	right
here	RB	here
,	,	,
it	PP	it
might	MD	might
bounce	VB	bounce
right	RB	right
to	TO	to
the	DT	the
center	NN	center
,	,	,
the	DT	the
hot	JJ	hot
spot	NN	spot
,	,	,
directly	RB	directly
,	,	,
but	CC	but
if	IN	if
the	DT	the
sun	NN	sun
is	VBZ	be
off	RB	off
axis	NN	axis
and	CC	and
comes	VBZ	come
from	IN	from
the	DT	the
side	NN	side
,	,	,
it	PP	it
might	MD	might
hit	VB	hit
two	CD	two
places	NNS	place
and	CC	and
take	VB	take
two	CD	two
bounces	NNS	bounce
.	SENT	.
So	RB	so
for	IN	for
direct	JJ	direct
light	NN	light
,	,	,
it	PP	it
takes	VBZ	take
only	RB	only
one	CD	one
bounce	NN	bounce
,	,	,
for	IN	for
off-axis	NN	<unknown>
light	NN	light
it	PP	it
might	MD	might
take	VB	take
two	CD	two
,	,	,
and	CC	and
for	IN	for
extreme	JJ	extreme
off-axis	NN	<unknown>
,	,	,
it	PP	it
might	MD	might
take	VB	take
three	CD	three
.	SENT	.
Your	PP$	your
efficiency	NN	efficiency
goes	VBZ	go
down	RP	down
with	IN	with
more	JJR	more
bounces	NNS	bounce
,	,	,
because	IN	because
you	PP	you
lose	VBP	lose
about	RB	about
10	CD	@card@
percent	NN	percent
with	IN	with
each	DT	each
bounce	NN	bounce
,	,	,
but	CC	but
this	DT	this
allowed	VBD	allow
us	PP	us
to	TO	to
collect	VB	collect
light	NN	light
from	IN	from
a	DT	a
plus	NN	plus
or	CC	or
minus	JJ	minus
25-degree	JJ	<unknown>
angle	NN	angle
.	SENT	.
So	RB	so
,	,	,
about	IN	about
two	CD	two
and	CC	and
a	DT	a
half	JJ	half
hours	NNS	hour
of	IN	of
the	DT	the
day	NN	day
we	PP	we
could	MD	could
collect	VB	collect
with	IN	with
a	DT	a
stationary	JJ	stationary
component	NN	component
.	SENT	.
Solar	JJ	solar
cells	NNS	cell
collect	VBP	collect
light	NN	light
for	IN	for
four	CD	four
and	CC	and
a	DT	a
half	NN	half
hours	NNS	hour
though	RB	though
.	SENT	.
On	IN	on
an	DT	an
average	JJ	average
adjusted	JJ	adjusted
day	NN	day
,	,	,
a	DT	a
solar	JJ	solar
cell	NN	cell
—	:	-
because	IN	because
the	DT	the
sun	NN	sun
'	POS	'
s	NNS	<unknown>
moving	VBG	move
across	IN	across
the	DT	the
sky	NN	sky
,	,	,
the	DT	the
solar	JJ	solar
cell	NN	cell
is	VBZ	be
going	VBG	go
down	RP	down
with	IN	with
a	DT	a
sine	NN	sine
wave	NN	wave
function	NN	function
of	IN	of
performance	NN	performance
at	IN	at
the	DT	the
off-	NN	<unknown>
axis	NN	axis
angles	NNS	angle
.	SENT	.
It	PP	it
collects	VBZ	collect
about	RB	about
four	CD	four
and	CC	and
a	DT	a
half	JJ	half
average	JJ	average
hours	NNS	hour
of	IN	of
sunlight	NN	sunlight
a	DT	a
day	NN	day
.	SENT	.
So	RB	so
even	RB	even
this	DT	this
,	,	,
although	IN	although
it	PP	it
was	VBD	be
great	JJ	great
with	IN	with
no	DT	no
moving	VBG	move
parts	NNS	part
—	:	-
we	PP	we
could	MD	could
achieve	VB	achieve
high	JJ	high
temperatures	NNS	temperature
—	:	-
wasn	NP	<unknown>
'	POS	'
t	NN	t
enough	RB	enough
.	SENT	.
We	PP	we
needed	VBD	need
to	TO	to
beat	VB	beat
solar	JJ	solar
cells	NNS	cell
.	SENT	.
So	RB	so
we	PP	we
took	VBD	take
a	DT	a
look	NN	look
at	IN	at
another	DT	another
idea	NN	idea
.	SENT	.
We	PP	we
looked	VBD	look
at	IN	at
a	DT	a
way	NN	way
to	TO	to
break	VB	break
up	RP	up
a	DT	a
parabola	NN	parabola
into	IN	into
individual	JJ	individual
petals	NNS	petal
that	WDT	that
would	MD	would
track	VB	track
.	SENT	.
So	RB	so
what	WP	what
you	PP	you
see	VBP	see
here	RB	here
is	VBZ	be
12	CD	@card@
separate	JJ	separate
petals	NNS	petal
that	IN	that
each	DT	each
could	MD	could
be	VB	be
controlled	VBN	control
with	IN	with
individual	JJ	individual
microprocessors	NNS	microprocessor
that	WDT	that
would	MD	would
only	RB	only
cost	VB	cost
a	DT	a
dollar	NN	dollar
.	SENT	.
You	PP	you
can	MD	can
buy	VB	buy
a	DT	a
two-	NN	two-
megahertz	NN	megahertz
microprocessor	NN	microprocessor
for	IN	for
a	DT	a
dollar	NN	dollar
now	RB	now
.	SENT	.
And	CC	and
you	PP	you
can	MD	can
buy	VB	buy
stepper	NN	stepper
motors	NNS	motor
that	WDT	that
pretty	RB	pretty
much	RB	much
never	RB	never
wear	VB	wear
out	RP	out
because	IN	because
they	PP	they
have	VBP	have
no	DT	no
brushes	NNS	brush
,	,	,
for	IN	for
a	DT	a
dollar	NN	dollar
.	SENT	.
So	RB	so
we	PP	we
can	MD	can
control	VB	control
all	DT	all
12	CD	@card@
of	IN	of
