Bryn	NP	Bryn
And	CC	and
I	PP	I
fear	VBP	fear
that	IN	that
if	IN	if
we	PP	we
do	VBP	do
not	RB	not
,	,	,
as	IN	as
the	DT	the
citizenry	NN	citizenry
—	:	-
which	WDT	which
are	VBP	be
,	,	,
in	IN	in
my	PP$	my
opinion	NN	opinion
,	,	,
the	DT	the
most	RBS	most
important	JJ	important
leg	NN	leg
of	IN	of
that	DT	that
stool	NN	stool
—	:	-
don	NN	don
'	POS	'
t	NN	t
take	VB	take
our	PP$	our
role	NN	role
,	,	,
then	RB	then
you	PP	you
are	VBP	be
right	JJ	right
.	SENT	.
The	DT	the
detractors	NNS	detractor
,	,	,
or	CC	or
the	DT	the
people	NNS	people
telling	VBG	tell
you	PP	you
that	IN	that
businesses	NNS	business
will	MD	will
prevail	VB	prevail
,	,	,
are	VBP	be
right	JJ	right
.	SENT	.
It	PP	it
will	MD	will
happen	VB	happen
.	SENT	.
BF	NP	BF
:	:	:
So	RB	so
are	VBP	be
you	PP	you
saying	VBG	say
that	IN	that
individuals	NNS	individual
will	MD	will
force	VB	force
businesses	NNS	business
or	CC	or
business	NN	business
will	MD	will
be	VB	be
forced	VBN	force
to	TO	to
be	VB	be
responsive	JJ	responsive
,	,	,
or	CC	or
is	VBZ	be
there	RB	there
a	DT	a
fear	NN	fear
that	IN	that
they	PP	they
won	VBD	win
'	''	'
t	NN	t
be	VB	be
?	SENT	?
FC	NP	FC
:	:	:
I	PP	I
think	VBP	think
they	PP	they
will	MD	will
be	VB	be
.	SENT	.
Look	VB	look
at	IN	at
two	CD	two
weeks	NNS	week
ago	RB	ago
,	,	,
a	DT	a
small	JJ	small
company	NN	company
called	VBN	call
Skip	NP	Skip
winning	NN	winning
over	IN	over
Uber	NP	Uber
and	CC	and
Lyft	NP	<unknown>
and	CC	and
everyone	NN	everyone
to	TO	to
actually	RB	actually
get	VB	get
the	DT	the
license	NN	license
for	IN	for
the	DT	the
San	NP	San
Francisco	NP	Francisco
scooter	NN	scooter
business	NN	business
.	SENT	.
And	CC	and
if	IN	if
you	PP	you
read	VBP	read
why	WRB	why
did	VBD	do
Skip	NP	Skip
win	VB	win
,	,	,
because	IN	because
Skip	NP	Skip
listened	VBD	listen
to	TO	to
the	DT	the
people	NNS	people
of	IN	of
San	NP	San
Francisco	NP	Francisco
,	,	,
who	WP	who
were	VBD	be
tired	VBN	tire
of	IN	of
scooters	NNS	scooter
being	VBG	be
thrown	VBN	throw
everywhere	RB	everywhere
,	,	,
and	CC	and
actually	RB	actually
went	VBD	go
to	TO	to
the	DT	the
city	NN	city
and	CC	and
said	VBD	say
,	,	,
"	``	"
We	PP	we
will	MD	will
deploy	VB	deploy
the	DT	the
service	NN	service
,	,	,
but	CC	but
we	PP	we
will	MD	will
respond	VB	respond
to	TO	to
the	DT	the
people	NNS	people
'	POS	'
s	NN	S
requirements	NNS	requirement
that	IN	that
we	PP	we
organize	VB	organize
ourselves	PP	ourselves
around	IN	around
a	DT	a
set	NN	set
of	IN	of
rules	NNS	rule
.	SENT	.
"	``	"
They	PP	they
self-governed	JJ	self-governed
their	PP$	their
behavior	NN	behavior
,	,	,
and	CC	and
they	PP	they
won	VBD	win
the	DT	the
contract	NN	contract
over	IN	over
some	DT	some
very	RB	very
powerful	JJ	powerful
companies	NNS	company
.	SENT	.
BF	NP	BF
:	:	:
So	RB	so
speaking	VBG	speak
of	IN	of
guidelines	NNS	guideline
and	CC	and
self-governance	NN	self-governance
,	,	,
you	PP	you
'	POS	'
ve	NN	ve
spent	VBD	spend
an	DT	an
entire	JJ	entire
lifetime	NN	lifetime
creating	VBG	create
guidelines	NNS	guideline
and	CC	and
norms	NNS	norm
for	IN	for
the	DT	the
internet	NN	Internet
.	SENT	.
Do	VB	do
you	PP	you
think	VB	think
those	DT	those
days	NNS	day
are	VBP	be
over	RB	over
?	SENT	?
Who	WP	who
is	VBZ	be
going	VBG	go
to	TO	to
guide	VB	guide
,	,	,
who	WP	who
is	VBZ	be
going	VBG	go
to	TO	to
control	VB	control
,	,	,
and	CC	and
who	WP	who
is	VBZ	be
going	VBG	go
to	TO	to
create	VB	create
those	DT	those
norms	NNS	norm
?	SENT	?
FC	NP	FC
:	:	:
The	DT	the
rules	NNS	rule
that	WDT	that
govern	VBP	govern
the	DT	the
technology	NN	technology
layers	NNS	layer
of	IN	of
the	DT	the
internet	NN	Internet
are	VBP	be
now	RB	now
well	RB	well
put	VBN	put
in	IN	in
place	NN	place
,	,	,
and	CC	and
I	PP	I
was	VBD	be
very	RB	very
busy	JJ	busy
for	IN	for
a	DT	a
few	JJ	few
years	NNS	year
setting	VBG	set
those	DT	those
rules	NNS	rule
around	IN	around
the	DT	the
part	NN	part
of	IN	of
the	DT	the
internet	NN	Internet
that	WDT	that
makes	VBZ	make
the	DT	the
internet	NN	Internet
one	CD	one
network	NN	network
.	SENT	.
The	DT	the
domain-name	NN	<unknown>
system	NN	system
,	,	,
the	DT	the
IP	NP	IP
numbers	NNS	number
,	,	,
all	DT	all
of	IN	of
that	WDT	that
is	VBZ	be
in	IN	in
place	NN	place
.	SENT	.
However	RB	however
,	,	,
as	IN	as
we	PP	we
get	VBP	get
now	RB	now
into	IN	into
the	DT	the
upper	JJ	upper
layers	NNS	layer
of	IN	of
the	DT	the
internet	NN	Internet
,	,	,
the	DT	the
issues	NNS	issue
that	WDT	that
affect	VBP	affect
me	PP	me
and	CC	and
you	PP	you
every	DT	every
day	NN	day
—	:	-
privacy	NN	privacy
,	,	,
security	NN	security
,	,	,
etc	FW	etc
.	SENT	.
—	:	-
the	DT	the
system	NN	system
to	TO	to
create	VB	create
norms	NNS	norm
for	IN	for
those	DT	those
unfortunately	RB	unfortunately
is	VBZ	be
not	RB	not
in	IN	in
place	NN	place
.	SENT	.
So	RB	so
we	PP	we
do	VBP	do
have	VB	have
an	DT	an
issue	NN	issue
.	SENT	.
We	PP	we
have	VBP	have
a	DT	a
system	NN	system
of	IN	of
cooperation	NN	cooperation
and	CC	and
governance	NN	governance
that	WDT	that
really	RB	really
needs	VBZ	need
to	TO	to
be	VB	be
created	VBN	create
right	RB	right
now	RB	now
so	IN	so
that	DT	that
companies	NNS	company
,	,	,
governments	NNS	government
and	CC	and
the	DT	the
citizenry	NN	citizenry
can	MD	can
agree	VB	agree
how	WRB	how
this	DT	this
new	JJ	new
digital	JJ	digital
world	NN	world
is	VBZ	be
going	VBG	go
to	TO	to
advance	VB	advance
.	SENT	.
BF	NP	BF
:	:	:
So	RB	so
what	WP	what
gives	VBZ	give
a	DT	a
digital	JJ	digital
company	NN	company
any	DT	any
incentive	NN	incentive
?	SENT	?
Let	NP	Let
'	POS	'
s	NNS	<unknown>
say	VBP	say
—	:	-
Facebook	NP	<unknown>
comes	VBZ	come
to	TO	to
mind	VB	mind
—	:	-
they	PP	they
would	MD	would
say	VB	say
they	PP	they
have	VBP	have
their	PP$	their
users	NNS	user
'	POS	'
best	JJS	good
interests	NNS	interest
at	IN	at
heart	NN	heart
,	,	,
but	CC	but
I	PP	I
think	VBP	think
a	DT	a
lot	NN	lot
of	IN	of
people	NNS	people
would	MD	would
disagree	VB	disagree
with	IN	with
that	DT	that
.	SENT	.
FC	NP	FC
:	:	:
It	PP	it
'	POS	'
s	RB	<unknown>
been	VBN	be
very	RB	very
difficult	JJ	difficult
to	TO	to
watch	VB	watch
how	WRB	how
tech	NN	tech
companies	NNS	company
have	VBP	have
reacted	VBN	react
to	TO	to
the	DT	the
citizenry	NN	citizenry
'	POS	'
s	JJ	<unknown>
response	NN	response
to	TO	to
their	PP$	their
technologies	NNS	technology
.	SENT	.
And	CC	and
some	DT	some
of	IN	of
them	PP	them
,	,	,
two	CD	two
or	CC	or
three	CD	three
years	NNS	year
ago	RB	ago
,	,	,
basically	RB	basically
dismissed	VBD	dismiss
it	PP	it
.	SENT	.
The	DT	the
word	NN	word
that	IN	that
I	PP	I
heard	VBD	hear
in	IN	in
many	JJ	many
board	NN	board
rooms	NNS	room
is	VBZ	be
,	,	,
"	''	"
We	PP	we
'	''	'
re	IN	re
just	RB	just
a	DT	a
technology	NN	technology
platform	NN	platform
.	SENT	.
It	PP	it
'	POS	'
s	NNS	<unknown>
not	RB	not
my	PP$	my
issue	NN	issue
if	IN	if
my	PP$	my
technology	NN	technology
platform	NN	platform
causes	VBZ	cause
families	NNS	family
to	TO	to
go	VB	go
kill	VB	kill
their	PP$	their
girls	NNS	girl
in	IN	in
Pakistan	NP	Pakistan
.	SENT	.
It	PP	it
'	POS	'
s	NNS	<unknown>
not	RB	not
my	PP$	my
issue	NN	issue
.	SENT	.
It	PP	it
'	''	'
s	VBG	<unknown>
their	PP$	their
problem	NN	problem
.	SENT	.
I	PP	I
just	RB	just
have	VBP	have
a	DT	a
technology	NN	technology
platform	NN	platform
.	SENT	.
"	''	"
Now	RB	now
,	,	,
I	PP	I
think	VBP	think
we	PP	we
are	VBP	be
now	RB	now
entering	VBG	enter
a	DT	a
stage	NN	stage
where	WRB	where
companies	NNS	company
are	VBP	be
starting	VBG	start
to	TO	to
realize	VB	realize
this	DT	this
is	VBZ	be
no	RB	no
longer	RBR	longer
sustainable	JJ	sustainable
,	,	,
and	CC	and
they	PP	they
'	POS	'
re	NN	re
starting	VBG	start
to	TO	to
see	VB	see
the	DT	the
pushback	NN	<unknown>
that	RB	that
'	POS	'
s	NNS	<unknown>
coming	VBG	come
from	IN	from
people	NNS	people
,	,	,
users	NNS	user
,	,	,
citizens	NNS	citizen
,	,	,
but	CC	but
also	RB	also
governments	NNS	government
that	WDT	that
are	VBP	be
starting	VBG	start
to	TO	to
say	VB	say
,	,	,
"	``	"
This	DT	this
cannot	MD	can
be	VB	be
.	SENT	.
"	``	"
So	RB	so
I	PP	I
think	VBP	think
there	EX	there
is	VBZ	be
a	DT	a
maturity	NN	maturity
that	WDT	that
is	VBZ	be
starting	VBG	start
to	TO	to
set	VB	set
,	,	,
especially	RB	especially
in	IN	in
that	DT	that
Silicon	NP	Silicon
Valley	NP	Valley
area	NN	area
,	,	,
where	WRB	where
people	NNS	people
are	VBP	be
beginning	VBG	begin
to	TO	to
say	VB	say
,	,	,
"	``	"
We	PP	we
have	VBP	have
a	DT	a
role	NN	role
.	SENT	.
"	''	"
So	RB	so
when	WRB	when
I	PP	I
speak	VBP	speak
to	TO	to
these	DT	these
leaders	NNS	leader
,	,	,
I	PP	I
say	VBP	say
,	,	,
"	``	"
Look	VB	look
,	,	,
you	PP	you
could	MD	could
be	VB	be
the	DT	the
CEO	NN	CEO
,	,	,
a	DT	a
very	RB	very
successful	JJ	successful
CEO	NN	CEO
of	IN	of
a	DT	a
company	NN	company
,	,	,
but	CC	but
you	PP	you
could	MD	could
also	RB	also
be	VB	be
a	DT	a
steward	NN	steward
.	SENT	.
"	''	"
And	CC	and
that	IN	that
'	POS	'
s	NN	S
the	DT	the
key	JJ	key
word	NN	word
.	SENT	.
"	``	"
You	PP	you
could	MD	could
be	VB	be
a	DT	a
steward	NN	steward
of	IN	of
the	DT	the
power	NN	power
you	PP	you
have	VBP	have
to	TO	to
shape	VB	shape
the	DT	the
lives	NNS	life
and	CC	and
the	DT	the
economies	NNS	economy
of	IN	of
billions	NNS	billion
of	IN	of
people	NNS	people
.	SENT	.
Which	WDT	which
one	PP	one
do	VBP	do
you	PP	you
want	VBP	want
to	TO	to
be	VB	be
?	SENT	?
"	''	"
And	CC	and
the	DT	the
answer	NN	answer
is	VBZ	be
,	,	,
it	PP	it
'	POS	'
s	NN	S
not	RB	not
one	CD	one
or	CC	or
the	DT	the
other	JJ	other
.	SENT	.
This	DT	this
is	VBZ	be
what	WP	what
we	PP	we
are	VBP	be
missing	VBG	miss
right	RB	right
now	RB	now
.	SENT	.
So	RB	so
when	WRB	when
an	DT	an
adult	NN	adult
like	IN	like
Brad	NP	Brad
Smith	NP	Smith
,	,	,
the	DT	the
president	NN	president
of	IN	of
Microsoft	NP	Microsoft
,	,	,
said	VBD	say
a	DT	a
few	JJ	few
months	NNS	month
ago	RB	ago
,	,	,
"	``	"
We	PP	we
need	VBP	need
a	DT	a
new	JJ	new
set	NN	set
of	IN	of
Geneva	NP	Geneva
Conventions	NPS	Conventions
to	TO	to
manage	VB	manage
the	DT	the
security	NN	security
of	IN	of
the	DT	the
digital	JJ	digital
space	NN	space
,	,	,
"	''	"
many	JJ	many
of	IN	of
the	DT	the
senior	JJ	senior
leaders	NNS	leader
in	IN	in
Silicon	NP	Silicon
Valley	NP	Valley
actually	RB	actually
spoke	VBD	speak
against	IN	against
his	PP$	his
words	NNS	word
.	SENT	.
"	''	"
What	WP	what
do	VBP	do
you	PP	you
mean	VBP	mean
,	,	,
Geneva	NP	Geneva
Convention	NP	Convention
?	SENT	?
We	PP	we
don	VBP	don
'	''	'
t	NN	t
need	VBP	need
any	DT	any
Geneva	NP	Geneva
Conventions	NPS	Conventions
.	SENT	.
We	PP	we
self-regulate	VBP	self-regulate
.	SENT	.
"	''	"
But	CC	but
that	IN	that
mood	NN	mood
is	VBZ	be
changing	VBG	change
,	,	,
and	CC	and
I	PP	I
'	POS	'
m	NN	m
starting	VBG	start
to	TO	to
see	VB	see
many	JJ	many
leaders	NNS	leader
say	VBP	say
,	,	,
"	``	"
Help	VB	help
us	PP	us
out	RP	out
.	SENT	.
"	''	"
But	CC	but
here	RB	here
lies	VBZ	lie
the	DT	the
conundrum	NN	conundrum
.	SENT	.
Who	WP	who
is	VBZ	be
going	VBG	go
to	TO	to
help	VB	help
those	DT	those
leaders	NNS	leader
do	VBP	do
the	DT	the
right	JJ	right
thing	NN	thing
?	SENT	?
BF	NP	BF
:	:	:
So	RB	so
who	WP	who
is	VBZ	be
going	VBG	go
to	TO	to
help	VB	help
them	PP	them
?	SENT	?
Because	IN	because
I	PP	I
'	POS	'
d	NN	d
love	NN	love
to	TO	to
interview	VB	interview
you	PP	you
for	IN	for
an	DT	an
hour	NN	hour
,	,	,
but	CC	but
give	VB	give
me	PP	me
your	PP$	your
biggest	JJS	big
fear	NN	fear
and	CC	and
your	PP$	your
best	JJS	good
hope	NN	hope
for	IN	for
how	WRB	how
this	DT	this
is	VBZ	be
going	VBG	go
to	TO	to
work	VB	work
out	RP	out
.	SENT	.
FC	NP	FC
:	:	:
My	PP$	my
biggest	JJS	big
hope	NN	hope
is	VBZ	be
that	IN	that
we	PP	we
will	MD	will
become	VB	become
each	DT	each
stewards	NNS	steward
of	IN	of
this	DT	this
new	JJ	new
digital	JJ	digital
world	NN	world
.	SENT	.
That	IN	that
'	''	'
s	VBG	<unknown>
my	PP$	my
biggest	JJS	big
hope	NN	hope
,	,	,
because	IN	because
I	PP	I
do	VBP	do
think	VB	think
,	,	,
often	RB	often
,	,	,
we	PP	we
want	VBP	want
to	TO	to
put	VB	put
the	DT	the
blame	NN	blame
on	IN	on
others	NNS	other
.	SENT	.
"	``	"
Oh	UH	oh
,	,	,
it	PP	it
'	POS	'
s	NN	S
these	DT	these
CEOs	NNS	CEO
.	SENT	.
They	PP	they
'	''	'
re	IN	re
behaving	VBG	behave
this	DT	this
way	NN	way
.	SENT	.
"	''	"
"	``	"
These	DT	these
governments	NNS	government
are	VBP	be
not	RB	not
doing	VBG	do
enough	RB	enough
.	SENT	.
"	``	"
But	CC	but
how	WRB	how
about	RB	about
us	PP	us
?	SENT	?
How	WRB	how
is	VBZ	be
each	DT	each
of	IN	of
us	PP	us
actually	RB	actually
taking	VBG	take
the	DT	the
responsibility	NN	responsibility
to	TO	to
be	VB	be
a	DT	a
steward	NN	steward
of	IN	of
the	DT	the
digital	JJ	digital
space	NN	space
we	PP	we
live	VBP	live
in	IN	in
?	SENT	?
And	CC	and
one	CD	one
of	IN	of
the	DT	the
things	NNS	thing
I	PP	I
'	POS	'
ve	RB	<unknown>
been	VBN	be
pushing	VBG	push
on	IN	on
university	NN	university
presidents	NNS	president
is	VBZ	be
we	PP	we
need	VBP	need
every	DT	every
engineering	NN	engineering
and	CC	and
science	NN	science
and	CC	and
computer	NN	computer
science	NN	science
student	NN	student
who	WP	who
is	VBZ	be
about	RB	about
to	TO	to
write	VB	write
the	DT	the
next	JJ	next
line	NN	line
of	IN	of
code	NN	code
or	CC	or
design	VB	design
the	DT	the
next	JJ	next
IoT	NP	<unknown>
device	NN	device
to	TO	to
actually	RB	actually
have	VB	have
in	IN	in
them	PP	them
a	DT	a
sense	NN	sense
of	IN	of
responsibility	NN	responsibility
and	CC	and
stewardship	NN	stewardship
towards	IN	towards
what	WP	what
they	PP	they
'	POS	'
re	NN	re
building	NN	building
.	SENT	.
So	RB	so
I	PP	I
suggested	VBD	suggest
we	PP	we
create	VB	create
a	DT	a
new	JJ	new
oath	NN	oath
,	,	,
like	IN	like
the	DT	the
Hippocratic	JJ	Hippocratic
Oath	NN	oath
,	,	,
so	RB	so
that	IN	that
every	DT	every
student	NN	student
entering	VBG	enter
an	DT	an
engineering	NN	engineering
program	NN	program
takes	VBZ	take
a	DT	a
technocratic	JJ	technocratic
oath	NN	oath
or	CC	or
a	DT	a
wisdom	NN	wisdom
oath	NN	oath
or	CC	or
some	DT	some
oath	NN	oath
of	IN	of
commitment	NN	commitment
to	TO	to
the	DT	the
rest	NN	rest
of	IN	of
us	PP	us
.	SENT	.
That	IN	that
'	''	'
s	VBG	<unknown>
my	PP$	my
best	JJS	good
hope	NN	hope
,	,	,
that	WDT	that
we	PP	we
all	DT	all
rise	NN	rise
.	SENT	.
Because	IN	because
governments	NNS	government
and	CC	and
businesses	NNS	business
will	MD	will
fight	VB	fight
over	IN	over
this	DT	this
power	NN	power
game	NN	game
,	,	,
but	CC	but
where	WRB	where
are	VBP	be
we	PP	we
?	SENT	?
And	CC	and
unless	IN	unless
we	PP	we
play	VBP	play
into	IN	into
that	DT	that
power	NN	power
table	NN	table
,	,	,
I	PP	I
think	VBP	think
we	PP	we
'	''	'
ll	NNS	<unknown>
end	VBP	end
up	RP	up
in	IN	in
a	DT	a
bad	JJ	bad
place	NN	place
.	SENT	.
My	PP$	my
biggest	JJS	big
fear	NN	fear
?	SENT	?
My	PP$	my
biggest	JJS	big
fear	NN	fear
,	,	,
to	TO	to
be	VB	be
very	RB	very
tactical	JJ	tactical
today	NN	today
,	,	,
what	WP	what
is	VBZ	be
keeping	VBG	keep
me	PP	me
up	RP	up
at	IN	at
night	NN	night
is	VBZ	be
the	DT	the
current	JJ	current
war	NN	war
between	IN	between
the	DT	the
West	NP	West
,	,	,
the	DT	the
liberal	JJ	liberal
world	NN	world
,	,	,
and	CC	and
China	NP	China
,	,	,
in	IN	in
the	DT	the
area	NN	area
of	IN	of
artificial	JJ	artificial
intelligence	NN	intelligence
.	SENT	.
There	EX	there
is	VBZ	be
a	DT	a
real	JJ	real
war	NN	war
going	VBG	go
on	IN	on
,	,	,
and	CC	and
for	IN	for
those	DT	those
of	IN	of
us	PP	us
who	WP	who
have	VBP	have
lived	VBN	live
through	IN	through
the	DT	the
nuclear	JJ	nuclear
nonproliferation	NN	nonproliferation
age	NN	age
and	CC	and
saw	VBD	see
how	WRB	how
people	NNS	people
agreed	VBD	agree
to	TO	to
take	VB	take
some	DT	some
very	RB	very
dangerous	JJ	dangerous
things	NNS	thing
off	IN	off
the	DT	the
table	NN	table
,	,	,
well	RB	well
,	,	,
the	DT	the
Carnegie	NP	Carnegie
Endowment	NP	Endowment
just	RB	just
finished	VBD	finish
a	DT	a
study	NN	study
.	SENT	.
They	PP	they
talked	VBD	talk
to	TO	to
every	DT	every
country	NN	country
that	WDT	that
made	VBD	make
nuclear	JJ	nuclear
weapons	NNS	weapon
and	CC	and
asked	VBD	ask
them	PP	them
,	,	,
"	''	"
Which	WDT	which
digital	JJ	digital
'	''	'
weapon	NN	weapon
'	''	'
would	MD	would
you	PP	you
take	VB	take
off	RP	off
the	DT	the
table	NN	table
against	IN	against
somebody	NN	somebody
else	RB	else
'	POS	'
s	NN	S
schools	NNS	school
or	CC	or
hospitals	NNS	hospital
?	SENT	?
"	''	"
And	CC	and
the	DT	the
answer	NN	answer
—	:	-
from	IN	from
every	DT	every
nuclear	JJ	nuclear
power	NN	power
—	:	-
to	TO	to
this	DT	this
question	NN	question
was	VBD	be
,	,	,
nothing	NN	nothing
.	SENT	.
That	IN	that
'	POS	'
s	VBG	<unknown>
what	WP	what
I	PP	I
'	POS	'
m	NN	m
worried	VBD	worry
about	RB	about
.	SENT	.
.	SENT	.
.	SENT	.
The	DT	the
weaponization	NN	<unknown>
of	IN	of
the	DT	the
digital	JJ	digital
space	NN	space
,	,	,
and	CC	and
the	DT	the
race	NN	race
to	TO	to
get	VB	get
there	RB	there
.	SENT	.
BF	NP	BF
:	:	:
Well	UH	well
,	,	,
it	PP	it
sounds	VBZ	sound
like	IN	like
you	PP	you
'	POS	'
ve	NN	ve
got	VBD	get
a	DT	a
lot	NN	lot
of	IN	of
work	NN	work
to	TO	to
do	VB	do
,	,	,
and	CC	and
so	RB	so
do	VBP	do
the	DT	the
rest	NN	rest
of	IN	of
us	PP	us
.	SENT	.
Fadi	NP	Fadi
,	,	,
thank	VBP	thank
you	PP	you
so	RB	so
much	RB	much
.	SENT	.
I	PP	I
really	RB	really
appreciate	VB	appreciate
it	PP	it
.	SENT	.
FC	NP	FC
:	:	:
Thank	VB	thank
you	PP	you
.	SENT	.
