Everybody	NN	everybody
black	JJ	black
professors	NNS	professor
,	,	,
create	VB	create
five	CD	five
Black	NP	Black
Studies	NPS	Studies
classes	NNS	class
and	CC	and
hire	VB	hire
one	CD	one
black	JJ	black
dean	NN	dean
.	SENT	.
It	PP	it
didn	NP	<unknown>
'	POS	'
t	NN	t
seem	VBP	seem
particularly	RB	particularly
revolutionary	JJ	revolutionary
,	,	,
but	CC	but
what	WP	what
was	VBD	be
different	JJ	different
about	IN	about
it	PP	it
was	VBD	be
,	,	,
we	PP	we
also	RB	also
challenged	VBD	challenge
Davidson	NP	Davidson
to	TO	to
say	VB	say
that	IN	that
if	IN	if
you	PP	you
don	NN	don
'	POS	'
t	NN	t
do	VBP	do
this	DT	this
,	,	,
we	PP	we
will	MD	will
question	VB	question
your	PP$	your
commitment	NN	commitment
to	TO	to
diversity	NN	diversity
.	SENT	.
It	PP	it
was	VBD	be
a	DT	a
real	JJ	real
problem	NN	problem
.	SENT	.
We	PP	we
put	VBD	put
some	DT	some
real	JJ	real
numbers	NNS	number
to	TO	to
it	PP	it
.	SENT	.
We	PP	we
gave	VBD	give
them	PP	them
some	DT	some
real	JJ	real
consequences	NNS	consequence
.	SENT	.
Well	RB	well
,	,	,
the	DT	the
campus	NN	campus
went	VBD	go
absolutely	RB	absolutely
nuts	NNS	nut
.	SENT	.
But	CC	but
fortunately	RB	fortunately
,	,	,
in	IN	in
the	DT	the
middle	NN	middle
of	IN	of
this	DT	this
,	,	,
Davidson	NP	Davidson
got	VBD	get
a	DT	a
new	JJ	new
president	NN	president
,	,	,
and	CC	and
that	IN	that
president	NN	president
was	VBD	be
single-minded	JJ	single-minded
about	IN	about
racism	NN	racism
,	,	,
too	RB	too
.	SENT	.
And	CC	and
so	RB	so
,	,	,
he	PP	he
created	VBD	create
a	DT	a
task	NN	task
force	NN	force
to	TO	to
address	VB	address
the	DT	the
issues	NNS	issue
in	IN	in
Project	NP	Project
'	POS	'
87	CD	@card@
.	SENT	.
And	CC	and
several	JJ	several
months	NNS	month
after	IN	after
that	DT	that
,	,	,
we	PP	we
produced	VBD	produce
a	DT	a
77-page	JJ	<unknown>
report	NN	report
.	SENT	.
That	DT	that
report	NN	report
was	VBD	be
the	DT	the
foundation	NN	foundation
for	IN	for
all	PDT	all
the	DT	the
change	NN	change
that	WDT	that
came	VBD	come
after	IN	after
it	PP	it
.	SENT	.
Now	RB	now
,	,	,
I	NP	I
wasn	NP	<unknown>
'	POS	'
t	NN	t
there	RB	there
to	TO	to
see	VB	see
that	DT	that
change	NN	change
,	,	,
because	RB	because
,	,	,
actually	RB	actually
,	,	,
in	IN	in
1985	CD	@card@
,	,	,
I	PP	I
graduated	VBD	graduate
.	SENT	.
You	PP	you
are	VBP	be
looking	VBG	look
at	IN	at
the	DT	the
three	CD	three
happiest	JJS	happy
people	NNS	people
on	IN	on
the	DT	the
planet	NN	planet
that	IN	that
day	NN	day
,	,	,
because	IN	because
I	PP	I
am	VBP	be
leaving	VBG	leave
.	SENT	.
However	RB	however
,	,	,
the	DT	the
change	NN	change
did	VBD	do
happen	VB	happen
,	,	,
and	CC	and
today	NN	today
,	,	,
there	EX	there
are	VBP	be
185	CD	@card@
black	JJ	black
students	NNS	student
,	,	,
there	EX	there
are	VBP	be
16	CD	@card@
black	JJ	black
or	CC	or
multiracial	JJ	multiracial
professors	NNS	professor
,	,	,
there	EX	there
are	VBP	be
four	CD	four
black	JJ	black
deans	NNS	dean
,	,	,
and	CC	and
there	EX	there
'	''	'
s	VBG	<unknown>
an	DT	an
entire	JJ	entire
degree-granting	NN	degree-granting
Africana	NP	<unknown>
Studies	NPS	Studies
Department	NP	Department
.	SENT	.
Project	NP	Project
'	POS	'
87	CD	@card@
changed	JJ	changed
Davidson	NP	Davidson
.	SENT	.
But	CC	but
it	PP	it
also	RB	also
changed	VBD	change
me	PP	me
,	,	,
because	IN	because
what	WP	what
it	PP	it
taught	VBD	teach
me	PP	me
was	VBD	be
there	RB	there
'	''	'
s	VBG	<unknown>
a	DT	a
lot	NN	lot
of	IN	of
power	NN	power
in	IN	in
single-mindedness	NN	single-mindedness
.	SENT	.
Well	RB	well
,	,	,
today	NN	today
,	,	,
I	PP	I
'	POS	'
m	NN	m
an	DT	an
executive	JJ	executive
speechwriter	NN	speechwriter
for	IN	for
one	CD	one
of	IN	of
the	DT	the
biggest	JJS	big
companies	NNS	company
in	IN	in
the	DT	the
world	NN	world
.	SENT	.
It	PP	it
'	POS	'
s	NNS	<unknown>
a	DT	a
profession	NN	profession
that	WDT	that
is	VBZ	be
92	CD	@card@
percent	NN	percent
white	JJ	white
and	CC	and
predominantly	RB	predominantly
male	JJ	male
,	,	,
which	WDT	which
makes	VBZ	make
me	PP	me
a	DT	a
little	JJ	little
bit	NN	bit
of	IN	of
a	DT	a
unicorn	NN	unicorn
.	SENT	.
But	CC	but
I	PP	I
'	POS	'
m	NN	m
a	DT	a
single-minded	JJ	single-minded
unicorn	NN	unicorn
.	SENT	.
So	IN	so
the	DT	the
thing	NN	thing
about	IN	about
speech	NN	speech
writing	NN	writing
is	VBZ	be
,	,	,
it	PP	it
'	POS	'
s	NN	S
very	RB	very
personal	JJ	personal
.	SENT	.
So	RB	so
I	PP	I
spend	VBP	spend
a	DT	a
lot	NN	lot
of	IN	of
time	NN	time
in	IN	in
deep	JJ	deep
conversation	NN	conversation
with	IN	with
the	DT	the
CEO	NN	CEO
and	CC	and
senior	JJ	senior
executives	NNS	executive
,	,	,
and	CC	and
a	DT	a
lot	NN	lot
of	IN	of
times	NNS	time
those	DT	those
conversations	NNS	conversation
turn	VBP	turn
to	TO	to
diversity	NN	diversity
and	CC	and
inclusion	NN	inclusion
,	,	,
which	WDT	which
,	,	,
of	IN	of
course	NN	course
,	,	,
I	PP	I
'	POS	'
m	NN	m
always	RB	always
happy	JJ	happy
to	TO	to
talk	VB	talk
about	RB	about
.	SENT	.
But	CC	but
after	IN	after
quite	PDT	quite
a	DT	a
few	JJ	few
of	IN	of
these	DT	these
conversations	NNS	conversation
,	,	,
I	PP	I
'	POS	'
ve	NNS	<unknown>
come	VBP	come
to	TO	to
a	DT	a
conclusion	NN	conclusion
:	:	:
I	PP	I
believe	VBP	believe
that	IN	that
business	NN	business
is	VBZ	be
in	IN	in
a	DT	a
position	NN	position
to	TO	to
do	VB	do
something	NN	something
that	IN	that
no	DT	no
other	JJ	other
entity	NN	entity
can	MD	can
do	VB	do
.	SENT	.
Business	NN	business
can	MD	can
dismantle	VB	dismantle
racism	NN	racism
.	SENT	.
Now	RB	now
,	,	,
colleges	NNS	college
can	MD	can
'	''	'
t	NN	t
do	VBP	do
it	PP	it
.	SENT	.
There	RB	there
aren	NNS	<unknown>
'	POS	'
t	NN	t
but	CC	but
5	CD	@card@
,	,	,
000	CD	@card@
of	IN	of
them	PP	them
in	IN	in
the	DT	the
United	NP	United
States	NPS	States
and	CC	and
only	RB	only
20	CD	@card@
million	CD	million
students	NNS	student
enrolled	VBD	enroll
.	SENT	.
Church	NN	church
can	NN	can
'	POS	'
t	NN	t
do	VBP	do
it	PP	it
,	,	,
either	CC	either
â	NP	<unknown>
only	RB	only
35	CD	@card@
percent	NN	percent
of	IN	of
us	PP	us
go	VBP	go
on	IN	on
a	DT	a
regular	JJ	regular
basis	NN	basis
,	,	,
and	CC	and
when	WRB	when
we	PP	we
do	VBP	do
,	,	,
eleven	NN	eleven
o	NN	o
'	POS	'
clock	NN	clock
Sunday	NP	Sunday
morning	NN	morning
is	VBZ	be
"	``	"
the	DT	the
most	RBS	most
segregated	JJ	segregated
hour	NN	hour
"	''	"
in	IN	in
America	NP	America
.	SENT	.
But	CC	but
business	NN	business
?	SENT	?
There	EX	there
are	VBP	be
a	DT	a
162	CD	@card@
million	CD	million
people	NNS	people
in	IN	in
the	DT	the
US	NP	US
workforce	NN	workforce
alone	RB	alone
â	NP	<unknown>
people	NNS	people
of	IN	of
all	DT	all
races	NNS	race
,	,	,
united	VBN	unite
in	IN	in
the	DT	the
spirit	NN	spirit
of	IN	of
wanting	VBG	want
a	DT	a
paycheck	NN	paycheck
and	CC	and
having	VBG	have
to	TO	to
show	VB	show
up	RP	up
to	TO	to
get	VB	get
it	PP	it
.	SENT	.
Now	RB	now
,	,	,
I	PP	I
'	POS	'
m	NN	m
aware	JJ	aware
that	IN	that
diversity	NN	diversity
is	VBZ	be
bigger	JJR	big
than	IN	than
race	NN	race
,	,	,
and	CC	and
racism	NN	racism
is	VBZ	be
bigger	JJR	big
than	IN	than
America	NP	America
.	SENT	.
But	CC	but
racial	JJ	racial
discrimination	NN	discrimination
is	VBZ	be
the	DT	the
most	RBS	most
prominent	JJ	prominent
form	NN	form
,	,	,
and	CC	and
Lord	NP	Lord
knows	VBZ	know
America	NP	America
is	VBZ	be
the	DT	the
absolute	JJ	absolute
best	JJS	good
at	IN	at
it	PP	it
.	SENT	.
So	RB	so
what	WP	what
if	IN	if
,	,	,
though	RB	though
,	,	,
what	WP	what
if	IN	if
we	PP	we
worked	VBD	work
in	IN	in
diverse	JJ	diverse
and	CC	and
inclusive	JJ	inclusive
environments	NNS	environment
that	IN	that
we	PP	we
had	VBD	have
something	NN	something
to	TO	to
do	VB	do
something	NN	something
with	IN	with
?	SENT	?
And	CC	and
since	IN	since
we	PP	we
spend	VBP	spend
one-third	NN	one-third
of	IN	of
our	PP$	our
lives	NNS	life
at	IN	at
work	NN	work
,	,	,
what	WP	what
if	IN	if
we	PP	we
did	VBD	do
that	IN	that
with	IN	with
people	NNS	people
who	WP	who
didn	NP	<unknown>
'	POS	'
t	NN	t
look	NN	look
like	IN	like
us	PP	us
?	SENT	?
I	PP	I
think	VBP	think
the	DT	the
world	NN	world
would	MD	would
be	VB	be
a	DT	a
totally	RB	totally
different	JJ	different
place	NN	place
outside	IN	outside
of	IN	of
work	NN	work
.	SENT	.
That	DT	that
can	MD	can
happen	VB	happen
if	IN	if
business	NN	business
gets	VBZ	get
single-minded	JJ	single-minded
about	IN	about
racism	NN	racism
.	SENT	.
But	CC	but
the	DT	the
question	NN	question
is	VBZ	be
:	:	:
How	WRB	how
is	VBZ	be
that	IN	that
supposed	VBN	suppose
to	TO	to
happen	VB	happen
?	SENT	?
Well	RB	well
,	,	,
I	PP	I
think	VBP	think
there	EX	there
are	VBP	be
three	CD	three
things	NNS	thing
that	DT	that
business	NN	business
can	MD	can
borrow	VB	borrow
from	IN	from
Project	NP	Project
'	POS	'
87	CD	@card@
:	:	:
real	JJ	real
problems	NNS	problem
,	,	,
real	JJ	real
numbers	NNS	number
,	,	,
real	JJ	real
consequences	NNS	consequence
.	SENT	.
Like	IN	like
it	PP	it
or	CC	or
not	RB	not
,	,	,
diversity	NN	diversity
is	VBZ	be
not	RB	not
really	RB	really
a	DT	a
problem	NN	problem
for	IN	for
business	NN	business
â	NP	<unknown>
yet	RB	yet
.	SENT	.
I	PP	I
mean	VBP	mean
,	,	,
it	PP	it
'	POS	'
s	NN	S
a	DT	a
nice	JJ	nice
thing	NN	thing
to	TO	to
have	VB	have
,	,	,
it	PP	it
'	POS	'
s	NN	S
the	DT	the
right	JJ	right
thing	NN	thing
to	TO	to
do	VB	do
,	,	,
but	CC	but
for	IN	for
decades	NNS	decade
,	,	,
we	PP	we
'	POS	'
ve	RB	<unknown>
been	VBN	be
trying	VBG	try
to	TO	to
make	VB	make
the	DT	the
case	NN	case
that	IN	that
diversity	NN	diversity
fuels	NNS	fuel
innovation	NN	innovation
and	CC	and
customer	NN	customer
insight	NN	insight
.	SENT	.
I	PP	I
mean	VBP	mean
,	,	,
at	IN	at
this	DT	this
point	NN	point
,	,	,
it	PP	it
'	POS	'
s	JJ	<unknown>
kind	NN	kind
of	IN	of
a	DT	a
no-brainer	NN	no-brainer
,	,	,
a	DT	a
little	JJ	little
bit	NN	bit
like	IN	like
hearing	VBG	hear
a	DT	a
smoke	NN	smoke
alarm	NN	alarm
going	VBG	go
off	RP	off
and	CC	and
standing	VBG	stand
with	IN	with
your	PP$	your
hand	NN	hand
on	IN	on
the	DT	the
hot	JJ	hot
door	NN	door
,	,	,
waiting	VBG	wait
for	IN	for
some	DT	some
data	NNS	datum
to	TO	to
tell	VB	tell
you	PP	you
that	IN	that
your	PP$	your
house	NN	house
is	VBZ	be
on	IN	on
fire	NN	fire
.	SENT	.
Because	IN	because
the	DT	the
data	NN	data
is	VBZ	be
already	RB	already
there	RB	there
.	SENT	.
Ethnically	RB	ethnically
diverse	JJ	diverse
companies	NNS	company
perform	VBP	perform
33	CD	@card@
percent	NN	percent
better	JJR	good
than	IN	than
the	DT	the
norm	NN	norm
.	SENT	.
Forbes	NP	Forbes
'	POS	'
s	JJ	<unknown>
best	JJS	good
workplaces	NNS	workplace
for	IN	for
diversity	NN	diversity
enjoy	VBP	enjoy
24	CD	@card@
percent	NN	percent
higher	JJR	high
revenue	NN	revenue
growth	NN	growth
.	SENT	.
And	CC	and
yet	RB	yet
,	,	,
here	RB	here
we	PP	we
are	VBP	be
in	IN	in
2018	CD	@card@
,	,	,
and	CC	and
there	EX	there
are	VBP	be
only	RB	only
three	CD	three
black	JJ	black
CEOs	NNS	CEO
in	IN	in
the	DT	the
Fortune	NP	Fortune
500	CD	@card@
.	SENT	.
And	CC	and
if	IN	if
your	PP$	your
name	NN	name
is	VBZ	be
Molly	NP	Molly
or	CC	or
Connor	NP	Connor
,	,	,
you	PP	you
'	POS	'
ve	NN	ve
got	VBD	get
a	DT	a
14	CD	@card@
percent	NN	percent
better	JJR	good
chance	NN	chance
of	IN	of
getting	VBG	get
a	DT	a
callback	NN	<unknown>
on	IN	on
your	PP$	your
resume	NN	resume
than	IN	than
if	IN	if
your	PP$	your
name	NN	name
is	VBZ	be
Shanice	NP	Shanice
or	CC	or
DeShawn	NP	Deshawn
.	SENT	.
And	CC	and
all	DT	all
of	IN	of
this	DT	this
,	,	,
despite	IN	despite
the	DT	the
fact	NN	fact
that	IN	that
by	IN	by
2045	CD	@card@
,	,	,
America	NP	America
is	VBZ	be
projected	VBN	project
to	TO	to
be	VB	be
a	DT	a
minority-	NN	<unknown>
majority	NN	majority
country	NN	country
.	SENT	.
Here	RB	here
'	''	'
s	VBG	<unknown>
the	DT	the
thing	NN	thing
:	:	:
the	DT	the
business	NN	business
case	NN	case
for	IN	for
diversity	NN	diversity
,	,	,
as	IN	as
it	PP	it
stands	VBZ	stand
today	NN	today
,	,	,
doesn	NP	<unknown>
'	POS	'
t	NN	t
really	RB	really
speak	VB	speak
to	TO	to
any	DT	any
problem	NN	problem
.	SENT	.
And	CC	and
the	DT	the
only	JJ	only
way	NN	way
business	NN	business
is	VBZ	be
going	VBG	go
to	TO	to
get	VB	get
single-	NN	<unknown>
minded	VBN	mind
about	IN	about
racial	JJ	racial
diversity	NN	diversity
is	VBZ	be
if	IN	if
it	PP	it
has	VBZ	have
a	DT	a
problem	NN	problem
that	WDT	that
is	VBZ	be
urgent	JJ	urgent
and	CC	and
relative	JJ	relative
to	TO	to
somebody	NN	somebody
other	JJ	other
than	IN	than
people	NNS	people
of	IN	of
color	NN	color
.	SENT	.
I	PP	I
got	VBD	get
one	PP	one
:	:	:
How	WRB	how
about	RB	about
employees	NNS	employee
and	CC	and
customers	NNS	customer
?	SENT	?
Because	IN	because
no	DT	no
matter	NN	matter
what	WDT	what
business	NN	business
you	PP	you
'	POS	'
re	NN	re
in	IN	in
,	,	,
you	PP	you
'	POS	'
re	NN	re
going	VBG	go
to	TO	to
need	VB	need
those	DT	those
,	,	,
right	RB	right
?	SENT	?
Well	RB	well
,	,	,
let	VBP	let
'	POS	'
s	JJ	<unknown>
talk	NN	talk
about	IN	about
some	DT	some
real	JJ	real
numbers	NNS	number
.	SENT	.
If	IN	if
you	PP	you
have	VBP	have
employees	NNS	employee
and	CC	and
customers	NNS	customer
,	,	,
wouldn	NP	<unknown>
'	POS	'
t	NN	t
it	PP	it
make	VBP	make
sense	NN	sense
if	IN	if
they	PP	they
looked	VBD	look
a	DT	a
little	JJ	little
bit	NN	bit
like	IN	like
the	DT	the
people	NNS	people
that	WDT	that
work	VBP	work
for	IN	for
you	PP	you
?	SENT	?
So	RB	so
if	IN	if
that	DT	that
'	''	'
s	VBG	<unknown>
the	DT	the
case	NN	case
,	,	,
maybe	RB	maybe
your	PP$	your
employee	NN	employee
base	NN	base
should	MD	should
be	VB	be
13	CD	@card@
percent	NN	percent
Black	NP	Black
and	CC	and
18	CD	@card@
percent	NN	percent
Hispanic	JJ	Hispanic
,	,	,
because	IN	because
that	DT	that
'	''	'
s	NNS	<unknown>
what	WP	what
the	DT	the
population	NN	population
looks	VBZ	look
like	IN	like
.	SENT	.
Maybe	RB	maybe
that	RB	that
'	''	'
s	NN	S
what	WP	what
your	PP$	your
customer	NN	customer
base	NN	base
looks	VBZ	look
like	IN	like
.	SENT	.
But	CC	but
let	VB	let
'	''	'
s	NN	S
be	VB	be
clear	JJ	clear
:	:	:
diversity	NN	diversity
and	CC	and
inclusion	NN	inclusion
are	VBP	be
not	RB	not
the	DT	the
same	JJ	same
things	NNS	thing
.	SENT	.
Diversity	NN	diversity
is	VBZ	be
a	DT	a
numbers	NNS	number
game	NN	game
.	SENT	.
Inclusion	NN	inclusion
is	VBZ	be
about	RB	about
impact	NN	impact
.	SENT	.
Companies	NNS	company
can	MD	can
mandate	VB	mandate
diversity	NN	diversity
,	,	,
but	CC	but
they	PP	they
have	VBP	have
to	TO	to
cultivate	VB	cultivate
inclusion	NN	inclusion
.	SENT	.
And	CC	and
if	IN	if
inclusion	NN	inclusion
is	VBZ	be
what	WP	what
you	PP	you
'	POS	'
re	NN	re
after	IN	after
,	,	,
you	PP	you
'	POS	'
ve	NN	ve
got	VBD	get
to	TO	to
calculate	VB	calculate
some	DT	some
slightly	RB	slightly
different	JJ	different
numbers	NNS	number
.	SENT	.
How	WRB	how
about	RB	about
30	CD	@card@
percent	NN	percent
?	SENT	?
Because	IN	because
that	DT	that
'	''	'
s	VBG	<unknown>
the	DT	the
point	NN	point
that	IN	that
research	NN	research
shows	NNS	show
at	IN	at
which	WDT	which
the	DT	the
voices	NNS	voice
of	IN	of
minorities	NNS	minority
actually	RB	actually
begin	VBP	begin
to	TO	to
be	VB	be
heard	VBN	hear
.	SENT	.
If	IN	if
you	PP	you
want	VBP	want
a	DT	a
real	JJ	real
problem	NN	problem
,	,	,
you	PP	you
'	POS	'
re	NN	re
going	VBG	go
to	TO	to
need	VB	need
real	JJ	real
numbers	NNS	number
to	TO	to
fix	VB	fix
it	PP	it
,	,	,
and	CC	and
if	IN	if
you	PP	you
'	POS	'
re	NN	re
not	RB	not
willing	JJ	willing
to	TO	to
set	VB	set
real	JJ	real
numbers	NNS	number
,	,	,
then	RB	then
maybe	RB	maybe
you	PP	you
'	POS	'
re	NN	re
not	RB	not
real	RB	real
serious	JJ	serious
about	IN	about
diversity	NN	diversity
and	CC	and
inclusion	NN	inclusion
.	SENT	.
That	DT	that
brings	VBZ	bring
me	PP	me
to	TO	to
my	PP$	my
third	JJ	third
point	NN	point
:	:	:
real	JJ	real
consequences	NNS	consequence
.	SENT	.
Think	VB	think
about	IN	about
this	DT	this
:	:	:
when	WRB	when
salespeople	NNS	salespeople
forget	VB	forget
what	WP	what
they	PP	they
'	''	'
re	IN	re
doing	VBG	do
and	CC	and
don	NN	don
'	POS	'
t	NN	t
come	VBN	come
up	RP	up
with	IN	with
their	PP$	their
numbers	NNS	number
,	,	,
what	WP	what
do	VBP	do
we	PP	we
do	VBP	do
?	SENT	?
We	PP	we
give	VBP	give
them	PP	them
a	DT	a
little	JJ	little
time	NN	time
,	,	,
maybe	RB	maybe
we	PP	we
give	VBP	give
them	PP	them
some	DT	some
training	NN	training
.	SENT	.
But	CC	but
then	RB	then
if	IN	if
they	PP	they
don	NN	don
'	POS	'
t	NN	t
hit	VBD	hit
those	DT	those
numbers	NNS	number
eventually	RB	eventually
,	,	,
we	PP	we
fire	VBP	fire
them	PP	them
.	SENT	.
However	RB	however
,	,	,
when	WRB	when
you	PP	you
start	VBP	start
talking	VBG	talk
about	IN	about
diversity	NN	diversity
and	CC	and
inclusion	NN	inclusion
,	,	,
we	PP	we
use	VBP	use
terms	NNS	term
like	IN	like
"	``	"
accountability	NN	accountability
.	SENT	.
"	''	"
And	CC	and
maybe	RB	maybe
we	PP	we
scold	VBP	scold
,	,	,
and	CC	and
maybe	RB	maybe
we	PP	we
hold	VBP	hold
back	RB	back
an	DT	an
incentive	NN	incentive
or	CC	or
two	CD	two
.	SENT	.
But	CC	but
you	PP	you
know	VBP	know
what	WP	what
the	DT	the
best	JJS	good
incentive	NN	incentive
is	VBZ	be
?	SENT	?
A	DT	a
job	NN	job
.	SENT	.
And	CC	and
you	PP	you
know	VBP	know
what	WP	what
the	DT	the
best	JJS	good
disincentive	NN	disincentive
is	VBZ	be
?	SENT	?
Losing	VBG	lose
it	PP	it
.	SENT	.
So	RB	so
if	IN	if
companies	NNS	company
really	RB	really
want	VBP	want
