People	NNS	people
piece	NN	piece
of	IN	of
chicken	NN	chicken
back	RB	back
here	RB	here
.	SENT	.
It	PP	it
'	POS	'
s	NNS	<unknown>
raw	JJ	raw
.	SENT	.
Putting	VBG	put
on	IN	on
some	DT	some
gloves	NNS	glove
.	SENT	.
It	PP	it
'	POS	'
s	NN	S
got	VBD	get
the	DT	the
same	JJ	same
optical	JJ	optical
properties	NNS	property
as	IN	as
human	JJ	human
flesh	NN	flesh
.	SENT	.
So	RB	so
,	,	,
here	RB	here
'	''	'
s	VBG	<unknown>
the	DT	the
chicken	NN	chicken
.	SENT	.
.	SENT	.
.	SENT	.
putting	VBG	put
it	PP	it
on	IN	on
the	DT	the
light	NN	light
.	SENT	.
Can	MD	can
you	PP	you
see	VB	see
,	,	,
the	DT	the
light	NN	light
goes	VBZ	go
right	RB	right
through	RB	through
?	SENT	?
I	PP	I
also	RB	also
implanted	VBD	implant
a	DT	a
tumor	NN	tumor
in	IN	in
that	DT	that
chicken	NN	chicken
.	SENT	.
Can	MD	can
you	PP	you
see	VB	see
it	PP	it
?	SENT	?
Audience	NN	audience
:	:	:
Yes	UH	yes
.	SENT	.
Mary	NP	Mary
Lou	NP	Lou
Jepsen	NP	Jepsen
:	:	:
So	RB	so
this	DT	this
means	NNS	mean
,	,	,
using	VBG	use
red	JJ	red
light	NN	light
and	CC	and
infrared	JJ	infrared
light	NN	light
,	,	,
we	PP	we
can	MD	can
see	VB	see
tumors	NNS	tumor
in	IN	in
human	JJ	human
flesh	NN	flesh
.	SENT	.
But	CC	but
there	EX	there
'	''	'
s	VBG	<unknown>
a	DT	a
catch	NN	catch
.	SENT	.
When	WRB	when
I	PP	I
throw	VBP	throw
another	DT	another
piece	NN	piece
of	IN	of
chicken	NN	chicken
on	IN	on
it	PP	it
,	,	,
the	DT	the
light	NN	light
still	RB	still
goes	VBZ	go
through	RP	through
,	,	,
but	CC	but
you	PP	you
can	MD	can
no	RB	no
longer	RBR	longer
see	VB	see
the	DT	the
tumor	NN	tumor
.	SENT	.
That	IN	that
'	POS	'
s	NN	S
because	IN	because
the	DT	the
light	JJ	light
scatters	NNS	scatter
.	SENT	.
So	RB	so
we	PP	we
have	VBP	have
to	TO	to
do	VB	do
something	NN	something
about	IN	about
the	DT	the
scatter	NN	scatter
so	IN	so
we	PP	we
can	MD	can
see	VB	see
the	DT	the
tumor	NN	tumor
.	SENT	.
We	PP	we
have	VBP	have
to	TO	to
de-scatter	VB	de-scatter
the	DT	the
light	NN	light
.	SENT	.
So	RB	so
.	SENT	.
.	SENT	.
.	SENT	.
A	DT	a
technology	NN	technology
I	PP	I
spent	VBD	spend
the	DT	the
early	JJ	early
part	NN	part
of	IN	of
my	PP$	my
career	NN	career
on	RB	on
enables	VBZ	enable
de-scattering	NN	de-scattering
.	SENT	.
It	PP	it
'	POS	'
s	NN	S
called	VBD	call
holography	NN	holography
.	SENT	.
And	CC	and
it	PP	it
won	VBD	win
the	DT	the
Nobel	NP	Nobel
Prize	NP	Prize
in	IN	in
physics	NNS	physic
in	IN	in
the	DT	the
70s	NNS	<unknown>
,	,	,
because	IN	because
of	IN	of
the	DT	the
fantastic	JJ	fantastic
things	NNS	thing
it	PP	it
enables	VBZ	enable
you	PP	you
to	TO	to
do	VB	do
with	IN	with
light	NN	light
.	SENT	.
This	DT	this
is	VBZ	be
a	DT	a
hologram	NN	hologram
.	SENT	.
It	PP	it
captures	VBZ	capture
all	DT	all
of	IN	of
the	DT	the
light	NN	light
,	,	,
all	RB	all
of	IN	of
the	DT	the
rays	NNS	ray
,	,	,
all	RB	all
of	IN	of
the	DT	the
photons	NNS	photon
at	IN	at
all	DT	all
of	IN	of
the	DT	the
positions	NNS	position
and	CC	and
all	DT	all
of	IN	of
the	DT	the
angles	NNS	angle
,	,	,
simultaneously	RB	simultaneously
.	SENT	.
It	PP	it
'	POS	'
s	NNS	<unknown>
amazing	JJ	amazing
.	SENT	.
To	TO	to
see	VB	see
what	WP	what
we	PP	we
can	MD	can
do	VB	do
with	IN	with
holography	NN	holography
.	SENT	.
.	SENT	.
.	SENT	.
You	PP	you
see	VBP	see
these	DT	these
marbles	NNS	marble
?	SENT	?
Look	VB	look
at	IN	at
these	DT	these
marbles	NNS	marble
bouncing	VBG	bounce
off	RP	off
of	IN	of
the	DT	the
barriers	NNS	barrier
,	,	,
as	IN	as
an	DT	an
analogy	NN	analogy
to	TO	to
light	NN	light
being	VBG	be
scattered	VBN	scatter
by	IN	by
our	PP$	our
bodies	NNS	body
.	SENT	.
As	IN	as
the	DT	the
marbles	NNS	marble
get	VBP	get
to	TO	to
the	DT	the
bottom	NN	bottom
of	IN	of
the	DT	the
scattering	NN	scattering
maze	NN	maze
,	,	,
they	PP	they
'	POS	'
re	NN	re
chaotic	JJ	chaotic
,	,	,
they	PP	they
'	POS	'
re	NN	re
scattering	VBG	scatter
and	CC	and
bouncing	VBG	bounce
everywhere	RB	everywhere
.	SENT	.
If	IN	if
we	PP	we
record	VB	record
a	DT	a
hologram	NN	hologram
at	IN	at
the	DT	the
bottom	JJ	bottom
inside	NN	inside
of	IN	of
the	DT	the
screen	NN	screen
,	,	,
we	PP	we
can	MD	can
record	VB	record
the	DT	the
position	NN	position
and	CC	and
angle	NN	angle
of	IN	of
each	DT	each
marble	NN	marble
exiting	VBG	exit
the	DT	the
maze	NN	maze
.	SENT	.
And	CC	and
then	RB	then
we	PP	we
can	MD	can
bring	VB	bring
in	IN	in
marbles	NNS	marble
from	IN	from
below	RB	below
and	CC	and
have	VB	have
the	DT	the
hologram	NN	hologram
direct	VB	direct
each	DT	each
marble	NN	marble
to	TO	to
exactly	RB	exactly
the	DT	the
right	JJ	right
position	NN	position
and	CC	and
angle	NN	angle
,	,	,
such	JJ	such
as	IN	as
they	PP	they
emerge	VBP	emerge
in	IN	in
a	DT	a
line	NN	line
at	IN	at
the	DT	the
top	NN	top
of	IN	of
the	DT	the
scatter	NN	scatter
matrix	NN	matrix
.	SENT	.
We	PP	we
'	POS	'
re	NN	re
going	VBG	go
to	TO	to
do	VB	do
that	IN	that
with	IN	with
this	DT	this
.	SENT	.
This	DT	this
is	VBZ	be
optically	RB	optically
similar	JJ	similar
to	TO	to
human	JJ	human
brain	NN	brain
.	SENT	.
I	NP	I
'	POS	'
m	NN	m
going	VBG	go
to	TO	to
switch	VB	switch
to	TO	to
green	JJ	green
light	NN	light
now	RB	now
,	,	,
because	IN	because
green	JJ	green
light	NN	light
is	VBZ	be
brighter	JJR	bright
to	TO	to
your	PP$	your
eyes	NNS	eye
than	IN	than
red	JJ	red
or	CC	or
infrared	JJ	infrared
,	,	,
and	CC	and
I	PP	I
really	RB	really
need	VBP	need
you	PP	you
to	TO	to
see	VB	see
this	DT	this
.	SENT	.
So	IN	so
we	PP	we
'	POS	'
re	NN	re
going	VBG	go
to	TO	to
put	VB	put
a	DT	a
hologram	NN	hologram
in	IN	in
front	NN	front
of	IN	of
this	DT	this
brain	NN	brain
and	CC	and
make	VB	make
a	DT	a
stream	NN	stream
of	IN	of
light	NN	light
come	VBN	come
out	RP	out
of	IN	of
it	PP	it
.	SENT	.
Seems	VBZ	seem
impossible	JJ	impossible
but	CC	but
it	PP	it
isn	NP	isn
'	POS	'
t	NN	t
.	SENT	.
This	DT	this
is	VBZ	be
the	DT	the
setup	NN	setup
you	PP	you
'	POS	'
re	NN	re
going	VBG	go
to	TO	to
see	VB	see
.	SENT	.
Green	JJ	green
light	NN	light
.	SENT	.
Hologram	NN	hologram
here	RB	here
,	,	,
green	JJ	green
light	NN	light
going	VBG	go
in	IN	in
,	,	,
that	WDT	that
'	''	'
s	VBG	<unknown>
our	PP$	our
brain	NN	brain
.	SENT	.
And	CC	and
a	DT	a
stream	NN	stream
of	IN	of
light	NN	light
comes	VBZ	come
out	RP	out
of	IN	of
it	PP	it
.	SENT	.
We	PP	we
just	RB	just
made	VBD	make
a	DT	a
brain	NN	brain
lase	VB	lase
of	IN	of
densely	RB	densely
scattering	VBG	scatter
tissue	NN	tissue
.	SENT	.
Seems	VBZ	seem
impossible	JJ	impossible
,	,	,
no	DT	no
one	CD	one
'	POS	'
s	NN	S
done	VBN	do
this	DT	this
before	IN	before
,	,	,
you	PP	you
'	POS	'
re	NN	re
the	DT	the
first	JJ	first
public	JJ	public
audience	NN	audience
to	TO	to
ever	RB	ever
see	VB	see
this	DT	this
.	SENT	.
What	WP	what
this	DT	this
means	NN	means
is	VBZ	be
that	IN	that
we	PP	we
can	MD	can
focus	VB	focus
deep	RB	deep
into	IN	into
tissue	NN	tissue
.	SENT	.
Our	PP$	our
translucency	NN	translucency
is	VBZ	be
the	DT	the
first	JJ	first
key	NN	key
.	SENT	.
Holography	NN	holography
enabling	VBG	enable
de-scattering	NN	de-scattering
is	VBZ	be
the	DT	the
second	JJ	second
key	NN	key
to	TO	to
enable	VB	enable
us	PP	us
to	TO	to
see	VB	see
deep	JJ	deep
inside	NN	inside
of	IN	of
our	PP$	our
bodies	NNS	body
and	CC	and
brains	NNS	brain
.	SENT	.
You	PP	you
'	POS	'
re	NN	re
probably	RB	probably
thinking	VBG	think
,	,	,
"	''	"
Sounds	VBZ	sound
good	JJ	good
,	,	,
but	CC	but
what	WP	what
about	IN	about
skull	NN	skull
and	CC	and
bones	NNS	bone
?	SENT	?
How	WRB	how
are	VBP	be
you	PP	you
going	VBG	go
to	TO	to
see	VB	see
through	IN	through
the	DT	the
brain	NN	brain
without	IN	without
seeing	VBG	see
through	IN	through
bone	NN	bone
?	SENT	?
"	''	"
Well	RB	well
,	,	,
this	DT	this
is	VBZ	be
real	RB	real
human	JJ	human
skull	NN	skull
.	SENT	.
We	PP	we
ordered	VBD	order
it	PP	it
at	IN	at
skullsunlimited	JJ	skullsunlimited
.	SENT	.
com	NN	com
.	SENT	.
No	RB	no
kidding	VBG	kid
.	SENT	.
But	CC	but
we	PP	we
treat	VBP	treat
this	DT	this
skull	NN	skull
with	IN	with
great	JJ	great
respect	NN	respect
at	IN	at
our	PP$	our
lab	NN	lab
and	CC	and
here	RB	here
at	IN	at
TED	VB	ted
.	SENT	.
And	CC	and
as	IN	as
you	PP	you
can	MD	can
see	VB	see
,	,	,
the	DT	the
red	JJ	red
light	NN	light
goes	VBZ	go
right	RB	right
through	IN	through
it	PP	it
.	SENT	.
Goes	VBZ	go
through	RP	through
our	PP$	our
bones	NNS	bone
.	SENT	.
So	RB	so
we	PP	we
can	MD	can
go	VB	go
through	IN	through
skull	NN	skull
and	CC	and
bones	NNS	bone
and	CC	and
flesh	NN	flesh
with	IN	with
just	RB	just
red	JJ	red
light	NN	light
.	SENT	.
Gamma	NN	gamma
rays	NNS	ray
and	CC	and
X-rays	NNS	X-ray
do	VBP	do
that	IN	that
,	,	,
too	RB	too
,	,	,
but	CC	but
they	PP	they
cause	VBP	cause
tumors	NNS	tumor
.	SENT	.
Red	JJ	Red
light	NN	light
is	VBZ	be
all	RB	all
around	IN	around
us	PP	us
.	SENT	.
So	RB	so
,	,	,
using	VBG	use
that	IN	that
,	,	,
I	PP	I
'	POS	'
m	NN	m
going	VBG	go
to	TO	to
come	VB	come
back	RB	back
here	RB	here
and	CC	and
show	VB	show
you	PP	you
something	RB	something
more	RBR	more
useful	JJ	useful
than	IN	than
making	VBG	make
a	DT	a
brain	NN	brain
lase	VB	lase
.	SENT	.
We	PP	we
challenged	VBD	challenge
ourselves	PP	ourselves
to	TO	to
see	VB	see
how	WRB	how
fine	JJ	fine
we	PP	we
could	MD	could
focus	VB	focus
through	IN	through
brain	NN	brain
tissue	NN	tissue
.	SENT	.
Focusing	VBG	focus
through	IN	through
this	DT	this
brain	NN	brain
,	,	,
it	PP	it
was	VBD	be
such	JJ	such
a	DT	a
fine	JJ	fine
focus	NN	focus
,	,	,
we	PP	we
put	VBD	put
a	DT	a
bare	JJ	bare
camera	NN	camera
die	NN	die
in	IN	in
front	NN	front
of	IN	of
it	PP	it
.	SENT	.
And	CC	and
the	DT	the
bare	JJ	bare
camera	NN	camera
die	NN	die
.	SENT	.
.	SENT	.
.	SENT	.
Could	MD	could
you	PP	you
turn	VB	turn
down	RP	down
the	DT	the
spotlight	NN	spotlight
?	SENT	?
OK	UH	OK
,	,	,
there	RB	there
it	PP	it
is	VBZ	be
.	SENT	.
Do	VB	do
you	PP	you
see	VB	see
that	DT	that
?	SENT	?
Each	DT	each
pixel	NN	<unknown>
is	VBZ	be
two-thousandths	NNS	two-thousandth
of	IN	of
a	DT	a
millimeter	NN	millimeter
wide	JJ	wide
.	SENT	.
Two	CD	two
microns	NNS	micron
.	SENT	.
That	DT	that
means	VBZ	mean
that	IN	that
spot	NN	spot
focus	NN	focus
—	:	-
full	JJ	full
width	NN	width
half	NN	half
max	NN	max
—	:	-
is	VBZ	be
six	CD	six
to	TO	to
eight	CD	eight
microns	NNS	micron
.	SENT	.
To	TO	to
give	VB	give
you	PP	you
an	DT	an
idea	NN	idea
of	IN	of
what	WP	what
that	DT	that
means	NNS	mean
:	:	:
that	WDT	that
'	POS	'
s	NNS	<unknown>
the	DT	the
diameter	NN	diameter
of	IN	of
the	DT	the
smallest	JJS	small
neuron	NN	neuron
in	IN	in
the	DT	the
human	JJ	human
brain	NN	brain
.	SENT	.
So	IN	so
that	DT	that
means	NNS	mean
we	PP	we
can	MD	can
focus	VB	focus
through	IN	through
skull	NN	skull
and	CC	and
brain	NN	brain
to	TO	to
a	DT	a
neuron	NN	neuron
.	SENT	.
No	DT	no
one	CD	one
has	VBZ	have
seen	VBN	see
this	DT	this
before	IN	before
,	,	,
we	PP	we
'	POS	'
re	NN	re
doing	VBG	do
this	DT	this
for	IN	for
the	DT	the
first	JJ	first
time	NN	time
here	RB	here
.	SENT	.
It	PP	it
'	POS	'
s	NN	S
not	RB	not
impossible	JJ	impossible
.	SENT	.
We	PP	we
made	VBD	make
it	PP	it
work	VBP	work
with	IN	with
our	PP$	our
system	NN	system
,	,	,
so	IN	so
we	PP	we
'	POS	'
ve	NN	ve
made	VBD	make
a	DT	a
breakthrough	NN	breakthrough
.	SENT	.
Just	RB	just
to	TO	to
give	VB	give
an	DT	an
idea	NN	idea
—	:	-
like	IN	like
,	,	,
that	WDT	that
'	POS	'
s	NN	S
not	RB	not
just	RB	just
50	CD	@card@
marbles	NNS	marble
.	SENT	.
That	IN	that
'	POS	'
s	NN	S
billions	NNS	billion
,	,	,
trillion	CD	trillion
of	IN	of
photons	NNS	photon
,	,	,
all	RB	all
falling	VBG	fall
in	IN	in
line	NN	line
as	IN	as
directed	VBN	direct
by	IN	by
the	DT	the
hologram	NN	hologram
,	,	,
to	TO	to
ricochet	VB	ricochet
through	IN	through
densely	RB	densely
scattering	VBG	scatter
brain	NN	brain
,	,	,
and	CC	and
emerge	VB	emerge
as	IN	as
a	DT	a
focus	NN	focus
.	SENT	.
It	PP	it
'	POS	'
s	NN	S
pretty	RB	pretty
cool	JJ	cool
.	SENT	.
We	PP	we
'	POS	'
re	NN	re
excited	VBN	excite
about	IN	about
it	PP	it
.	SENT	.
This	DT	this
is	VBZ	be
an	DT	an
MRI	NP	MRI
machine	NN	machine
.	SENT	.
It	PP	it
'	POS	'
s	NN	S
a	DT	a
few	JJ	few
million	CD	million
dollars	NNS	dollar
,	,	,
it	PP	it
fills	VBZ	fill
a	DT	a
room	NN	room
,	,	,
many	JJ	many
people	NNS	people
have	VBP	have
probably	RB	probably
been	VBN	be
in	IN	in
one	CD	one
.	SENT	.
I	NP	I
'	POS	'
ve	NN	ve
spent	VBD	spend
a	DT	a
lot	NN	lot
of	IN	of
time	NN	time
in	IN	in
one	CD	one
.	SENT	.
It	PP	it
has	VBZ	have
a	DT	a
focus	NN	focus
of	IN	of
about	RB	about
a	DT	a
millimeter	NN	millimeter
—	:	-
kind	NN	kind
of	IN	of
chunky	JJ	chunky
,	,	,
compared	VBN	compare
to	TO	to
what	WP	what
I	PP	I
just	RB	just
showed	VBD	show
you	PP	you
.	SENT	.
A	DT	a
system	NN	system
based	VBN	base
on	IN	on
our	PP$	our
technology	NN	technology
could	MD	could
enable	VB	enable
dramatically	RB	dramatically
lower	JJR	low
cost	NN	cost
,	,	,
higher	JJR	high
resolution	NN	resolution
and	CC	and
smaller	JJR	small
medical	JJ	medical
imaging	NN	imaging
.	SENT	.
So	IN	so
that	DT	that
'	''	'
s	NNS	<unknown>
what	WP	what
we	PP	we
'	POS	'
ve	NN	ve
started	VBD	start
to	TO	to
do	VB	do
.	SENT	.
My	PP$	my
team	NN	team
and	CC	and
I	PP	I
have	VBP	have
built	VBN	build
a	DT	a
rig	NN	rig
,	,	,
a	DT	a
lab	NN	lab
rig	NN	rig
to	TO	to
scan	VB	scan
out	RP	out
tissue	NN	tissue
.	SENT	.
And	CC	and
here	RB	here
it	PP	it
is	VBZ	be
in	IN	in
action	NN	action
.	SENT	.
We	PP	we
wanted	VBD	want
to	TO	to
see	VB	see
how	WRB	how
good	JJ	good
we	PP	we
could	MD	could
do	VB	do
.	SENT	.
We	PP	we
'	POS	'
ve	NN	ve
built	VBD	build
this	DT	this
over	IN	over
the	DT	the
last	JJ	last
year	NN	year
.	SENT	.
And	CC	and
the	DT	the
result	NN	result
is	VBZ	be
,	,	,
we	PP	we
'	POS	'
re	NN	re
able	JJ	able
to	TO	to
find	VB	find
tumors	NNS	tumor
in	IN	in
this	DT	this
sample	NN	sample
—	:	-
70	CD	@card@
millimeters	NNS	millimeter
deep	RB	deep
,	,	,
the	DT	the
light	NN	light
going	VBG	go
in	IN	in
here	RB	here
,	,	,
half	PDT	half
a	DT	a
millimeter	NN	millimeter
resolution	NN	resolution
,	,	,
and	CC	and
that	IN	that
'	POS	'
s	NNS	<unknown>
the	DT	the
tumor	NN	tumor
it	PP	it
found	VBD	find
.	SENT	.
You	PP	you
'	POS	'
re	NN	re
probably	RB	probably
looking	VBG	look
at	IN	at
this	DT	this
,	,	,
like	VB	like
,	,	,
"	''	"
Sounds	VBZ	sound
good	JJ	good
,	,	,
but	CC	but
that	IN	that
'	POS	'
s	JJ	<unknown>
kind	NN	kind
of	IN	of
a	DT	a
big	JJ	big
system	NN	system
.	SENT	.
It	PP	it
'	POS	'
s	JJ	<unknown>
smaller	JJR	small
than	IN	than
a	DT	a
honking-big	NP	<unknown>
MRI	NP	MRI
machine	NN	machine
,	,	,
monster	NN	monster
MRI	NP	MRI
machine	NN	machine
,	,	,
but	CC	but
can	MD	can
you	PP	you
do	VB	do
something	NN	something
to	TO	to
shrink	VB	shrink
it	PP	it
down	RP	down
?	SENT	?
"	''	"
And	CC	and
the	DT	the
answer	NN	answer
is	VBZ	be
:	:	:
of	IN	of
course	NN	course
.	SENT	.
We	PP	we
can	MD	can
replace	VB	replace
each	DT	each
big	JJ	big
element	NN	element
in	IN	in
that	DT	that
system	NN	system
with	IN	with
a	DT	a
smaller	JJR	small
component	NN	component
—	:	-
a	DT	a
little	JJ	little
integrated	JJ	integrated
circuit	NN	circuit
,	,	,
a	DT	a
display	NN	display
chip	NN	chip
the	DT	the
size	NN	size
of	IN	of
a	DT	a
child	NN	child
'	POS	'
s	NN	S
fingernail	NN	fingernail
.	SENT	.
A	DT	a
bit	NN	bit
about	IN	about
my	PP$	my
background	NN	background
:	:	:
I	PP	I
'	POS	'
ve	NN	ve
spent	VBD	spend
the	DT	the
last	JJ	last
two	CD	two
decades	NNS	decade
inventing	VBG	invent
,	,	,
prototype-developing	NN	prototype-developing
and	CC	and
then	RB	then
shipping	VBG	ship
billions	NNS	billion
of	IN	of
dollars	NNS	dollar
of	IN	of
consumer	NN	consumer
electronics	NNS	electronics
—	:	-
with	IN	with
full	JJ	full
custom	NN	custom
chips	NNS	chip
—	:	-
on	IN	on
the	DT	the
hairy	JJ	hairy
edge	NN	edge
of	IN	of
optical	JJ	optical
physics	NNS	physic
.	SENT	.
So	IN	so
my	PP$	my
team	NN	team
and	CC	and
I	PP	I
built	VBD	build
the	DT	the
big	JJ	big
lab	NN	lab
rig	NN	rig
to	TO	to
perfect	VB	perfect
our	PP$	our
architecture	NN	architecture
and	CC	and
test	VB	test
the	DT	the
corner	NN	corner
cases	NNS	case
and	CC	and
really	RB	really
fine-tune	VB	fine-tune
our	PP$	our
chip	NN	chip
designs	NNS	design
,	,	,
before	IN	before
spending	VBG	spend
the	DT	the
millions	NNS	million
of	IN	of
dollars	NNS	dollar
to	TO	to
fabricate	VB	fabricate
each	DT	each
chip	NN	chip
.	SENT	.
Our	PP$	our
new	JJ	new
chip	NN	chip
inventions	NNS	invention
slim	VBP	slim
down	RP	down
the	DT	the
system	NN	system
,	,	,
speed	VB	speed
it	PP	it
up	RP	up
and	CC	and
enable	VB	enable
rapid	JJ	rapid
scanning	VBG	scan
and	CC	and
de-scattering	VBG	de-scatter
of	IN	of
light	NN	light
to	TO	to
see	VB	see
deep	JJ	deep
into	IN	into
our	PP$	our
bodies	NNS	body
.	SENT	.
This	DT	this
is	VBZ	be
the	DT	the
third	JJ	third
key	NN	key
to	TO	to
enable	VB	enable
better	JJR	good
,	,	,
faster	JJR	fast
and	CC	and
cheaper	JJR	cheap
health	NN	health
care	NN	care
.	SENT	.
This	DT	this
is	VBZ	be
a	DT	a
mock-up	NN	mock-up
of	IN	of
something	NN	something
that	WDT	that
can	MD	can
replace	VB	replace
the	DT	the
functionality	NN	functionality
of	IN	of
a	DT	a
multimillion-dollar	JJ	multimillion-dollar
MRI	NP	MRI
machine	NN	machine
into	IN	into
a	DT	a
consumer	NN	consumer
electronics	NN	electronics
price	NN	price
point	NN	point
,	,	,
that	WDT	that
you	PP	you
could	MD	could
wear	VB	wear
as	IN	as
a	DT	a
bandage	NN	bandage
,	,	,
line	NN	line
a	DT	a
ski	JJ	ski
hat	NN	hat
,	,	,
put	VBN	put
inside	IN	inside
a	DT	a
pillow	NN	pillow
.	SENT	.
That	IN	that
'	POS	'
s	VBG	<unknown>
what	WP	what
we	PP	we
'	POS	'
re	NN	re
building	NN	building
.	SENT	.
Oh	UH	oh
,	,	,
thanks	NNS	thanks
!	SENT	!
So	IN	so
you	PP	you
'	POS	'
re	NN	re
probably	RB	probably
thinking	VBG	think
,	,	,
"	``	"
I	PP	I
get	VBP	get
the	DT	the
light	NN	light
going	VBG	go
through	IN	through
our	PP$	our
bodies	NNS	body
.	SENT	.
I	PP	I
even	RB	even
get	VBP	get
the	DT	the
holography	NN	holography
de-scattering	VBG	de-scatter
the	DT	the
light	NN	light
.	SENT	.
But	CC	but
how	WRB	how
do	VBP	do
we	PP	we
use	VB	use
these	DT	these
new	JJ	new
chip	NN	chip
inventions	NNS	invention
,	,	,
exactly	RB	exactly
,	,	,
to	TO	to
do	VB	do
the	DT	the
scanning	VBG	scan
?	SENT	?
"	''	"
Well	RB	well
,	,	,
we	PP	we
have	VBP	have
a	DT	a
sound	JJ	sound
approach	NN	approach
.	SENT	.
No	UH	no
,	,	,
literally	RB	literally
—	:	-
we	PP	we
use	VBP	use
sound	NN	sound
.	SENT	.
Here	RB	here
,	,	,
these	DT	these
three	CD	three
discs	NNS	disc
represent	VBP	represent
the	DT	the
integrated	JJ	integrated
circuits	NNS	circuit
that	IN	that
we	PP	we
'	POS	'
ve	NNS	<unknown>
designed	VBN	design
,	,	,
that	IN	that
massively	RB	massively
reduce	VB	reduce
the	DT	the
size	NN	size
of	IN	of
our	PP$	our
current	JJ	current
bulky	JJ	bulky
system	NN	system
.	SENT	.
One	CD	one
of	IN	of
the	DT	the
spots	NNS	spot
,	,	,
one	CD	one
of	IN	of
the	DT	the
chips	NNS	chip
,	,	,
emits	VBZ	emit
a	DT	a
sonic	JJ	sonic
ping	NN	ping
,	,	,
and	CC	and
it	PP	it
focuses	VBZ	focus
down	RP	down
,	,	,
and	CC	and
then	RB	then
we	PP	we
turn	VBP	turn
red	JJ	red
light	NN	light
on	IN	on
.	SENT	.
And	CC	and
the	DT	the
red	JJ	red
light	NN	light
that	WDT	that
goes	VBZ	go
through	IN	through
that	DT	that
sonic	JJ	sonic
spot	NN	spot
changes	NNS	change
color	NN	color
slightly	RB	slightly
,	,	,
much	RB	much
like	IN	like
the	DT	the
pitch	NN	pitch
of	IN	of
the	DT	the
police	NN	police
car	NN	car
siren	NN	siren
changes	NNS	change
as	IN	as
it	PP	it
speeds	VBZ	speed
past	IN	past
you	PP	you
.	SENT	.
So	RB	so
.	SENT	.
There	EX	there
'	''	'
s	VBG	<unknown>
this	DT	this
other	JJ	other
thing	NN	thing
about	IN	about
holography	NN	holography
I	NP	I
haven	NN	haven
'	POS	'
t	NN	t
told	VBD	tell
you	PP	you
yet	RB	yet
,	,	,
that	IN	that
you	PP	you
need	VBP	need
to	TO	to
know	VB	know
.	SENT	.
Only	RB	only
two	CD	two
beams	NNS	beam
of	IN	of
exactly	RB	exactly
the	DT	the
same	JJ	same
color	NN	color
can	MD	can
make	VB	make
a	DT	a
hologram	NN	hologram
.	SENT	.
So	RB	so
,	,	,
that	IN	that
'	POS	'
s	NN	S
the	DT	the
orange	JJ	orange
light	NN	light
