I	PP	I
which	WDT	which
homes	NNS	home
are	VBP	be
also	RB	also
workplaces	NNS	workplace
.	SENT	.
There	EX	there
'	''	'
s	VBG	<unknown>
no	DT	no
sign	NN	sign
.	SENT	.
There	EX	there
'	''	'
s	VBG	<unknown>
no	DT	no
list	NN	list
or	CC	or
registry	NN	registry
.	SENT	.
It	PP	it
'	POS	'
s	NN	S
just	RB	just
invisible	JJ	invisible
.	SENT	.
And	CC	and
it	PP	it
'	POS	'
s	NNS	<unknown>
this	DT	this
work	NN	work
that	WDT	that
is	VBZ	be
not	RB	not
even	RB	even
referred	VBN	refer
to	TO	to
as	RB	as
real	JJ	real
work	NN	work
.	SENT	.
It	PP	it
'	POS	'
s	NN	S
referred	VBD	refer
to	TO	to
as	RB	as
"	``	"
help	VB	help
.	SENT	.
"	``	"
It	PP	it
'	POS	'
s	NN	S
often	RB	often
seen	VBN	see
as	IN	as
unskilled	JJ	unskilled
,	,	,
not	RB	not
seen	VBN	see
as	IN	as
professional	JJ	professional
.	SENT	.
And	CC	and
race	NN	race
has	VBZ	have
played	VBN	play
a	DT	a
profound	JJ	profound
role	NN	role
in	IN	in
how	WRB	how
we	PP	we
value	VBP	value
this	DT	this
work	NN	work
in	IN	in
our	PP$	our
culture	NN	culture
.	SENT	.
Some	DT	some
of	IN	of
the	DT	the
first	JJ	first
domestic	JJ	domestic
workers	NNS	worker
in	IN	in
the	DT	the
United	NP	United
States	NPS	States
were	VBD	be
black	JJ	black
women	NNS	woman
who	WP	who
were	VBD	be
enslaved	VBN	enslave
,	,	,
and	CC	and
racial	JJ	racial
exclusion	NN	exclusion
has	VBZ	have
shaped	VBN	shape
their	PP$	their
conditions	NNS	condition
for	IN	for
generations	NNS	generation
.	SENT	.
In	IN	in
the	DT	the
1930s	NNS	1930s
,	,	,
when	WRB	when
Congress	NP	Congress
was	VBD	be
discussing	VBG	discuss
the	DT	the
labor	NN	labor
laws	NNS	law
that	WDT	that
would	MD	would
be	VB	be
a	DT	a
part	NN	part
of	IN	of
the	DT	the
New	NP	New
Deal	NP	Deal
,	,	,
that	WDT	that
would	MD	would
protect	VB	protect
all	DT	all
workers	NNS	worker
,	,	,
Southern	JJ	Southern
members	NNS	member
of	IN	of
Congress	NP	Congress
refused	VBD	refuse
to	TO	to
support	VB	support
those	DT	those
labor	NN	labor
laws	NNS	law
if	IN	if
they	PP	they
included	VBD	include
protections	NNS	protection
for	IN	for
domestic	JJ	domestic
workers	NNS	worker
and	CC	and
farmworkers	NNS	farmworker
.	SENT	.
That	DT	that
history	NN	history
of	IN	of
racial	JJ	racial
exclusion	NN	exclusion
and	CC	and
our	PP$	our
cultural	JJ	cultural
devaluing	VBG	devalue
of	IN	of
work	NN	work
that	RB	that
'	POS	'
s	NNS	<unknown>
associated	VBN	associate
with	IN	with
women	NNS	woman
now	RB	now
means	VBZ	mean
that	IN	that
millions	NNS	million
of	IN	of
women	NNS	woman
go	VBP	go
to	TO	to
work	VB	work
every	DT	every
single	JJ	single
day	NN	day
,	,	,
work	VB	work
incredibly	RB	incredibly
hard	JJ	hard
and	CC	and
still	RB	still
can	MD	can
'	''	'
t	NN	t
make	VBP	make
ends	NNS	end
meet	VB	meet
.	SENT	.
They	PP	they
earn	VBP	earn
poverty	NN	poverty
wages	NNS	wage
without	IN	without
a	DT	a
safety	NN	safety
net	NN	net
,	,	,
so	RB	so
that	IN	that
the	DT	the
women	NNS	woman
that	IN	that
we	PP	we
'	POS	'
re	NN	re
counting	VBG	count
on	IN	on
to	TO	to
take	VB	take
care	NN	care
of	IN	of
us	PP	us
and	CC	and
our	PP$	our
families	NNS	family
can	MD	can
'	''	'
t	NN	t
take	VB	take
care	NN	care
of	IN	of
their	PP$	their
own	JJ	own
,	,	,
doing	VBG	do
this	DT	this
work	NN	work
.	SENT	.
But	CC	but
my	PP$	my
work	NN	work
over	IN	over
the	DT	the
last	JJ	last
20	CD	@card@
years	NNS	year
has	VBZ	have
been	VBN	be
about	RB	about
changing	VBG	change
precisely	RB	precisely
that	RB	that
.	SENT	.
It	PP	it
'	POS	'
s	NN	S
about	IN	about
making	VBG	make
these	DT	these
jobs	NNS	job
good	JJ	good
jobs	NNS	job
that	IN	that
you	PP	you
can	MD	can
take	VB	take
pride	NN	pride
in	IN	in
and	CC	and
support	VB	support
your	PP$	your
family	NN	family
on	RP	on
.	SENT	.
At	IN	at
the	DT	the
National	NP	National
Domestic	NP	Domestic
Workers	NPS	Workers
Alliance	NP	Alliance
,	,	,
we	PP	we
'	POS	'
ve	RB	<unknown>
been	VBN	be
working	VBG	work
hard	RB	hard
in	IN	in
states	NNS	state
to	TO	to
pass	VB	pass
new	JJ	new
laws	NNS	law
that	WDT	that
will	MD	will
protect	VB	protect
domestic	JJ	domestic
workers	NNS	worker
from	IN	from
discrimination	NN	discrimination
and	CC	and
sexual	JJ	sexual
harassment	NN	harassment
,	,	,
that	WDT	that
will	MD	will
create	VB	create
days	NNS	day
of	IN	of
rest	NN	rest
,	,	,
paid	VBD	pay
time	NN	time
off	RP	off
,	,	,
even	RB	even
.	SENT	.
So	RB	so
far	RB	far
,	,	,
eight	CD	eight
states	NNS	state
have	VBP	have
passed	VBN	pass
domestic	JJ	domestic
workers	NNS	worker
bills	NNS	bill
of	IN	of
rights	NNS	right
.	SENT	.
Yes	UH	yes
.	SENT	.
And	CC	and
during	IN	during
the	DT	the
Obama	NP	<unknown>
administration	NN	administration
,	,	,
we	PP	we
were	VBD	be
successful	JJ	successful
in	IN	in
bringing	VBG	bring
two	CD	two
million	CD	million
home	NN	home
care	NN	care
workers	NNS	worker
under	IN	under
minimum	JJ	minimum
wage	NN	wage
and	CC	and
overtime	NN	overtime
protections	NNS	protection
for	IN	for
the	DT	the
first	JJ	first
time	NN	time
since	IN	since
1937	CD	@card@
.	SENT	.
Most	RBS	most
recently	RB	recently
,	,	,
we	PP	we
'	POS	'
ve	RB	<unknown>
been	VBN	be
really	RB	really
excited	VBN	excite
to	TO	to
launch	VB	launch
a	DT	a
new	JJ	new
portable	JJ	portable
benefits	NNS	benefit
platform	NN	platform
for	IN	for
domestic	JJ	domestic
workers	NNS	worker
,	,	,
called	VBD	call
"	``	"
Alia	NP	Alia
,	,	,
"	''	"
which	WDT	which
allows	VBZ	allow
for	IN	for
domestic	JJ	domestic
workers	NNS	worker
with	IN	with
multiple	JJ	multiple
clients	NNS	client
to	TO	to
give	VB	give
them	PP	them
access	VB	access
to	TO	to
benefits	NNS	benefit
for	IN	for
the	DT	the
very	RB	very
first	JJ	first
time	NN	time
.	SENT	.
So	RB	so
really	RB	really
important	JJ	important
progress	NN	progress
is	VBZ	be
being	VBG	be
made	VBN	make
.	SENT	.
But	CC	but
I	PP	I
would	MD	would
argue	VB	argue
tonight	RB	tonight
that	IN	that
one	CD	one
of	IN	of
the	DT	the
most	RBS	most
important	JJ	important
things	NNS	thing
that	IN	that
domestic	JJ	domestic
workers	NNS	worker
can	MD	can
provide	VB	provide
is	VBZ	be
actually	RB	actually
what	WP	what
they	PP	they
can	MD	can
teach	VB	teach
us	PP	us
about	IN	about
humanity	NN	humanity
itself	PP	itself
and	CC	and
about	IN	about
what	WP	what
it	PP	it
will	MD	will
take	VB	take
to	TO	to
create	VB	create
a	DT	a
more	RBR	more
humane	JJ	humane
world	NN	world
for	IN	for
our	PP$	our
children	NNS	child
.	SENT	.
In	IN	in
the	DT	the
face	NN	face
of	IN	of
extreme	JJ	extreme
immorality	NN	immorality
,	,	,
domestic	JJ	domestic
workers	NNS	worker
can	MD	can
be	VB	be
our	PP$	our
moral	JJ	moral
compass	NN	compass
.	SENT	.
And	CC	and
it	PP	it
makes	VBZ	make
sense	NN	sense
,	,	,
because	IN	because
what	WP	what
they	PP	they
do	VBP	do
is	VBZ	be
so	RB	so
fundamental	JJ	fundamental
to	TO	to
the	DT	the
very	JJ	very
basics	NNS	basic
of	IN	of
human	JJ	human
need	NN	need
and	CC	and
humanity	NN	humanity
.	SENT	.
They	PP	they
are	VBP	be
there	RB	there
when	WRB	when
we	PP	we
are	VBP	be
born	VBN	bear
into	IN	into
this	DT	this
world	NN	world
;	:	;
they	PP	they
shape	VBP	shape
who	WP	who
we	PP	we
become	VBP	become
in	IN	in
this	DT	this
world	NN	world
;	:	;
and	CC	and
they	PP	they
are	VBP	be
with	IN	with
us	PP	us
as	IN	as
we	PP	we
prepare	VBP	prepare
to	TO	to
leave	VB	leave
this	DT	this
world	NN	world
.	SENT	.
And	CC	and
their	PP$	their
experiences	NNS	experience
with	IN	with
families	NNS	family
are	VBP	be
so	RB	so
varied	VBN	vary
.	SENT	.
They	PP	they
have	VBP	have
some	DT	some
relationships	NNS	relationship
with	IN	with
the	DT	the
families	NNS	family
that	WDT	that
they	PP	they
work	VBP	work
for	IN	for
that	WDT	that
are	VBP	be
incredibly	RB	incredibly
positive	JJ	positive
and	CC	and
mutually	RB	mutually
supportive	JJ	supportive
and	CC	and
last	JJ	last
for	IN	for
years	NNS	year
and	CC	and
years	NNS	year
.	SENT	.
And	CC	and
then	RB	then
the	DT	the
opposite	NN	opposite
also	RB	also
happens	VBZ	happen
.	SENT	.
And	CC	and
we	PP	we
'	POS	'
ve	JJ	<unknown>
seen	VBN	see
cases	NNS	case
of	IN	of
sexual	JJ	sexual
violence	NN	violence
and	CC	and
assault	NN	assault
,	,	,
of	IN	of
extreme	JJ	extreme
forms	NNS	form
of	IN	of
abuse	NN	abuse
and	CC	and
exploitation	NN	exploitation
.	SENT	.
We	PP	we
'	POS	'
ve	JJ	<unknown>
seen	VBN	see
cases	NNS	case
of	IN	of
human	JJ	human
trafficking	NN	trafficking
.	SENT	.
Domestic	JJ	domestic
workers	NNS	worker
live	VBP	live
in	IN	in
poor	JJ	poor
neighborhoods	NNS	neighborhood
,	,	,
and	CC	and
then	RB	then
they	PP	they
go	VBP	go
to	TO	to
work	VB	work
in	IN	in
very	RB	very
wealthy	JJ	wealthy
ones	NNS	one
.	SENT	.
They	PP	they
cross	VBP	cross
cultures	NNS	culture
and	CC	and
generations	NNS	generation
and	CC	and
borders	NNS	border
and	CC	and
boundaries	NNS	boundary
,	,	,
and	CC	and
their	PP$	their
job	NN	job
,	,	,
no	DT	no
matter	NN	matter
what	WP	what
,	,	,
is	VBZ	be
to	TO	to
show	VB	show
up	RP	up
and	CC	and
care	VB	care
—	:	-
to	TO	to
nurture	VB	nurture
,	,	,
to	TO	to
feed	VB	feed
,	,	,
to	TO	to
clothe	VB	clothe
,	,	,
to	TO	to
bathe	VB	bathe
,	,	,
to	TO	to
listen	VB	listen
,	,	,
to	TO	to
encourage	VB	encourage
,	,	,
to	TO	to
ensure	VB	ensure
safety	NN	safety
,	,	,
to	TO	to
support	VB	support
dignity	NN	dignity
.	SENT	.
.	SENT	.
.	SENT	.
to	TO	to
care	VB	care
no	DT	no
matter	NN	matter
what	WP	what
.	SENT	.
I	PP	I
want	VBP	want
to	TO	to
tell	VB	tell
you	PP	you
a	DT	a
story	NN	story
of	IN	of
a	DT	a
woman	NN	woman
I	PP	I
met	VBD	meet
early	RB	early
on	IN	on
in	IN	in
this	DT	this
work	NN	work
.	SENT	.
Her	PP$	her
name	NN	name
is	VBZ	be
Lily	NP	Lily
.	SENT	.
Lily	NP	Lily
and	CC	and
her	PP$	her
family	NN	family
lived	VBN	live
in	IN	in
Jamaica	NP	Jamaica
,	,	,
and	CC	and
when	WRB	when
she	PP	she
was	VBD	be
15	CD	@card@
years	NNS	year
old	JJ	old
,	,	,
she	PP	she
was	VBD	be
approached	VBN	approach
by	IN	by
an	DT	an
American	JJ	American
couple	NN	couple
who	WP	who
were	VBD	be
looking	VBG	look
for	IN	for
a	DT	a
live-in	NN	<unknown>
nanny	NN	nanny
to	TO	to
come	VB	come
live	JJ	live
with	IN	with
them	PP	them
in	IN	in
the	DT	the
United	NP	United
States	NPS	States
and	CC	and
help	VB	help
them	PP	them
care	VB	care
for	IN	for
their	PP$	their
children	NNS	child
.	SENT	.
They	PP	they
offered	VBD	offer
Lily	NP	Lily
'	POS	'
s	JJ	<unknown>
family	NN	family
that	IN	that
if	IN	if
she	PP	she
came	VBD	come
to	TO	to
work	VB	work
as	IN	as
their	PP$	their
nanny	NN	nanny
,	,	,
she	PP	she
would	MD	would
be	VB	be
able	JJ	able
to	TO	to
have	VB	have
access	NN	access
to	TO	to
a	DT	a
US	NP	US
education	NN	education
,	,	,
and	CC	and
she	PP	she
would	MD	would
have	VB	have
a	DT	a
weekly	JJ	weekly
salary	NN	salary
sent	VBD	send
home	NN	home
to	TO	to
help	VB	help
her	PP$	her
family	NN	family
financially	RB	financially
.	SENT	.
They	PP	they
decided	VBD	decide
it	PP	it
was	VBD	be
a	DT	a
good	JJ	good
idea	NN	idea
and	CC	and
decided	VBD	decide
to	TO	to
take	VB	take
the	DT	the
opportunity	NN	opportunity
.	SENT	.
Lily	NP	Lily
held	VBD	hold
up	RP	up
her	PP$	her
end	NN	end
of	IN	of
the	DT	the
bargain	NN	bargain
and	CC	and
helped	VBD	help
to	TO	to
raise	VB	raise
three	CD	three
children	NNS	child
.	SENT	.
But	CC	but
all	DT	all
communication	NN	communication
with	IN	with
her	PP$	her
family	NN	family
was	VBD	be
severed	VBN	sever
:	:	:
no	DT	no
letters	NNS	letter
,	,	,
no	DT	no
phone	NN	phone
calls	VBZ	call
.	SENT	.
She	PP	she
was	VBD	be
never	RB	never
allowed	VBN	allow
to	TO	to
go	VB	go
to	TO	to
school	NN	school
,	,	,
and	CC	and
she	PP	she
was	VBD	be
never	RB	never
paid	VBN	pay
—	:	-
for	IN	for
15	CD	@card@
years	NNS	year
.	SENT	.
One	CD	one
day	NN	day
,	,	,
she	PP	she
saw	VBD	see
an	DT	an
article	NN	article
in	IN	in
a	DT	a
newspaper	NN	newspaper
about	IN	about
another	DT	another
domestic	JJ	domestic
worker	NN	worker
with	IN	with
a	DT	a
really	RB	really
similar	JJ	similar
story	NN	story
to	TO	to
hers	PP	hers
,	,	,
another	DT	another
case	NN	case
that	IN	that
I	PP	I
was	VBD	be
working	VBG	work
on	IN	on
at	IN	at
the	DT	the
time	NN	time
,	,	,
and	CC	and
she	PP	she
found	VBD	find
a	DT	a
way	NN	way
to	TO	to
reach	VB	reach
me	PP	me
.	SENT	.
She	PP	she
also	RB	also
found	VBD	find
a	DT	a
way	NN	way
to	TO	to
reach	VB	reach
her	PP$	her
brother	NN	brother
,	,	,
who	WP	who
was	VBD	be
living	VBG	live
in	IN	in
the	DT	the
United	NP	United
States	NPS	States
at	IN	at
the	DT	the
time	NN	time
as	IN	as
well	RB	well
.	SENT	.
Between	IN	between
the	DT	the
two	CD	two
of	IN	of
us	PP	us
,	,	,
we	PP	we
were	VBD	be
able	JJ	able
to	TO	to
help	VB	help
her	PP$	her
escape	NN	escape
.	SENT	.
And	CC	and
she	PP	she
had	VBD	have
the	DT	the
help	NN	help
of	IN	of
one	CD	one
of	IN	of
the	DT	the
children	NNS	child
.	SENT	.
One	CD	one
of	IN	of
the	DT	the
children	NNS	child
was	VBD	be
old	JJ	old
enough	RB	enough
to	TO	to
realize	VB	realize
that	IN	that
the	DT	the
way	NN	way
his	PP$	his
nanny	NN	nanny
was	VBD	be
being	VBG	be
treated	VBN	treat
was	VBD	be
wrong	JJ	wrong
,	,	,
and	CC	and
he	PP	he
gave	VBD	give
her	PP	her
the	DT	the
money	NN	money
that	IN	that
he	PP	he
had	VBD	have
been	VBN	be
saving	VBG	save
through	IN	through
his	PP$	his
childhood	NN	childhood
to	TO	to
help	VB	help
her	PP$	her
escape	NN	escape
.	SENT	.
But	CC	but
here	RB	here
'	''	'
s	VBG	<unknown>
the	DT	the
thing	NN	thing
about	IN	about
this	DT	this
story	NN	story
.	SENT	.
She	PP	she
was	VBD	be
essentially	RB	essentially
enslaved	VBN	enslave
for	IN	for
15	CD	@card@
years	NNS	year
.	SENT	.
Human	JJ	human
trafficking	NN	trafficking
and	CC	and
slavery	NN	slavery
is	VBZ	be
a	DT	a
criminal	JJ	criminal
offense	NN	offense
.	SENT	.
And	CC	and
so	IN	so
her	PP$	her
lawyers	NNS	lawyer
and	CC	and
I	PP	I
asked	VBD	ask
Lily	NP	Lily
,	,	,
did	VBD	do
she	PP	she
want	VBP	want
to	TO	to
press	VB	press
criminal	JJ	criminal
charges	NNS	charge
for	IN	for
what	WP	what
had	VBD	have
happened	VBN	happen
to	TO	to
her	PP	her
.	SENT	.
And	CC	and
after	IN	after
thinking	VBG	think
about	IN	about
what	WP	what
it	PP	it
would	MD	would
mean	VB	mean
,	,	,
she	PP	she
said	VBD	say
no	RB	no
,	,	,
because	IN	because
she	PP	she
didn	NN	<unknown>
'	POS	'
t	NN	t
want	VBP	want
the	DT	the
children	NNS	child
to	TO	to
be	VB	be
separated	VBN	separate
from	IN	from
their	PP$	their
parents	NNS	parent
.	SENT	.
Instead	RB	instead
,	,	,
we	PP	we
filed	VBD	file
a	DT	a
civil	JJ	civil
lawsuit	NN	lawsuit
,	,	,
and	CC	and
we	PP	we
eventually	RB	eventually
won	VBD	win
the	DT	the
case	NN	case
,	,	,
and	CC	and
her	PP$	her
case	NN	case
became	VBD	become
a	DT	a
rallying	VBG	rally
cry	NN	cry
for	IN	for
domestic	JJ	domestic
workers	NNS	worker
everywhere	RB	everywhere
.	SENT	.
She	PP	she
was	VBD	be
reunited	VBN	reunite
with	IN	with
her	PP$	her
family	NN	family
and	CC	and
went	VBD	go
on	RP	on
to	TO	to
have	VB	have
a	DT	a
family	NN	family
of	IN	of
her	PP$	her
own	JJ	own
.	SENT	.
But	CC	but
the	DT	the
thing	NN	thing
that	RB	that
'	POS	'
s	NN	S
so	RB	so
profound	JJ	profound
to	TO	to
me	PP	me
about	IN	about
this	DT	this
story	NN	story
is	VBZ	be
,	,	,
despite	IN	despite
having	VBG	have
15	CD	@card@
years	NNS	year
stolen	VBN	steal
from	IN	from
her	PP$	her
life	NN	life
,	,	,
it	PP	it
did	VBD	do
not	RB	not
affect	VB	affect
the	DT	the
care	NN	care
and	CC	and
compassion	NN	compassion
that	IN	that
she	PP	she
felt	VBD	feel
for	IN	for
the	DT	the
children	NNS	child
.	SENT	.
And	CC	and
I	PP	I
see	VBP	see
this	DT	this
from	IN	from
domestic	JJ	domestic
workers	NNS	worker
all	PDT	all
the	DT	the
time	NN	time
.	SENT	.
In	IN	in
the	DT	the
face	NN	face
of	IN	of
indignities	NNS	indignity
and	CC	and
our	PP$	our
failure	NN	failure
to	TO	to
respect	VB	respect
and	CC	and
value	VB	value
this	DT	this
work	NN	work
in	IN	in
our	PP$	our
culture	NN	culture
,	,	,
they	PP	they
still	RB	still
show	VBP	show
up	RP	up
,	,	,
and	CC	and
they	PP	they
care	VBP	care
.	SENT	.
They	PP	they
'	POS	'
re	NN	re
simply	RB	simply
too	RB	too
proximate	JJ	proximate
to	TO	to
our	PP$	our
shared	JJ	shared
humanity	NN	humanity
.	SENT	.
They	PP	they
know	VBP	know
how	WRB	how
your	PP$	your
toddler	NN	toddler
likes	VBZ	like
to	TO	to
be	VB	be
held	VBN	hold
as	IN	as
they	PP	they
take	VBP	take
their	PP$	their
bottle	NN	bottle
before	IN	before
a	DT	a
nap	NN	nap
.	SENT	.
They	PP	they
know	VBP	know
how	WRB	how
your	PP$	your
mother	NN	mother
likes	VBZ	like
her	PP$	her
tea	NN	tea
,	,	,
how	WRB	how
to	TO	to
make	VB	make
her	PP$	her
smile	NN	smile
and	CC	and
tell	VB	tell
stories	NNS	story
despite	IN	despite
her	PP$	her
dementia	NN	dementia
.	SENT	.
They	PP	they
are	VBP	be
so	RB	so
proximate	JJ	proximate
to	TO	to
our	PP$	our
humanity	NN	humanity
.	SENT	.
They	PP	they
know	VBP	know
that	IN	that
at	IN	at
the	DT	the
end	NN	end
of	IN	of
the	DT	the
day	NN	day
,	,	,
these	DT	these
are	VBP	be
people	NNS	people
who	WP	who
are	VBP	be
part	NN	part
of	IN	of
families	NNS	family
—	:	-
someone	NN	someone
'	POS	'
s	NN	S
mother	NN	mother
,	,	,
someone	NN	someone
'	POS	'
s	NN	S
grandmother	NN	grandmother
,	,	,
someone	NN	someone
'	POS	'
s	JJ	<unknown>
best	JJS	good
friend	NN	friend
and	CC	and
someone	NN	someone
'	POS	'
s	NN	S
baby	NN	baby
;	:	;
undeniably	RB	undeniably
human	JJ	human
,	,	,
and	CC	and
therefore	RB	therefore
,	,	,
not	RB	not
disposable	JJ	disposable
.	SENT	.
Domestic	JJ	domestic
workers	NNS	worker
know	VBP	know
that	IN	that
any	DT	any
time	NN	time
a	DT	a
single	JJ	single
person	NN	person
becomes	VBZ	become
disposable	JJ	disposable
,	,	,
it	PP	it
'	POS	'
s	NN	S
a	DT	a
slippery	JJ	slippery
slope	NN	slope
.	SENT	.
You	PP	you
see	VBP	see
,	,	,
the	DT	the
cultural	JJ	cultural
devaluing	VBG	devalue
of	IN	of
domestic	JJ	domestic
work	NN	work
is	VBZ	be
a	DT	a
reflection	NN	reflection
of	IN	of
a	DT	a
hierarchy	NN	hierarchy
of	IN	of
human	JJ	human
value	NN	value
that	WDT	that
defines	VBZ	define
everything	NN	everything
in	IN	in
our	PP$	our
world	NN	world
,	,	,
a	DT	a
hierarchy	NN	hierarchy
that	WDT	that
values	VBZ	value
the	DT	the
lives	NNS	life
and	CC	and
contributions	NNS	contribution
of	IN	of
some	DT	some
groups	NNS	group
of	IN	of
people	NNS	people
over	IN	over
others	NNS	other
,	,	,
based	VBN	base
on	IN	on
race	NN	race
,	,	,
gender	NN	gender
,	,	,
class	NN	class
,	,	,
immigration	NN	immigration
status	NN	status
—	:	-
any	DT	any
number	NN	number
of	IN	of
categories	NNS	category
.	SENT	.
And	CC	and
that	DT	that
hierarchy	NN	hierarchy
of	IN	of
human	JJ	human
value	NN	value
requires	VBZ	require
stories	NNS	story
about	IN	about
those	DT	those
groups	NNS	group
of	IN	of
people	NNS	people
in	IN	in
order	NN	order
to	TO	to
sustain	VB	sustain
itself	PP	itself
.	SENT	.
So	IN	so
these	DT	these
stories	NNS	story
have	VBP	have
seeped	VBN	seep
deep	RB	deep
into	IN	into
our	PP$	our
culture	NN	culture
about	IN	about
how	WRB	how
some	DT	some
people	NNS	people
are	VBP	be
less	RBR	less
intelligent	JJ	intelligent
,	,	,
some	DT	some
people	NNS	people
are	VBP	be
less	RBR	less
intuitive	JJ	intuitive
,	,	,
weaker	JJR	weak
,	,	,
by	IN	by
extension	NN	extension
,	,	,
less	RBR	less
trustworthy	JJ	trustworthy
,	,	,
less	RBR	less
valuable	JJ	valuable
and	CC	and
ultimately	RB	ultimately
,	,	,
less	RBR	less
human	JJ	human
.	SENT	.
And	CC	and
domestic	JJ	domestic
workers	NNS	worker
know	VBP	know
it	PP	it
'	''	'
s	VBG	<unknown>
a	DT	a
slippery	JJ	slippery
slope	NN	slope
when	WRB	when
we	PP	we
start	VBP	start
to	TO	to
see	VB	see
a	DT	a
worker	NN	worker
as	IN	as
less	JJR	less
than	IN	than
a	DT	a
real	JJ	real
worker	NN	worker
,	,	,
to	TO	to
a	DT	a
woman	NN	woman
as	IN	as
less	JJR	less
than	IN	than
a	DT	a
woman	NN	woman
,	,	,
to	TO	to
a	DT	a
mother	NN	mother
as	IN	as
less	JJR	less
than	IN	than
a	DT	a
mother	NN	mother
,	,	,
to	TO	to
a	DT	a
child	NN	child
as	IN	as
less	JJR	less
than	IN	than
a	DT	a
child	NN	child
.	SENT	.
In	IN	in
the	DT	the
spring	NN	spring
of	IN	of
2018	CD	@card@
,	,	,
the	DT	the
Trump	NP	Trump
administration	NN	administration
announced	VBD	announce
a	DT	a
new	JJ	new
policy	NN	policy
at	IN	at
the	DT	the
US-Mexico	NP	US-Mexico
border	NN	border
,	,	,
a	DT	a
zero-tolerance	NN	zero-tolerance
policy	NN	policy
,	,	,
to	TO	to
forcibly	RB	forcibly
separate	VB	separate
all	DT	all
children	NNS	child
from	IN	from
their	PP$	their
parents	NNS	parent
,	,	,
who	WP	who
were	VBD	be
arriving	VBG	arrive
at	IN	at
the	DT	the
border	NN	border
seeking	VBG	seek
asylum	NN	asylum
;	:	;
children	NNS	child
as	IN	as
young	JJ	young
as	IN	as
18	CD	@card@
months	NNS	month
,	,	,
separated	VBN	separate
from	IN	from
their	PP$	their
parents	NNS	parent
after	IN	after
a	DT	a
long	JJ	long
and	CC	and
arduous	JJ	arduous
journey	NN	journey
to	TO	to
reach	VB	reach
the	DT	the
US-Mexico	NP	US-Mexico
border	NN	border
in	IN	in
search	NN	search
of	IN	of
