I	PP	I
so	RB	so
hard	JJ	hard
for	IN	for
us	PP	us
to	TO	to
delegate	VB	delegate
and	CC	and
just	RB	just
get	VB	get
others	NNS	other
to	TO	to
help	VB	help
us	PP	us
do	VB	do
the	DT	the
duties	NNS	duty
that	IN	that
we	PP	we
are	VBP	be
responsible	JJ	responsible
for	IN	for
.	SENT	.
We	PP	we
feel	VBP	feel
embarrassed	JJ	embarrassed
or	CC	or
we	PP	we
feel	VBP	feel
guilty	JJ	guilty
.	SENT	.
But	CC	but
we	PP	we
know	VBP	know
that	IN	that
we	PP	we
have	VBP	have
to	TO	to
make	VB	make
this	DT	this
happen	VB	happen
,	,	,
because	IN	because
if	IN	if
not	RB	not
,	,	,
we	PP	we
will	MD	will
never	RB	never
have	VB	have
time	NN	time
to	TO	to
be	VB	be
able	JJ	able
to	TO	to
volunteer	VB	volunteer
to	TO	to
help	VB	help
on	IN	on
these	DT	these
many	JJ	many
causes	NNS	cause
that	WDT	that
are	VBP	be
now	RB	now
facing	VBG	face
us	PP	us
.	SENT	.
One	CD	one
of	IN	of
the	DT	the
areas	NNS	area
that	IN	that
women	NNS	woman
can	MD	can
give	VB	give
up	RP	up
a	DT	a
little	JJ	little
bit	NN	bit
of	IN	of
time	NN	time
and	CC	and
that	DT	that
is	VBZ	be
in	IN	in
shopping	NN	shopping
,	,	,
OK	UH	OK
?	SENT	?
And	CC	and
especially	RB	especially
when	WRB	when
we	PP	we
go	VBP	go
out	RP	out
there	RB	there
shopping	VBG	shop
for	IN	for
things	NNS	thing
that	IN	that
we	PP	we
don	VB	don
'	''	'
t	NN	t
even	RB	even
need	VBP	need
.	SENT	.
You	PP	you
know	VBP	know
,	,	,
you	PP	you
never	RB	never
saw	VBD	see
a	DT	a
hearse	NN	hearse
with	IN	with
a	DT	a
U-Haul	NN	U-Haul
behind	IN	behind
it	PP	it
.	SENT	.
We	PP	we
have	VBP	have
to	TO	to
live	VB	live
simply	RB	simply
,	,	,
so	IN	so
that	WDT	that
others	NNS	other
can	MD	can
simply	RB	simply
live	VB	live
.	SENT	.
And	CC	and
when	WRB	when
we	PP	we
think	VBP	think
of	IN	of
the	DT	the
kind	NN	kind
of	IN	of
inheritance	NN	inheritance
that	IN	that
we	PP	we
want	VBP	want
to	TO	to
leave	VB	leave
to	TO	to
our	PP$	our
children	NNS	child
or	CC	or
our	PP$	our
grandchildren	NNS	grandchild
,	,	,
think	VBP	think
of	IN	of
leaving	VBG	leave
them	PP	them
a	DT	a
legacy	NN	legacy
of	IN	of
justice	NN	justice
.	SENT	.
This	DT	this
is	VBZ	be
a	DT	a
legacy	NN	legacy
that	IN	that
they	PP	they
can	MD	can
not	RB	not
only	RB	only
imitate	VB	imitate
,	,	,
but	CC	but
they	PP	they
can	MD	can
be	VB	be
proud	JJ	proud
of	IN	of
for	IN	for
the	DT	the
rest	NN	rest
of	IN	of
their	PP$	their
lives	NNS	life
.	SENT	.
If	IN	if
we	PP	we
leave	VBP	leave
them	PP	them
a	DT	a
lot	NN	lot
of	IN	of
material	NN	material
goods	NNS	good
,	,	,
all	RB	all
they	PP	they
'	POS	'
re	NN	re
going	VBG	go
to	TO	to
do	VB	do
is	VBZ	be
fight	VB	fight
,	,	,
and	CC	and
they	PP	they
'	POS	'
re	NN	re
going	VBG	go
to	TO	to
hate	VB	hate
each	DT	each
other	JJ	other
.	SENT	.
Just	RB	just
remember	VB	remember
that	IN	that
,	,	,
when	WRB	when
we	PP	we
think	VBP	think
about	RB	about
what	WP	what
we	PP	we
'	''	'
re	IN	re
doing	VBG	do
.	SENT	.
The	DT	the
other	JJ	other
thing	NN	thing
that	IN	that
we	PP	we
have	VBP	have
to	TO	to
do	VB	do
to	TO	to
liberate	VB	liberate
our	PP$	our
women	NNS	woman
,	,	,
eventually	RB	eventually
,	,	,
so	IN	so
that	WDT	that
we	PP	we
can	MD	can
do	VB	do
the	DT	the
kind	NN	kind
of	IN	of
volunteer	NN	volunteer
work	NN	work
that	IN	that
we	PP	we
need	VBP	need
to	TO	to
do	VB	do
to	TO	to
change	VB	change
this	DT	this
world	NN	world
,	,	,
is	VBZ	be
we	PP	we
have	VBP	have
to	TO	to
have	VB	have
a	DT	a
different	JJ	different
kind	NN	kind
of	IN	of
an	DT	an
education	NN	education
for	IN	for
our	PP$	our
young	JJ	young
women	NNS	woman
.	SENT	.
Unfortunately	RB	unfortunately
,	,	,
in	IN	in
our	PP$	our
societies	NNS	society
around	IN	around
the	DT	the
world	NN	world
,	,	,
women	NNS	woman
are	VBP	be
taught	VBN	teach
to	TO	to
be	VB	be
victims	NNS	victim
.	SENT	.
Women	NNS	woman
are	VBP	be
not	RB	not
taught	VBN	teach
that	IN	that
they	PP	they
are	VBP	be
going	VBG	go
to	TO	to
have	VB	have
to	TO	to
defend	VB	defend
themselves	PP	themselves
,	,	,
that	IN	that
they	PP	they
'	POS	'
re	NN	re
going	VBG	go
to	TO	to
have	VB	have
to	TO	to
support	VB	support
themselves	PP	themselves
and	CC	and
they	PP	they
have	VBP	have
to	TO	to
protect	VB	protect
themselves	PP	themselves
.	SENT	.
Because	RB	because
,	,	,
you	PP	you
know	VBP	know
,	,	,
when	WRB	when
we	PP	we
actually	RB	actually
look	VBP	look
at	IN	at
the	DT	the
animal	JJ	animal
kingdom	NN	kingdom
,	,	,
and	CC	and
we	PP	we
see	VBP	see
who	WP	who
are	VBP	be
the	DT	the
most	RBS	most
ferocious	JJ	ferocious
,	,	,
the	DT	the
male	NN	male
or	CC	or
the	DT	the
female	NN	female
?	SENT	?
We	PP	we
know	VBP	know
it	PP	it
'	''	'
s	VBG	<unknown>
the	DT	the
female	NN	female
,	,	,
right	RB	right
?	SENT	?
So	RB	so
something	NN	something
went	VBD	go
wrong	JJ	wrong
with	IN	with
us	PP	us
at	IN	at
the	DT	the
top	NN	top
of	IN	of
that	DT	that
animal	JJ	animal
kingdom	NN	kingdom
as	IN	as
women	NNS	woman
.	SENT	.
So	RB	so
I	PP	I
want	VBP	want
to	TO	to
give	VB	give
you	PP	you
an	DT	an
example	NN	example
of	IN	of
how	WRB	how
I	PP	I
found	VBD	find
my	PP$	my
voice	NN	voice
.	SENT	.
And	CC	and
I	PP	I
was	VBD	be
very	RB	very
fortunate	JJ	fortunate
in	IN	in
that	DT	that
,	,	,
when	WRB	when
I	PP	I
was	VBD	be
25	CD	@card@
years	NNS	year
old	JJ	old
,	,	,
I	PP	I
met	VBD	meet
a	DT	a
gentleman	NN	gentleman
named	VBN	name
Fred	NP	Fred
Ross	NP	Ross
Sr	NP	Sr
.	SENT	.
,	,	,
who	WP	who
organized	VBD	organize
a	DT	a
chapter	NN	chapter
of	IN	of
a	DT	a
group	NN	group
called	VBD	call
the	DT	the
Community	NP	Community
Service	NP	Service
Organization	NP	Organization
in	IN	in
my	PP$	my
hometown	NN	hometown
of	IN	of
Stockton	NP	Stockton
,	,	,
California	NP	California
.	SENT	.
This	DT	this
was	VBD	be
a	DT	a
grassroots	NNS	grassroots
organization	NN	organization
,	,	,
and	CC	and
I	PP	I
was	VBD	be
recruited	VBN	recruit
to	TO	to
be	VB	be
a	DT	a
volunteer	NN	volunteer
.	SENT	.
So	RB	so
,	,	,
one	CD	one
day	NN	day
,	,	,
while	IN	while
we	PP	we
were	VBD	be
sitting	VBG	sit
in	IN	in
the	DT	the
office	NN	office
,	,	,
a	DT	a
farm	NN	farm
worker	NN	worker
comes	VBZ	come
in	IN	in
.	SENT	.
And	CC	and
he	PP	he
'	POS	'
s	NNS	<unknown>
paralyzed	JJ	paralyzed
,	,	,
he	PP	he
can	MD	can
hardly	RB	hardly
walk	VB	walk
,	,	,
he	PP	he
has	VBZ	have
a	DT	a
crutch	NN	crutch
.	SENT	.
And	CC	and
he	PP	he
needs	VBZ	need
help	VB	help
.	SENT	.
He	PP	he
needs	VBZ	need
someone	NN	someone
to	TO	to
help	VB	help
him	PP	him
go	VB	go
down	RP	down
to	TO	to
the	DT	the
welfare	NN	welfare
office	NN	office
and	CC	and
make	VB	make
an	DT	an
application	NN	application
.	SENT	.
So	RB	so
,	,	,
I	PP	I
volunteered	VBD	volunteer
to	TO	to
do	VB	do
that	DT	that
.	SENT	.
But	CC	but
when	WRB	when
I	PP	I
got	VBD	get
to	TO	to
the	DT	the
welfare	NN	welfare
office	NN	office
,	,	,
they	PP	they
would	MD	would
not	RB	not
let	VB	let
me	PP	me
make	VB	make
an	DT	an
application	NN	application
for	IN	for
this	DT	this
gentleman	NN	gentleman
.	SENT	.
So	IN	so
I	PP	I
didn	NN	<unknown>
'	POS	'
t	NN	t
know	VBP	know
what	WP	what
to	TO	to
do	VB	do
,	,	,
I	PP	I
was	VBD	be
at	IN	at
a	DT	a
loss	NN	loss
.	SENT	.
So	RB	so
I	PP	I
went	VBD	go
back	RB	back
to	TO	to
the	DT	the
office	NN	office
,	,	,
and	CC	and
I	PP	I
told	VBD	tell
Mr	NP	Mr
.	SENT	.
Ross	NP	Ross
,	,	,
"	''	"
They	PP	they
won	VBD	win
'	''	'
t	NN	t
let	VB	let
me	PP	me
make	VB	make
an	DT	an
application	NN	application
.	SENT	.
"	``	"
And	CC	and
he	PP	he
said	VBD	say
to	TO	to
me	PP	me
,	,	,
very	RB	very
sternly	RB	sternly
,	,	,
"	``	"
You	PP	you
go	VBP	go
right	RB	right
back	VB	back
down	RP	down
to	TO	to
that	DT	that
welfare	NN	welfare
office	NN	office
,	,	,
and	CC	and
you	PP	you
demand	VBP	demand
to	TO	to
see	VB	see
a	DT	a
supervisor	NN	supervisor
.	SENT	.
And	CC	and
you	PP	you
demand	VBP	demand
that	IN	that
they	PP	they
let	VBP	let
him	PP	him
make	VB	make
an	DT	an
application	NN	application
.	SENT	.
"	``	"
And	CC	and
I	PP	I
thought	VBD	think
,	,	,
"	``	"
Wow	NN	wow
,	,	,
I	PP	I
can	MD	can
do	VB	do
that	DT	that
?	SENT	?
"	``	"
So	RB	so
I	PP	I
thought	VBD	think
about	IN	about
it	PP	it
,	,	,
and	CC	and
I	PP	I
kind	RB	kind
of	IN	of
overcame	VBD	overcome
my	PP$	my
anxieties	NNS	anxiety
and	CC	and
my	PP$	my
fears	NNS	fear
.	SENT	.
I	PP	I
went	VBD	go
down	RB	down
to	TO	to
the	DT	the
welfare	NN	welfare
office	NN	office
and	CC	and
I	PP	I
demanded	VBD	demand
to	TO	to
see	VB	see
the	DT	the
supervisor	NN	supervisor
.	SENT	.
Sure	RB	sure
enough	RB	enough
,	,	,
he	PP	he
came	VBD	come
out	RP	out
,	,	,
and	CC	and
they	PP	they
had	VBD	have
to	TO	to
let	VB	let
Mr	NP	Mr
.	SENT	.
Ruiz	NP	Ruiz
make	VBP	make
an	DT	an
application	NN	application
for	IN	for
welfare	NN	welfare
.	SENT	.
And	CC	and
he	PP	he
got	VBD	get
his	PP$	his
disability	NN	disability
for	IN	for
himself	PP	himself
and	CC	and
his	PP$	his
family	NN	family
.	SENT	.
But	CC	but
that	DT	that
taught	VBD	teach
me	PP	me
a	DT	a
lesson	NN	lesson
.	SENT	.
That	IN	that
taught	VBN	teach
me	PP	me
that	IN	that
I	PP	I
had	VBD	have
a	DT	a
voice	NN	voice
.	SENT	.
Well	RB	well
,	,	,
Mr	NP	Mr
.	SENT	.
Ross	NP	Ross
also	RB	also
taught	VBD	teach
many	JJ	many
of	IN	of
us	PP	us
many	JJ	many
other	JJ	other
things	NNS	thing
,	,	,
including	VBG	include
Cesar	NP	Cesar
Chavez	NP	Chavez
and	CC	and
many	JJ	many
other	JJ	other
volunteers	NNS	volunteer
.	SENT	.
And	CC	and
he	PP	he
taught	VBD	teach
us	PP	us
not	RB	not
only	RB	only
that	IN	that
we	PP	we
can	MD	can
make	VB	make
demands	NNS	demand
of	IN	of
people	NNS	people
,	,	,
especially	RB	especially
our	PP$	our
public	JJ	public
officials	NNS	official
.	SENT	.
And	CC	and
this	DT	this
is	VBZ	be
something	NN	something
we	PP	we
should	MD	should
always	RB	always
keep	VB	keep
in	IN	in
mind	NN	mind
:	:	:
every	DT	every
public	JJ	public
official	NN	official
—	:	-
guess	VB	guess
what	WP	what
—	:	-
they	PP	they
work	VBP	work
for	IN	for
us	PP	us
.	SENT	.
Because	IN	because
we	PP	we
pay	VBP	pay
their	PP$	their
salaries	NNS	salary
with	IN	with
out	JJ	out
taxes	NNS	tax
.	SENT	.
And	CC	and
they	PP	they
are	VBP	be
actually	RB	actually
our	PP$	our
servants	NNS	servant
.	SENT	.
Some	DT	some
of	IN	of
them	PP	them
turn	VBP	turn
out	RP	out
to	TO	to
be	VB	be
leaders	NNS	leader
,	,	,
but	CC	but
not	RB	not
all	RB	all
of	IN	of
them	PP	them
.	SENT	.
Once	RB	once
in	IN	in
a	DT	a
while	IN	while
we	PP	we
get	VBP	get
a	DT	a
leader	NN	leader
out	RP	out
of	IN	of
there	RB	there
.	SENT	.
The	DT	the
other	JJ	other
thing	NN	thing
that	IN	that
Mr	NP	Mr
.	SENT	.
Ross	NP	Ross
taught	VBD	teach
us	PP	us
is	VBZ	be
that	DT	that
voting	NN	voting
is	VBZ	be
extremely	RB	extremely
important	JJ	important
.	SENT	.
And	CC	and
not	RB	not
just	RB	just
voting	JJ	voting
,	,	,
but	CC	but
going	VBG	go
out	RP	out
there	RB	there
and	CC	and
getting	VBG	get
other	JJ	other
people	NNS	people
to	TO	to
vote	VB	vote
.	SENT	.
Going	VBG	go
door	NN	door
to	TO	to
door	NN	door
.	SENT	.
Phone	NN	phone
banking	NN	banking
,	,	,
talking	VBG	talk
to	TO	to
voters	NNS	voter
,	,	,
because	IN	because
many	JJ	many
voters	NNS	voter
have	VBP	have
a	DT	a
lot	NN	lot
of	IN	of
doubts	NNS	doubt
and	CC	and
they	PP	they
don	VBP	don
'	''	'
t	NN	t
know	VBP	know
how	WRB	how
to	TO	to
vote	VB	vote
.	SENT	.
And	CC	and
unfortunately	RB	unfortunately
,	,	,
we	PP	we
know	VBP	know
that	IN	that
in	IN	in
many	JJ	many
countries	NNS	country
people	NNS	people
are	VBP	be
not	RB	not
allowed	VBN	allow
to	TO	to
vote	VB	vote
because	IN	because
we	PP	we
have	VBP	have
voter	NN	voter
suppression	NN	suppression
in	IN	in
other	JJ	other
countries	NNS	country
,	,	,
like	IN	like
we	PP	we
do	VBP	do
here	RB	here
in	IN	in
the	DT	the
United	NP	United
States	NPS	States
of	IN	of
America	NP	America
.	SENT	.
But	CC	but
the	DT	the
thing	NN	thing
is	VBZ	be
,	,	,
if	IN	if
we	PP	we
can	MD	can
get	VB	get
out	RP	out
there	RB	there
as	IN	as
individuals	NNS	individual
and	CC	and
talk	VB	talk
to	TO	to
people	NNS	people
,	,	,
so	RB	so
we	PP	we
can	MD	can
remove	VB	remove
their	PP$	their
apathy	NN	apathy
and	CC	and
make	VB	make
sure	JJ	sure
that	IN	that
they	PP	they
can	MD	can
vote	VB	vote
.	SENT	.
So	RB	so
,	,	,
I	PP	I
want	VBP	want
to	TO	to
give	VB	give
you	PP	you
an	DT	an
example	NN	example
of	IN	of
a	DT	a
woman	NN	woman
in	IN	in
our	PP$	our
foundation	NN	foundation
,	,	,
the	DT	the
Dolores	NP	Dolores
Huerta	NP	Huerta
Foundation	NP	Foundation
,	,	,
and	CC	and
just	RB	just
to	TO	to
show	VB	show
you	PP	you
that	IN	that
sometimes	RB	sometimes
people	NNS	people
have	VBP	have
power	NN	power
,	,	,
but	CC	but
they	PP	they
don	VBP	don
'	''	'
t	NN	t
know	VB	know
it	PP	it
.	SENT	.
But	CC	but
once	RB	once
they	PP	they
find	VBP	find
it	PP	it
,	,	,
they	PP	they
do	VBP	do
miraculous	JJ	miraculous
things	NNS	thing
.	SENT	.
So	RB	so
,	,	,
Leticia	NP	Leticia
Prado	NP	Prado
is	VBZ	be
an	DT	an
immigrant	NN	immigrant
from	IN	from
Mexico	NP	Mexico
,	,	,
only	RB	only
has	VBZ	have
a	DT	a
sixth-grade	NN	sixth-grade
education	NN	education
and	CC	and
speaks	VBZ	speak
very	RB	very
limited	JJ	limited
English	NP	English
.	SENT	.
But	CC	but
she	PP	she
was	VBD	be
very	RB	very
concerned	VBN	concern
because	IN	because
the	DT	the
children	NNS	child
at	IN	at
the	DT	the
middle	JJ	middle
school	NN	school
in	IN	in
their	PP$	their
town	NN	town
called	VBN	call
Weedpatch	NP	Weedpatch
—	:	-
this	DT	this
is	VBZ	be
in	IN	in
California	NP	California
,	,	,
Central	NP	Central
Valley	NP	Valley
—	:	-
they	PP	they
couldn	NNS	<unknown>
'	POS	'
t	NN	t
go	VB	go
out	RP	out
and	CC	and
play	VB	play
in	IN	in
the	DT	the
schoolyard	NN	schoolyard
,	,	,
because	IN	because
the	DT	the
air	NN	air
quality	NN	quality
is	VBZ	be
so	RB	so
bad	JJ	bad
in	IN	in
the	DT	the
southern	JJ	southern
part	NN	part
of	IN	of
Kern	NP	Kern
County	NP	County
,	,	,
California	NP	California
in	IN	in
our	PP$	our
United	NP	United
States	NPS	States
of	IN	of
America	NP	America
.	SENT	.
So	IN	so
she	PP	she
and	CC	and
her	PP$	her
husband	NN	husband
went	VBD	go
out	RP	out
there	RB	there
,	,	,
and	CC	and
they	PP	they
passed	VBD	pass
a	DT	a
bond	NN	bond
issue	NN	issue
to	TO	to
build	VB	build
a	DT	a
brand	NN	brand
new	JJ	new
,	,	,
state-of-the-art	JJ	state-of-the-art
gymnasium	NN	gymnasium
for	IN	for
the	DT	the
kids	NNS	kid
at	IN	at
their	PP$	their
middle	JJ	middle
school	NN	school
.	SENT	.
That	DT	that
was	VBD	be
a	DT	a
big	JJ	big
success	NN	success
.	SENT	.
Then	RB	then
she	PP	she
heard	VBD	hear
a	DT	a
rumor	NN	rumor
that	IN	that
the	DT	the
principal	NN	principal
was	VBD	be
going	VBG	go
to	TO	to
end	VB	end
the	DT	the
breakfast	NN	breakfast
program	NN	program
for	IN	for
the	DT	the
farm	NN	farm
worker	NN	worker
children	NNS	child
,	,	,
because	IN	because
the	DT	the
principal	NN	principal
thought	VBD	think
it	PP	it
was	VBD	be
just	RB	just
too	RB	too
much	JJ	much
paperwork	NN	paperwork
.	SENT	.
So	RB	so
,	,	,
Leticia	NP	Leticia
got	VBD	get
herself	PP	herself
elected	VBD	elect
to	TO	to
the	DT	the
school	NN	school
board	NN	board
.	SENT	.
And	CC	and
they	PP	they
kept	VBD	keep
the	DT	the
breakfast	NN	breakfast
program	NN	program
,	,	,
and	CC	and
she	PP	she
got	VBD	get
rid	JJ	rid
of	IN	of
the	DT	the
principal	NN	principal
.	SENT	.
So	RB	so
there	EX	there
were	VBD	be
other	JJ	other
rumors	NNS	rumor
about	IN	about
some	DT	some
corruption	NN	corruption
in	IN	in
the	DT	the
local	JJ	local
water	NN	water
district	NN	district
.	SENT	.
So	RB	so
,	,	,
Leticia	NP	Leticia
got	VBD	get
herself	PP	herself
elected	VBD	elect
to	TO	to
the	DT	the
water	NN	water
district	NN	district
.	SENT	.
Then	RB	then
she	PP	she
looked	VBD	look
into	IN	into
all	DT	all
of	IN	of
the	DT	the
finances	NNS	finance
of	IN	of
the	DT	the
water	NN	water
district	NN	district
and	CC	and
found	VBD	find
there	EX	there
was	VBD	be
250	CD	@card@
,	,	,
000	CD	@card@
dollars	NNS	dollar
missing	VBG	miss
from	IN	from
their	PP$	their
bank	NN	bank
account	NN	account
.	SENT	.
So	RB	so
,	,	,
Leticia	NP	Leticia
called	VBD	call
in	IN	in
the	DT	the
grand	JJ	grand
jury	NN	jury
,	,	,
and	CC	and
several	JJ	several
arrests	NNS	arrest
have	VBP	have
been	VBN	be
made	VBN	make
.	SENT	.
And	CC	and
this	DT	this
is	VBZ	be
just	RB	just
an	DT	an
example	NN	example
of	IN	of
a	DT	a
woman	NN	woman
who	WP	who
never	RB	never
went	VBD	go
to	TO	to
high	JJ	high
school	NN	school
,	,	,
never	RB	never
went	VBD	go
to	TO	to
college	NN	college
,	,	,
but	CC	but
she	PP	she
found	VBD	find
her	PP$	her
power	NN	power
.	SENT	.
And	CC	and
in	IN	in
addition	NN	addition
,	,	,
she	PP	she
has	VBZ	have
recruited	VBN	recruit
other	JJ	other
people	NNS	people
in	IN	in
the	DT	the
community	NN	community
to	TO	to
also	RB	also
run	VB	run
for	IN	for
public	JJ	public
office	NN	office
,	,	,
and	CC	and
guess	VBP	guess
what	WP	what
—	:	-
they	PP	they
'	POS	'
ve	NN	ve
all	RB	all
gotten	VBN	get
themselves	PP	themselves
elected	VBD	elect
.	SENT	.
So	RB	so
,	,	,
I	PP	I
take	VBP	take
that	IN	that
Leticia	NP	Leticia
really	RB	really
embodies	VBZ	embody
something	NN	something
that	IN	that
Coretta	NP	Coretta
Scott	NP	Scott
King	NP	King
said	VBD	say
.	SENT	.
And	CC	and
I	PP	I
want	VBP	want
to	TO	to
share	VB	share
this	DT	this
with	IN	with
you	PP	you
.	SENT	.
Coretta	NP	Coretta
Scott	NP	Scott
King	NP	King
said	VBD	say
,	,	,
"	``	"
We	PP	we
will	MD	will
never	RB	never
have	VB	have
peace	NN	peace
in	IN	in
the	DT	the
world	NN	world
until	IN	until
women	NNS	woman
take	VBP	take
power	NN	power
.	SENT	.
"	''	"
Now	RB	now
,	,	,
I	PP	I
have	VBP	have
amended	VBN	amend
that	DT	that
statement	NN	statement
to	TO	to
say	VB	say
that	IN	that
we	PP	we
will	MD	will
never	RB	never
have	VB	have
peace	NN	peace
in	IN	in
the	DT	the
world	NN	world
until	IN	until
feminists	NNS	feminist
take	VBP	take
power	NN	power
.	SENT	.
Because	IN	because
we	PP	we
know	VBP	know
there	EX	there
is	VBZ	be
a	DT	a
difference	NN	difference
,	,	,
right	RB	right
?	SENT	?
Not	RB	not
only	RB	only
that	IN	that
,	,	,
but	CC	but
if	IN	if
we	PP	we
want	VBP	want
to	TO	to
define	VB	define
what	WP	what
is	VBZ	be
a	DT	a
feminist	NN	feminist
—	:	-
a	DT	a
person	NN	person
who	WP	who
stands	VBZ	stand
up	RP	up
for	IN	for
reproductive	JJ	reproductive
rights	NNS	right
,	,	,
for	IN	for
immigrants	NNS	immigrant
'	POS	'
rights	NNS	right
,	,	,
for	IN	for
the	DT	the
environment	NN	environment
,	,	,
for	IN	for
LGBT	NN	<unknown>
rights	NNS	right
and	CC	and
also	RB	also
for	IN	for
labor	NN	labor
unions	NNS	union
and	CC	and
working	VBG	work
people	NNS	people
.	SENT	.
Which	WDT	which
also	RB	also
means	VBZ	mean
that	IN	that
men	NNS	man
can	MD	can
also	RB	also
be	VB	be
feminists	NNS	feminist
.	SENT	.
So	RB	so
when	WRB	when
we	PP	we
think	VBP	think
of	IN	of
feminization	NN	feminization
,	,	,
we	PP	we
should	MD	should
also	RB	also
think	VB	think
of	IN	of
how	WRB	how
can	MD	can
we	PP	we
feminize	VB	feminize
the	DT	the
policies	NNS	policy
,	,	,
and	CC	and
not	RB	not
only	RB	only
of	IN	of
our	PP$	our
major	JJ	major
countries	NNS	country
,	,	,
the	DT	the
wealthy	JJ	wealthy
countries	NNS	country
like	IN	like
the	DT	the
United	NP	United
States	NPS	States
,	,	,
but	CC	but
all	DT	all
over	IN	over
the	DT	the
world	NN	world
,	,	,
our	PP$	our
domestic	JJ	domestic
and	CC	and
foreign	JJ	foreign
policy	NN	policy
.	SENT	.
And	CC	and
one	CD	one
of	IN	of
the	DT	the
things	NNS	thing
that	IN	that
we	PP	we
can	MD	can
do	VB	do
to	TO	to
stop	VB	stop
wars	NNS	war
and	CC	and
to	TO	to
have	VB	have
peace	NN	peace
is	VBZ	be
to	TO	to
make	VB	make
sure	JJ	sure
that	IN	that
the	DT	the
wealthiest	JJS	wealthy
countries	NNS	country
in	IN	in
the	DT	the
world	NN	world
also	RB	also
help	VB	help
the	DT	the
developing	VBG	develop
countries	NNS	country
.	SENT	.
Now	RB	now
,	,	,
we	PP	we
did	VBD	do
this	DT	this
in	IN	in
the	DT	the
past	NN	past
.	SENT	.
After	IN	after
World	NP	World
War	NP	War
II	NP	II
,	,	,
when	WRB	when
Japan	NP	Japan
and	CC	and
Germany	NP	Germany
were	VBD	be
devastated	VBN	devastate
after	IN	after
the	DT	the
war	NN	war
,	,	,
United	NP	United
States	NPS	States
of	IN	of
America	NP	America
gave	VBD	give
many	JJ	many
tax	NN	tax
dollars	NNS	dollar
to	TO	to
those	DT	those
two	CD	two
countries	NNS	country
,	,	,
so	RB	so
that	IN	that
they	PP	they
can	MD	can
rebuild	VB	rebuild
their	PP$	their
economies	NNS	economy
and	CC	and
rebuild	VB	rebuild
