Meet	NP	Meet
and	CC	and
management	NN	management
,	,	,
and	CC	and
in	IN	in
conflict	NN	conflict
resolution	NN	resolution
.	SENT	.
And	CC	and
it	PP	it
really	RB	really
makes	VBZ	make
her	PP	her
grow	VB	grow
as	IN	as
a	DT	a
person	NN	person
within	IN	within
that	DT	that
company	NN	company
.	SENT	.
So	RB	so
now	RB	now
,	,	,
you	PP	you
might	MD	might
be	VB	be
asking	VBG	ask
,	,	,
like	VB	like
,	,	,
"	``	"
What	WP	what
kind	NN	kind
of	IN	of
company	NN	company
is	VBZ	be
that	RB	that
?	SENT	?
I	NP	I
'	POS	'
ve	NN	ve
never	RB	never
heard	VBN	hear
of	IN	of
a	DT	a
tech	NN	tech
platform	NN	platform
that	WDT	that
gives	VBZ	give
benefits	NNS	benefit
like	IN	like
that	DT	that
.	SENT	.
How	WRB	how
do	VBP	do
they	PP	they
do	VBP	do
that	RB	that
?	SENT	?
"	''	"
So	IN	so
the	DT	the
answer	NN	answer
is	VBZ	be
Up	RP	up
and	CC	and
Go	VB	go
,	,	,
and	CC	and
it	PP	it
'	POS	'
s	NNS	<unknown>
not	RB	not
your	PP$	your
typical	JJ	typical
tech	NN	tech
platform	NN	platform
.	SENT	.
It	PP	it
'	POS	'
s	NN	S
what	WP	what
is	VBZ	be
called	VBN	call
a	DT	a
"	``	"
platform	NN	platform
cooperative	NN	cooperative
,	,	,
"	''	"
which	WDT	which
means	VBZ	mean
that	IN	that
the	DT	the
workers	NNS	worker
,	,	,
the	DT	the
house	NN	house
cleaners	NNS	cleaner
,	,	,
are	VBP	be
sharing	VBG	share
the	DT	the
governance	NN	governance
and	CC	and
the	DT	the
ownership	NN	ownership
of	IN	of
this	DT	this
platform	NN	platform
.	SENT	.
They	PP	they
are	VBP	be
deciding	VBG	decide
on	IN	on
wages	NNS	wage
,	,	,
they	PP	they
are	VBP	be
deciding	VBG	decide
on	IN	on
benefits	NNS	benefit
,	,	,
they	PP	they
are	VBP	be
deciding	VBG	decide
what	WP	what
customers	NNS	customer
are	VBP	be
charged	VBN	charge
.	SENT	.
And	CC	and
it	PP	it
'	POS	'
s	NN	S
a	DT	a
truly	RB	truly
democratic	JJ	democratic
workplace	NN	workplace
,	,	,
and	CC	and
I	PP	I
think	VBP	think
that	DT	that
'	''	'
s	NNS	<unknown>
really	RB	really
what	WP	what
we	PP	we
need	VBP	need
more	JJR	more
of	IN	of
right	RB	right
now	RB	now
.	SENT	.
If	IN	if
you	PP	you
think	VBP	think
of	IN	of
tech	NN	tech
platforms	NNS	platform
denying	VBG	deny
workers	NNS	worker
living	VBG	live
wages	NNS	wage
,	,	,
if	IN	if
you	PP	you
think	VBP	think
about	IN	about
them	PP	them
denying	VBG	deny
them	PP	them
the	DT	the
right	NN	right
to	TO	to
organize	VB	organize
,	,	,
and	CC	and
expanding	VBG	expand
economic	JJ	economic
inequality	NN	inequality
in	IN	in
the	DT	the
process	NN	process
,	,	,
I	PP	I
think	VBP	think
platform	NN	platform
co-ops	NNS	co-op
are	VBP	be
one	CD	one
way	NN	way
to	TO	to
change	VB	change
that	DT	that
.	SENT	.
I	PP	I
know	VBP	know
,	,	,
I	PP	I
know	VBP	know
,	,	,
that	IN	that
for	IN	for
some	DT	some
of	IN	of
you	PP	you
,	,	,
when	WRB	when
you	PP	you
hear	VBP	hear
the	DT	the
word	NN	word
"	``	"
co-op	NN	co-op
,	,	,
"	''	"
you	PP	you
immediately	RB	immediately
think	VBP	think
of	IN	of
a	DT	a
white	JJ	white
guy	NN	guy
like	IN	like
me	PP	me
standing	VBG	stand
in	IN	in
a	DT	a
food	NN	food
cooperative	NN	cooperative
in	IN	in
Berkeley	NP	Berkeley
,	,	,
selling	VBG	sell
you	PP	you
vegan	NN	vegan
cheese	NN	cheese
,	,	,
right	RB	right
?	SENT	?
And	CC	and
I	PP	I
love	VBP	love
food	NN	food
cooperatives	NNS	cooperative
,	,	,
but	CC	but
they	PP	they
are	VBP	be
not	RB	not
the	DT	the
only	JJ	only
type	NN	type
of	IN	of
cooperative	NN	cooperative
.	SENT	.
Co-ops	NNS	co-op
are	VBP	be
really	RB	really
just	RB	just
a	DT	a
group	NN	group
of	IN	of
people	NNS	people
who	WP	who
have	VBP	have
a	DT	a
shared	JJ	shared
need	NN	need
,	,	,
be	VB	be
that	DT	that
vegan	NN	vegan
cheese	NN	cheese
or	CC	or
housecleaning	NN	housecleaning
,	,	,
and	CC	and
they	PP	they
come	VBP	come
together	RB	together
to	TO	to
address	VB	address
that	DT	that
need	NN	need
.	SENT	.
And	CC	and
that	WDT	that
might	MD	might
be	VB	be
a	DT	a
business	NN	business
,	,	,
and	CC	and
sometimes	RB	sometimes
,	,	,
it	PP	it
takes	VBZ	take
on	IN	on
other	JJ	other
forms	NNS	form
,	,	,
but	CC	but
it	PP	it
'	POS	'
s	NN	S
always	RB	always
about	RB	about
shared	VBN	share
ownership	NN	ownership
and	CC	and
democratic	JJ	democratic
governance	NN	governance
.	SENT	.
So	RB	so
co-ops	NNS	co-op
are	VBP	be
nothing	RB	nothing
new	JJ	new
.	SENT	.
You	PP	you
'	POS	'
ve	NN	ve
heard	VBD	hear
about	IN	about
them	PP	them
.	SENT	.
The	DT	the
consumer	NN	consumer
co-ops	NNS	co-op
as	IN	as
we	PP	we
know	VBP	know
them	PP	them
today	RB	today
exist	VBP	exist
since	IN	since
1844	CD	@card@
,	,	,
when	WRB	when
textile	NN	textile
weavers	NNS	weaver
in	IN	in
the	DT	the
north	NN	north
of	IN	of
England	NP	England
came	VBD	come
together	RB	together
because	IN	because
their	PP$	their
pay	NN	pay
was	VBD	be
cut	VBN	cut
in	IN	in
half	NN	half
and	CC	and
their	PP$	their
families	NNS	family
were	VBD	be
starving	VBG	starve
,	,	,
so	RB	so
they	PP	they
decided	VBD	decide
to	TO	to
sell	VB	sell
oatmeal	NN	oatmeal
and	CC	and
sugar	NN	sugar
and	CC	and
flour	NN	flour
through	IN	through
a	DT	a
store	NN	store
,	,	,
a	DT	a
cooperative	NN	cooperative
.	SENT	.
Today	NN	today
,	,	,
cooperatives	NNS	cooperative
of	IN	of
agriculture	NN	agriculture
,	,	,
not	RB	not
just	RB	just
food	NN	food
co-ops	NNS	co-op
,	,	,
are	VBP	be
quite	RB	quite
big	JJ	big
,	,	,
so	RB	so
you	PP	you
may	MD	may
have	VB	have
heard	VBN	hear
of	IN	of
Land	NP	Land
O	NP	O
'	POS	'
Lakes	NP	Lakes
or	CC	or
Ocean	NP	Ocean
Spray	NP	Spray
.	SENT	.
And	CC	and
so	RB	so
,	,	,
platform	NN	platform
cooperatives	NNS	cooperative
take	VBP	take
the	DT	the
best	JJS	good
from	IN	from
these	DT	these
tried-and-true	JJ	tried-and-true
models	NNS	model
,	,	,
the	DT	the
200-year-old	JJ	200-year-old
model	NN	model
of	IN	of
the	DT	the
cooperative	NN	cooperative
and	CC	and
the	DT	the
much	RB	much
younger	JJR	young
model	NN	model
of	IN	of
the	DT	the
digital	JJ	digital
platform	NN	platform
,	,	,
and	CC	and
bring	VB	bring
them	PP	them
together	RB	together
.	SENT	.
So	RB	so
here	RB	here
'	''	'
s	NN	S
what	WP	what
makes	VBZ	make
them	PP	them
different	JJ	different
.	SENT	.
They	PP	they
are	VBP	be
made	VBN	make
up	RP	up
of	IN	of
a	DT	a
group	NN	group
of	IN	of
people	NNS	people
who	WP	who
get	VBP	get
an	DT	an
equal	JJ	equal
vote	NN	vote
in	IN	in
decision-making	NN	decision-making
,	,	,
and	CC	and
they	PP	they
are	VBP	be
genuinely	RB	genuinely
sharing	VBG	share
that	DT	that
process	NN	process
,	,	,
so	RB	so
when	WRB	when
it	PP	it
comes	VBZ	come
to	TO	to
how	WRB	how
much	JJ	much
customers	NNS	customer
should	MD	should
be	VB	be
charged	VBN	charge
,	,	,
how	WRB	how
much	JJ	much
workers	NNS	worker
should	MD	should
be	VB	be
paid	VBN	pay
,	,	,
and	CC	and
also	RB	also
,	,	,
whether	IN	whether
or	CC	or
not	RB	not
data	NNS	datum
should	MD	should
be	VB	be
collected	VBN	collect
and	CC	and
to	TO	to
whom	WP	whom
they	PP	they
are	VBP	be
sold	VBN	sell
.	SENT	.
And	CC	and
there	EX	there
is	VBZ	be
another	DT	another
thing	NN	thing
that	WDT	that
makes	VBZ	make
them	PP	them
different	JJ	different
,	,	,
which	WDT	which
is	VBZ	be
that	IN	that
they	PP	they
are	VBP	be
scaling	VBG	scale
equality	NN	equality
.	SENT	.
And	CC	and
so	RB	so
,	,	,
take	VB	take
Esmeralda	NP	Esmeralda
Flores	NP	Flores
.	SENT	.
That	IN	that
'	POS	'
s	NN	S
where	WRB	where
she	PP	she
works	VBZ	work
in	IN	in
the	DT	the
cleaning	NN	cleaning
industry	NN	industry
,	,	,
which	WDT	which
has	VBZ	have
an	DT	an
annual	JJ	annual
turnover	NN	turnover
of	IN	of
75	CD	@card@
percent	NN	percent
.	SENT	.
So	RB	so
Esmeralda	NP	Esmeralda
has	VBZ	have
been	VBN	be
with	IN	with
Up	RB	up
and	CC	and
Go	VB	go
almost	RB	almost
since	IN	since
its	PP$	its
beginning	NN	beginning
,	,	,
so	RB	so
for	IN	for
three	CD	three
years	NNS	year
.	SENT	.
And	CC	and
one	CD	one
of	IN	of
the	DT	the
reasons	NNS	reason
that	IN	that
she	PP	she
stuck	VBD	stick
with	IN	with
the	DT	the
company	NN	company
is	VBZ	be
that	IN	that
she	PP	she
was	VBD	be
paid	VBN	pay
more	RBR	more
.	SENT	.
So	RB	so
that	DT	that
is	VBZ	be
significant	JJ	significant
in	IN	in
the	DT	the
context	NN	context
of	IN	of
,	,	,
typical	JJ	typical
tech	NN	tech
platforms	NNS	platform
would	MD	would
take	VB	take
between	IN	between
25	CD	@card@
and	CC	and
50	CD	@card@
percent	NN	percent
commission	NN	commission
,	,	,
which	WDT	which
is	VBZ	be
an	DT	an
exorbitant	JJ	exorbitant
amount	NN	amount
for	IN	for
immigrants	NNS	immigrant
,	,	,
who	WP	who
make	VBP	make
up	RP	up
the	DT	the
majority	NN	majority
of	IN	of
the	DT	the
gig	NN	gig
economy	NN	economy
workforce	NN	workforce
.	SENT	.
So	IN	so
the	DT	the
women	NNS	woman
at	IN	at
Up	NP	Up
and	CC	and
Go	NP	Go
decided	VBD	decide
to	TO	to
take	VB	take
five	CD	five
percent	NN	percent
commission	NN	commission
,	,	,
which	WDT	which
they	PP	they
use	VBP	use
to	TO	to
run	VB	run
the	DT	the
platform	NN	platform
and	CC	and
pay	VB	pay
for	IN	for
credit	NN	credit
card	NN	card
bills	NNS	bill
.	SENT	.
And	CC	and
95	CD	@card@
percent	NN	percent
go	VBP	go
to	TO	to
the	DT	the
women	NNS	woman
,	,	,
go	VBP	go
to	TO	to
the	DT	the
workers	NNS	worker
themselves	PP	themselves
.	SENT	.
And	CC	and
one	PP	one
reason	VBP	reason
that	IN	that
the	DT	the
company	NN	company
can	MD	can
do	VB	do
that	IN	that
,	,	,
that	WDT	that
Esmeralda	NP	Esmeralda
can	MD	can
be	VB	be
paid	VBN	pay
so	RB	so
much	RB	much
,	,	,
is	VBZ	be
that	IN	that
there	EX	there
'	''	'
s	VBG	<unknown>
no	DT	no
fiduciary	JJ	fiduciary
duty	NN	duty
to	TO	to
the	DT	the
shareholders	NNS	shareholder
to	TO	to
maximize	VB	maximize
profit	NN	profit
.	SENT	.
And	CC	and
here	RB	here
'	''	'
s	VBG	<unknown>
another	DT	another
thing	NN	thing
that	WDT	that
makes	VBZ	make
platform	NN	platform
cooperatives	NNS	cooperative
different	JJ	different
:	:	:
it	PP	it
is	VBZ	be
that	DT	that
everybody	NN	everybody
at	IN	at
this	DT	this
company	NN	company
owns	VBZ	own
it	PP	it
together	RB	together
,	,	,
so	IN	so
it	PP	it
'	POS	'
s	NN	S
a	DT	a
shared	JJ	shared
ownership	NN	ownership
,	,	,
which	WDT	which
means	VBZ	mean
that	IN	that
also	RB	also
the	DT	the
intellectual	JJ	intellectual
property	NN	property
of	IN	of
the	DT	the
software	NN	software
is	VBZ	be
owned	VBN	own
together	RB	together
.	SENT	.
That	DT	that
means	VBZ	mean
that	IN	that
they	PP	they
can	MD	can
create	VB	create
a	DT	a
small	JJ	small
network	NN	network
of	IN	of
companies	NNS	company
,	,	,
like	IN	like
a	DT	a
social	JJ	social
franchise	NN	franchise
,	,	,
and	CC	and
scale	VB	scale
up	RP	up
this	DT	this
company	NN	company
,	,	,
to	TO	to
then	RB	then
compete	VB	compete
against	IN	against
large	JJ	large
tech	NN	tech
companies	NNS	company
.	SENT	.
And	CC	and
lastly	RB	lastly
,	,	,
consider	VBP	consider
that	IN	that
Up	NP	Up
and	CC	and
Go	NP	Go
is	VBZ	be
made	VBN	make
up	RP	up
mostly	RB	mostly
of	IN	of
immigrants	NNS	immigrant
from	IN	from
Latin	NP	Latin
America	NP	America
,	,	,
and	CC	and
if	IN	if
they	PP	they
were	VBD	be
a	DT	a
typical	JJ	typical
gig-economy	NN	gig-economy
platform	NN	platform
and	CC	and
they	PP	they
were	VBD	be
out	RP	out
to	TO	to
look	VB	look
for	IN	for
venture-capital	JJ	venture-capital
funding	NN	funding
,	,	,
then	RB	then
the	DT	the
research	NN	research
shows	VBZ	show
us	PP	us
very	RB	very
clearly	RB	clearly
that	IN	that
the	DT	the
chances	NNS	chance
of	IN	of
these	DT	these
minority-women-led	JJ	<unknown>
founder	NN	founder
teams	NNS	team
to	TO	to
find	VB	find
venture-capital	JJ	venture-capital
funding	NN	funding
are	VBP	be
very	RB	very
slim	JJ	slim
,	,	,
in	IN	in
the	DT	the
single	JJ	single
percentile	NN	percentile
,	,	,
meaning	VBG	mean
that	IN	that
these	DT	these
women	NNS	woman
would	MD	would
have	VB	have
never	RB	never
been	VBN	be
even	RB	even
able	JJ	able
to	TO	to
build	VB	build
a	DT	a
platform	NN	platform
in	IN	in
the	DT	the
first	JJ	first
place	NN	place
,	,	,
or	CC	or
add	VB	add
some	DT	some
much	RB	much
needed	VBN	need
diversity	NN	diversity
to	TO	to
the	DT	the
tech	NN	tech
founders	NNS	founder
'	POS	'
club	NN	club
.	SENT	.
So	RB	so
,	,	,
today	NN	today
,	,	,
there	EX	there
are	VBP	be
hundreds	NNS	hundred
of	IN	of
platform	NN	platform
co-ops	NNS	co-op
like	IN	like
Up	NP	Up
and	CC	and
Go	NP	Go
,	,	,
all	DT	all
over	IN	over
the	DT	the
world	NN	world
,	,	,
and	CC	and
they	PP	they
work	VBP	work
.	SENT	.
And	CC	and
they	PP	they
work	VBP	work
in	IN	in
more	JJR	more
ways	NNS	way
than	IN	than
one	CD	one
.	SENT	.
They	PP	they
work	VBP	work
because	IN	because
they	PP	they
are	VBP	be
more	RBR	more
resilient	JJ	resilient
in	IN	in
times	NNS	time
of	IN	of
crisis	NN	crisis
,	,	,
they	PP	they
are	VBP	be
more	RBR	more
productive	JJ	productive
,	,	,
they	PP	they
retain	VBP	retain
workers	NNS	worker
longer	RBR	longer
,	,	,
and	CC	and
often	RB	often
,	,	,
they	PP	they
pay	VBP	pay
better	RBR	well
.	SENT	.
So	RB	so
I	PP	I
really	RB	really
believe	VBP	believe
that	IN	that
platform	NN	platform
co-ops	NNS	co-op
are	VBP	be
a	DT	a
better	JJR	good
,	,	,
fairer	JJR	fair
alternative	NN	alternative
,	,	,
and	CC	and
that	IN	that
'	POS	'
s	NN	S
why	WRB	why
a	DT	a
few	JJ	few
years	NNS	year
ago	RB	ago
,	,	,
together	RB	together
with	IN	with
a	DT	a
few	JJ	few
friends	NNS	friend
,	,	,
I	PP	I
started	VBD	start
the	DT	the
Platform	NN	platform
Cooperativism	NP	<unknown>
Consortium	NP	Consortium
--	:	--
try	VBP	try
to	TO	to
say	VB	say
that	DT	that
three	CD	three
times	NNS	time
,	,	,
fast	RB	fast
--	:	--
at	IN	at
The	DT	the
New	NP	New
School	NP	School
in	IN	in
New	NP	New
York	NP	York
City	NP	City
.	SENT	.
And	CC	and
essentially	RB	essentially
,	,	,
what	WP	what
we	PP	we
do	VBP	do
is	VBZ	be
we	PP	we
support	VBP	support
platform	NN	platform
cooperatives	NNS	cooperative
,	,	,
digital	JJ	digital
cooperative	JJ	cooperative
projects	NNS	project
,	,	,
all	RB	all
over	IN	over
the	DT	the
world	NN	world
.	SENT	.
We	PP	we
are	VBP	be
working	VBG	work
with	IN	with
500	CD	@card@
projects	NNS	project
and	CC	and
businesses	NNS	business
in	IN	in
over	IN	over
30	CD	@card@
countries	NNS	country
.	SENT	.
But	CC	but
let	VB	let
me	PP	me
just	RB	just
give	VBP	give
you	PP	you
a	DT	a
bit	NN	bit
of	IN	of
a	DT	a
taste	NN	taste
of	IN	of
this	DT	this
.	SENT	.
I	PP	I
have	VBP	have
two	CD	two
examples	NNS	example
that	WDT	that
are	VBP	be
really	RB	really
close	JJ	close
to	TO	to
my	PP$	my
heart	NN	heart
.	SENT	.
One	PP	one
is	VBZ	be
Co-op	NP	Co-op
Ride	NN	ride
,	,	,
which	WDT	which
is	VBZ	be
a	DT	a
driver-owned	JJ	driver-owned
taxi	NN	taxi
platform	NN	platform
with	IN	with
some	DT	some
3	CD	@card@
,	,	,
500	CD	@card@
drivers	NNS	driver
that	WDT	that
make	VBP	make
between	IN	between
10	CD	@card@
and	CC	and
30	CD	@card@
percent	NN	percent
more	JJR	more
than	IN	than
the	DT	the
drivers	NNS	driver
on	IN	on
these	DT	these
large	JJ	large
ride-hailing	NN	<unknown>
platforms	NNS	platform
.	SENT	.
The	DT	the
passengers	NNS	passenger
pay	VBP	pay
five	CD	five
percent	NN	percent
less	RBR	less
.	SENT	.
And	CC	and
already	RB	already
,	,	,
despite	IN	despite
this	DT	this
being	NN	being
a	DT	a
very	RB	very
new	JJ	new
company	NN	company
,	,	,
it	PP	it
'	POS	'
s	NN	S
already	RB	already
one	CD	one
of	IN	of
the	DT	the
largest	JJS	large
worker	NN	worker
cooperatives	NNS	cooperative
in	IN	in
the	DT	the
United	NP	United
States	NPS	States
.	SENT	.
Second	RB	second
,	,	,
Fairbnb	NP	<unknown>
,	,	,
which	WDT	which
is	VBZ	be
a	DT	a
community-focused	JJ	community-focused
alternative	NN	alternative
to	TO	to
short-term	JJ	short-term
rental	JJ	rental
platforms	NNS	platform
and	CC	and
will	MD	will
soon	RB	soon
be	VB	be
available	JJ	available
in	IN	in
120	CD	@card@
cities	NNS	city
and	CC	and
villages	NNS	village
with	IN	with
over	IN	over
4	CD	@card@
,	,	,
500	CD	@card@
hosts	NNS	host
.	SENT	.
Half	NN	half
of	IN	of
Fairbnb	NP	<unknown>
'	POS	'
s	NN	S
commission	NN	commission
goes	VBZ	go
to	TO	to
community	NN	community
projects	NNS	project
.	SENT	.
One	CD	one
of	IN	of
those	DT	those
is	VBZ	be
a	DT	a
food-distribution	NN	food-distribution
center	NN	center
in	IN	in
Genoa	NP	Genoa
,	,	,
Italy	NP	Italy
.	SENT	.
Now	RB	now
,	,	,
I	PP	I
know	VBP	know
,	,	,
I	PP	I
know	VBP	know
,	,	,
you	PP	you
might	MD	might
be	VB	be
wondering	VBG	wonder
,	,	,
when	WRB	when
you	PP	you
hear	VBP	hear
about	IN	about
Up	NP	Up
and	CC	and
Go	NP	Go
,	,	,
Fairbnb	NP	<unknown>
and	CC	and
Co-op	NP	Co-op
Ride	NN	ride
,	,	,
you	PP	you
might	MD	might
be	VB	be
wondering	VBG	wonder
,	,	,
"	``	"
How	WRB	how
is	VBZ	be
this	DT	this
not	RB	not
a	DT	a
total	JJ	total
mess	NN	mess
?	SENT	?
"	''	"
So	IN	so
the	DT	the
entrepreneurs	NNS	entrepreneur
among	IN	among
you	PP	you
must	MD	must
be	VB	be
thinking	VBG	think
,	,	,
"	''	"
God	NP	God
,	,	,
democratic	JJ	democratic
workplace	NN	workplace
?	SENT	?
"	''	"
And	CC	and
the	DT	the
answer	NN	answer
is	VBZ	be
,	,	,
"	``	"
Well	UH	well
,	,	,
they	PP	they
do	VBP	do
what	WP	what
everybody	NN	everybody
else	RB	else
is	VBZ	be
doing	VBG	do
,	,	,
"	''	"
which	WDT	which
is	VBZ	be
they	PP	they
are	VBP	be
hiring	VBG	hire
management	NN	management
.	SENT	.
And	CC	and
they	PP	they
are	VBP	be
hiring	VBG	hire
tech	NN	tech
workers	NNS	worker
.	SENT	.
But	CC	but
there	EX	there
'	''	'
s	VBG	<unknown>
one	CD	one
big	JJ	big
difference	NN	difference
,	,	,
right	RB	right
?	SENT	?
And	CC	and
that	WDT	that
is	VBZ	be
that	IN	that
the	DT	the
rules	NNS	rule
of	IN	of
operation	NN	operation
are	VBP	be
decided	VBN	decide
by	IN	by
all	DT	all
.	SENT	.
So	IN	so
the	DT	the
management	NN	management
executes	VBZ	execute
the	DT	the
rules	NNS	rule
that	WDT	that
were	VBD	be
actually	RB	actually
decided	VBN	decide
by	IN	by
all	PDT	all
the	DT	the
people	NNS	people
in	IN	in
this	DT	this
company	NN	company
.	SENT	.
I	NP	I
'	POS	'
ve	NN	ve
told	VBD	tell
you	PP	you
about	IN	about
platform	NN	platform
co-ops	NNS	co-op
mostly	RB	mostly
in	IN	in
the	DT	the
labor	NN	labor
sector	NN	sector
,	,	,
and	CC	and
also	RB	also
transportation	NN	transportation
,	,	,
mobility	NN	mobility
and	CC	and
short-term	JJ	short-term
rental	NN	rental
,	,	,
but	CC	but
they	PP	they
can	MD	can
also	RB	also
transform	VB	transform
entire	JJ	entire
sectors	NNS	sector
,	,	,
such	JJ	such
as	IN	as
the	DT	the
care	NN	care
sector	NN	sector
,	,	,
culture	NN	culture
and	CC	and
the	DT	the
arts	NNS	art
,	,	,
higher	JJR	high
education	NN	education
and	CC	and
the	DT	the
data	NNS	datum
economy	NN	economy
.	SENT	.
I	PP	I
mean	VBP	mean
,	,	,
just	RB	just
imagine	VB	imagine
,	,	,
if	IN	if
our	PP$	our
data	NNS	datum
would	MD	would
be	VB	be
managed	VBN	manage
cooperatively	RB	cooperatively
,	,	,
cooperative	JJ	cooperative
data	NN	data
trusts	NNS	trust
,	,	,
data	NNS	datum
cooperatives	NNS	cooperative
.	SENT	.
Or	CC	or
imagine	VB	imagine
a	DT	a
social-media	NN	social-media
cooperative	NN	cooperative
,	,	,
where	WRB	where
the	DT	the
users	NNS	user
own	VBP	own
the	DT	the
platform	NN	platform
and	CC	and
decide	VB	decide
what	WP	what
is	VBZ	be
done	VBN	do
with	IN	with
the	DT	the
data	NNS	datum
,	,	,
which	WDT	which
data	NNS	datum
are	VBP	be
collected	VBN	collect
and	CC	and
to	TO	to
whom	WP	whom
they	PP	they
are	VBP	be
sold	VBN	sell
,	,	,
So	RB	so
one	CD	one
where	WRB	where
there	EX	there
is	VBZ	be
no	DT	no
fiduciary	JJ	fiduciary
duty	NN	duty
to	TO	to
shareholders	NNS	shareholder
,	,	,
to	TO	to
maximize	VB	maximize
profits	NNS	profit
,	,	,
so	RB	so
that	IN	that
you	PP	you
can	MD	can
actually	RB	actually
build	VB	build
in	IN	in
privacy	NN	privacy
and	CC	and
transparency	NN	transparency
and	CC	and
really	RB	really
bring	VB	bring
the	DT	the
benefits	NNS	benefit
back	RB	back
to	TO	to
those	DT	those
who	WP	who
actually	RB	actually
generated	VBD	generate
the	DT	the
data	NNS	datum
.	SENT	.
So	RB	so
I	PP	I
know	VBP	know
we	PP	we
are	VBP	be
here	RB	here
,	,	,
near	IN	near
Silicon	NP	Silicon
Valley	NP	Valley
,	,	,
so	RB	so
I	PP	I
can	MD	can
see	VB	see
that	IN	that
,	,	,
I	PP	I
'	POS	'
m	NN	m
sure	RB	sure
,	,	,
for	IN	for
many	JJ	many
of	IN	of
you	PP	you
,	,	,
you	PP	you
will	MD	will
think	VB	think
,	,	,
"	''	"
Wow	NN	wow
,	,	,
I	PP	I
'	POS	'
m	NN	m
not	RB	not
so	RB	so
sure	JJ	sure
about	IN	about
this	DT	this
.	SENT	.
I	PP	I
mean	VBP	mean
,	,	,
this	DT	this
would	MD	would
just	RB	just
never	RB	never
scale	VB	scale
,	,	,
right	RB	right
?	SENT	?
"	''	"
I	NP	I
'	POS	'
ve	NN	ve
heard	VBD	hear
this	DT	this
many	JJ	many
times	NNS	time
.	SENT	.
And	CC	and
it	PP	it
doesn	NP	<unknown>
'	POS	'
t	NN	t
,	,	,
right	RB	right
?	SENT	?
It	PP	it
doesn	NP	<unknown>
'	POS	'
t	NN	t
scale	NN	scale
like	IN	like
traditional	JJ	traditional
Silicon	NP	Silicon
Valley	NP	Valley
companies	NNS	company
.	SENT	.
Well	RB	well
,	,	,
it	PP	it
kind	RB	kind
of	IN	of
does	VBZ	do
.	SENT	.
Up	IN	up
and	CC	and
Go	NP	Go
'	POS	'
s	NN	S
sales	NNS	sale
increased	VBN	increase
by	IN	by
97	CD	@card@
percent	NN	percent
,	,	,
from	IN	from
2018	CD	@card@
to	TO	to
2019	CD	@card@
,	,	,
but	CC	but
that	IN	that
'	POS	'
s	NN	S
really	RB	really
not	RB	not
the	DT	the
objective	NN	objective
.	SENT	.
The	DT	the
platform	NN	platform
cooperatives	NNS	cooperative
are	VBP	be
not	RB	not
about	RB	about
going	VBG	go
public	JJ	public
,	,	,
they	PP	they
are	VBP	be
not	RB	not
about	RB	about
maximizing	VBG	maximize
profits	NNS	profit
.	SENT	.
They	PP	they
scale	VBP	scale
differently	RB	differently
,	,	,
they	PP	they
scale	VBP	scale
more	RBR	more
affordably	RB	<unknown>
than	IN	than
brick-and-mortar	NP	brick-and-mortar
cooperatives	NNS	cooperative
.	SENT	.
They	PP	they
scale	VBP	scale
by	IN	by
creating	VBG	create
networks	NNS	network
of	IN	of
