So	IN	so
.	SENT	.
.	SENT	.
utterly	RB	utterly
clear	JJ	clear
.	SENT	.
If	IN	if
we	PP	we
'	POS	'
re	NN	re
going	VBG	go
to	TO	to
have	VB	have
a	DT	a
fighting	VBG	fight
chance	NN	chance
of	IN	of
staying	VBG	stay
below	IN	below
1	CD	@card@
.	SENT	.
5	CD	@card@
degrees	NNS	degree
,	,	,
that	DT	that
"	``	"
safe	JJ	safe
limit	NN	limit
,	,	,
"	``	"
we	PP	we
have	VBP	have
to	TO	to
have	VB	have
carbon	NN	carbon
removals	NNS	removal
,	,	,
and	CC	and
it	PP	it
looks	VBZ	look
like	IN	like
we	PP	we
'	POS	'
re	NN	re
going	VBG	go
to	TO	to
need	VB	need
a	DT	a
lot	NN	lot
.	SENT	.
Scenarios	NNS	scenario
from	IN	from
the	DT	the
Energy	NP	Energy
Transitions	NNS	transition
Commission	NP	Commission
,	,	,
from	IN	from
the	DT	the
International	NP	International
Energy	NP	Energy
Agency	NP	Agency
,	,	,
from	IN	from
the	DT	the
Intergovernmental	NP	Intergovernmental
Panel	NP	Panel
on	IN	on
Climate	NN	climate
Change	NP	Change
,	,	,
have	VBP	have
all	RB	all
shown	VBN	show
that	IN	that
we	PP	we
'	POS	'
re	NN	re
going	VBG	go
to	TO	to
need	VB	need
billions	NNS	billion
of	IN	of
tonnes	NNS	tonne
of	IN	of
carbon	NN	carbon
removals	NNS	removal
between	IN	between
now	RB	now
and	CC	and
2050	CD	@card@
to	TO	to
give	VB	give
us	PP	us
a	DT	a
chance	NN	chance
of	IN	of
staying	VBG	stay
below	IN	below
1	CD	@card@
.	SENT	.
5	CD	@card@
degrees	NNS	degree
.	SENT	.
We	PP	we
'	POS	'
re	NN	re
going	VBG	go
to	TO	to
need	VB	need
both	DT	both
reductions	NNS	reduction
and	CC	and
removals	NNS	removal
.	SENT	.
But	CC	but
there	EX	there
'	''	'
s	VBG	<unknown>
another	DT	another
more	JJR	more
heartening	VBG	hearten
reason	NN	reason
why	WRB	why
we	PP	we
need	VBP	need
carbon	NN	carbon
removals	NNS	removal
.	SENT	.
They	PP	they
also	RB	also
give	VBP	give
us	PP	us
a	DT	a
chance	NN	chance
--	:	--
our	PP$	our
only	JJ	only
chance	NN	chance
--	:	--
not	RB	not
just	RB	just
to	TO	to
stop	VB	stop
the	DT	the
problem	NN	problem
getting	VBG	get
worse	JJR	bad
,	,	,
but	CC	but
to	TO	to
make	VB	make
it	PP	it
better	JJR	good
.	SENT	.
Because	IN	because
even	RB	even
1	CD	@card@
.	SENT	.
5	CD	@card@
degrees	NNS	degree
isn	NN	isn
'	POS	'
t	NN	t
actually	RB	actually
safe	JJ	safe
.	SENT	.
We	PP	we
'	POS	'
re	NN	re
not	RB	not
there	RB	there
yet	RB	yet
,	,	,
and	CC	and
we	PP	we
'	POS	'
re	NN	re
already	RB	already
experiencing	VBG	experience
the	DT	the
fires	NNS	fire
and	CC	and
the	DT	the
floods	NNS	flood
and	CC	and
the	DT	the
droughts	NNS	drought
and	CC	and
the	DT	the
storms	NNS	storm
.	SENT	.
With	IN	with
carbon	NN	carbon
removals	NNS	removal
,	,	,
we	PP	we
can	MD	can
take	VB	take
our	PP$	our
historical	JJ	historical
emissions	NNS	emission
out	IN	out
of	IN	of
the	DT	the
atmosphere	NN	atmosphere
.	SENT	.
We	PP	we
can	MD	can
clean	VB	clean
up	RP	up
the	DT	the
mess	NN	mess
we	PP	we
'	POS	'
ve	NN	ve
made	VBD	make
,	,	,
and	CC	and
we	PP	we
can	MD	can
give	VB	give
our	PP$	our
world	NN	world
a	DT	a
chance	NN	chance
to	TO	to
heal	VB	heal
.	SENT	.
So	RB	so
what	WP	what
do	VBP	do
the	DT	the
removals	NNS	removal
look	VBP	look
like	IN	like
?	SENT	?
I	NP	I
'	POS	'
ve	RB	<unknown>
been	VBN	be
talking	VBG	talk
to	TO	to
a	DT	a
lot	NN	lot
of	IN	of
people	NNS	people
about	IN	about
carbon	NN	carbon
removals	NNS	removal
,	,	,
from	IN	from
business	NN	business
executives	NNS	executive
to	TO	to
climate	NN	climate
activists	NNS	activist
,	,	,
and	CC	and
they	PP	they
tend	VBP	tend
to	TO	to
go	VB	go
one	CD	one
of	IN	of
two	CD	two
ways	NNS	way
.	SENT	.
They	PP	they
either	RB	either
think	VBP	think
of	IN	of
trees	NNS	tree
or	CC	or
they	PP	they
think	VBP	think
of	IN	of
big	JJ	big
,	,	,
futuristic	JJ	futuristic
machines	NNS	machine
.	SENT	.
Nature	NN	nature
versus	CC	versus
tech	NN	tech
;	:	;
green	JJ	green
versus	IN	versus
chrome	NN	chrome
.	SENT	.
But	CC	but
the	DT	the
more	JJR	more
I	NP	I
'	POS	'
ve	NN	ve
dug	VBD	dig
into	IN	into
carbon	NN	carbon
removals	NNS	removal
,	,	,
the	DT	the
more	JJR	more
I	NP	I
'	POS	'
ve	NN	ve
realized	VBD	realize
this	DT	this
is	VBZ	be
not	RB	not
the	DT	the
right	JJ	right
way	NN	way
to	TO	to
think	VB	think
about	IN	about
them	PP	them
.	SENT	.
Because	IN	because
the	DT	the
world	NN	world
is	VBZ	be
full	JJ	full
of	IN	of
ways	NNS	way
to	TO	to
store	VB	store
carbon	NN	carbon
.	SENT	.
You	PP	you
can	MD	can
store	VB	store
it	PP	it
in	IN	in
trees	NNS	tree
,	,	,
you	PP	you
can	MD	can
store	VB	store
it	PP	it
in	IN	in
soils	NNS	soil
,	,	,
you	PP	you
can	MD	can
store	VB	store
it	PP	it
in	IN	in
the	DT	the
ocean	NN	ocean
,	,	,
you	PP	you
can	MD	can
store	VB	store
it	PP	it
in	IN	in
buildings	NNS	building
,	,	,
you	PP	you
can	MD	can
store	VB	store
it	PP	it
in	IN	in
rocks	NNS	rock
,	,	,
you	PP	you
can	MD	can
store	VB	store
it	PP	it
deep	RB	deep
underground	JJ	underground
.	SENT	.
And	CC	and
every	DT	every
one	CD	one
of	IN	of
those	DT	those
approaches	NNS	approach
requires	VBZ	require
some	DT	some
combination	NN	combination
of	IN	of
natural	JJ	natural
resources	NNS	resource
and	CC	and
human	JJ	human
ingenuity	NN	ingenuity
and	CC	and
technology	NN	technology
.	SENT	.
We	PP	we
'	POS	'
re	NN	re
going	VBG	go
to	TO	to
need	VB	need
both	DT	both
nature	NN	nature
and	CC	and
technology	NN	technology
.	SENT	.
I	NP	I
'	POS	'
ll	NNS	<unknown>
show	VB	show
you	PP	you
what	WP	what
I	PP	I
mean	VBP	mean
.	SENT	.
So	RB	so
we	PP	we
start	VBP	start
on	IN	on
the	DT	the
natural	JJ	natural
end	NN	end
of	IN	of
the	DT	the
spectrum	NN	spectrum
with	IN	with
trees	NNS	tree
.	SENT	.
Now	RB	now
,	,	,
I	PP	I
still	RB	still
find	VBP	find
it	PP	it
astonishing	JJ	astonishing
that	IN	that
every	DT	every
single	JJ	single
tree	NN	tree
and	CC	and
plant	NN	plant
on	IN	on
Earth	NP	Earth
has	VBZ	have
made	VBN	make
its	PP$	its
entire	JJ	entire
body	NN	body
directly	RB	directly
from	IN	from
carbon	NN	carbon
in	IN	in
the	DT	the
air	NN	air
.	SENT	.
They	PP	they
'	''	'
re	IN	re
incredible	JJ	incredible
carbon	NN	carbon
capture	NN	capture
machines	NNS	machine
,	,	,
and	CC	and
we	PP	we
'	POS	'
re	NN	re
going	VBG	go
to	TO	to
need	VB	need
a	DT	a
lot	NN	lot
more	RBR	more
of	IN	of
them	PP	them
.	SENT	.
But	CC	but
we	PP	we
also	RB	also
have	VB	have
to	TO	to
do	VB	do
it	PP	it
right	RB	right
,	,	,
because	IN	because
if	IN	if
you	PP	you
put	VBD	put
trees	NNS	tree
in	IN	in
the	DT	the
wrong	JJ	wrong
place	NN	place
.	SENT	.
.	SENT	.
.	SENT	.
they	PP	they
burn	VBP	burn
.	SENT	.
We	PP	we
have	VBP	have
to	TO	to
put	VB	put
trees	NNS	tree
in	IN	in
places	NNS	place
where	WRB	where
they	PP	they
foster	VBP	foster
biodiversity	NN	biodiversity
,	,	,
where	WRB	where
they	PP	they
don	VBP	don
'	''	'
t	NN	t
compete	VB	compete
with	IN	with
food	NN	food
for	IN	for
land	NN	land
and	CC	and
where	WRB	where
science	NN	science
and	CC	and
technology	NN	technology
tell	VBP	tell
us	PP	us
they	PP	they
are	VBP	be
likely	JJ	likely
to	TO	to
survive	VB	survive
even	RB	even
in	IN	in
the	DT	the
face	NN	face
of	IN	of
climate	NN	climate
change	NN	change
.	SENT	.
Now	RB	now
,	,	,
if	IN	if
you	PP	you
don	NN	don
'	POS	'
t	NN	t
want	VBP	want
that	IN	that
CO2	NP	<unknown>
from	IN	from
the	DT	the
burning	VBG	burn
trees	NNS	tree
to	TO	to
get	VB	get
into	IN	into
the	DT	the
sky	NN	sky
,	,	,
you	PP	you
can	MD	can
actually	RB	actually
burn	VB	burn
the	DT	the
wood	NN	wood
deliberately	RB	deliberately
in	IN	in
a	DT	a
power	NN	power
station	NN	station
,	,	,
capture	VB	capture
the	DT	the
CO2	NP	<unknown>
and	CC	and
bury	VB	bury
it	PP	it
in	IN	in
a	DT	a
process	NN	process
known	VBN	know
as	IN	as
BECCS	NP	<unknown>
,	,	,
which	WDT	which
also	RB	also
gives	VBZ	give
you	PP	you
energy	NN	energy
as	IN	as
a	DT	a
sideline	NN	sideline
.	SENT	.
But	CC	but
if	IN	if
you	PP	you
want	VBP	want
to	TO	to
keep	VB	keep
the	DT	the
carbon	NN	carbon
locked	VBN	lock
up	RP	up
in	IN	in
the	DT	the
wood	NN	wood
,	,	,
there	EX	there
are	VBP	be
technological	JJ	technological
ways	NNS	way
to	TO	to
do	VB	do
that	IN	that
as	RB	as
well	RB	well
,	,	,
like	IN	like
this	DT	this
one	CD	one
.	SENT	.
Look	NN	look
at	IN	at
this	DT	this
.	SENT	.
A	DT	a
whole	JJ	whole
new	JJ	new
movement	NN	movement
to	TO	to
use	VB	use
wood	NN	wood
as	IN	as
a	DT	a
building	NN	building
material	NN	material
in	IN	in
modern	JJ	modern
,	,	,
high-rise	JJ	high-rise
buildings	NNS	building
.	SENT	.
That	IN	that
'	POS	'
s	NN	S
a	DT	a
good	JJ	good
idea	NN	idea
for	IN	for
at	IN	at
least	JJS	least
three	CD	three
reasons	NNS	reason
.	SENT	.
First	JJ	first
of	IN	of
all	DT	all
,	,	,
it	PP	it
keeps	VBZ	keep
the	DT	the
carbon	NN	carbon
locked	VBN	lock
up	RP	up
in	IN	in
the	DT	the
wood	NN	wood
.	SENT	.
Secondly	RB	secondly
,	,	,
it	PP	it
displaces	VBZ	displace
high-emitting	NN	<unknown>
materials	NNS	material
like	IN	like
concrete	NN	concrete
.	SENT	.
And	CC	and
thirdly	RB	thirdly
,	,	,
the	DT	the
buildings	NNS	building
are	VBP	be
gorgeous	JJ	gorgeous
.	SENT	.
Now	RB	now
you	PP	you
can	MD	can
also	RB	also
use	VB	use
technology	NN	technology
to	TO	to
help	VB	help
carbon	NN	carbon
stay	NN	stay
locked	VBN	lock
up	RP	up
in	IN	in
soil	NN	soil
.	SENT	.
Storing	VBG	store
carbon	NN	carbon
in	IN	in
soil	NN	soil
sounds	NNS	sound
like	IN	like
a	DT	a
good	JJ	good
idea	NN	idea
,	,	,
and	CC	and
it	PP	it
is	VBZ	be
a	DT	a
good	JJ	good
idea	NN	idea
.	SENT	.
The	DT	the
question	NN	question
is	VBZ	be
how	WRB	how
long	RB	long
does	VBZ	do
the	DT	the
carbon	NN	carbon
stay	VB	stay
there	RB	there
?	SENT	?
Because	IN	because
if	IN	if
you	PP	you
change	VBP	change
your	PP$	your
agricultural	JJ	agricultural
practices	NNS	practice
for	IN	for
one	CD	one
year	NN	year
,	,	,
two	CD	two
years	NNS	year
,	,	,
that	WDT	that
'	POS	'
s	NN	S
fine	NN	fine
.	SENT	.
But	CC	but
if	IN	if
you	PP	you
ever	RB	ever
go	VBP	go
back	RB	back
to	TO	to
the	DT	the
old	JJ	old
ways	NNS	way
,	,	,
the	DT	the
carbon	NN	carbon
goes	VBZ	go
back	RB	back
up	RB	up
into	IN	into
the	DT	the
sky	NN	sky
.	SENT	.
That	IN	that
'	POS	'
s	NN	S
why	WRB	why
this	DT	this
stuff	NN	stuff
can	MD	can
help	VB	help
.	SENT	.
It	PP	it
'	POS	'
s	NN	S
called	VBD	call
biochar	NN	<unknown>
,	,	,
and	CC	and
you	PP	you
make	VBP	make
it	PP	it
by	IN	by
taking	VBG	take
wood	NN	wood
and	CC	and
burning	VBG	burn
it	PP	it
in	IN	in
the	DT	the
absence	NN	absence
of	IN	of
oxygen	NN	oxygen
until	IN	until
you	PP	you
get	VBP	get
this	DT	this
.	SENT	.
It	PP	it
locks	VBZ	lock
the	DT	the
carbon	NN	carbon
up	RP	up
in	IN	in
the	DT	the
wood	NN	wood
,	,	,
and	CC	and
now	RB	now
it	PP	it
can	MD	can
'	''	'
t	NN	t
burn	VBP	burn
away	RB	away
.	SENT	.
Now	RB	now
,	,	,
it	PP	it
turns	VBZ	turn
out	RP	out
that	IN	that
biochar	NP	<unknown>
is	VBZ	be
very	RB	very
good	JJ	good
for	IN	for
soils	NNS	soil
.	SENT	.
In	IN	in
fact	NN	fact
,	,	,
Indigenous	JJ	indigenous
people	NNS	people
in	IN	in
the	DT	the
Amazon	NP	Amazon
have	VBP	have
been	VBN	be
using	VBG	use
it	PP	it
for	IN	for
generations	NNS	generation
to	TO	to
improve	VB	improve
the	DT	the
quality	NN	quality
of	IN	of
their	PP$	their
soil	NN	soil
.	SENT	.
We	PP	we
can	MD	can
do	VB	do
that	IN	that
on	IN	on
a	DT	a
much	RB	much
bigger	JJR	big
scale	NN	scale
,	,	,
improve	VB	improve
the	DT	the
soil	NN	soil
and	CC	and
lock	VB	lock
up	RP	up
carbon	NN	carbon
.	SENT	.
That	IN	that
'	POS	'
s	NN	S
nature	NN	nature
and	CC	and
technology	NN	technology
and	CC	and
Indigenous	JJ	indigenous
wisdom	NN	wisdom
,	,	,
all	RB	all
in	IN	in
one	CD	one
sweet	JJ	sweet
package	NN	package
.	SENT	.
Now	RB	now
you	PP	you
can	MD	can
use	VB	use
technology	NN	technology
as	IN	as
well	RB	well
.	SENT	.
.	SENT	.
.	SENT	.
to	TO	to
speed	VB	speed
up	RP	up
natural	JJ	natural
processes	NNS	process
.	SENT	.
So	RB	so
this	DT	this
is	VBZ	be
basalt	NN	basalt
.	SENT	.
It	PP	it
'	POS	'
s	NN	S
a	DT	a
volcanic	JJ	volcanic
rock	NN	rock
.	SENT	.
You	PP	you
can	MD	can
find	VB	find
it	PP	it
more	JJR	more
or	CC	or
less	RBR	less
everywhere	RB	everywhere
on	IN	on
Earth	NP	Earth
,	,	,
and	CC	and
it	PP	it
naturally	RB	naturally
takes	VBZ	take
up	RB	up
CO2	JJ	<unknown>
in	IN	in
a	DT	a
process	NN	process
called	VBD	call
chemical	JJ	chemical
weathering	NN	weathering
.	SENT	.
Unfortunately	RB	unfortunately
,	,	,
it	PP	it
takes	VBZ	take
thousands	NNS	thousand
of	IN	of
years	NNS	year
to	TO	to
do	VB	do
it	PP	it
.	SENT	.
But	CC	but
you	PP	you
can	MD	can
speed	VB	speed
up	RP	up
the	DT	the
process	NN	process
if	IN	if
you	PP	you
grind	VBP	grind
up	RP	up
the	DT	the
rock	NN	rock
and	CC	and
spread	VB	spread
it	PP	it
on	IN	on
fields	NNS	field
,	,	,
and	CC	and
then	RB	then
you	PP	you
can	MD	can
speed	VB	speed
it	PP	it
up	RP	up
to	TO	to
just	RB	just
a	DT	a
couple	NN	couple
of	IN	of
years	NNS	year
.	SENT	.
And	CC	and
like	IN	like
biochar	NN	<unknown>
,	,	,
it	PP	it
'	POS	'
s	NNS	<unknown>
good	JJ	good
for	IN	for
the	DT	the
soil	NN	soil
.	SENT	.
You	PP	you
get	VBP	get
minerals	NNS	mineral
in	IN	in
the	DT	the
soil	NN	soil
where	WRB	where
you	PP	you
need	VBP	need
them	PP	them
.	SENT	.
And	CC	and
when	WRB	when
it	PP	it
washes	VBZ	wash
off	RP	off
into	IN	into
the	DT	the
sea	NN	sea
,	,	,
it	PP	it
can	MD	can
also	RB	also
help	VB	help
with	IN	with
another	DT	another
big	JJ	big
bugbear	NN	bugbear
of	IN	of
climate	NN	climate
change	NN	change
:	:	:
ocean	NN	ocean
acidification	NN	acidification
.	SENT	.
And	CC	and
if	IN	if
we	PP	we
did	VBD	do
this	DT	this
on	IN	on
two-thirds	NNS	two-third
of	IN	of
the	DT	the
world	NN	world
'	POS	'
s	NN	S
croplands	NNS	cropland
,	,	,
we	PP	we
could	MD	could
potentially	RB	potentially
take	VB	take
up	RP	up
to	TO	to
four	CD	four
billion	NN	billion
tonnes	NNS	tonne
of	IN	of
carbon	NN	carbon
from	IN	from
the	DT	the
atmosphere	NN	atmosphere
every	DT	every
year	NN	year
,	,	,
which	WDT	which
is	VBZ	be
a	DT	a
very	RB	very
big	JJ	big
chunk	NN	chunk
of	IN	of
what	WP	what
we	PP	we
need	VBP	need
.	SENT	.
Now	RB	now
,	,	,
these	DT	these
approaches	NNS	approach
so	RB	so
far	RB	far
,	,	,
like	IN	like
planting	VBG	plant
trees	NNS	tree
,	,	,
take	VB	take
a	DT	a
lot	NN	lot
of	IN	of
land	NN	land
to	TO	to
be	VB	be
able	JJ	able
to	TO	to
get	VB	get
them	PP	them
to	TO	to
scale	VB	scale
.	SENT	.
But	CC	but
there	EX	there
is	VBZ	be
one	CD	one
approach	NN	approach
where	WRB	where
you	PP	you
can	MD	can
actually	RB	actually
do	VB	do
it	PP	it
in	IN	in
a	DT	a
very	RB	very
small	JJ	small
amount	NN	amount
of	IN	of
land	NN	land
,	,	,
but	CC	but
still	RB	still
get	VB	get
to	TO	to
scale	VB	scale
.	SENT	.
It	PP	it
'	POS	'
s	NN	S
called	VBD	call
direct	JJ	direct
air	NN	air
capture	NN	capture
,	,	,
and	CC	and
it	PP	it
basically	RB	basically
involves	VBZ	involve
massive	JJ	massive
electric	JJ	electric
fans	NNS	fan
blowing	VBG	blow
a	DT	a
lot	NN	lot
of	IN	of
air	NN	air
over	IN	over
a	DT	a
carbon	NN	carbon
capture	NN	capture
device	NN	device
.	SENT	.
Now	RB	now
,	,	,
OK	UH	OK
,	,	,
this	DT	this
does	VBZ	do
look	NN	look
like	IN	like
a	DT	a
big	JJ	big
,	,	,
futuristic	JJ	futuristic
machine	NN	machine
.	SENT	.
I	PP	I
admit	VBP	admit
that	RB	that
.	SENT	.
But	CC	but
it	PP	it
'	POS	'
s	NN	S
still	RB	still
marrying	VBG	marry
technology	NN	technology
with	IN	with
a	DT	a
natural	JJ	natural
process	NN	process
--	:	--
geology	NN	geology
--	:	--
because	IN	because
when	WRB	when
you	PP	you
'	POS	'
ve	NN	ve
captured	VBD	capture
the	DT	the
CO2	NN	<unknown>
,	,	,
you	PP	you
bury	VBP	bury
it	PP	it
deep	JJ	deep
underground	NN	underground
.	SENT	.
This	DT	this
is	VBZ	be
an	DT	an
artist	NN	artist
'	POS	'
s	JJ	<unknown>
impression	NN	impression
of	IN	of
a	DT	a
plant	NN	plant
that	RB	that
'	POS	'
s	NNS	<unknown>
being	VBG	be
designed	VBN	design
by	IN	by
Carbon	NP	Carbon
Engineering	NP	Engineering
in	IN	in
Texas	NP	Texas
.	SENT	.
And	CC	and
its	PP$	its
aim	NN	aim
is	VBZ	be
that	IN	that
it	PP	it
will	MD	will
take	VB	take
up	RP	up
one	CD	one
million	CD	million
tonnes	NNS	tonne
of	IN	of
CO2	NP	<unknown>
from	IN	from
the	DT	the
atmosphere	NN	atmosphere
every	DT	every
year	NN	year
.	SENT	.
And	CC	and
I	PP	I
love	VBP	love
this	DT	this
bit	NN	bit
--	:	--
where	WRB	where
does	VBZ	do
it	PP	it
go	VB	go
?	SENT	?
They	PP	they
put	VBD	put
it	PP	it
deep	RB	deep
underground	RB	underground
in	IN	in
the	DT	the
same	JJ	same
geological	JJ	geological
formations	NNS	formation
that	IN	that
the	DT	the
Texas	NP	Texas
oil	NN	oil
was	VBD	be
originally	RB	originally
squeezed	VBN	squeeze
out	RP	out
of	IN	of
.	SENT	.
I	PP	I
love	VBP	love
the	DT	the
poetry	NN	poetry
of	IN	of
this	DT	this
.	SENT	.
It	PP	it
'	POS	'
s	NN	S
like	IN	like
reversing	VBG	reverse
the	DT	the
valve	NN	valve
and	CC	and
putting	VBG	put
the	DT	the
CO2	JJ	<unknown>
back	NN	back
where	WRB	where
it	PP	it
came	VBD	come
from	IN	from
.	SENT	.
And	CC	and
recent	JJ	recent
studies	NNS	study
have	VBP	have
shown	VBN	show
that	IN	that
if	IN	if
you	PP	you
do	VBP	do
that	IN	that
,	,	,
98	CD	@card@
percent	NN	percent
of	IN	of
it	PP	it
will	MD	will
still	RB	still
be	VB	be
there	RB	there
in	IN	in
10	CD	@card@
,	,	,
000	CD	@card@
years	NNS	year
.	SENT	.
When	WRB	when
you	PP	you
put	VBP	put
it	PP	it
down	RP	down
,	,	,
it	PP	it
stays	VBZ	stay
down	RP	down
.	SENT	.
This	DT	this
is	VBZ	be
still	RB	still
a	DT	a
little	JJ	little
bit	NN	bit
futuristic	JJ	futuristic
.	SENT	.
It	PP	it
'	POS	'
s	NN	S
still	RB	still
in	IN	in
the	DT	the
planning	NN	planning
and	CC	and
design	NN	design
stages	NNS	stage
,	,	,
but	CC	but
this	DT	this
carbon	NN	carbon
capture	NN	capture
plant	NN	plant
started	VBD	start
operating	VBG	operate
this	DT	this
year	NN	year
.	SENT	.
A	DT	a
smaller	JJR	small
scale	NN	scale
,	,	,
but	CC	but
it	PP	it
'	POS	'
s	NN	S
already	RB	already
doing	VBG	do
it	PP	it
.	SENT	.
This	DT	this
is	VBZ	be
Climeworks	NP	Climeworks
and	CC	and
Carbfix	NP	<unknown>
in	IN	in
Iceland	NP	Iceland
.	SENT	.
They	PP	they
'	''	'
re	IN	re
using	VBG	use
geothermal	JJ	geothermal
heat	NN	heat
to	TO	to
power	VB	power
it	PP	it
,	,	,
and	CC	and
they	PP	they
'	POS	'
re	NN	re
putting	VBG	put
the	DT	the
CO2	NN	<unknown>
into	IN	into
the	DT	the
Icelandic	JJ	Icelandic
basaltic	JJ	<unknown>
rock	NN	rock
.	SENT	.
So	RB	so
one	CD	one
issue	NN	issue
,	,	,
though	RB	though
,	,	,
with	IN	with
direct	JJ	direct
air	NN	air
capture	NN	capture
,	,	,
is	VBZ	be
it	PP	it
takes	VBZ	take
a	DT	a
lot	NN	lot
of	IN	of
energy	NN	energy
to	TO	to
power	VB	power
those	DT	those
fans	NNS	fan
.	SENT	.
And	CC	and
that	DT	that
energy	NN	energy
obviously	RB	obviously
has	VBZ	have
to	TO	to
be	VB	be
green	JJ	green
.	SENT	.
It	PP	it
has	VBZ	have
to	TO	to
be	VB	be
clean	JJ	clean
;	:	;
you	PP	you
can	MD	can
'	''	'
t	NN	t
use	VBP	use
fossil	JJ	fossil
fuels	NNS	fuel
for	IN	for
it	PP	it
.	SENT	.
But	CC	but
it	PP	it
also	RB	also
makes	VBZ	make
it	PP	it
much	RB	much
more	RBR	more
expensive	JJ	expensive
than	IN	than
other	JJ	other
techniques	NNS	technique
.	SENT	.
And	CC	and
it	PP	it
takes	VBZ	take
energy	NN	energy
to	TO	to
cook	VB	cook
wood	NN	wood
and	CC	and
to	TO	to
grind	VB	grind
rock	NN	rock
,	,	,
and	CC	and
so	RB	so
all	RB	all
of	IN	of
those	DT	those
approaches	VBZ	approach
I	PP	I
'	''	'
m	NN	m
talking	VBG	talk
about	RB	about
are	VBP	be
currently	RB	currently
much	RB	much
more	RBR	more
expensive	JJ	expensive
than	IN	than
planting	VBG	plant
trees	NNS	tree
.	SENT	.
But	CC	but
we	PP	we
can	MD	can
do	VB	do
something	NN	something
about	IN	about
that	DT	that
.	SENT	.
We	PP	we
